SA2_CODE_2021,Philippines_Before_1951,Philippines_1951_1960,Philippines_1961_1970,Philippines_1971_1980,Philippines_1981_1990,Philippines_1991_2000,Philippines_2001_2010,Philippines_2011_2015,Philippines_2016,Philippines_2017,Philippines_2018,Philippines_2019,Philippines_2020,Philippines_2021,Philippines_Yr_arrival_ns,Philippines_Tot,Poland_Before_1951,Poland_1951_1960,Poland_1961_1970,Poland_1971_1980,Poland_1981_1990,Poland_1991_2000,Poland_2001_2010,Poland_2011_2015,Poland_2016,Poland_2017,Poland_2018,Poland_2019,Poland_2020,Poland_2021,Poland_Yr_arrival_NS,Poland_Tot,Singapore_Before_1951,Singapore_1951_1960,Singapore_1961_1970,Singapore_1971_1980,Singapore_1981_1990,Singapore_1991_2000,Singapore_2001_2010,Singapore_2011_2015,Singapore_2016,Singapore_2017,Singapore_2018,Singapore_2019,Singapore_2020,Singapore_2021,Singapore_Yr_arrival_ns,Singapore_Tot,South_Africa_Before_1951,South_Africa_1951_1960,South_Africa_1961_1970,South_Africa_1971_1980,South_Africa_1981_1990,South_Africa_1991_2000,South_Africa_2001_2010,South_Africa_2011_2015,South_Africa_2016,South_Africa_2017,South_Africa_2018,South_Africa_2019,South_Africa_2020,South_Africa_2021,South_Africa_Yr_arrival_ns,South_Africa_Tot,Sri_Lanka_Before_1951,Sri_Lanka_1951_1960,Sri_Lanka_1961_1970,Sri_Lanka_1971_1980,Sri_Lanka_1981_1990,Sri_Lanka_1991_2000,Sri_Lanka_2001_2010,Sri_Lanka_2011_2015,Sri_Lanka_2016,Sri_Lanka_2017,Sri_Lanka_2018,Sri_Lanka_2019,Sri_Lanka_2020,Sri_Lanka_2021,Sri_Lanka_Yr_arrival_ns,Sri_Lanka_Tot,Taiwan_Before_1951,Taiwan_1951_1960,Taiwan_1961_1970,Taiwan_1971_1980,Taiwan_1981_1990,Taiwan_1991_2000,Taiwan_2001_2010,Taiwan_2011_2015,Taiwan_2016,Taiwan_2017,Taiwan_2018,Taiwan_2019,Taiwan_2020,Taiwan_2021,Taiwan_Yr_arrival_ns,Taiwan_Tot,Thailand_Before_1951,Thailand_1951_1960,Thailand_1961_1970,Thailand_1971_1980,Thailand_1981_1990,Thailand_1991_2000,Thailand_2001_2010,Thailand_2011_2015,Thailand_2016,Thailand_2017,Thailand_2018,Thailand_2019,Thailand_2020,Thailand_2021,Thailand_Yr_arrival_ns,Thailand_Tot,United_Kingdom_Before_1951,United_Kingdom_1951_1960,United_Kingdom_1961_1970,United_Kingdom_1971_1980,United_Kingdom_1981_1990,United_Kingdom_1991_2000,United_Kingdom_2001_2010,United_Kingdom_2011_2015,United_Kingdom_2016,United_Kingdom_2017,United_Kingdom_2018,United_Kingdom_2019,United_Kingdom_2020,United_Kingdom_2021,United_Kingdom_Yr_arrival_ns,United_Kingdom_Tot,USA_Before_1951,USA_1951_1960,USA_1961_1970,USA_1971_1980,USA_1981_1990,USA_1991_2000,USA_2001_2010,USA_2011_2015,United_States_America_2016,United_States_America_2017,United_States_America_2018,United_States_America_2019,United_States_America_2020,United_States_America_2021,USA_year_of_arrival_ns,USA_Total,Vietnam_Before_1951,Vietnam_1951_1960,Vietnam_1961_1970,Vietnam_1971_1980,Vietnam_1981_1990,Vietnam_1991_2000,Vietnam_2001_2010,Vietnam_2011_2015,Vietnam_2016,Vietnam_2017,Vietnam_2018,Vietnam_2019,Vietnam_2020,Vietnam_2021,Vietnam_Yr_arrival_NS,Vietnam_Tot,Born_elsewhere_Before_1951,Born_elsewhere_1951_1960,Born_elsewhere_1961_1970,Born_elsewhere_1971_1980,Born_elsewhere_1981_1990,Born_elsewhere_1991_2000,Born_elsewhere_2001_2010,Born_elsewhere_2011_2015,Born_elsewhere_2016,Born_elsewhere_2017,Born_elsewhere_2018,Born_elsewhere_2019,Born_elsewhere_2020,Born_elsewhere_2021,Born_elsewhere_Yr_arrival_ns,Born_elsewhere_Tot,Tot_Before_1951,Tot_1951_1960,Tot_1961_1970,Tot_1971_1980,Tot_1981_1990,Tot_1991_2000,Tot_2001_2010,Tot_2011_2015,Tot_2016,Tot_2017,Tot_2018,Tot_2019,Tot_2020,Tot_2021,Tot_Yr_arrival_NS,Tot_Tot
213051582,0,0,0,3,21,30,97,147,41,31,11,20,10,0,0,417,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,8,13,3,8,0,0,0,0,0,38,0,0,0,0,0,0,5,3,0,0,3,0,0,0,0,21,0,0,0,0,6,10,54,54,11,12,6,4,0,0,0,150,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,8,4,0,0,0,0,3,0,0,9,0,0,6,4,8,5,14,13,7,10,0,0,3,0,0,69,0,0,0,0,0,4,6,4,0,0,0,0,0,0,0,13,0,0,0,0,5,10,14,13,4,3,0,3,0,0,7,68,0,11,16,10,31,83,256,196,51,41,48,32,25,12,16,822,4,16,35,38,108,249,1950,1697,440,432,423,494,178,56,104,6209
213051583,0,0,0,9,97,106,490,109,25,27,39,36,15,5,3,957,4,0,0,4,13,5,8,4,0,0,0,0,0,0,0,36,0,0,0,0,3,3,92,20,0,3,0,3,5,0,0,127,0,0,3,0,3,10,34,10,0,0,0,8,0,0,0,67,0,0,0,4,16,52,186,53,7,11,13,23,3,3,5,362,0,0,0,0,4,3,6,5,3,3,0,0,0,0,0,23,0,0,0,0,10,10,30,12,0,0,4,3,0,0,0,71,5,25,53,37,33,14,72,22,0,3,0,0,4,0,0,287,0,0,0,0,0,4,10,8,0,8,4,6,0,0,0,47,0,0,0,16,36,31,39,27,3,0,9,4,0,0,9,168,5,31,67,82,162,279,769,379,69,94,67,66,31,14,55,2168,16,92,192,217,545,1045,5907,3203,668,862,1033,1269,418,114,252,15840
213051584,0,0,0,0,11,6,51,66,16,10,15,19,0,0,0,194,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,3,15,3,0,0,0,0,0,0,29,0,0,0,0,0,0,0,0,0,7,0,5,0,0,0,13,0,0,0,0,0,4,39,41,5,0,3,3,0,0,0,106,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,11,3,0,0,0,3,0,0,0,17,0,0,0,4,0,4,5,19,0,0,0,0,0,0,0,31,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,9,0,0,0,0,6,4,12,8,0,0,3,0,0,0,0,44,0,3,10,8,11,38,181,104,28,8,23,19,10,9,5,449,0,3,15,17,50,132,1577,1248,289,305,380,387,141,39,75,4660
213051585,0,0,0,5,34,71,143,38,9,10,14,16,11,0,5,352,0,0,0,0,13,0,0,0,0,0,0,0,0,0,0,14,0,0,0,3,0,0,18,8,5,0,0,0,0,0,0,38,0,0,0,4,4,5,21,0,0,0,0,0,0,0,3,29,0,0,0,0,6,19,49,26,0,0,4,0,5,3,0,113,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,4,6,16,14,0,0,0,0,0,0,0,34,7,19,42,22,25,11,30,8,0,0,0,0,0,0,0,162,0,0,0,0,0,0,3,9,0,0,0,0,0,4,5,22,0,0,0,3,4,11,16,8,0,0,0,0,0,0,0,46,4,24,28,42,78,192,371,181,35,54,32,31,10,3,18,1105,7,57,116,120,246,516,2051,1082,220,230,258,350,133,31,96,5520
213051586,0,0,0,0,23,20,95,120,14,29,14,16,4,0,11,346,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,3,0,0,0,0,0,0,17,13,0,6,3,0,0,0,0,37,0,0,0,0,0,0,3,4,0,5,0,0,0,0,0,17,0,0,0,0,0,0,47,37,3,11,12,8,0,0,0,111,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,9,5,0,0,0,0,0,0,0,17,0,0,6,4,0,0,0,11,0,0,0,0,0,4,9,40,0,0,0,0,0,0,0,3,0,0,0,4,0,0,0,12,0,0,0,0,16,13,32,31,0,4,0,10,3,0,28,147,0,3,3,8,32,84,233,156,33,34,32,32,10,10,106,778,0,4,9,16,89,239,1855,1447,301,324,378,420,137,54,328,5617
213051587,0,0,0,6,34,43,135,99,16,6,14,27,13,4,7,393,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,7,0,0,0,0,0,11,19,8,8,0,0,0,7,0,3,52,0,0,0,0,0,3,5,7,0,0,0,0,0,0,0,22,0,0,0,0,0,8,52,33,0,6,10,19,0,0,5,134,0,0,0,0,0,4,3,3,0,0,0,0,0,0,0,10,0,0,0,0,0,8,14,0,0,0,0,0,0,0,0,26,0,0,0,0,5,3,16,19,0,0,0,3,0,0,6,54,0,0,0,0,0,3,5,13,0,0,0,0,0,0,0,27,0,0,0,10,31,32,45,28,8,3,0,9,0,0,6,167,0,3,8,20,49,113,229,122,26,34,28,29,11,6,7,680,0,6,27,46,185,436,2099,1422,276,303,397,386,131,49,99,5868
213051588,0,0,0,4,58,76,283,129,14,17,19,21,19,0,0,633,0,0,0,0,10,0,6,0,0,0,0,0,0,0,0,16,0,0,0,0,4,6,21,12,3,13,5,4,0,0,0,70,0,0,0,4,4,0,15,8,0,3,0,0,0,0,0,30,0,0,0,4,5,17,95,40,5,18,7,16,0,0,0,221,0,0,0,0,0,5,8,3,0,0,0,0,0,0,0,14,0,0,0,4,6,5,18,4,0,0,0,0,0,0,0,37,4,12,30,26,12,9,34,18,0,0,3,0,0,0,6,147,0,0,0,0,0,0,8,6,0,0,0,4,0,0,0,28,0,0,0,6,40,42,60,18,3,7,4,7,3,0,10,200,0,7,26,45,120,339,584,295,59,42,54,53,19,16,27,1682,7,45,96,150,392,880,3962,2158,433,505,689,724,249,94,192,10579
213051589,0,0,0,3,11,12,58,56,12,0,14,14,0,4,0,179,0,0,0,0,0,3,8,0,0,0,0,0,0,0,0,13,0,0,0,0,0,0,8,5,0,0,0,7,0,0,0,22,0,0,4,0,3,0,16,6,5,0,0,0,0,0,5,42,0,0,0,0,0,5,42,31,6,5,9,8,3,0,0,113,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,60,27,5,0,7,4,5,0,0,112,0,10,33,18,9,12,22,27,6,0,0,6,0,0,6,138,0,0,0,0,0,0,0,3,3,0,0,5,3,0,0,20,0,0,0,0,8,4,9,8,0,0,0,0,0,0,0,24,0,7,12,15,43,52,355,216,34,28,24,56,12,0,16,871,0,32,57,55,102,195,1321,1060,302,232,238,282,72,30,84,4059
213051590,0,0,0,3,31,39,73,32,5,14,7,5,0,0,3,209,0,0,0,0,7,4,0,0,0,0,0,0,0,0,0,13,0,0,0,0,6,0,31,5,0,0,0,0,0,0,0,42,0,0,0,0,0,3,7,6,4,0,0,0,0,0,0,23,0,0,0,0,0,7,52,3,0,0,5,0,0,0,0,71,0,0,0,0,0,0,0,8,0,0,0,0,0,0,0,3,0,0,0,0,4,7,177,74,24,21,17,17,0,0,8,355,5,37,131,61,47,22,91,41,0,11,5,6,0,0,11,449,0,0,0,0,3,0,12,3,0,0,0,0,0,0,0,27,0,0,0,0,7,12,8,3,0,0,0,3,0,0,0,40,3,16,50,46,94,108,509,179,39,31,49,47,9,3,25,1212,16,95,243,173,283,305,1779,864,218,194,217,269,47,22,85,4813
214011370,0,0,0,3,63,61,120,96,26,18,24,27,9,0,0,458,0,3,9,3,25,11,4,0,4,0,0,0,0,0,0,59,0,0,0,0,10,0,6,4,0,0,0,0,0,9,0,31,0,0,0,6,31,13,44,34,3,0,0,3,0,0,0,138,0,0,10,14,36,24,51,23,5,8,0,12,0,0,0,195,0,0,0,0,0,4,4,9,0,0,0,0,0,0,0,13,0,0,0,0,5,3,16,12,5,7,6,8,0,0,0,64,13,73,269,178,141,64,119,53,22,13,4,3,0,0,42,989,0,0,0,6,6,9,7,3,4,4,0,0,0,0,0,44,0,0,0,4,12,12,21,19,0,0,4,0,0,0,0,68,4,28,65,121,142,158,273,107,22,21,10,13,6,3,21,990,40,237,500,485,744,694,1373,709,141,105,116,109,36,21,133,5451
