SA2_CODE_2021,O_OR_DS_Sep_house,O_OR_DS_SemiD_ro_or_tce_h_th,O_OR_DS_Flat_apart,O_OR_DS_Oth_dwell,O_OR_DS_not_stated,O_OR_Total,O_MTG_DS_Sep_house,O_MTG_DS_SemiD_ro_or_tce_h_th,O_MTG_DS_Flat_apart,O_MTG_DS_Oth_dwell,O_MTG_DS_not_stated,O_MTG_Total,R_RE_Agt_DS_Sep_house,R_RE_Ag_DS_SemD_ro_or_tc_h_th,R_RE_Agt_DS_Flat_apart,R_RE_Agt_DS_Oth_dwell,R_RE_Agt_DS_not_stated,R_RE_Agt_Total,R_ST_h_auth_DS_Sep_house,R_ST_h_au_DS_SD_ro_or_tc_h_th,R_ST_h_auth_DS_Flat_apart,R_ST_h_auth_DS_Oth_dwell,R_ST_h_auth_DS_not_stated,R_ST_h_auth_Total,R_Com_Hp_DS_Sp_ho,R_Com_Hp_DS_SD_ro_t_h_t,R_Com_Hp_DS_Flt_apt,R_Com_Hp_DS_Ot_dwel,R_Com_Hp_DS_NS,R_Com_Hp_Total,R_Psn_not_in_s_hh_DS_Sep_hous,R_P_not_in_s_h_DS_SD_ro_t_h_t,R_P_not_in_s_hh_DS_Flat_apart,R_Psn_not_in_s_hh_DS_Oth_dwel,R_Psn_not_in_s_hh_DS_NS,R_Psn_not_in_s_hh_Total,R_Ot_landld_typ_DS_Sep_house,R_O_LLd_typ_DS_SD_ro_tc_h_th,R_Ot_LLd_typ_DS_Flat_apart,R_Ot_landld_typ_DS_Oth_dwell,R_Ot_landld_typ_DS_not_stated,R_Ot_landld_typ_Total,R_Landld_typ_NS_DS_Sep_house,R_Ld_typ_NS_DS_SD_ro_tce_h_th,R_LLd_typ_NS_DS_Flat_apart,R_Landld_typ_NS_DS_Oth_dwell,R_Landld_typ_NS_DS_not_stated,R_Landld_typ_NS_Total,R_Tot_DS_Sep_house,R_Tot_DS_SemiD_ro_or_tce_h_th,R_Tot_DS_Flat_apart,R_Tot_DS_Oth_dwell,R_Tot_DS_not_stated,R_Tot_Total,Oth_ten_type_DS_Sep_house,Oth_ten_ty_DS_SD_ro_tce_h_th,Oth_ten_type_DS_Flat_apart,Oth_ten_type_DS_Oth_dwell,Oth_ten_type_DS_not_stated,Oth_ten_type_Total,Ten_type_NS_DS_Sep_house,Ten_ty_NS_DS_SD_ro_tce_h_t,Ten_ty_NS_DS_Flat_apart,Ten_type_NS_DS_Oth_dwell,Ten_type_NS_DS_not_stated,Ten_type_NS_Total,Total_DS_Sep_house,Total_DS_SemiD_ro_or_tce_h_th,Total_DS_Flat_apart,Total_DS_Oth_dwell,Total_DS_not_stated,Total_Total
201011001,1614,24,44,0,0,1684,2306,28,22,0,5,2359,1127,107,142,0,5,1371,21,3,3,0,0,22,3,0,4,0,0,7,170,15,7,0,0,189,18,3,0,0,0,24,4,0,0,0,0,4,1337,133,161,0,5,1628,39,0,0,0,0,44,38,4,0,0,0,43,5334,186,228,4,6,5763
201011002,1680,244,55,8,3,1991,1102,116,20,3,0,1238,901,270,157,5,4,1339,13,3,15,0,0,31,20,18,12,0,4,52,165,31,30,0,4,230,17,8,7,0,0,38,7,5,0,0,0,6,1125,332,215,9,12,1701,47,11,6,0,0,62,38,3,6,0,0,49,3981,701,302,26,17,5036
201011005,1071,19,9,0,0,1102,1001,7,0,0,0,1011,214,18,19,0,0,257,4,0,5,0,0,10,0,0,0,0,0,0,78,4,5,0,0,91,0,0,0,0,0,4,0,0,0,0,0,0,297,28,33,0,0,360,21,3,0,0,0,21,11,0,0,0,0,18,2407,60,46,5,7,2522
201011006,966,51,4,0,0,1020,1667,60,0,0,4,1733,634,71,0,0,0,702,105,4,0,0,0,111,17,6,0,0,0,20,119,14,0,0,0,134,11,3,0,0,0,10,3,0,0,0,0,3,889,98,0,0,6,991,69,0,0,0,0,69,60,0,0,0,0,65,3648,204,4,0,13,3870
201011007,548,0,0,0,0,552,767,0,0,0,0,767,29,0,0,0,0,29,0,0,0,0,0,0,0,0,0,0,0,0,19,0,0,0,0,19,7,0,0,0,0,7,0,0,0,0,0,0,56,0,0,0,0,56,12,0,0,0,0,12,6,0,0,0,0,6,1392,0,0,0,0,1395
201011008,1772,176,26,0,0,1975,1756,59,18,0,0,1829,1017,276,113,0,4,1407,293,103,11,0,0,404,16,25,5,0,0,46,242,35,16,0,0,292,22,10,5,0,0,29,5,6,0,0,0,13,1594,451,150,0,4,2202,48,7,0,0,0,58,94,29,14,0,0,139,5267,714,208,0,3,6201
201011481,1175,100,4,5,0,1286,1049,65,0,4,0,1118,778,177,30,0,0,987,128,52,5,0,0,191,19,19,0,0,0,36,216,24,0,4,0,245,14,0,0,9,0,23,9,0,0,0,0,13,1166,281,44,7,3,1499,130,10,0,0,0,142,47,14,0,0,0,62,3569,464,43,21,9,4108
201011482,1973,115,19,4,0,2116,2015,69,6,3,3,2102,810,236,39,0,6,1088,80,44,4,0,0,129,10,14,0,0,0,24,199,32,12,0,0,248,15,3,0,0,0,14,0,0,0,0,0,0,1114,328,55,5,6,1506,31,56,3,0,0,85,35,15,0,0,0,53,5171,587,84,12,10,5863
201011483,1290,109,39,0,0,1444,1433,129,21,4,3,1588,898,289,75,0,0,1264,106,17,21,0,0,147,22,27,17,0,0,66,180,49,16,0,0,237,10,0,0,0,0,12,5,3,0,0,0,3,1227,384,126,0,3,1738,25,16,3,0,0,45,47,3,0,0,0,52,4016,637,195,3,9,4863
201011484,1263,349,0,0,0,1621,1236,269,6,0,0,1512,948,629,7,0,3,1581,115,234,0,0,0,350,31,42,0,0,0,73,252,131,0,0,0,385,14,5,0,0,0,21,12,14,0,0,0,23,1369,1056,5,0,3,2435,40,58,0,0,0,97,60,49,0,0,0,114,3975,1782,14,0,7,5776
