SA2_CODE_2021,P_AdvDi_Di_AdvDi_AsDe_Mng,P_AdvDi_Di_AdvDi_AsDe_Pro,P_AdvDi_Di_AdvDi_AsDe_TTW,P_AdvDi_Di_AdvDi_AsDe_CPS,P_AdvDi_Di_AdvDi_AsDe_CA,P_AdvDi_Di_AdvDi_AsDe_Sal,P_AdvDi_Di_AdvDi_AsDe_MOD,P_AdvDi_Di_AdvDi_AsDe_Lab,P_AdvDi_Di_AdvDi_AsDe_IDNS,P_AdvDi_Di_AdvDi_AsDe_Tot,P_AdvDi_Di_Dip_Mng,P_AdvDi_Di_Dip_Pro,P_AdvDi_Di_Dip_TTW,P_AdvDi_Di_Dip_CPS,P_AdvDi_Di_Dip_CA,P_AdvDi_Di_Dip_Sal,P_AdvDi_Di_Dip_MOD,P_AdvDi_Di_Dip_Lab,P_AdvDi_Di_Dip_IDNS,P_AdvDi_Di_Dip_Tot,P_Cert_CertIII_IV_Mng,P_Cert_CertIII_IV_Pro,P_Cert_CertIII_IV_TTW,P_Cert_CertIII_IV_CPS,P_Cert_CertIII_IV_CA,P_Cert_CertIII_IV_Sal,P_Cert_CertIII_IV_MOD,P_Cert_CertIII_IV_Lab,P_Cert_CertIII_IV_IDNS,P_Cert_CertIII_IV_Tot,P_Cert_CertI_II_Mng,P_Cert_CertI_II_Pro,P_Cert_CertI_II_TTW,P_Cert_CertI_II_CPS,P_Cert_CertI_II_CA,P_Cert_CertI_II_Sal,P_Cert_CertI_II_MOD,P_Cert_CertI_II_Lab,P_Cert_CertI_II_IDNS,P_Cert_CertI_II_Tot,P_Cert_Cert_nfd_Mng,P_Cert_Cert_nfd_Pro,P_Cert_Cert_nfd_TTW,P_Cert_Cert_nfd_CPS,P_Cert_Cert_nfd_CA,P_Cert_Cert_nfd_Sal,P_Cert_Cert_nfd_MOD,P_Cert_Cert_nfd_Lab,P_Cert_Cert_nfd_IDNS,P_Cert_Cert_nfd_Tot,P_LE_ID_Mng,P_LE_ID_Pro,P_LE_ID_TTW,P_LE_ID_CPS,P_LE_ID_CA,P_LE_ID_Sal,P_LE_ID_MOD,P_LE_ID_Lab,P_LE_ID_IDNS,P_LE_ID_Tot,P_LE_NS_Mng,P_LE_NS_Pro,P_LE_NS_TTW,P_LE_NS_CPS,P_LE_NS_CA,P_LE_NS_Sal,P_LE_NS_MOD,P_LE_NS_Lab,P_LE_NS_IDNS,P_LE_NS_Tot,P_Tot_Mng,P_Tot_Pro,P_Tot_TTW,P_Tot_CPS,P_Tot_CA,P_Tot_Sal,P_Tot_MOD,P_Tot_Lab,P_Tot_IDNS,P_Tot_Tot
201011001,61,76,15,43,45,14,13,17,0,289,91,95,69,169,125,36,17,30,0,640,209,87,618,267,231,147,114,151,22,1839,11,9,0,17,20,17,7,15,0,98,11,12,4,18,22,15,5,9,0,89,5,9,3,9,3,0,0,7,0,33,13,20,6,10,8,11,3,8,11,93,781,2015,813,770,702,327,213,279,64,5962
201011002,48,80,15,31,42,20,6,6,3,249,51,54,41,78,55,28,9,17,9,345,113,37,259,135,109,59,43,57,10,828,4,0,0,14,14,10,5,9,0,59,14,11,4,23,9,14,3,6,5,77,5,7,0,3,0,0,0,0,7,20,15,16,3,16,9,11,6,7,4,85,705,1869,413,457,455,203,90,131,53,4377
201011005,36,41,12,24,17,7,0,3,0,145,49,41,21,47,43,13,6,9,0,235,82,40,238,95,84,38,51,60,6,687,0,5,6,5,12,10,3,0,0,42,4,5,3,7,11,6,6,5,0,44,4,9,0,0,0,0,0,0,0,15,6,4,4,9,6,5,0,4,8,46,391,927,318,281,291,114,83,99,35,2540
201011006,33,24,25,24,19,4,5,11,0,141,42,59,36,135,70,27,10,20,3,398,130,54,534,248,174,99,103,146,14,1504,6,4,8,14,20,18,3,12,0,83,5,10,7,22,15,9,0,10,0,83,0,0,0,4,5,0,0,0,0,17,6,10,7,10,5,6,3,9,7,65,338,839,671,575,406,202,152,243,49,3472
201011007,24,25,6,16,16,3,0,4,3,89,29,29,15,51,25,8,5,7,0,165,76,26,262,88,76,33,50,58,11,676,0,0,6,5,8,0,0,3,0,25,4,0,5,4,7,0,4,0,0,27,6,8,5,0,0,0,0,0,0,16,4,7,0,0,0,0,0,5,3,23,211,361,314,210,174,60,69,80,21,1490
201011008,31,33,9,39,32,13,4,18,0,183,48,36,38,161,88,39,12,37,7,463,151,64,614,313,179,116,148,194,19,1811,7,5,10,16,17,22,9,22,0,91,0,6,7,24,21,11,3,12,0,94,0,7,6,0,4,0,0,3,0,31,7,3,15,14,16,9,12,17,10,98,380,815,770,707,483,250,206,334,52,3996
201011481,28,28,29,26,27,3,7,9,0,157,43,43,41,105,49,15,15,10,4,319,101,36,346,154,123,76,51,105,14,999,5,0,9,16,13,10,10,11,0,65,6,6,0,14,11,5,4,3,5,52,0,8,0,0,3,0,0,0,0,16,9,6,8,16,3,9,5,9,6,61,366,871,511,459,318,161,106,165,38,2988
201011482,70,76,24,64,61,27,8,10,3,337,71,100,52,126,90,36,5,18,5,504,199,69,555,208,184,85,90,130,13,1531,6,3,11,3,16,14,0,23,0,79,11,10,12,18,17,17,7,10,0,96,8,7,0,7,3,0,0,0,0,26,6,17,6,10,18,7,9,7,10,93,794,1906,729,624,600,227,144,230,65,5324
201011483,37,54,33,38,39,21,9,9,3,242,49,69,48,126,92,19,13,14,3,432,106,61,394,226,161,93,64,106,17,1243,7,6,3,15,20,11,4,12,0,80,3,8,6,19,11,15,4,7,0,70,7,6,5,9,5,0,0,0,0,28,0,12,8,12,3,7,8,10,9,61,433,1345,564,643,519,221,135,207,44,4111
201011484,12,26,11,41,30,9,3,14,0,143,34,63,31,124,70,26,13,28,4,399,101,43,518,282,140,108,96,145,25,1458,12,5,13,15,21,27,7,19,0,103,3,4,10,22,12,7,7,5,0,69,0,0,0,0,0,0,4,3,0,15,9,3,14,16,7,12,12,11,16,99,270,679,645,640,383,231,163,269,56,3334
