SA2_CODE_2021,Tot_OcMngr,Tot_OcProf,Tot_OcTechTrdW,Tot_OcComPerS,Tot_OcClericAdm,Tot_OcSalesWk,Tot_OcMacOp_Driv,Tot_OcLab,Tot_OcID_NS,Tot_Tot
201011001,1013,2113,1073,1106,1128,861,378,738,114,8528
201011002,859,1959,546,706,670,463,164,351,80,5804
201011005,493,967,407,403,448,310,147,264,57,3495
201011006,487,903,838,758,660,557,344,586,79,5205
201011007,268,378,416,277,270,198,166,216,37,2224
201011008,558,874,1046,950,762,671,487,909,102,6361
201011481,486,910,672,627,504,364,229,427,66,4288
201011482,1000,2023,963,890,943,589,282,592,96,7370
201011483,574,1431,753,884,722,551,284,541,78,5823
201011484,386,742,907,883,603,594,389,726,106,5327
201021009,476,520,536,356,403,219,253,352,61,3182
201021010,597,624,557,386,358,245,206,407,44,3430
201021011,912,1035,633,520,398,264,157,448,96,4470
201021012,551,578,503,310,380,223,236,332,64,3179
201031013,321,172,167,153,125,90,110,182,34,1348
201031014,365,256,263,226,195,124,160,242,46,1882
201031015,291,305,408,252,266,164,179,274,36,2185
201031016,269,347,434,443,257,301,194,477,56,2778
201031017,306,193,303,284,194,182,171,308,47,1982
202011018,668,1678,830,943,681,558,377,841,137,6715
202011019,431,828,871,916,593,523,458,895,107,5616
202011020,761,1720,741,811,788,564,291,653,89,6416
202011021,487,1316,529,674,497,468,201,457,62,4688
202011022,810,1614,1278,1307,1092,907,603,1350,145,9108
202011023,391,603,446,327,420,311,153,237,41,2918
202011024,732,1470,639,666,717,452,220,411,61,5368
202011025,672,1345,1092,951,835,604,517,805,108,6926
202021026,650,846,682,490,551,368,267,410,80,4350
202021027,574,1392,582,564,448,306,166,447,72,4557
202021028,706,958,637,443,400,280,225,438,71,4162
202021029,311,297,317,202,210,141,177,234,53,1948
202021030,887,1157,677,553,522,371,202,524,82,4980
202021031,685,1138,463,436,388,238,113,252,53,3764
202031032,389,301,399,234,252,174,203,248,36,2230
202031033,919,312,268,263,232,166,215,436,59,2879
