SA2_CODE_2021,P_Tot_0_14,P_Tot_15_24,P_Tot_25_34,P_Tot_35_44,P_Tot_45_54,P_Tot_55_64,P_Tot_65_74,P_Tot_75_84,P_Tot_85_over,P_Tot_Tot
201011001,4025,2380,2089,2457,2124,1583,1312,694,172,16835
201011002,1782,1551,1326,1340,1660,1650,1495,937,394,12131
201011005,1503,946,571,870,1044,991,897,352,85,7261
201011006,2276,1409,1975,1287,1122,1022,876,470,232,10661
201011007,886,557,340,515,685,633,433,148,27,4230
201011008,2833,1848,2230,1748,1780,1739,1602,1041,514,15333
201011481,1528,1042,1426,1183,1081,1239,1114,686,390,9691
201011482,2756,1570,1828,1916,1905,1929,1623,846,367,14750
201011483,2147,1607,1947,1560,1435,1285,1242,689,320,12225
201011484,2163,1596,2022,1520,1415,1581,1504,914,373,13086
201021009,1243,623,648,895,957,969,736,370,118,6559
201021010,1324,669,657,856,1125,1326,1262,633,236,8085
201021011,1278,660,762,1036,1501,1863,1819,771,256,9955
201021012,1202,689,545,803,1010,994,754,299,73,6372
201031013,508,292,260,299,513,568,685,307,101,3532
201031014,672,427,404,531,685,739,739,338,101,4644
201031015,945,511,485,573,758,692,637,259,40,4894
201031016,1208,778,809,658,946,1109,1296,958,395,8160
201031017,794,472,395,471,751,1036,994,494,118,5526
202011018,2263,1934,2339,1657,1828,1865,1644,904,484,14929
202011019,2469,1594,1953,1426,1437,1581,1450,746,300,12949
202011020,2140,1703,1704,1487,1660,1787,1758,1129,619,13988
202011021,1653,1470,1253,1138,1125,1154,899,497,254,9437
202011022,3541,2191,2946,2502,2269,2497,2477,1791,840,21043
202011023,1359,656,503,834,788,639,521,175,29,5518
202011024,2545,1256,984,1536,1479,1151,1110,532,125,10719
202011025,3415,1669,2297,1996,1554,1540,1240,577,156,14446
202021026,1731,976,834,1062,1162,1281,910,330,59,8344
202021027,1608,844,1057,1365,1533,1631,1779,1064,472,11352
202021028,1275,728,702,910,1323,1756,1618,731,178,9225
202021029,733,344,420,468,692,892,864,500,149,5062
202021030,1816,946,932,1293,1607,1474,1415,769,311,10562
202021031,1541,773,521,1003,1291,1089,1033,535,164,7949
202031032,877,485,440,560,687,866,659,294,76,4934
202031033,1091,607,590,656,912,1294,1232,611,297,7289
203011034,1916,886,888,1145,1071,741,660,327,127,7754
203011035,1757,862,830,1117,1183,1173,835,277,65,8111
203011036,1233,729,660,868,900,983,796,342,113,6614
203021037,2575,1813,2618,1954,1680,1547,1410,896,526,15017
203021039,1748,1722,2372,1646,1647,1848,1512,732,277,13504
203021040,3827,2352,3578,3153,2635,2422,1779,973,484,21200
203021042,4410,3756,2782,3031,3070,2772,2312,1437,467,24034
203021043,4035,2340,3167,3096,2811,2294,1893,874,315,20817
203021044,2405,1470,1630,1630,1671,1644,1518,988,320,13272
203021045,2188,1759,2159,1607,1875,1988,1976,1341,561,15462
203021046,2003,1291,1146,1349,1467,1351,1058,580,201,10445
203021047,2443,1710,2290,1842,1944,1767,1907,1285,601,15795
203021485,2154,1286,2448,1569,770,682,566,475,346,10300
203021486,3369,2842,2721,2077,2306,2276,1632,847,247,18325
203021487,4508,3410,3873,3276,2869,2438,2254,1376,756,24763
203021488,1428,1146,1550,1064,1105,1095,908,514,235,9051
203031048,2927,1649,1763,1952,1956,2312,2473,1336,431,16797
203031049,775,467,538,574,745,1147,1218,570,199,6234
203031051,1004,588,627,752,1108,1762,2250,1134,314,9536
203031052,639,360,281,420,546,896,1290,776,297,5519
203031053,5390,2426,2438,3910,3495,2771,2586,1178,421,24607
203031489,2644,1228,1671,1685,1338,1096,1101,447,124,11333
203031490,3821,1814,1685,2567,2531,2582,2662,1215,515,19394
204011054,884,529,553,640,864,1203,1272,661,220,6828
204011055,942,546,526,646,782,1182,1322,683,296,6922
