SA2_CODE_2021,M_NatPhySci_Occ_Mng,M_NatPhySci_Occ_Pro,M_NatPhySci_Occ_TTW,M_NatPhySci_Occ_CPS,M_NatPhySci_Occ_CA,M_NatPhySci_Occ_Sal,M_NatPhySci_Occ_MOD,M_NatPhySci_Occ_Lab,M_NatPhySci_Occ_IDNS,M_NatPhySci_Total,M_InfoTechn_Occ_Mng,M_InfoTechn_Occ_Pro,M_InfoTechn_Occ_TTW,M_InfoTechn_Occ_CPS,M_InfoTechn_Occ_CA,M_InfoTechn_Occ_Sal,M_InfoTechn_Occ_MOD,M_InfoTechn_Occ_Lab,M_InfoTechn_Occ_IDNS,M_InfoTechn_Total,M_EngRelTech_Occ_Mng,M_EngRelTech_Occ_Pro,M_EngRelTech_Occ_TTW,M_EngRelTech_Occ_CPS,M_EngRelTech_Occ_CA,M_EngRelTech_Occ_Sal,M_EngRelTech_Occ_MOD,M_EngRelTech_Occ_Lab,M_EngRelTech_Occ_IDNS,M_EngRelTech_Total,M_ArchitBuild_Occ_Mng,M_ArchitBuild_Occ_Pro,M_ArchitBuild_Occ_TTW,M_ArchitBuild_Occ_CPS,M_ArchitBuild_Occ_CA,M_ArchitBuild_Occ_Sal,M_ArchitBuild_Occ_MOD,M_ArchitBuild_Occ_Lab,M_ArchitBuild_Occ_IDNS,M_ArchitBuild_Total,M_AgriEnviRelStu_Occ_Mng,M_AgriEnviRelStu_Occ_Pro,M_AgriEnviRelStu_Occ_TTW,M_AgriEnviRelStu_Occ_CPS,M_AgriEnviRelStu_Occ_CA,M_AgriEnviRelStu_Occ_Sal,M_AgriEnviRelStu_Occ_MOD,M_AgriEnviRelStu_Occ_Lab,M_AgriEnviRelStu_Occ_IDNS,M_AgriEnviRelStu_Total,M_Health_Occ_Mng,M_Health_Occ_Pro,M_Health_Occ_TTW,M_Health_Occ_CPS,M_Health_Occ_CA,M_Health_Occ_Sal,M_Health_Occ_MOD,M_Health_Occ_Lab,M_Health_Occ_IDNS,M_Health_Total,M_Educat_Occ_Mng,M_Educat_Occ_Pro,M_Educat_Occ_TTW,M_Educat_Occ_CPS,M_Educat_Occ_CA,M_Educat_Occ_Sal,M_Educat_Occ_MOD,M_Educat_Occ_Lab,M_Educat_Occ_IDNS,M_Educat_Total,M_ManagCom_Occ_Mng,M_ManagCom_Occ_Pro,M_ManagCom_Occ_TTW,M_ManagCom_Occ_CPS,M_ManagCom_Occ_CA,M_ManagCom_Occ_Sal,M_ManagCom_Occ_MOD,M_ManagCom_Occ_Lab,M_ManagCom_Occ_IDNS,M_ManagCom_Total,M_SocietCultu_Occ_Mng,M_SocietCultu_Occ_Pro,M_SocietCultu_Occ_TTW,M_SocietCultu_Occ_CPS,M_SocietCultu_Occ_CA,M_SocietCultu_Occ_Sal,M_SocietCultu_Occ_MOD,M_SocietCultu_Occ_Lab,M_SocietCultu_Occ_IDNS,M_SocietCultu_Total,M_CreatArt_Occ_Mng,M_CreatArt_Occ_Pro,M_CreatArt_Occ_TTW,M_CreatArt_Occ_CPS,M_CreatArt_Occ_CA,M_CreatArt_Occ_Sal,M_CreatArt_Occ_MOD,M_CreatArt_Occ_Lab,M_CreatArt_Occ_IDNS,M_CreatArt_Total,M_FoodHospPersServ_Occ_Mng,M_FoodHospPersServ_Occ_Pro,M_FoodHospPersServ_Occ_TTW,M_FoodHospPersServ_Occ_CPS,M_FoodHospPersServ_Occ_CA,M_FoodHospPersServ_Occ_Sal,M_FoodHospPersServ_Occ_MOD,M_FoodHospPersServ_Occ_Lab,M_FoodHospPersServ_Occ_IDNS,M_FoodHospPersServ_Total,M_MixFieldProg_Occ_Mng,M_MixFieldProg_Occ_Pro,M_MixFieldProg_Occ_TTW,M_MixFieldProg_Occ_CPS,M_MixFieldProg_Occ_CA,M_MixFieldProg_Occ_Sal,M_MixFieldProg_Occ_MOD,M_MixFieldProg_Occ_Lab,M_MixFieldProg_Occ_IDNS,M_MixFieldProg_Total,M_FS_ID_Occ_Mng,M_FS_ID_Occ_Pro,M_FS_ID_Occ_TTW,M_FS_ID_Occ_CPS,M_FS_ID_Occ_CA,M_FS_ID_Occ_Sal,M_FS_ID_Occ_MOD,M_FS_ID_Occ_Lab,M_FS_ID_Occ_IDNS,M_FS_ID_Total,M_FS_NS_Occ_Mng,M_FS_NS_Occ_Pro,M_FS_NS_Occ_TTW,M_FS_NS_Occ_CPS,M_FS_NS_Occ_CA,M_FS_NS_Occ_Sal,M_FS_NS_Occ_MOD,M_FS_NS_Occ_Lab,M_FS_NS_Occ_IDNS,M_FS_NS_Total,M_Tot_Occ_Mng,M_Tot_Occ_Pro,M_Tot_Occ_TTW,M_Tot_Occ_CPS,M_Tot_Occ_CA,M_Tot_Occ_Sal,M_Tot_Occ_MOD,M_Tot_Occ_Lab,M_Tot_Occ_IDNS,M_Total_Total,F_NatPhySci_Occ_Mng,F_NatPhySci_Occ_Pro,F_NatPhySci_Occ_TTW,F_NatPhySci_Occ_CPS,F_NatPhySci_Occ_CA,F_NatPhySci_Occ_Sal,F_NatPhySci_Occ_MOD,F_NatPhySci_Occ_Lab,F_NatPhySci_Occ_IDNS,F_NatPhySci_Total,F_InfoTechn_Occ_Mng,F_InfoTechn_Occ_Pro,F_InfoTechn_Occ_TTW,F_InfoTechn_Occ_CPS,F_InfoTechn_Occ_CA,F_InfoTechn_Occ_Sal,F_InfoTechn_Occ_MOD,F_InfoTechn_Occ_Lab,F_InfoTechn_Occ_IDNS,F_InfoTechn_Total,F_EngRelTech_Occ_Mng,F_EngRelTech_Occ_Pro,F_EngRelTech_Occ_TTW,F_EngRelTech_Occ_CPS,F_EngRelTech_Occ_CA,F_EngRelTech_Occ_Sal,F_EngRelTech_Occ_MOD,F_EngRelTech_Occ_Lab,F_EngRelTech_Occ_IDNS,F_EngRelTech_Total,F_ArchitBuild_Occ_Mng,F_ArchitBuild_Occ_Pro,F_ArchitBuild_Occ_TTW,F_ArchitBuild_Occ_CPS,F_ArchitBuild_Occ_CA,F_ArchitBuild_Occ_Sal,F_ArchitBuild_Occ_MOD,F_ArchitBuild_Occ_Lab,F_ArchitBuild_Occ_IDNS,F_ArchitBuild_Total,F_AgriEnviRelStu_Occ_Mng,F_AgriEnviRelStu_Occ_Pro,F_AgriEnviRelStu_Occ_TTW,F_AgriEnviRelStu_Occ_CPS,F_AgriEnviRelStu_Occ_CA,F_AgriEnviRelStu_Occ_Sal,F_AgriEnviRelStu_Occ_MOD,F_AgriEnviRelStu_Occ_Lab,F_AgriEnviRelStu_Occ_IDNS,F_AgriEnviRelStu_Total
201011001,11,36,9,6,4,4,0,0,3,74,25,74,14,5,9,11,4,14,0,158,119,89,285,14,21,23,69,52,8,683,57,9,215,7,0,6,21,32,5,342,19,15,21,10,3,0,6,3,0,83,19,201,3,38,5,6,3,8,0,277,28,113,3,9,0,3,6,3,0,165,157,165,33,38,61,63,27,20,0,566,20,68,7,79,20,10,16,14,0,235,4,26,10,3,5,9,0,3,0,65,30,0,50,18,4,10,14,14,0,132,0,0,0,0,0,0,0,0,0,3,12,10,10,0,3,5,15,0,3,60,13,9,20,7,0,5,5,4,5,61,515,794,683,233,144,149,185,180,33,2907,9,28,9,10,15,8,0,4,0,80,4,14,5,0,7,9,0,0,0,40,11,7,9,3,7,6,4,6,0,51,3,3,4,0,3,0,0,0,0,14,9,5,0,0,7,3,0,9,0,27
201011002,12,39,8,0,3,0,4,0,0,65,19,43,24,0,4,3,4,4,0,108,77,69,90,8,17,15,21,24,6,323,53,17,107,4,3,5,8,12,5,222,36,7,11,0,0,7,7,8,0,72,17,229,3,31,4,3,0,4,0,306,22,92,5,13,4,0,0,0,3,144,150,118,16,10,50,40,12,10,3,413,29,91,10,50,18,9,8,5,4,209,8,36,14,4,8,14,10,10,0,98,9,0,32,3,3,10,8,4,0,75,0,0,0,0,0,0,0,0,0,3,5,11,8,5,7,6,0,3,3,45,10,7,15,4,8,0,6,0,3,53,450,764,335,142,131,107,80,85,31,2125,11,28,5,8,17,3,0,0,0,70,0,0,0,4,4,4,0,0,0,13,10,13,7,3,7,0,7,0,0,39,10,13,0,6,3,0,0,0,0,35,5,3,3,8,3,0,0,4,0,32
201011005,6,17,5,3,3,0,0,4,0,44,15,48,8,0,11,0,0,3,0,87,61,46,122,10,10,10,32,19,4,315,24,4,87,4,4,3,10,12,0,159,10,12,11,0,3,0,0,8,4,45,7,47,5,11,4,0,0,0,0,76,15,82,3,9,6,0,3,0,0,123,66,60,17,9,20,10,8,9,0,195,12,49,9,25,10,8,0,3,0,115,3,20,5,5,3,6,3,0,0,50,4,0,6,5,0,7,7,3,0,32,0,0,0,0,0,0,0,0,0,0,4,7,6,4,0,0,0,0,0,19,4,0,5,5,0,4,4,0,11,36,243,393,284,85,75,43,72,74,19,1295,8,11,3,0,4,0,0,0,0,33,11,9,0,0,0,0,0,0,0,25,0,3,0,10,0,0,0,0,0,12,0,0,0,0,0,0,0,0,0,3,0,7,0,4,6,3,0,0,0,25
201011006,0,10,7,0,3,0,0,5,0,25,10,39,16,0,8,0,7,12,0,91,51,35,234,20,14,16,45,38,0,458,30,4,202,10,5,10,15,27,6,303,15,3,17,0,3,4,11,8,0,61,5,60,11,17,9,0,0,0,0,95,8,52,0,10,7,3,0,6,0,82,48,37,19,21,28,20,25,19,0,226,0,23,5,53,13,11,5,11,0,124,5,11,10,0,3,3,3,0,0,37,3,0,45,3,9,8,14,18,0,98,0,0,0,0,0,0,0,0,0,0,6,4,5,9,5,0,16,4,0,44,5,4,17,0,0,0,7,9,6,55,197,285,590,142,91,72,143,155,28,1697,0,14,3,3,8,3,0,0,0,34,5,9,3,4,6,0,0,0,0,28,7,0,0,0,3,4,8,3,0,22,0,8,4,0,0,7,0,0,0,15,0,3,0,0,7,5,0,4,0,22
201011007,4,0,0,0,0,0,0,0,0,7,0,15,6,0,5,0,0,0,0,31,40,19,150,9,8,8,28,25,4,291,23,4,91,0,3,0,10,11,5,143,13,3,8,0,0,4,0,5,0,41,5,18,0,7,0,0,0,0,0,31,5,22,3,0,0,6,0,0,0,38,24,14,4,4,11,9,5,4,3,80,8,11,0,13,0,0,0,0,0,40,0,0,3,0,4,0,4,0,0,13,0,0,7,0,3,0,4,4,0,15,4,0,0,0,0,0,0,0,0,4,5,3,6,5,0,0,3,0,0,19,3,0,8,3,0,0,4,0,5,26,138,111,278,48,35,31,55,62,13,769,4,4,0,3,0,3,0,0,0,13,0,0,0,0,0,0,0,0,0,12,0,0,0,0,0,0,0,0,0,7,0,0,4,0,5,0,0,0,0,8,0,6,5,4,0,4,0,4,0,26
201011008,8,7,4,4,0,5,0,3,0,31,4,26,13,6,12,6,5,9,0,76,62,35,284,19,15,19,74,64,5,581,38,4,188,6,6,11,25,25,5,311,15,5,24,4,4,4,20,21,0,92,5,47,8,22,4,4,4,8,0,97,16,69,3,10,0,0,0,0,0,107,47,35,21,20,33,25,18,26,5,235,14,21,12,46,12,7,10,20,5,143,3,14,8,4,11,5,4,8,0,60,11,0,42,10,8,6,13,19,0,109,0,0,0,0,0,0,0,3,0,4,4,0,3,7,0,4,7,6,0,26,6,0,18,7,5,6,9,11,11,76,238,279,637,150,106,98,186,223,34,1952,0,4,6,8,8,5,0,0,0,27,0,7,3,5,0,0,0,0,0,14,0,11,7,5,9,0,0,12,0,40,0,0,3,0,3,0,0,0,0,11,3,0,9,0,6,6,0,5,4,35
201011481,3,23,8,3,0,3,0,0,0,41,17,42,14,3,7,3,8,3,4,98,39,36,156,13,12,6,37,28,6,316,37,9,128,0,4,0,6,16,3,207,9,3,13,4,0,0,9,6,0,40,9,43,9,16,3,3,3,0,0,87,8,56,6,3,4,0,4,8,0,86,58,52,18,16,30,14,13,13,0,212,16,36,7,34,9,9,12,9,0,128,9,23,9,5,16,9,3,0,3,86,11,3,23,3,9,8,7,14,0,74,0,0,0,0,0,0,0,0,0,0,5,7,7,4,0,5,3,0,0,32,3,0,9,7,0,4,5,4,5,37,218,340,414,112,88,58,97,111,22,1453,4,18,3,4,0,5,0,3,0,35,0,6,3,3,7,0,0,0,0,19,8,4,4,4,0,4,0,3,0,21,0,4,3,0,0,4,0,0,0,11,7,3,9,6,6,3,0,5,0,30
201011482,9,42,9,8,7,3,0,7,0,92,27,42,12,4,13,4,8,5,0,112,92,84,219,6,20,21,52,42,10,555,70,15,223,4,7,4,20,29,3,377,18,15,30,3,7,3,3,15,3,109,18,142,5,35,10,5,0,8,0,232,35,128,0,12,11,3,3,0,5,196,153,149,20,17,48,39,13,14,3,457,25,67,6,58,18,11,9,11,4,204,16,58,16,15,5,3,0,11,7,124,10,4,48,11,3,4,10,6,0,87,0,0,0,0,0,0,0,0,0,0,16,7,6,7,4,0,0,3,0,38,6,5,9,6,0,0,6,14,3,53,504,764,611,186,149,105,125,161,38,2638,10,37,8,4,10,0,0,0,0,74,0,10,6,0,4,4,0,4,0,22,4,6,0,0,4,0,6,0,0,31,0,15,9,0,3,0,0,0,0,29,7,6,6,5,11,3,0,0,0,43
201011483,12,34,11,4,4,0,0,6,0,66,24,76,19,6,13,8,12,3,0,154,58,72,154,19,21,16,39,32,0,418,13,10,149,8,6,8,9,24,3,227,12,13,21,0,5,4,8,6,0,61,7,70,4,25,4,0,5,3,0,119,17,83,6,14,4,5,3,0,0,140,74,83,24,17,35,22,18,14,9,294,16,74,8,62,23,10,6,11,0,208,11,33,12,11,13,10,5,9,0,110,19,0,48,8,4,0,7,12,0,102,0,0,4,0,0,0,0,0,0,6,3,3,5,3,4,4,3,0,0,35,3,0,10,0,0,8,4,15,6,51,274,563,461,183,136,93,119,138,25,1992,3,25,3,7,13,4,0,0,0,50,0,11,3,5,9,0,0,7,0,38,0,0,0,0,3,0,0,0,0,19,0,8,3,0,0,0,0,0,0,20,3,12,5,3,0,0,0,4,0,32
201011484,4,6,5,4,4,3,0,0,0,26,15,37,22,0,12,0,5,4,3,100,20,27,229,13,13,20,53,49,4,420,16,3,173,3,3,10,12,30,6,265,11,7,16,0,0,6,5,4,4,50,3,33,8,24,0,0,0,4,0,72,3,27,0,11,0,0,4,0,0,56,52,44,17,7,33,17,15,23,5,209,16,30,8,57,6,3,7,12,0,149,3,25,14,0,0,9,7,7,0,65,6,3,35,8,0,0,9,16,4,88,0,0,0,0,0,0,0,0,0,0,4,4,8,0,0,5,0,7,0,28,7,3,15,5,6,6,9,11,11,69,149,251,544,148,85,81,135,160,37,1595,0,4,11,0,0,0,0,0,0,21,6,3,4,0,5,6,4,4,0,29,0,3,7,0,0,0,0,3,0,19,0,6,6,0,0,0,0,0,0,14,0,0,7,0,0,4,0,3,0,19
