SA2_CODE_2021,P_FoodHospPersServ_Occ_Mng,P_FoodHospPersServ_Occ_Pro,P_FoodHospPersServ_Occ_TTW,P_FoodHospPersServ_Occ_CPS,P_FoodHospPersServ_Occ_CA,P_FoodHospPersServ_Occ_Sal,P_FoodHospPersServ_Occ_MOD,P_FoodHospPersServ_Occ_Lab,P_FoodHospPersServ_Occ_IDNS,P_FoodHospPersServ_Total,P_MixFieldProg_Occ_Mng,P_MixFieldProg_Occ_Pro,P_MixFieldProg_Occ_TTW,P_MixFieldProg_Occ_CPS,P_MixFieldProg_Occ_CA,P_MixFieldProg_Occ_Sal,P_MixFieldProg_Occ_MOD,P_MixFieldProg_Occ_Lab,P_MixFieldProg_Occ_IDNS,P_MixFieldProg_Total,P_FS_ID_Occ_Mng,P_FS_ID_Occ_Pro,P_FS_ID_Occ_TTW,P_FS_ID_Occ_CPS,P_FS_ID_Occ_CA,P_FS_ID_Occ_Sal,P_FS_ID_Occ_MOD,P_FS_ID_Occ_Lab,P_FS_ID_Occ_IDNS,P_FS_ID_Total,P_FS_NS_Occ_Mng,P_FS_NS_Occ_Pro,P_FS_NS_Occ_TTW,P_FS_NS_Occ_CPS,P_FS_NS_Occ_CA,P_FS_NS_Occ_Sal,P_FS_NS_Occ_MOD,P_FS_NS_Occ_Lab,P_FS_NS_Occ_IDNS,P_FS_NS_Total,P_Tot_Occ_Mng,P_Tot_Occ_Pro,P_Tot_Occ_TTW,P_Tot_Occ_CPS,P_Tot_Occ_CA,P_Tot_Occ_Sal,P_Tot_Occ_MOD,P_Tot_Occ_Lab,P_Tot_Occ_IDNS,P_Total_Total
201011001,50,9,100,54,35,29,15,22,7,317,0,0,0,0,0,0,0,6,0,4,14,14,14,10,10,8,20,4,0,102,14,14,20,11,9,8,8,10,15,107,781,2015,813,770,702,327,213,279,64,5962
201011002,27,4,56,27,17,22,11,10,0,178,0,0,0,0,0,0,0,0,0,3,8,25,6,6,22,5,0,3,0,84,10,10,14,7,12,3,6,8,9,77,705,1869,413,457,455,203,90,131,53,4377
201011005,13,9,25,8,12,12,8,4,0,86,0,0,0,0,0,0,0,0,0,0,13,4,6,5,0,3,0,3,0,41,4,3,5,6,8,6,3,0,16,55,391,927,318,281,291,114,83,99,35,2540
201011006,27,3,77,39,22,18,14,42,0,230,0,0,0,0,3,0,0,0,0,3,5,10,5,5,10,5,16,10,0,67,9,3,22,6,6,4,7,11,14,89,338,839,671,575,406,202,152,243,49,3472
201011007,5,4,12,13,12,3,3,6,0,62,4,0,0,0,0,0,0,0,0,4,5,5,7,5,5,0,3,0,0,27,8,0,8,6,3,4,4,3,4,32,211,361,314,210,174,60,69,80,21,1490
201011008,26,6,92,44,38,29,14,37,0,295,0,0,0,0,0,0,0,3,0,8,8,8,8,9,6,9,7,8,0,56,8,3,21,14,16,11,9,20,12,124,380,815,770,707,483,250,206,334,52,3996
201011481,18,5,59,41,22,19,9,24,0,197,0,0,0,0,0,0,0,0,0,0,7,17,7,3,6,8,3,0,0,58,4,7,13,15,0,4,0,10,7,65,366,871,511,459,318,161,106,165,38,2988
201011482,26,6,94,40,33,22,7,18,0,254,0,0,0,0,0,0,0,6,0,0,17,16,6,14,9,3,0,3,6,72,9,6,13,10,14,9,5,18,6,92,794,1906,729,624,600,227,144,230,65,5324
201011483,28,6,83,38,33,27,7,25,0,246,0,6,4,0,0,0,0,0,0,11,6,13,5,10,13,5,3,0,4,62,4,5,13,6,11,7,6,13,11,79,433,1345,564,643,519,221,135,207,44,4111
201011484,13,4,66,54,28,28,13,39,4,256,0,0,0,0,0,0,0,0,0,3,6,8,7,12,8,4,0,5,0,54,11,6,14,14,13,15,14,22,20,119,270,679,645,640,383,231,163,269,56,3334
