SA2_CODE_2021,One_method_Train_M,One_method_Train_F,One_method_Train_P,One_method_Bus_M,One_method_Bus_F,One_method_Bus_P,One_method_Ferry_M,One_method_Ferry_F,One_method_Ferry_P,One_met_Tram_or_lt_rail_M,One_met_Tram_or_lt_rail_F,One_met_Tram_or_lt_rail_P,One_met_Taxi_or_Rideshare_M,One_met_Taxi_or_Rideshare_F,One_met_Taxi_or_Rideshare_P,One_method_Car_as_driver_M,One_method_Car_as_driver_F,One_method_Car_as_driver_P,One_method_Car_as_passenger_M,One_method_Car_as_passenger_F,One_method_Car_as_passenger_P,One_method_Truck_M,One_method_Truck_F,One_method_Truck_P,One_method_Motorbike_scootr_M,One_method_Motorbike_scootr_F,One_method_Motorbike_scootr_P,One_method_Bicycle_M,One_method_Bicycle_F,One_method_Bicycle_P,One_method_Other_M,One_method_Other_F,One_method_Other_P,One_method_Walked_only_M,One_method_Walked_only_F,One_method_Walked_only_P,One_method_Tot_one_method_M,One_method_Tot_one_method_F,One_method_Tot_one_method_P,Two_methods_Train_Bus_M,Two_methods_Train_Bus_F,Two_methods_Train_Bus_P,Two_methods_Train_Ferry_M,Two_methods_Train_Ferry_F,Two_methods_Train_Ferry_P,Two_mt_trn_Trm_or_lt_rail_M,Two_mt_trn_Trm_or_lt_rail_F,Two_mt_trn_Trm_or_lt_rail_P,Two_methods_Trn_Car_as_drvr_M,Two_methods_Trn_Car_as_drvr_F,Two_methods_Trn_Car_as_drvr_P,Two_methods_Trn_Car_as_pass_M,Two_methods_Trn_Car_as_pass_F,Two_methods_Trn_Car_as_pass_P,Two_methods_Train_Other_M,Two_methods_Train_Other_F,Two_methods_Train_Other_P,Two_methods_Train_Tot_M,Two_methods_Train_Tot_F,Two_methods_Train_Tot_P,Two_methods_Bus_Ferry_M,Two_methods_Bus_Ferry_F,Two_methods_Bus_Ferry_P,Two_mth_Bu_Trm_or_lt_rail_M,Two_mth_Bu_Trm_or_lt_rail_F,Two_mth_Bu_Trm_or_lt_rail_P,Two_methods_Bus_Car_as_drvr_M,Two_methods_Bus_Car_as_drvr_F,Two_methods_Bus_Car_as_drvr_P,Two_methods_Bus_Car_as_pass_M,Two_methods_Bus_Car_as_pass_F,Two_methods_Bus_Car_as_pass_P,Two_methods_Bus_Other_M,Two_methods_Bus_Other_F,Two_methods_Bus_Other_P,Two_methods_Bus_Tot_M,Two_methods_Bus_Tot_F,Two_methods_Bus_Tot_P,Two_methds_Othr_two_methds_M,Two_methds_Othr_two_methds_F,Two_methds_Othr_two_methds_P,Two_methods_Tot_two_methods_M,Two_methods_Tot_two_methods_F,Two_methods_Tot_two_methods_P,Three_meth_Tr_2_oth_meth_M,Three_meth_Tr_2_oth_meth_F,Three_meth_Tr_2_oth_meth_P,Three_met_Bs_2_ot_met_ex_tr_M,Three_met_Bs_2_ot_met_ex_tr_F,Three_met_Bs_2_ot_met_ex_tr_P,Three_meth_Othr_three_meth_M,Three_meth_Othr_three_meth_F,Three_meth_Othr_three_meth_P,Three_meth_Tot_three_meth_M,Three_meth_Tot_three_meth_F,Three_meth_Tot_three_meth_P,Worked_home_M,Worked_home_F,Worked_home_P,Did_not_go_to_work_M,Did_not_go_to_work_F,Did_not_go_to_work_P,Method_travel_to_work_ns_M,Method_travel_to_work_ns_F,Method_travel_to_work_ns_P,Tot_M,Tot_F,Tot_P
201011001,18,8,27,12,18,26,3,0,3,0,0,0,10,14,22,2854,2585,5443,211,236,450,24,0,25,13,0,11,37,5,33,14,5,25,46,25,66,3244,2896,6137,0,0,0,0,0,0,3,0,3,5,0,7,0,0,0,0,0,0,12,0,14,0,0,0,0,0,0,0,0,0,0,5,5,0,0,3,0,3,7,32,19,52,44,28,71,4,0,5,0,0,0,0,0,0,4,3,4,589,672,1260,372,653,1024,9,18,31,4257,4270,8528
201011002,12,9,25,12,28,37,0,0,0,0,0,0,6,5,11,1562,1349,2908,98,156,249,9,0,12,10,0,10,54,28,81,13,7,22,220,272,488,1995,1849,3849,0,3,6,0,0,0,3,0,0,4,4,6,0,0,0,0,0,0,7,7,13,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,0,3,4,13,15,23,25,23,49,3,8,8,0,6,6,0,0,0,9,11,13,547,634,1180,249,429,675,20,13,32,2842,2961,5804
201011005,5,0,5,15,6,25,0,0,0,0,0,0,0,0,4,1100,915,2021,68,75,149,20,0,16,7,5,12,11,0,11,3,0,3,17,17,34,1244,1029,2278,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,3,4,8,5,10,11,7,20,0,0,0,0,0,0,0,0,3,7,0,7,360,372,731,171,276,447,11,9,18,1801,1695,3495
201011006,9,0,9,9,11,19,3,0,3,0,0,0,5,8,15,1882,1671,3549,122,132,259,16,0,16,12,0,11,7,0,7,12,7,14,33,20,53,2104,1853,3956,0,0,0,0,0,0,5,0,8,3,0,5,0,0,0,0,0,0,8,0,6,0,0,0,0,0,0,0,0,0,5,0,7,0,0,0,7,3,11,10,10,21,29,17,46,0,0,0,0,0,0,0,0,0,0,0,3,239,336,573,210,408,613,7,10,17,2588,2620,5205
201011007,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,812,651,1460,46,44,88,35,0,36,0,0,0,0,0,0,3,0,5,7,8,13,910,704,1613,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,3,17,0,23,16,7,23,0,0,0,0,0,0,0,0,0,0,0,0,128,180,311,112,165,280,0,4,4,1166,1053,2224
201011008,12,0,10,14,18,32,0,0,0,0,0,0,5,6,11,2352,1907,4261,158,159,316,35,3,34,13,0,12,30,6,36,16,5,17,53,68,122,2691,2175,4868,0,5,5,0,0,0,0,0,0,7,0,5,0,0,0,0,0,0,9,3,10,0,0,0,0,0,0,0,0,0,0,3,5,0,0,5,3,4,9,22,7,34,31,16,52,0,3,7,3,0,3,0,0,0,3,3,7,243,401,641,268,480,754,24,17,43,3269,3089,6361
201011481,8,3,9,17,28,45,3,0,3,0,0,0,10,8,18,1334,1212,2551,104,117,220,23,0,22,5,0,6,17,4,26,7,0,10,69,47,113,1595,1422,3020,0,0,0,0,0,0,0,0,0,3,0,4,0,0,0,0,0,5,9,0,9,0,0,0,0,0,0,3,0,3,0,0,0,0,4,10,4,4,11,15,7,24,28,18,40,0,4,6,0,0,0,0,0,0,3,4,11,319,397,719,176,294,473,9,12,22,2135,2150,4288
201011482,13,11,30,9,16,24,0,0,0,0,0,0,5,10,13,2408,2079,4482,139,180,321,39,0,39,8,0,5,43,5,46,9,0,11,57,67,120,2731,2371,5099,0,0,0,0,0,0,0,0,0,4,0,4,0,0,0,0,0,0,7,0,10,0,0,0,0,0,0,0,0,0,0,0,0,6,0,6,7,3,10,27,21,44,36,28,63,0,0,3,0,0,0,0,0,0,3,0,4,635,727,1359,257,553,807,13,12,26,3681,3684,7370
201011483,14,8,19,26,19,44,0,0,0,0,0,0,10,12,24,1820,1599,3420,121,123,245,16,0,16,9,0,11,23,11,35,16,12,20,68,71,143,2119,1847,3974,4,0,4,0,0,0,0,4,3,5,0,3,0,0,0,0,0,0,6,5,10,0,0,0,0,0,0,0,0,0,0,0,3,0,5,5,0,0,4,24,16,42,37,25,57,0,0,5,0,0,0,0,0,0,3,0,6,465,563,1028,261,475,738,12,13,21,2894,2920,5823
201011484,7,6,15,13,24,37,0,0,3,0,0,0,21,18,38,1871,1656,3526,158,141,298,19,0,20,3,4,6,17,7,22,8,4,13,37,50,86,2160,1905,4068,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,5,4,10,0,0,0,0,0,0,0,0,0,0,8,8,0,0,0,0,6,10,26,14,31,30,22,53,0,0,0,0,4,4,0,0,0,5,4,8,222,319,538,213,402,615,32,19,48,2653,2676,5327
