SA2_CODE_2021,P_Y8b_15_19_yrs,P_Y8b_20_24_yrs,P_Y8b_25_34_yrs,P_Y8b_35_44_yrs,P_Y8b_45_54_yrs,P_Y8b_55_64_yrs,P_Y8b_65_74_yrs,P_Y8b_75_84_yrs,P_Y8b_85ov,P_Y8b_Tot,P_DNGTS_15_19,P_DNGTS_20_24,P_DNGTS_25_34,P_DNGTS_35_44,P_DNGTS_45_54,P_DNGTS_55_64,P_DNGTS_65_74,P_DNGTS_75_84,P_DNGTS_85_ov,P_DNGTS_Tot,P_Hghst_yr_schl_ns_15_19_yrs,P_Hghst_yr_schl_ns_20_24_yrs,P_Hghst_yr_schl_ns_25_34_yrs,P_Hghst_yr_schl_ns_35_44_yrs,P_Hghst_yr_schl_ns_45_54_yrs,P_Hghst_yr_schl_ns_55_64_yrs,P_Hghst_yr_schl_ns_65_74_yrs,P_Hghst_yr_schl_ns_75_84_yrs,P_Hghst_yr_schl_ns_85_yrs_ovr,P_Hghst_yr_schl_ns_Tot,P_Tot_15_19_yrs,P_Tot_20_24_yrs,P_Tot_25_34_yrs,P_Tot_35_44_yrs,P_Tot_45_54_yrs,P_Tot_55_64_yrs,P_Tot_65_74_yrs,P_Tot_75_84_yrs,P_Tot_85ov,P_Tot_Tot
201011001,3,11,16,21,17,29,77,95,50,323,0,0,9,6,12,0,9,4,5,45,33,35,80,65,60,66,45,44,27,470,523,1057,2089,2457,2124,1583,1312,694,172,12013
201011002,0,4,10,9,15,29,64,83,76,286,0,3,0,0,5,0,3,6,0,22,22,43,62,65,82,81,88,107,71,631,236,719,1323,1340,1660,1649,1495,937,394,9755
201011005,0,0,0,3,4,10,42,46,9,117,0,0,0,0,0,0,3,3,0,14,37,36,30,34,30,22,50,21,11,270,218,398,571,870,1044,991,897,352,85,5427
201011006,3,11,20,20,27,37,91,96,68,370,0,4,10,3,13,10,5,0,0,39,27,36,87,73,43,46,45,53,34,446,242,825,1975,1287,1122,1021,876,470,232,8044
201011007,0,0,5,0,8,12,42,25,8,101,0,0,0,3,0,0,0,0,0,8,6,9,6,10,14,17,22,10,3,96,124,210,340,515,685,633,433,148,27,3121
201011008,25,23,50,40,47,104,183,207,151,820,0,3,13,7,11,11,11,3,7,64,55,52,143,111,135,123,140,124,101,977,378,916,2229,1746,1774,1737,1602,1041,516,11939
201011481,5,7,16,21,28,44,96,101,94,414,0,0,9,3,5,5,4,0,3,38,23,37,74,65,72,54,74,89,94,587,213,611,1426,1183,1081,1238,1114,686,390,7941
201011482,7,6,10,13,20,33,79,118,98,385,0,0,7,0,7,0,5,8,3,30,31,30,74,72,67,89,95,65,47,560,299,750,1825,1921,1905,1929,1625,846,367,11471
201011483,5,10,15,18,22,38,87,118,61,383,0,4,3,3,10,11,7,9,3,48,44,52,135,56,60,54,71,104,71,657,291,906,1947,1560,1435,1285,1242,689,320,9663
201011484,7,20,34,39,53,69,180,212,130,745,0,3,3,4,9,6,8,7,6,55,56,77,134,111,125,112,146,128,60,948,344,944,2022,1522,1407,1578,1504,914,373,10610
201021009,9,0,9,18,12,35,46,70,27,213,0,0,0,0,3,0,3,0,0,12,23,16,46,53,67,59,84,46,21,422,156,276,648,895,957,967,736,370,118,5127
201021010,7,3,17,12,25,45,69,115,56,353,0,0,0,0,0,5,7,3,0,20,20,21,31,63,92,102,104,87,40,572,151,273,657,856,1127,1328,1262,633,236,6524
201021011,3,0,5,11,15,27,62,84,44,254,0,0,0,0,0,0,6,3,6,17,22,23,75,83,101,137,159,107,73,778,143,248,762,1036,1501,1863,1816,771,258,8399
201021012,6,4,0,10,14,21,60,45,24,186,0,0,0,0,0,0,4,4,6,13,27,12,45,63,84,66,65,37,7,413,186,247,545,803,1010,994,754,299,73,4910
201031013,0,0,4,14,15,27,53,57,37,218,0,0,0,0,0,4,4,0,0,6,16,13,13,36,55,44,91,45,7,322,75,115,258,299,513,569,685,307,101,2916
201031014,0,3,7,6,10,33,62,58,15,193,0,0,0,0,0,3,0,4,0,12,26,16,42,58,70,60,67,61,26,425,110,197,404,531,685,739,739,338,101,3842
201031015,0,4,11,5,6,28,37,38,11,148,3,0,0,0,3,0,0,0,0,8,33,19,39,38,72,51,63,31,3,346,122,239,485,573,752,692,637,259,40,3799
201031016,4,4,23,28,43,70,137,190,138,630,0,0,3,3,10,9,6,5,3,38,26,22,55,49,70,71,109,131,46,572,177,356,809,658,944,1109,1296,960,395,6708
201031017,0,5,9,11,29,35,92,99,28,320,0,0,0,4,0,5,6,4,0,16,30,13,33,49,86,114,94,77,20,519,131,202,395,471,751,1036,994,494,118,4590
202011018,9,14,53,56,54,85,172,152,110,688,0,9,22,21,31,29,20,8,6,142,47,82,176,132,145,147,139,179,165,1194,344,1144,2341,1659,1825,1869,1644,908,484,12212
202011019,12,9,32,47,48,103,180,180,94,708,0,3,16,24,33,31,19,11,3,146,47,35,115,91,98,92,103,83,51,720,366,857,1952,1425,1437,1577,1443,746,296,10100
202011020,7,4,23,22,23,50,82,149,141,500,0,7,12,8,14,6,11,0,6,63,51,41,95,82,97,99,93,90,94,738,338,919,1699,1484,1660,1783,1758,1129,619,11399
202011021,7,7,18,12,8,24,58,71,77,284,0,0,4,7,8,3,3,0,0,24,18,34,64,56,48,56,42,47,31,392,280,832,1254,1136,1125,1154,899,497,254,7432
202011022,18,14,52,67,76,100,233,337,208,1107,4,9,26,34,26,21,18,14,4,155,53,71,198,133,149,143,194,227,236,1396,440,1127,2940,2494,2269,2490,2479,1790,840,16868
202011023,0,3,5,4,9,12,46,36,9,108,0,0,5,0,0,0,3,0,0,8,7,10,22,27,13,31,26,8,0,131,110,285,503,834,788,639,521,175,29,3895
202011024,4,0,3,6,13,19,57,56,22,188,0,0,3,0,7,3,5,0,0,17,17,14,27,52,48,51,43,53,12,326,270,459,984,1536,1479,1151,1110,532,125,7648
202011025,7,5,35,37,41,45,116,126,48,463,0,3,19,18,23,19,14,3,0,97,45,37,105,98,77,69,55,55,21,566,339,849,2288,1994,1557,1540,1240,577,156,10545
202021026,0,0,10,4,16,33,50,59,11,190,0,0,4,0,3,0,10,0,0,16,25,20,41,66,57,76,56,26,8,379,219,393,834,1062,1162,1281,910,330,59,6246
202021027,3,0,12,21,24,37,82,94,56,329,0,0,0,0,3,5,4,0,3,17,32,23,76,82,115,89,149,156,194,909,175,333,1057,1365,1533,1631,1779,1059,472,9413
202021028,0,3,5,0,23,37,72,90,38,266,0,0,0,4,0,4,4,5,0,20,35,18,71,70,82,120,124,75,22,622,161,287,702,910,1323,1756,1616,731,178,7666
202021029,3,0,6,5,16,39,89,98,48,310,0,0,0,0,4,4,0,8,3,18,26,13,54,58,87,98,95,76,28,538,103,156,420,471,685,892,864,495,149,4239
202021030,4,5,10,7,18,47,72,109,72,344,0,0,5,9,3,3,3,8,0,31,31,43,85,60,112,104,108,80,46,665,214,409,931,1293,1607,1474,1415,769,311,8418
202021031,0,0,4,6,4,12,37,63,35,164,0,0,0,3,6,4,7,3,0,25,26,14,25,46,50,55,59,50,18,346,156,259,521,1003,1291,1089,1033,535,164,6051
202031032,3,0,10,12,13,39,52,49,27,198,0,0,0,0,0,4,0,0,0,13,17,20,43,59,77,96,74,54,16,453,121,214,440,560,685,866,659,294,76,3900
202031033,5,4,10,11,26,52,109,130,78,418,0,0,0,0,0,4,0,3,0,11,35,40,47,78,110,150,152,102,82,799,134,247,590,656,911,1294,1232,611,297,5969
203011034,0,3,8,9,12,23,30,50,20,165,0,0,4,3,7,0,5,8,0,29,18,14,22,61,31,26,39,53,54,327,187,346,888,1145,1073,741,660,326,127,5486
203011035,5,0,10,15,14,37,45,41,15,194,0,0,0,0,0,0,0,0,0,4,24,20,48,55,84,68,63,39,5,420,215,335,829,1117,1180,1172,836,277,65,6031
203011036,0,0,3,10,9,18,38,44,26,150,0,0,0,0,0,0,4,0,0,10,31,17,42,63,48,64,58,55,39,427,169,282,660,869,900,983,796,342,113,5115
203021037,3,6,10,19,31,33,87,145,117,456,0,0,5,12,14,8,8,7,7,63,31,51,107,82,71,87,70,105,96,696,264,1081,2618,1954,1682,1544,1410,896,526,11981
203021039,10,7,12,20,27,49,90,143,79,429,0,3,4,14,9,13,17,16,5,82,21,71,147,96,97,120,98,83,33,768,321,1095,2374,1646,1647,1846,1507,732,277,11443
203021040,9,12,22,28,37,58,129,188,130,607,4,0,14,7,14,9,21,19,19,110,39,65,131,108,82,76,96,88,74,760,360,1345,3576,3153,2635,2422,1779,966,484,16720
203021042,5,3,10,4,17,31,73,136,106,389,0,3,3,14,4,11,8,5,4,59,55,123,161,78,65,71,119,91,35,787,783,1980,2782,3031,3070,2771,2312,1437,467,18628
203021043,11,5,23,33,44,75,178,149,88,613,0,0,5,10,13,9,10,11,5,75,43,63,173,162,136,95,94,79,43,884,494,1136,3163,3093,2809,2289,1894,874,315,16061
203021044,7,4,6,9,18,47,122,156,61,426,0,0,0,0,6,7,3,0,3,28,22,18,47,44,57,43,85,80,27,424,303,698,1630,1630,1671,1644,1518,988,320,10396
203021045,14,12,40,31,59,101,221,299,168,934,0,0,14,15,20,15,11,14,7,94,44,64,150,147,118,131,155,148,86,1044,376,955,2159,1603,1872,1988,1977,1341,561,12834
203021046,0,3,8,11,8,19,28,47,22,144,0,0,0,4,3,0,3,4,9,25,15,26,49,53,49,52,46,29,32,345,174,620,1146,1349,1467,1351,1058,580,201,7933
203021047,6,6,26,47,51,90,292,406,252,1179,0,4,19,10,15,24,31,56,38,200,37,52,125,98,111,73,122,154,112,881,326,930,2290,1839,1939,1767,1909,1285,601,12886
203021485,9,3,10,13,10,19,33,75,64,237,0,0,6,0,3,4,3,0,3,29,12,45,71,62,32,28,29,60,79,432,188,870,2448,1569,770,682,566,475,346,7930
203021486,23,39,93,108,127,169,249,230,86,1119,5,11,53,100,99,67,47,40,8,431,102,94,231,190,172,164,150,112,46,1273,553,1331,2718,2072,2301,2272,1635,847,247,13973
203021487,8,3,18,20,37,59,130,178,180,641,0,6,20,12,13,13,8,7,5,88,56,99,151,92,113,88,122,120,117,952,644,1959,3873,3276,2872,2438,2254,1376,756,19451
203021488,11,11,39,56,70,112,201,150,102,751,3,0,32,35,20,34,26,25,15,193,56,70,194,142,147,120,101,92,37,956,258,652,1548,1064,1105,1096,905,514,235,7381
203031048,10,5,13,23,22,53,133,168,98,523,0,3,3,7,5,8,5,6,3,34,23,22,59,56,41,73,120,103,58,554,350,741,1763,1951,1956,2312,2473,1334,431,13305
203031049,0,3,3,3,3,4,17,17,25,79,0,0,5,0,0,0,0,0,0,6,15,7,40,41,53,69,110,30,25,389,80,217,538,574,745,1147,1218,570,199,5290
203031051,4,4,7,7,17,55,126,152,66,433,0,0,0,0,5,0,8,15,3,43,16,16,30,55,80,134,175,166,94,769,121,289,627,751,1108,1762,2250,1133,314,8346
203031052,0,0,0,0,0,3,17,35,36,96,0,0,0,0,0,0,0,0,0,9,9,7,17,29,20,58,99,78,21,338,77,158,281,420,546,896,1290,776,297,4748
203031053,6,0,12,7,12,23,44,94,79,269,0,4,6,0,9,0,0,3,0,30,54,44,106,156,139,120,155,120,109,1009,421,1046,2438,3910,3495,2771,2586,1178,421,18264
203031489,5,0,8,3,10,10,26,24,15,104,0,0,0,4,0,3,0,0,0,13,23,32,57,61,77,69,68,35,23,448,208,626,1671,1680,1338,1096,1101,447,124,8294
203031490,4,3,13,11,3,26,70,89,76,298,5,0,3,4,3,4,4,4,0,32,36,41,66,106,94,127,168,126,131,894,375,762,1685,2567,2532,2577,2664,1215,513,14890
204011054,0,4,6,13,12,31,76,91,44,272,0,0,4,3,0,4,7,3,0,25,20,21,38,49,62,77,95,63,38,468,104,229,553,640,864,1203,1272,661,220,5746
204011055,3,0,4,8,9,40,90,96,69,324,0,0,0,0,4,5,5,0,6,17,28,34,56,62,89,131,144,92,52,694,125,233,526,649,779,1182,1322,682,296,5790
204011056,7,9,19,33,35,74,155,201,94,624,0,0,3,5,8,8,12,15,3,47,72,44,105,124,127,133,99,91,48,837,388,837,1914,1819,2127,1971,1638,979,354,12031
204011057,11,5,18,3,12,34,69,100,51,306,0,0,7,0,9,8,3,0,4,35,44,62,119,119,111,161,153,82,33,889,219,375,989,1156,1253,1731,1659,767,239,8383
204011058,5,3,6,7,8,30,65,56,34,213,4,0,4,7,3,4,4,0,6,27,17,12,22,35,43,71,58,51,41,345,97,174,389,488,549,769,766,383,140,3750
204011059,8,7,19,18,23,62,107,109,62,407,0,0,3,6,0,3,4,3,0,26,27,36,82,65,72,90,79,72,55,577,152,450,791,666,809,949,888,474,217,5389
204011060,4,0,0,8,10,18,26,21,8,100,7,0,3,0,0,0,4,0,0,13,33,25,43,32,45,53,42,32,8,318,192,344,559,543,637,655,484,214,53,3680
204011061,0,0,0,0,0,3,0,6,0,9,0,0,0,0,0,0,0,0,0,0,0,4,5,3,11,6,6,0,0,37,6,5,19,27,45,41,17,10,0,180
204011062,4,0,7,5,13,16,25,47,25,129,0,0,0,0,0,0,0,0,0,6,24,23,32,50,73,101,86,61,10,460,82,168,288,398,566,783,715,399,101,3507
204021063,4,5,18,15,30,50,140,184,149,605,0,0,5,3,4,8,6,8,5,37,49,47,100,93,107,129,128,153,96,897,231,485,1114,986,1212,1602,1673,1148,519,8985
204021064,0,0,3,6,5,16,35,31,9,110,0,0,0,0,0,0,0,0,0,0,13,4,28,33,54,63,62,32,3,305,82,124,281,369,520,766,682,242,42,3100
204021065,0,0,3,6,8,14,32,53,33,150,0,0,0,0,0,4,0,0,0,11,9,6,23,22,36,38,40,36,14,218,79,154,386,417,536,614,627,321,115,3244
204021066,12,9,27,37,55,84,190,309,197,925,0,0,5,12,13,13,12,16,9,86,60,57,136,111,139,139,195,224,154,1206,477,980,2275,2229,2383,2478,2399,1714,798,15735
204021067,0,0,4,14,19,37,73,91,43,286,0,0,0,0,0,0,3,0,0,13,36,26,45,93,90,104,105,63,17,581,241,316,766,1075,1471,1653,1456,664,156,7798
204031068,0,0,5,12,6,15,36,41,29,141,4,0,0,0,0,5,3,3,0,15,19,14,19,43,42,45,42,36,16,278,90,140,367,596,711,792,806,382,127,4014
204031069,0,0,4,8,7,12,50,80,52,223,0,0,0,0,0,3,6,3,0,24,40,55,91,68,107,129,105,87,46,730,152,398,890,1041,1217,1386,1288,668,207,7258
204031070,0,0,6,0,5,10,28,37,17,100,0,0,0,0,0,7,0,3,0,8,9,8,22,28,30,43,29,27,7,204,91,117,293,323,483,552,416,212,45,2535
204031071,0,0,7,7,7,29,52,84,63,247,0,0,0,0,0,0,6,9,4,22,10,23,17,26,26,53,53,51,31,302,75,217,417,474,596,789,697,409,190,3872
204031072,0,0,7,11,3,36,66,85,50,266,0,0,0,0,0,5,0,4,0,11,21,19,36,54,66,77,106,72,49,505,115,196,482,620,761,1107,1024,533,217,5060
204031073,12,4,19,31,34,64,132,148,94,524,4,4,6,4,15,8,15,4,4,71,57,55,105,114,105,76,107,85,77,768,417,880,1874,1846,1974,1965,1702,807,300,11762
204031075,0,0,3,3,6,12,33,44,25,130,0,0,0,0,0,0,3,0,0,4,17,15,29,36,44,52,45,37,8,293,106,190,421,611,736,845,629,311,109,3957
204031491,4,7,16,14,14,16,47,60,77,250,0,0,6,7,14,9,12,4,3,52,25,47,70,49,35,34,48,30,33,368,427,833,1930,1785,1428,1165,1028,455,213,9258
204031492,12,15,25,34,47,86,140,168,101,625,0,0,14,16,21,13,18,7,4,95,61,46,133,125,93,115,142,126,49,885,394,846,2040,1806,1791,1901,1765,1076,335,11958
205011076,20,8,40,30,38,82,186,247,157,803,0,3,13,10,13,15,12,10,0,75,45,45,147,142,136,154,153,130,43,1002,422,1001,2694,2271,2218,2452,2305,1318,430,15103
205011077,7,4,8,12,17,18,59,79,41,229,0,0,0,0,0,0,0,0,0,6,31,19,38,61,57,90,77,59,24,453,169,290,571,688,876,1136,954,453,116,5248
205011078,0,3,6,18,13,38,65,90,46,289,0,0,6,0,5,0,5,0,6,18,25,17,50,57,58,67,89,67,53,473,182,397,906,969,1015,1146,1170,547,194,6523
205011079,11,12,27,34,54,84,153,276,181,832,0,5,17,6,16,15,9,9,9,80,56,55,178,156,166,138,156,163,75,1146,488,1215,2986,2659,2827,2866,2647,1634,605,17928
205021080,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
205021081,10,14,32,24,40,88,165,255,111,743,0,5,4,4,4,7,7,8,3,48,50,59,122,124,129,158,168,180,154,1151,378,795,1808,1574,1787,2010,2116,1477,567,12516
205021082,3,3,14,13,28,31,76,106,37,319,0,0,3,0,3,0,0,6,3,18,32,27,70,79,92,121,121,63,27,637,186,303,816,862,1093,1421,1264,576,136,6663
205021083,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
205021084,3,8,15,24,11,51,137,148,86,489,0,0,0,5,0,7,5,9,0,22,49,37,90,109,124,151,201,134,57,955,235,342,828,1013,1220,1792,2344,1206,332,9317
205021085,0,3,9,11,18,55,92,109,49,344,4,0,5,4,6,3,9,7,4,27,18,32,65,68,101,150,144,105,46,745,119,202,519,599,798,1309,1240,647,199,5622
205021086,6,4,4,5,9,18,69,87,50,258,0,0,0,0,0,3,9,3,0,19,6,4,11,32,32,76,88,89,27,362,125,177,420,446,730,1240,1733,966,283,6118
205031087,0,0,3,8,17,39,114,126,58,371,3,3,0,0,0,0,0,9,3,15,29,32,61,90,95,128,152,108,43,729,168,314,662,880,1157,1664,1831,871,270,7820
205031088,0,0,0,0,0,0,4,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,4,6,0,13,4,0,5,24,22,21,30,13,4,119
205031089,6,3,14,21,24,47,85,114,90,399,0,0,0,0,8,3,6,10,3,25,35,20,64,76,79,129,84,81,26,599,232,398,1027,1023,1342,1548,1338,634,239,7789
205031090,3,3,18,8,10,43,111,149,103,450,0,3,0,0,0,13,3,13,3,41,33,23,67,83,77,106,118,99,46,642,238,417,973,1240,1432,1670,1678,951,347,8953
205031091,3,4,7,14,23,51,112,123,76,413,0,0,0,0,5,6,10,8,3,29,36,37,103,124,125,198,227,152,85,1092,221,432,1157,1448,1644,2385,2477,1174,396,11330
205031092,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,3,0,0,0,0,0,0,12
205031093,15,14,33,39,60,138,274,341,209,1123,0,3,6,13,16,16,14,32,23,127,74,52,155,197,215,264,376,289,152,1770,507,986,2388,2779,3149,4251,4677,2464,822,22015
205041094,9,6,21,21,39,70,107,118,37,418,0,7,3,8,3,3,5,0,0,30,67,77,99,114,99,117,107,58,25,762,308,667,1319,1375,1475,1902,1527,659,126,9348
205041095,18,5,55,53,77,129,262,289,190,1076,0,4,12,11,16,17,25,23,9,118,64,81,163,158,182,206,235,175,102,1359,451,919,2135,1820,2066,2395,2319,1328,563,14007
205041096,10,12,54,57,68,134,243,234,136,944,0,0,20,24,19,23,21,26,20,151,85,109,226,227,213,209,201,165,168,1610,400,865,1775,1504,1766,1968,1756,1055,475,11561
205041098,5,6,9,5,15,27,43,38,19,158,0,0,4,0,0,0,0,0,0,5,15,9,42,38,45,48,64,26,3,288,125,252,568,564,624,740,566,185,40,3659
205041493,13,7,26,27,29,56,123,169,128,592,0,4,5,5,10,4,5,5,8,46,50,45,124,98,92,106,100,118,107,844,316,708,1636,1358,1433,1561,1297,831,393,9524
205041494,14,3,21,20,33,76,140,195,99,609,0,3,12,3,9,8,11,11,3,57,31,44,110,111,94,119,122,136,87,854,390,862,2344,2221,1932,2055,1853,992,353,13008
205051099,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,3,9,8,0,0,23
205051100,7,0,0,11,16,39,66,48,19,204,0,0,0,0,0,0,7,3,0,12,10,14,15,29,56,71,93,43,7,338,118,236,356,453,695,960,916,324,54,4111
205051101,6,7,23,26,36,84,142,189,74,588,0,5,0,8,0,3,3,0,5,26,77,52,129,133,142,161,177,130,50,1058,371,688,1640,1640,1661,2145,2090,983,301,11525
205051102,0,0,4,7,16,28,36,38,15,156,0,0,0,0,0,3,0,0,0,7,13,29,133,129,66,66,81,33,13,571,105,234,832,805,610,619,555,220,50,4021
205051103,12,11,15,32,41,71,143,201,109,629,0,0,7,11,14,17,8,5,6,63,54,55,130,126,132,103,131,113,111,951,364,808,1869,1781,1900,1899,1800,1098,465,11979
205051104,3,0,10,7,16,39,87,81,58,297,0,0,0,0,7,5,0,4,0,26,23,26,45,68,51,74,97,56,31,464,110,203,461,518,692,1022,1025,475,166,4677
206011106,0,0,3,5,8,19,54,146,94,333,0,0,0,6,4,13,29,39,20,106,13,33,168,103,57,48,34,32,12,501,121,1028,4230,2507,1349,905,586,367,168,11266
206011107,6,0,5,11,17,40,92,192,109,476,0,4,14,8,13,20,37,51,30,168,9,38,138,93,39,47,56,51,33,502,212,1206,3608,2425,1691,1292,913,564,283,12185
206011109,0,0,5,6,10,26,92,202,135,484,0,0,7,0,4,10,14,41,17,91,15,12,51,40,39,39,27,32,35,286,225,613,1341,1563,1564,1251,736,459,326,8076
206011495,0,0,0,5,14,40,101,233,128,526,0,0,8,9,9,17,49,62,32,182,8,25,125,65,39,22,37,30,20,372,142,1229,3566,2283,1470,1088,747,522,222,11275
206011496,0,0,8,11,13,33,64,125,102,348,0,4,11,3,6,18,23,38,36,139,15,48,155,73,47,46,50,44,20,501,145,1179,4054,2372,1417,1053,700,418,228,11562
206011497,0,0,3,14,21,54,131,254,148,628,0,0,3,11,15,28,52,65,50,235,16,28,122,83,61,61,60,55,25,510,192,920,2664,2175,1610,1252,888,578,284,10569
206011498,8,0,4,10,22,68,195,303,185,790,4,7,11,6,26,29,60,86,46,271,13,42,83,48,56,40,60,34,30,403,219,883,2381,2226,2056,1413,1013,639,346,11168
206021110,0,0,4,3,3,20,58,112,88,297,0,0,0,3,4,6,12,23,19,75,6,16,56,43,39,49,30,30,6,270,138,566,1548,1383,1294,1109,702,351,162,7255
206021112,3,3,13,8,31,59,190,333,196,835,0,4,10,18,14,29,46,95,57,263,25,43,126,95,85,60,68,112,146,753,284,1033,3825,3334,2675,1852,1229,847,497,15574
206021499,0,0,4,3,20,34,119,256,121,546,0,0,3,7,5,12,46,86,77,235,12,24,80,95,61,60,69,54,32,487,206,815,2883,2339,2256,1652,1062,706,321,12240
206021500,0,0,4,3,7,21,57,145,93,325,0,3,4,3,0,3,15,30,31,89,14,26,88,68,52,43,25,23,12,355,133,507,2308,1719,1579,980,624,407,203,8465
206031113,0,6,24,25,34,43,81,148,91,464,0,4,28,13,21,22,20,40,39,188,22,47,181,125,120,96,53,50,16,712,246,935,2650,2505,2147,1700,1115,559,228,12074
206031115,6,3,20,23,28,62,72,59,36,309,0,0,26,20,42,42,40,35,15,222,28,55,176,118,83,64,63,23,20,632,157,743,2391,1492,1048,814,653,273,123,7702
