SA2_CODE_2021,I_4000more_1AW_OthNW,I_4000more_BNW,I_4000more_LFsta_NS,I_4000more_Tot,Part_inc_stated_BE_WFT,Part_inc_stated_BE_WPT,Part_inc_stated_BE_BAW,Part_inc_stated_1EFT_OthPT,Part_inc_stated_1EFT_OthAW,Part_inc_stated_1EFT_OthNW,Part_inc_stated_1EPT_OthAW,Part_inc_stated_1EPT_OthNW,Part_inc_stated_1AW_OthNW,Part_inc_stated_BNW,Part_inc_stated_LFsta_NS,Part_inc_stated_Tot,All_inc_NS_BE_WFT,All_inc_NS_BE_WPT,All_inc_NS_BE_BAW,All_inc_NS_1EFT_OthPT,All_inc_NS_1EFT_OthAW,All_inc_NS_1EFT_OthNW,All_inc_NS_1EPT_OthAW,All_inc_NS_1EPT_OthNW,All_inc_NS_1AW_OthNW,All_inc_NS_BNW,All_inc_NS_LFsta_NS,All_inc_NS_Tot,Tot_BE_WFT,Tot_BE_WPT,Tot_BE_BAW,Tot_1EFT_OthPT,Tot_1EFT_OthAW,Tot_1EFT_OthNW,Tot_1EPT_OthAW,Tot_1EPT_OthNW,Tot_1AW_OthNW,Tot_BNW,Tot_LFsta_NS,Tot_Tot
201011001,0,11,0,413,41,4,0,29,0,8,0,3,0,3,69,163,0,0,0,0,0,0,0,0,0,0,4,10,563,130,20,846,103,303,26,87,18,90,80,2259
201011002,3,0,0,395,10,0,0,20,0,9,0,0,0,8,37,86,0,0,0,0,0,0,0,0,0,0,0,0,291,47,4,412,57,160,14,56,10,51,40,1147
201011005,0,5,0,217,11,0,0,12,0,7,0,0,0,0,23,59,0,0,0,0,0,0,0,0,0,0,0,3,246,41,4,344,43,119,14,32,4,46,26,925
201011006,0,4,0,100,5,4,0,18,0,3,0,0,0,0,36,74,0,0,0,0,0,0,0,0,0,0,3,11,212,64,16,414,69,185,23,76,14,76,46,1201
201011007,0,3,0,109,13,6,0,18,0,0,0,0,0,5,24,67,0,0,0,0,0,0,0,0,0,4,0,0,167,30,3,244,24,75,10,22,7,44,21,645
201011008,0,0,0,125,12,4,0,14,0,17,0,4,0,5,35,93,0,0,0,0,0,0,0,0,0,4,11,14,231,68,15,456,68,214,24,75,19,130,51,1348
201011481,0,0,0,99,12,7,0,4,0,5,0,0,0,6,28,60,0,0,0,0,0,0,0,0,0,0,0,5,159,36,7,244,41,133,8,56,14,74,31,802
201011482,3,0,0,409,23,0,0,25,10,10,0,0,0,3,42,112,0,0,0,0,0,0,0,0,0,0,4,12,379,91,10,696,114,217,24,67,16,77,45,1734
201011483,0,0,0,144,14,4,3,8,0,0,4,3,0,3,48,87,7,0,0,0,0,0,0,0,0,0,5,12,242,57,6,402,57,163,20,51,16,85,53,1147
201011484,0,0,0,51,4,0,0,6,3,6,3,4,0,3,28,67,0,0,0,0,0,0,0,0,0,0,8,16,143,57,7,280,40,175,18,75,17,116,43,964
201021009,0,4,0,142,11,3,0,12,0,5,0,0,0,0,21,62,0,0,3,0,0,0,0,0,0,0,0,9,179,24,9,264,56,119,17,27,11,49,20,780
201021010,0,0,0,99,8,3,0,7,0,15,0,4,0,8,22,67,3,0,0,0,0,0,0,3,0,0,0,14,154,44,12,254,32,119,20,42,15,58,23,779
201021011,0,0,0,115,3,0,0,12,6,6,3,3,6,3,31,80,0,0,0,0,0,0,0,0,0,0,0,3,127,89,13,254,40,107,20,58,9,60,37,816
201021012,0,0,0,126,9,0,0,16,3,4,0,0,0,3,22,69,0,0,0,0,0,0,0,0,0,0,8,8,170,39,6,282,45,112,15,30,21,51,30,793
201031013,0,0,0,17,4,0,0,0,0,5,5,0,0,0,15,33,0,0,0,0,0,0,0,0,0,0,4,5,46,11,6,89,8,44,5,6,4,33,19,282
201031014,0,0,0,45,9,0,0,9,0,0,0,0,3,0,21,49,0,0,0,0,0,0,0,0,0,0,0,8,102,18,4,124,20,34,10,24,14,35,20,403
201031015,0,0,0,53,8,3,0,14,0,5,0,3,0,4,21,55,0,0,0,0,0,0,0,0,0,4,5,5,99,26,6,190,28,99,7,26,8,49,23,564
201031016,0,0,0,41,3,8,0,4,0,0,0,7,0,9,20,53,0,0,0,0,0,0,0,0,0,0,3,4,107,49,9,162,23,79,13,36,14,69,33,593
201031017,0,5,0,19,9,0,0,6,0,6,0,5,0,5,19,56,0,0,0,0,0,0,0,0,0,0,0,4,63,20,5,138,24,62,13,41,9,73,27,469
202011018,0,3,0,168,10,0,0,10,0,11,0,4,0,7,41,91,0,0,0,0,0,0,0,0,0,0,0,8,215,68,12,350,39,188,20,69,25,124,52,1150
202011019,0,4,0,66,10,0,3,17,4,3,0,5,0,8,39,89,0,0,4,0,0,0,0,0,0,7,9,12,207,59,20,380,72,204,19,84,18,117,50,1215
202011020,0,0,0,288,13,11,0,14,4,3,0,3,3,5,24,79,0,0,0,0,0,0,0,0,0,0,5,3,290,91,8,422,59,179,26,55,24,92,32,1282
202011021,0,3,0,160,8,0,0,6,0,0,0,0,0,0,25,50,0,0,0,0,0,0,0,0,0,0,4,10,209,56,7,324,46,99,12,51,5,47,31,884
202011022,0,0,0,168,17,0,6,15,0,17,5,9,0,8,68,138,0,0,0,0,0,0,0,0,0,0,7,12,356,99,25,639,87,316,34,102,25,168,80,1916
202011023,0,0,0,148,6,0,0,16,3,8,0,3,0,0,17,56,0,0,0,0,0,0,0,0,0,0,0,7,215,36,13,363,45,96,17,25,4,48,21,873
202011024,4,0,3,362,14,0,0,28,0,4,0,4,4,3,38,107,0,0,0,5,0,0,0,0,0,0,0,9,383,90,16,664,81,170,26,47,16,52,47,1589
202011025,3,0,0,164,16,3,0,16,0,5,0,3,0,4,65,116,0,0,3,0,0,0,0,0,0,0,3,8,373,85,16,588,100,280,32,95,30,93,74,1756
202021026,0,0,0,197,21,4,0,23,3,0,5,0,0,3,43,107,4,0,4,4,0,0,0,0,0,0,0,13,285,65,20,432,74,117,23,40,22,55,48,1165
202021027,4,0,0,116,15,6,0,7,5,3,0,3,0,7,28,83,0,0,0,0,0,0,0,0,0,0,3,6,143,122,10,324,39,109,28,68,16,49,35,937
202021028,0,0,0,115,9,3,0,15,0,12,0,4,0,6,31,86,6,0,3,0,0,0,0,0,0,0,0,6,145,74,14,297,48,102,31,65,21,65,34,884
202021029,0,0,0,29,3,0,0,8,0,4,5,0,0,0,16,40,0,0,0,0,0,0,0,0,0,0,3,9,80,28,3,132,22,55,6,18,13,48,24,421
202021030,0,4,0,227,21,3,3,23,6,3,4,5,3,0,28,100,0,0,3,0,0,0,0,0,0,0,0,10,260,91,20,399,55,172,32,46,19,57,31,1179
202021031,3,0,0,370,15,4,0,12,0,4,0,3,3,3,27,73,0,0,0,0,0,0,0,0,0,0,0,3,223,69,8,367,56,145,16,44,10,42,33,1023
202031032,0,0,0,57,5,0,3,6,0,3,0,0,4,4,23,55,0,0,0,0,0,0,0,0,0,0,0,6,107,25,20,190,32,74,10,24,9,54,23,571
202031033,0,0,3,40,15,3,3,11,0,3,3,0,0,7,14,71,0,0,0,5,4,0,0,0,0,6,7,15,123,29,16,214,30,76,6,22,9,72,29,628
203011034,0,4,0,217,16,0,0,18,4,4,3,3,0,0,37,90,3,0,5,0,0,0,0,0,0,0,3,9,259,52,13,469,74,140,30,41,7,49,44,1177
203011035,0,0,0,152,16,0,0,20,0,6,3,4,0,4,37,97,4,0,0,0,0,0,0,0,0,3,7,23,226,48,13,417,71,191,25,36,10,59,51,1153
203011036,0,3,0,170,12,5,0,11,0,12,6,4,0,6,29,83,0,0,0,0,0,0,0,0,0,4,0,8,166,59,10,299,62,105,19,36,11,41,31,848
203021037,0,6,0,275,12,3,0,11,3,7,4,3,0,6,32,89,0,0,3,0,0,0,0,0,0,0,3,12,262,91,23,578,94,245,23,75,23,89,39,1541
203021039,0,0,0,303,18,4,0,16,0,12,0,0,0,9,22,80,0,0,0,0,0,0,0,0,0,0,0,7,241,63,11,435,63,174,28,49,12,74,24,1169
203021040,0,0,0,642,23,3,0,21,3,6,5,0,3,12,60,145,0,0,3,0,0,0,0,0,0,0,4,9,499,109,24,973,163,314,40,93,20,109,69,2415
203021042,0,6,0,1001,35,5,0,37,10,19,0,7,0,11,57,188,3,0,0,5,0,0,0,0,0,0,11,23,786,155,18,1211,153,398,43,125,22,143,71,3124
203021043,5,4,0,481,31,4,0,23,3,11,0,4,3,19,69,169,0,0,4,4,0,3,0,0,0,4,7,17,634,85,30,914,131,424,53,101,38,146,75,2636
203021044,0,5,0,209,22,0,0,24,0,12,0,0,0,8,39,113,0,0,0,3,0,0,0,0,0,0,0,4,308,91,11,635,92,217,25,62,16,92,46,1592
203021045,0,0,0,134,11,5,0,13,0,9,0,6,0,11,38,90,0,0,0,0,0,0,0,0,0,0,3,12,243,72,9,382,51,183,20,85,16,162,39,1257
203021046,6,6,0,583,15,4,0,28,3,12,0,4,3,8,26,95,0,0,0,4,0,0,0,0,0,0,4,8,296,66,4,527,50,181,14,58,12,52,34,1300
203021047,0,3,0,273,18,0,5,15,4,4,5,8,0,14,39,102,6,0,0,0,0,0,0,0,0,3,6,20,310,82,24,494,83,245,25,107,21,184,48,1620
203021485,0,0,0,124,0,0,4,4,0,3,0,0,3,0,29,46,0,0,0,0,0,0,0,0,0,0,9,7,212,90,19,464,86,189,32,39,12,41,33,1215
203021486,0,13,0,132,18,0,0,14,0,14,0,5,4,18,59,135,0,0,0,0,0,0,0,0,3,0,10,22,256,79,21,396,53,354,27,169,36,326,75,1782
203021487,5,3,0,442,22,11,3,26,4,17,0,6,3,9,77,177,0,0,0,0,0,0,0,0,4,0,4,7,582,154,37,1123,174,429,53,135,39,162,82,2956
203021488,0,3,0,15,0,3,0,0,0,5,0,0,0,5,26,48,0,0,0,0,0,0,0,0,0,4,5,7,56,33,7,97,25,110,6,55,10,146,30,581
