SA2_CODE_2021,CF_C_BPBO_DC_0_4,CF_C_BPBO_DC_5_9,CF_C_BPBO_DC_10_12,CF_C_BPBO_DC_13_14,CF_C_BPBO_DC_15_17,CF_C_BPBO_DC_18_20,CF_C_BPBO_DC_21_24,CF_C_BPBO_Tot,CF_C_FBO_DC_0_4,CF_C_FBO_DC_5_9,CF_C_FBO_DC_10_12,CF_C_FBO_DC_13_14,CF_C_FBO_DC_15_17,CF_C_FBO_DC_18_20,CF_C_FBO_DC_21_24,CF_C_FBO_Tot,CF_C_MBO_DC_0_4,CF_C_MBO_DC_5_9,CF_C_MBO_DC_10_12,CF_C_MBO_DC_13_14,CF_C_MBO_DC_15_17,CF_C_MBO_DC_18_20,CF_C_MBO_DC_21_24,CF_C_MBO_Tot,CF_C_BPBAu_DC_0_4,CF_C_BPBAu_DC_5_9,CF_C_BPBAu_DC_10_12,CF_C_BPBAu_DC_13_14,CF_C_BPBAu_DC_15_17,CF_C_BPBAu_DC_18_20,CF_C_BPBAu_DC_21_24,CF_C_BPBAu_Tot,CF_C_BP_NS_DC_0_4,CF_C_BP_NS_DC_5_9,CF_C_BP_NS_DC_10_12,CF_C_BP_NS_DC_13_14,CF_C_BP_NS_DC_15_17,CF_C_BP_NS_DC_18_20,CF_C_BP_NS_DC_21_24,CF_C_BP_NS_Tot,CF_C_Tot_DC_0_4,CF_C_Tot_DC_5_9,CF_C_Tot_DC_10_12,CF_C_Tot_DC_13_14,CF_C_Tot_DC_15_17,CF_C_Tot_DC_18_20,CF_C_Tot_DC_21_24,CF_C_Tot_Tot,One_PF_BPBO_DC_0_4,One_PF_BPBO_DC_5_9,One_PF_BPBO_DC_10_12,One_PF_BPBO_DC_13_14,One_PF_BPBO_DC_15_17,One_PF_BPBO_DC_18_20,One_PF_BPBO_DC_21_24,One_PF_BPBO_Tot,One_PF_FBO_DC_0_4,One_PF_FBO_DC_5_9,One_PF_FBO_DC_10_12,One_PF_FBO_DC_13_14,One_PF_FBO_DC_15_17,One_PF_FBO_DC_18_20,One_PF_FBO_DC_21_24,One_PF_FBO_Tot,One_PF_MBO_DC_0_4,One_PF_MBO_DC_5_9,One_PF_MBO_DC_10_12,One_PF_MBO_DC_13_14,One_PF_MBO_DC_15_17,One_PF_MBO_DC_18_20,One_PF_MBO_DC_21_24,One_PF_MBO_Tot,One_PF_BPBAu_DC_0_4,One_PF_BPBAu_DC_5_9,One_PF_BPBAu_DC_10_12,One_PF_BPBAu_DC_13_14,One_PF_BPBAu_DC_15_17,One_PF_BPBAu_DC_18_20,One_PF_BPBAu_DC_21_24,One_PF_BPBAu_Tot,One_PF_BP_NS_DC_0_4,One_PF_BP_NS_DC_5_9,One_PF_BP_NS_DC_10_12,One_PF_BP_NS_DC_13_14,One_PF_BP_NS_DC_15_17,One_PF_BP_NS_DC_18_20,One_PF_BP_NS_DC_21_24,One_PF_BP_NS_Tot,One_PF_Tot_DC_0_4,One_PF_Tot_DC_5_9,One_PF_Tot_DC_10_12,One_PF_Tot_DC_13_14,One_PF_Tot_DC_15_17,One_PF_Tot_DC_18_20,One_PF_Tot_DC_21_24,One_PF_Tot_Tot,Tot_DC_0_4,Tot_DC_5_9,Tot_DC_10_12,Tot_DC_13_14,Tot_DC_15_17,Tot_DC_18_20,Tot_DC_21_24,Tot_Tot
201011001,245,270,120,60,96,22,13,826,40,50,28,18,29,5,4,174,38,41,32,29,18,8,3,175,683,705,465,301,375,129,36,2697,3,5,0,0,0,0,0,7,1004,1070,646,412,525,166,55,3875,11,17,14,10,12,0,0,56,9,17,13,12,9,4,6,69,5,16,7,5,6,3,0,41,143,213,152,115,145,32,10,806,4,0,0,0,0,0,0,6,166,262,182,144,175,41,15,979,1169,1329,825,554,699,206,70,4862
201011002,45,67,33,20,22,12,4,208,37,37,21,25,23,11,4,143,41,40,26,23,8,8,0,143,293,292,221,176,251,95,18,1345,0,0,0,0,0,0,0,0,410,431,299,240,304,122,28,1837,3,8,4,4,13,3,0,33,6,7,15,3,11,4,5,49,0,5,6,8,8,0,0,30,40,76,46,49,76,21,17,316,0,0,0,0,0,0,0,8,51,96,70,65,109,29,15,439,463,535,368,307,410,150,49,2274
201011005,8,21,13,4,13,3,0,70,17,31,25,18,13,10,0,102,21,33,15,17,17,4,0,111,266,364,242,152,182,65,18,1283,0,0,0,3,0,0,0,4,313,451,287,196,225,84,21,1567,0,0,0,0,3,0,0,11,0,7,0,0,6,3,0,23,0,6,0,3,3,3,0,13,23,50,40,30,41,11,5,199,0,3,4,0,0,0,0,12,28,61,52,38,51,14,5,253,342,512,340,231,275,98,23,1823
201011006,76,70,32,11,12,10,10,219,19,30,13,7,17,3,0,88,31,12,14,5,6,3,0,71,501,414,214,127,160,43,15,1484,5,0,5,0,0,0,0,7,629,528,272,159,192,62,27,1868,6,14,12,4,8,0,0,50,8,9,9,6,3,0,0,38,0,5,3,0,3,0,0,16,127,153,98,88,75,18,8,563,3,7,5,3,4,0,0,22,147,186,125,104,96,20,12,694,773,717,400,262,289,83,40,2557
201011007,3,6,3,5,3,4,0,31,7,13,4,3,7,9,0,43,14,12,6,4,12,0,4,45,180,227,186,115,142,45,17,909,0,0,0,0,0,0,0,4,204,261,200,131,168,51,16,1028,0,0,4,0,0,0,0,6,0,0,0,0,7,5,0,11,0,0,0,0,0,0,0,0,19,15,17,8,17,0,6,81,0,0,0,0,0,0,0,0,15,15,23,13,22,0,3,101,217,273,228,142,187,54,25,1125
201011008,56,41,31,9,19,5,5,165,25,17,9,7,10,0,0,68,27,28,9,7,12,0,0,82,519,503,288,163,200,63,28,1754,4,3,0,0,0,0,0,9,627,591,336,181,240,75,31,2080,5,7,5,4,4,0,0,28,3,13,8,3,4,3,0,38,7,8,9,4,4,0,0,29,188,265,172,106,124,27,8,897,8,12,4,6,0,0,0,32,212,307,201,128,139,33,10,1030,837,893,532,308,376,107,42,3110
201011481,32,11,9,6,0,0,0,63,25,29,10,0,4,3,0,72,14,21,5,7,10,3,0,61,288,302,152,113,88,32,12,981,0,0,0,0,0,0,0,0,359,362,172,128,98,39,14,1181,4,5,4,0,0,0,0,14,10,13,6,10,9,5,0,47,3,0,8,3,3,0,0,18,75,110,75,52,62,20,7,396,0,7,0,0,0,0,0,11,94,130,96,71,74,22,7,495,451,494,267,197,181,58,17,1671
201011482,38,48,28,17,26,8,3,158,46,45,20,12,24,11,0,165,61,40,33,13,18,10,0,171,614,666,366,236,306,101,48,2342,5,0,0,0,0,0,0,5,761,800,444,279,364,131,58,2841,0,4,0,0,0,3,3,14,8,12,8,4,9,3,4,41,6,3,6,0,0,0,0,16,60,101,73,55,68,27,9,404,0,0,3,0,0,0,0,9,75,122,92,66,77,35,23,491,838,922,539,348,442,170,78,3333
201011483,59,48,17,16,11,6,4,164,27,29,31,16,15,7,5,134,24,40,19,8,10,0,5,106,369,406,226,160,179,60,20,1417,0,8,0,0,0,0,0,7,484,525,298,192,221,74,27,1822,8,10,10,0,5,6,8,42,6,13,10,5,6,3,0,52,3,7,6,0,0,0,0,21,101,138,108,76,119,24,14,567,0,3,0,0,0,0,0,6,117,170,133,88,132,28,16,680,598,701,432,278,351,102,49,2507
201011484,49,23,15,4,9,0,0,103,18,16,0,9,6,0,0,50,24,28,10,4,9,5,0,80,357,307,196,119,104,32,11,1130,9,7,0,0,0,0,0,18,457,379,224,136,137,35,10,1382,3,10,0,0,0,0,0,19,11,23,13,9,6,3,4,68,8,9,5,4,0,0,0,22,198,216,142,104,107,18,3,791,0,9,3,8,0,0,0,19,223,263,162,124,118,28,6,924,676,643,392,255,254,62,20,2307
