SA2_CODE_2021,CF_no_children_F,CF_no_children_P,CF_ChU15_a_DSs_a_NdCh_F,CF_ChU15_a_DSs_a_NdCh_P,CF_ChU15_a_DSs_a_no_NdCh_F,CF_ChU15_a_DSs_a_no_NdCh_P,CF_ChU15_a_no_DSs_a_NdCh_F,CF_ChU15_a_no_DSs_a_NdCh_P,CF_ChU15_a_no_DSs_a_no_NdCh_F,CF_ChU15_a_no_DSs_a_no_NdCh_P,CF_ChU15_a_Total_F,CF_ChU15_a_Total_P,CF_no_ChU15_a_DSs_a_NdCh_F,CF_no_ChU15_a_DSs_a_NdCh_P,CF_no_ChU15_a_DSs_a_no_NdCh_F,CF_no_ChU15_a_DSs_a_no_NdCh_P,CF_no_ChU15_a_no_DSs_a_NdCh_F,CF_no_ChU15_a_no_DSs_a_NdCh_P,CF_no_ChU15_a_Total_F,CF_no_ChU15_a_Total_P,CF_Total_F,CF_Total_P,OPF_ChU15_a_DSs_a_NdCh_F,OPF_ChU15_a_DSs_a_NdCh_P,OPF_ChU15_a_DSs_a_no_NdCh_F,OPF_ChU15_a_DSs_a_no_NdCh_P,OPF_ChU15_a_no_DSs_a_NdCh_F,OPF_ChU15_a_no_DSs_a_NdCh_P,OPF_ChU15_a_no_DSs_no_NdCh_F,OPF_ChU15_a_no_DSs_no_NdCh_P,OPF_ChU15_a_Total_F,OPF_ChU15_a_Total_P,OPF_no_ChU15_a_DSs_a_NdCh_F,OPF_no_ChU15_a_DSs_a_NdCh_P,OPF_no_ChU15_a_DSs_no_NdCh_F,OPF_no_ChU15_a_DSs_no_NdCh_P,OPF_no_ChU15_no_DSs_a_NdCh_F,OPF_no_ChU15_no_DSs_a_NdCh_P,OPF_no_ChU15_a_Total_F,OPF_no_ChU15_a_Total_P,OPF_Total_F,OPF_Total_P,Other_family_F,Other_family_P,Total_F,Total_P
201011001,1494,2973,40,233,264,1206,59,275,1322,5289,1692,6995,107,457,186,640,271,874,573,1967,2259,8967,17,79,84,280,23,95,354,980,478,1441,39,116,76,156,184,397,294,672,773,2104,43,79,4568,14127
201011002,1404,2796,9,57,145,684,13,60,619,2387,792,3182,35,155,155,516,162,504,356,1179,1147,4359,0,13,43,133,15,52,152,382,209,574,18,51,84,173,154,333,254,558,469,1134,42,85,3054,8378
201011005,822,1640,15,67,116,553,24,122,490,1999,647,2736,48,196,83,285,142,446,277,928,925,3667,4,24,18,55,5,35,90,236,121,358,7,17,38,86,84,173,130,280,248,639,14,35,2011,5969
201011006,1093,2200,22,111,106,517,28,115,752,2872,906,3610,41,177,71,225,187,595,299,993,1201,4609,15,73,43,149,25,97,256,733,338,1055,15,55,55,114,175,391,242,557,586,1608,52,109,2931,8528
201011007,452,896,19,91,74,344,16,93,292,1222,402,1746,52,210,54,180,140,453,242,841,645,2590,7,13,8,15,4,16,28,85,47,133,9,16,11,27,40,85,56,130,102,266,9,26,1209,3779
201011008,1572,3132,12,78,123,599,53,248,765,2971,954,3895,55,236,85,293,258,828,397,1346,1348,5247,13,53,59,215,35,140,400,1138,507,1542,31,93,65,146,355,772,446,1012,957,2558,85,180,3963,11115
201011481,1055,2100,13,57,50,226,33,154,481,1844,575,2278,26,123,43,136,158,518,232,779,802,3056,12,42,38,131,28,96,198,519,270,783,8,23,36,83,204,429,245,537,521,1317,43,89,2418,6570
201011482,1648,3281,22,124,185,836,33,144,991,3946,1235,5057,74,317,159,538,269,841,502,1691,1734,6752,3,24,31,99,13,74,214,523,264,715,21,69,66,141,199,420,285,626,547,1338,49,104,3976,11471
201011483,1266,2532,18,101,113,515,31,149,664,2591,829,3359,50,198,89,310,182,583,317,1093,1147,4453,15,61,55,190,21,73,259,661,344,978,32,107,58,131,178,392,267,630,614,1613,49,108,3076,8702
201011484,1283,2568,16,88,68,333,35,182,561,2128,680,2736,20,92,54,166,211,664,284,924,964,3657,11,57,53,157,44,145,415,1094,521,1452,30,89,61,125,361,770,446,987,976,2441,65,142,3287,8807
