SA2_CODE_2021,Num_MVs_per_dweling_0_MVs,Num_MVs_per_dweling_1_MVs,Num_MVs_per_dweling_2_MVs,Num_MVs_per_dweling_3_MVs,Num_MVs_per_dweling_4mo_MVs,Num_MVs_per_dweling_Tot,Num_MVs_NS,Total_dwelings
201011001,156,1774,2550,802,430,5715,44,5763
201011002,358,2161,1796,476,193,4982,53,5036
201011005,45,612,1101,461,277,2504,16,2522
201011006,113,1174,1650,547,333,3814,57,3870
201011007,11,180,519,340,333,1379,13,1395
201011008,497,2448,2107,674,359,6079,116,6201
201011481,291,1828,1295,401,235,4046,65,4108
201011482,348,2005,2379,680,401,5811,45,5863
201011483,306,1996,1711,506,284,4803,61,4863
201011484,546,2572,1771,554,230,5668,102,5776
201021009,54,640,887,437,336,2351,39,2388
201021010,103,981,1170,569,360,3183,42,3229
201021011,132,1426,1619,600,330,4101,56,4157
201021012,25,391,879,492,387,2174,32,2212
201031013,32,410,525,259,193,1414,34,1448
201031014,55,438,663,297,254,1714,33,1746
201031015,29,354,696,367,299,1740,33,1777
201031016,277,1571,1145,360,190,3544,92,3639
201031017,53,610,842,384,288,2179,43,2221
202011018,553,2703,1979,594,308,6138,89,6229
202011019,314,1885,1862,665,346,5074,108,5178
202011020,369,2284,2135,601,315,5704,58,5759
202011021,260,1610,1358,409,183,3816,34,3847
202011022,531,3412,3044,1008,454,8441,145,8582
202011023,8,241,822,381,284,1739,8,1747
202011024,41,750,1692,644,377,3511,18,3530
202011025,125,1556,2186,740,483,5094,50,5147
202021026,15,385,1163,602,547,2714,25,2744
202021027,302,2029,1574,467,285,4662,75,4737
202021028,52,1042,1509,678,464,3744,52,3799
202021029,45,619,778,331,210,1985,50,2035
202021030,146,1155,1581,593,422,3898,53,3960
202021031,74,872,1198,439,260,2850,32,2880
202031032,26,364,649,368,317,1725,31,1751
202031033,96,787,967,554,385,2784,84,2869
203011034,22,424,1102,462,406,2420,20,2439
203011035,21,407,1086,613,522,2650,41,2685
203011036,34,441,947,448,402,2284,59,2339
203021037,424,2596,2292,567,241,6125,72,6194
203021039,544,2601,1896,485,231,5757,73,5827
203021040,661,3573,3386,809,388,8807,103,8907
203021042,258,2350,3907,1100,651,8262,75,8342
203021043,168,1872,2916,1120,762,6841,70,6908
203021044,134,1614,2109,711,409,4976,44,5021
203021045,519,2651,2035,641,432,6291,124,6411
203021046,237,1450,1683,408,210,3988,30,4015
203021047,431,2458,2317,687,330,6225,102,6323
203021485,98,1200,1745,415,206,3660,45,3708
203021486,526,2450,2180,754,483,6398,120,6516
203021487,336,2956,3835,1177,645,8941,100,9042
203021488,593,1660,956,303,130,3636,113,3744
203031048,153,2302,2759,882,482,6582,68,6656
203031049,66,875,1026,291,134,2394,36,2427
203031051,117,1581,1670,474,226,4069,66,4135
203031052,64,889,984,228,121,2289,26,2313
203031053,132,2290,4118,1167,654,8359,65,8424
203031489,59,1069,1985,535,219,3863,42,3906
203031490,149,2134,3233,975,483,6972,82,7058
204011054,96,991,1084,421,290,2882,51,2934
204011055,115,881,1074,462,280,2820,56,2871
204011056,184,1772,2075,937,673,5643,91,5726
204011057,116,1150,1525,632,402,3819,62,3882
204011058,60,599,656,301,210,1832,46,1875
204011059,229,1013,884,315,171,2609,58,2668
204011060,19,269,604,317,261,1478,15,1492
204011061,0,38,32,6,10,89,0,92
204011062,39,475,644,278,184,1621,32,1653
204021063,299,1725,1589,554,303,4468,133,4602
204021064,10,268,565,331,258,1432,30,1462
204021065,53,491,584,280,170,1583,39,1620
204021066,551,3113,2958,829,437,7877,264,8146
204021067,41,683,1537,781,615,3661,40,3703
204031068,77,646,776,277,162,1940,26,1968
204031069,123,1072,1300,482,298,3277,66,3340
204031070,18,273,496,231,191,1212,25,1238
204031071,66,565,753,315,196,1899,40,1938
204031072,59,634,924,418,311,2353,50,2399
204031073,237,1964,2294,737,441,5674,200,5870
204031075,24,348,774,349,274,1769,38,1810
204031491,45,926,2038,654,352,4008,41,4052
204031492,474,2631,2205,683,324,6318,125,6452
205011076,205,2345,2914,1060,678,7213,103,7313
205011077,31,545,875,504,415,2366,46,2409
205011078,84,920,1303,498,345,3151,55,3209
205011079,362,2706,3357,1234,792,8459,92,8552
205021080,0,0,0,0,0,0,0,0
205021081,392,2304,2241,764,436,6145,136,6280
205021082,47,688,1252,632,455,3062,59,3118
205021083,0,0,0,0,0,0,0,0
205021084,193,1668,1736,579,280,4457,114,4579
205021085,134,967,994,395,217,2713,61,2777
205021086,74,1043,1271,407,211,2996,67,3060
205031087,91,1339,1473,566,362,3821,82,3906
205031088,6,25,12,4,0,54,0,54
205031089,108,997,1376,626,504,3609,68,3675
205031090,176,1415,1683,706,442,4425,70,4490
