SA2_CODE_2021,Aust_BP_B_OS,Aust_FO_B_OS,Aust_MO_B_OS,Aust_Both_parents_born_Aust,Aust_Birthplace_not_stated,Aust_Tot_resp,Aust_Abor_BP_B_OS,Aust_Abor_FO_B_OS,Aust_Abor_MO_B_OS,Aust_Abor_BP_B_Aus,Aust_Abor_BP_NS,Aust_Abor_Tot_resp,Chinese_BP_B_OS,Chinese_FO_B_OS,Chinese_MO_B_OS,Chinese_BP_B_Aus,Chinese_BP_NS,Chinese_Tot_resp,Croatian_BP_B_OS,Croatian_FO_B_OS,Croatian_MO_B_OS,Croatian_BP_B_Aus,Croatian_BP_NS,Croatian_Tot_resp,Dutch_BP_B_OS,Dutch_FO_B_OS,Dutch_MO_B_OS,Dutch_BP_B_Aus,Dutch_BP_NS,Dutch_Tot_resp,English_BP_B_OS,English_FO_B_OS,English_MO_B_OS,English_BP_B_Aus,English_BP_NS,English_Tot_resp,Filipino_BP_B_OS,Filipino_FO_B_OS,Filipino_MO_B_OS,Filipino_BP_B_Aus,Filipino_BP_NS,Filipino_Tot_resp,French_BP_B_OS,French_FO_B_OS,French_MO_B_OS,French_BP_B_Aus,French_BP_NS,French_Tot_resp,German_BP_B_OS,German_FO_B_OS,German_MO_B_OS,German_BP_B_Aus,German_BP_NS,German_Tot_resp,Greek_BP_B_OS,Greek_FO_B_OS,Greek_MO_B_OS,Greek_BP_B_Aus,Greek_BP_NS,Greek_Tot_resp,Hungarian_BP_B_OS,Hungarian_FO_B_OS,Hungarian_MO_B_OS,Hungarian_BP_B_Aus,Hungarian_BP_NS,Hungarian_Tot_resp,Indian_BP_B_OS,Indian_FO_B_OS,Indian_MO_B_OS,Indian_BP_B_Aus,Indian_BP_NS,Indian_Tot_resp,Irish_BP_B_OS,Irish_FO_B_OS,Irish_MO_B_OS,Irish_BP_B_Aus,Irish_BP_NS,Irish_Tot_resp,Italian_BP_B_OS,Italian_FO_B_OS,Italian_MO_B_OS,Italian_BP_B_Aus,Italian_BP_NS,Italian_Tot_resp,Korean_BP_B_OS,Korean_FO_B_OS,Korean_MO_B_OS,Korean_BP_B_Aus,Korean_BP_NS,Korean_Tot_resp,Lebanese_BP_B_OS,Lebanese_FO_B_OS,Lebanese_MO_B_OS,Lebanese_BP_B_Aus,Lebanese_BP_NS,Lebanese_Tot_resp,Macedonian_BP_B_OS,Macdonian_FO_B_OS,Macdonian_MO_B_OS,Macdonian_BP_B_Aus,Macdonian_BP_NS,Macedonian_Tot_resp,Maltese_BP_B_OS,Maltese_FO_B_OS,Maltese_MO_B_OS,Maltese_BP_B_Aus,Maltese_BP_NS,Maltese_Tot_resp,Maori_BP_B_OS,Maori_FO_B_OS,Maori_MO_B_OS,Maori_BP_B_Aus,Maori_BP_NS,Maori_Tot_resp,NZ_BP_B_OS,NZ_FO_B_OS,NZ_MO_B_OS,NZ_BP_B_Aus,NZ_BP_NS,NZ_Tot_resp,Polish_BP_B_OS,Polish_FO_B_OS,Polish_MO_B_OS,Polish_BP_B_Aus,Polish_BP_NS,Polish_Tot_resp,Russian_BP_B_OS,Russian_FO_B_OS,Russian_MO_B_OS,Russian_BP_B_Aus,Russian_BP_NS,Russian_Tot_resp,Samoan_BP_B_OS,Samoan_FO_B_OS,Samoan_MO_B_OS,Samoan_BP_B_Aus,Samoan_BP_NS,Samoan_Tot_resp,Scottish_BP_B_OS,Scottish_FO_B_OS,Scottish_MO_B_OS,Scottish_BP_B_Aus,Scottish_BP_NS,Scottish_Tot_resp,Serbian_BP_B_OS,Serbian_FO_B_OS,Serbian_MO_B_OS,Serbian_BP_B_Aus,Serbian_BP_NS,Serbian_Tot_resp,Sth_African_BP_B_OS,Sth_African_FO_B_OS,Sth_African_MO_B_OS,Sth_Afrcan_BP_B_Aus,Sth_African_BP_NS,Sth_African_Tot_resp,Spanish_BP_B_OS,Spanish_FO_B_OS,Spanish_MO_B_OS,Spanish_BP_B_Aus,Spanish_BP_NS,Spanish_Tot_resp,Sri_Lankan_BP_B_OS,Sri_Lankan_FO_B_OS,Sri_Lankan_MO_B_OS,Sri_Lankan_BP_B_Aus,Sri_Lankan_BP_NS,Sri_Lankan_Tot_resp,Vietnamese_BP_B_OS,Vietnamese_FO_B_OS,Vietnamese_MO_B_OS,Vietnamese_BP_B_Aus,Vietnamese_BP_NS,Vietnamese_Tot_resp,Welsh_BP_B_OS,Welsh_FO_B_OS,Welsh_MO_B_OS,Welsh_BP_B_Aus,Welsh_BP_NS,Welsh_Tot_resp,Other_BP_B_OS,Other_FO_B_OS,Other_MO_B_OS,Other_BP_B_Aus,Other_BP_NS,Other_Tot_resp,Ancestry_NS_BP_B_OS,Ancestry_NS_FO_B_OS,Ancestry_NS_MO_B_OS,Ancestry_NS_BP_B_Aus,Ancestry_NS_BP_NS,Ancestry_NS_Tot_resp,Tot_P_BP_B_OS,Tot_P_FO_B_OS,Tot_P_MO_B_OS,Tot_P_BP_B_Aus,Tot_P_BP_NS,Tot_P_Tot_resp
201011001,113,459,339,5426,32,6366,5,6,6,185,4,201,377,0,23,63,0,472,27,13,3,38,0,90,121,64,51,250,0,490,603,416,290,5290,25,6625,120,3,22,0,0,145,19,7,0,36,0,63,98,46,27,509,4,685,68,12,4,62,0,147,22,4,0,13,0,36,779,3,6,4,0,797,158,97,74,1951,5,2281,59,41,21,289,0,412,25,0,3,0,0,25,0,7,0,11,0,20,4,0,0,5,0,11,30,18,10,53,0,106,23,12,8,7,0,45,30,29,20,21,0,96,27,9,7,53,0,102,24,0,0,11,0,36,8,0,0,0,0,3,165,129,75,1616,0,1988,17,0,0,11,0,30,46,6,0,0,0,54,33,5,9,13,0,59,36,0,0,0,0,44,27,0,3,0,0,36,29,14,12,64,0,114,1055,113,94,195,3,1461,41,5,0,99,478,618,3519,868,623,11298,535,16835
201011002,50,413,243,3507,59,4278,0,0,4,114,4,124,280,11,19,35,0,346,28,14,6,20,0,63,109,57,25,106,4,299,507,380,257,3847,40,5026,36,0,10,0,0,49,15,3,6,43,0,69,71,34,37,370,3,521,29,11,0,42,0,85,12,0,0,6,0,17,190,11,6,5,4,216,178,125,94,1967,13,2371,77,34,8,229,4,351,23,0,5,0,0,32,3,4,0,6,0,16,4,0,0,9,0,16,20,9,6,34,0,68,10,6,0,10,0,35,32,13,10,15,0,70,27,10,5,23,3,75,24,0,0,4,0,34,4,0,0,0,0,10,164,129,84,1366,9,1756,11,4,0,5,0,22,14,0,0,0,0,22,21,0,0,11,0,31,18,13,8,5,0,37,45,3,4,6,0,58,22,10,3,55,3,97,497,84,86,196,5,870,13,3,0,41,528,588,2040,794,523,8127,646,12131
201011005,25,237,187,2591,32,3076,0,7,3,65,0,82,44,3,11,36,0,96,16,0,0,23,0,49,79,32,19,68,0,202,398,213,163,2375,12,3154,14,7,0,3,0,27,9,4,0,21,0,33,57,24,10,202,0,293,12,4,0,18,0,35,5,0,3,8,0,20,34,9,3,4,0,48,82,59,41,990,3,1173,42,16,11,116,0,180,0,0,0,0,0,4,0,0,0,8,0,11,0,0,0,3,0,7,8,4,3,24,0,45,5,4,5,3,0,15,23,0,3,0,0,32,18,5,8,13,0,44,8,0,0,3,0,16,0,0,0,0,0,0,82,62,53,848,4,1049,3,0,0,0,0,4,6,10,3,0,0,22,3,0,0,0,0,7,9,5,0,0,0,18,3,0,0,0,0,3,11,5,4,30,0,52,185,51,38,108,0,382,0,0,3,32,270,312,950,439,323,5226,322,7261
201011006,63,321,219,3762,28,4397,0,13,0,205,8,224,78,7,7,37,0,121,20,0,0,12,0,37,78,55,35,117,0,276,323,292,199,3551,30,4395,88,4,14,6,0,108,10,0,0,32,0,47,51,28,25,341,6,442,10,6,0,39,0,52,12,0,0,5,0,20,205,7,3,3,0,220,66,54,28,1054,10,1211,44,23,8,183,8,265,5,0,4,0,0,10,7,0,0,0,0,10,4,0,0,4,0,10,22,5,0,48,0,68,14,4,0,7,0,25,28,19,7,9,0,62,23,10,7,26,0,61,9,5,0,5,0,17,9,0,0,0,0,13,99,73,34,964,5,1182,9,0,7,5,0,24,5,11,5,0,0,22,5,4,0,15,0,29,12,0,0,0,0,17,6,0,0,0,0,10,14,8,7,45,0,77,539,50,38,115,3,749,22,3,7,129,434,600,1554,580,390,7623,512,10661
201011007,13,130,102,1581,4,1828,4,4,0,73,0,89,10,0,0,13,0,21,9,0,0,3,0,12,41,21,17,74,0,159,188,133,89,1459,12,1882,4,0,0,4,0,10,6,0,0,17,0,27,34,18,15,137,0,204,10,0,0,10,0,15,4,0,3,0,0,7,16,0,0,0,0,21,30,24,25,504,4,588,25,14,0,81,0,120,5,0,0,0,0,4,0,4,0,0,0,4,3,3,0,0,0,4,21,18,8,25,0,72,3,0,0,0,0,3,5,9,3,3,0,20,4,3,4,15,0,23,3,3,0,0,0,3,0,0,0,0,0,0,66,45,35,420,0,567,0,0,0,0,0,3,0,4,0,0,0,4,0,10,0,6,0,14,11,0,0,0,0,9,0,0,0,0,0,0,0,4,0,23,0,29,69,18,19,51,0,146,4,0,0,50,76,133,476,256,187,3226,92,4230
201011008,55,404,291,5770,109,6635,9,12,6,380,6,406,130,3,11,36,3,188,29,8,4,23,0,62,144,50,38,197,4,426,455,379,261,5196,115,6396,173,0,23,3,6,203,18,0,0,30,0,50,81,23,28,477,10,610,12,10,3,29,0,58,20,5,0,4,0,29,82,5,0,11,0,102,94,83,62,1689,10,1940,46,33,16,260,3,356,0,0,0,0,0,0,3,0,0,9,0,12,7,0,0,0,0,10,27,11,0,42,0,84,5,9,3,11,0,23,29,25,12,13,0,81,37,13,3,28,0,83,9,0,6,4,0,23,11,0,3,0,0,17,126,100,68,1409,18,1728,15,4,0,5,0,29,35,4,0,4,0,41,13,0,7,11,0,26,5,0,0,5,0,17,27,0,6,0,0,33,14,11,5,44,0,77,390,63,39,182,4,682,25,6,4,135,786,958,1756,727,511,11311,1025,15333
201011481,36,277,212,3180,55,3756,0,8,0,197,8,217,46,6,8,48,0,104,34,7,6,6,0,51,70,45,21,133,0,273,399,260,195,3208,56,4120,37,0,12,3,4,59,15,0,0,30,0,53,60,28,21,342,0,455,15,4,0,34,0,55,7,3,0,6,0,15,92,8,3,9,0,109,98,99,59,1378,11,1641,51,40,12,213,0,320,10,0,4,0,0,11,3,0,0,0,0,5,4,0,0,4,0,6,12,10,0,21,0,43,6,0,0,3,0,15,14,8,8,10,0,45,31,6,3,24,0,64,10,3,7,5,0,25,0,0,0,0,0,3,118,81,55,950,10,1200,9,3,4,5,0,20,10,0,3,0,4,18,9,0,0,6,0,20,7,0,4,0,0,16,13,0,0,0,0,10,6,10,3,27,0,48,273,57,48,146,10,534,7,6,3,81,510,613,1215,549,386,6901,639,9691
201011482,38,428,341,4801,32,5641,0,13,4,145,4,166,117,7,15,63,0,201,60,8,0,27,0,91,108,72,47,192,0,419,572,403,348,5226,39,6582,44,0,17,7,0,70,26,8,3,40,0,77,87,49,38,539,6,713,29,3,3,25,0,56,13,7,4,15,0,45,108,6,3,12,0,128,164,127,83,2323,5,2708,94,43,23,317,0,485,3,0,0,0,0,8,5,4,0,5,0,15,0,0,0,5,0,8,18,21,4,49,0,98,8,0,4,0,0,14,34,19,14,17,0,85,22,15,11,53,0,100,6,0,0,3,0,18,0,0,0,0,0,0,152,133,79,1712,11,2090,17,0,0,0,0,23,16,3,8,3,0,31,11,0,3,21,0,39,17,15,6,6,0,40,16,0,0,3,0,13,22,10,8,61,0,93,400,110,92,218,4,826,19,0,0,87,505,608,1760,833,640,10931,585,14750
201011483,50,376,255,3843,35,4562,0,9,7,226,0,246,194,8,4,52,3,257,21,9,0,12,0,49,101,62,33,146,0,346,486,357,265,3906,41,5058,60,0,10,0,0,71,19,6,6,44,0,76,73,35,22,444,6,580,18,3,7,26,0,63,13,4,0,13,0,31,184,4,5,11,0,205,121,93,62,1649,12,1939,65,34,15,233,3,350,4,0,0,0,0,3,3,0,3,4,0,15,3,0,0,8,0,13,10,12,3,26,0,46,10,10,4,12,0,25,22,14,8,3,0,38,35,11,0,25,0,68,18,6,0,10,0,35,4,0,4,0,0,6,132,117,75,1299,8,1632,11,5,0,5,0,28,14,12,3,12,6,39,13,0,0,3,0,23,9,0,0,0,0,11,20,0,8,0,0,23,24,7,6,43,0,76,552,80,71,196,8,904,34,4,0,91,637,769,1903,727,503,8344,735,12225
201011484,65,416,268,4509,87,5333,0,13,9,287,3,312,66,4,0,54,3,133,29,8,0,25,0,66,160,57,30,139,5,388,450,370,267,4278,111,5466,114,7,29,3,0,150,13,3,3,28,0,47,82,37,25,445,10,603,25,5,4,24,0,50,20,6,0,9,0,39,132,8,0,5,0,146,90,92,61,1424,26,1694,48,35,10,190,0,286,9,0,0,0,0,8,0,5,0,0,0,5,4,3,0,0,0,14,20,6,12,46,0,82,16,4,10,10,0,41,26,31,9,9,5,74,26,16,9,25,0,71,16,0,0,4,0,25,11,3,0,0,0,7,128,105,83,1098,21,1430,11,5,0,0,0,16,4,0,0,7,3,10,20,0,0,10,0,31,6,0,0,0,0,11,20,0,5,0,0,21,18,4,0,36,0,58,393,68,45,152,11,664,23,0,0,136,797,965,1675,743,505,9156,1017,13086
