SA2_CODE_2021,P_EducTrain_GD_GC,P_EducTrain_BD,P_EducTrain_AdD_D,P_EducTrain_Cert,P_EducTrain_ID_NS,P_EducTrain_ToT,P_HealthCareSocA_PD,P_HealthCareSocA_GD_GC,P_HealthCareSocA_BD,P_HealthCareSocA_AdD_D,P_HealthCareSocA_Cert,P_HealthCareSocA_ID_NS,P_HealthCareSocA_ToT,P_ArtRecServ_PD,P_ArtRecServ_GD_GC,P_ArtRecServ_BD,P_ArtRecServ_AdD_D,P_ArtRecServ_Cert,P_ArtRecServ_ID_NS,P_ArtRecServ_ToT,P_OthServ_PD,P_OthServ_GD_GC,P_OthServ_BD,P_OthServ_AdD_D,P_OthServ_Cert,P_OthServ_ID_NS,P_OthServ_ToT,P_ID_NS_PD,P_ID_NS_GD_GC,P_ID_NS_BD,P_ID_NS_AdD_D,P_ID_NS_Cert,P_ID_NS_ID_NS,P_ID_NS_ToT,P_ToT_PD,P_ToT_GD_GC,P_ToT_BD,P_ToT_AdD_D,P_ToT_Cert,P_ToT_ID_NS,P_ToT_ToT
201011001,94,352,68,100,5,768,241,145,626,236,274,34,1551,4,8,26,10,32,0,83,10,4,29,25,125,4,200,9,0,23,12,49,14,115,683,363,1825,931,2025,123,5962
201011002,109,267,55,65,4,674,261,127,487,122,131,26,1155,10,0,33,11,20,3,76,17,5,21,19,44,5,117,12,0,36,22,33,11,114,732,368,1612,602,962,104,4377
201011005,64,239,49,51,5,495,72,81,175,76,98,12,512,5,3,21,9,12,0,39,5,3,12,13,43,0,75,11,0,15,9,23,14,61,274,212,827,385,778,59,2540
201011006,31,173,60,64,4,377,58,64,284,127,277,18,827,0,0,10,3,11,0,26,4,0,9,32,115,4,160,3,0,9,14,48,18,91,201,134,846,543,1669,75,3472
201011007,24,73,32,24,3,171,28,31,95,73,106,6,339,0,0,4,5,15,0,24,0,0,0,7,49,6,66,0,0,5,7,37,5,52,74,78,307,262,729,41,1490
201011008,42,191,61,97,0,455,51,70,235,182,297,21,852,7,0,20,17,40,0,87,6,4,11,33,107,5,168,3,0,22,34,86,23,164,202,162,840,654,2000,131,3996
201011481,64,166,47,55,5,403,84,55,220,114,163,17,654,8,8,26,3,11,0,58,7,0,12,20,61,0,103,3,0,10,14,30,11,65,286,182,844,481,1118,79,2988
201011482,119,394,76,92,6,865,187,117,424,216,197,25,1165,13,7,32,18,30,0,102,11,4,28,21,106,3,170,8,0,31,19,50,16,122,593,366,1681,849,1708,116,5324
201011483,85,249,58,94,4,636,113,72,316,178,231,25,944,10,0,35,17,25,7,92,5,3,21,27,83,4,148,8,4,19,13,42,11,87,478,250,1216,677,1394,93,4111
201011484,41,130,53,67,3,344,50,50,215,159,283,23,779,5,0,16,9,19,0,43,0,0,9,27,104,0,146,3,0,24,10,61,24,123,182,137,729,551,1628,114,3334
