SA2_CODE_2021,All_inc_NS_Emp_AW,All_inc_NS_E_T,All_inc_NS_UnE_lfw_FTW,All_inc_NS_UnE_lfw_PTW,All_inc_NS_UnE_lfw_Tot,All_inc_NS_T_LF,All_inc_NS_Notin_LF,All_inc_NS_LF_sta_NS,All_inc_NS_Tot,Tot_Emp_WFT,Tot_Emp_WPT,Tot_Emp_AW,Tot_E_T,Tot_UnE_lfw_FTW,Tot_UnE_lfw_PTW,Tot_UnE_lfw_Tot,Tot_T_LF,Tot_Notin_LF,Tot_LF_sta_NS,Tot_Tot
201011001,0,3,0,0,0,3,8,5,12,273,239,36,553,13,15,26,581,185,10,773
201011002,0,0,0,0,0,0,4,0,4,170,127,11,307,13,0,15,322,145,0,469
201011005,0,0,0,0,0,0,0,0,3,92,70,7,173,5,5,9,179,67,0,248
201011006,0,0,0,0,0,0,0,8,8,160,163,26,352,10,18,26,380,194,15,586
201011007,0,0,0,0,0,0,0,4,3,35,29,8,67,0,0,0,70,31,4,102
201011008,0,3,5,0,5,8,12,16,30,183,238,41,455,27,23,48,504,438,24,957
201011481,0,0,0,0,0,0,0,0,3,114,139,18,268,15,12,27,302,216,3,521
201011482,0,0,0,0,0,0,5,0,6,151,144,15,313,9,9,11,328,216,5,547
201011483,0,0,0,0,0,0,0,3,4,165,166,19,349,22,20,39,389,221,4,614
201011484,5,5,0,0,0,5,7,12,20,188,255,47,495,24,16,36,532,429,13,976
201021009,0,0,0,0,0,0,0,0,5,79,56,10,146,4,4,8,148,97,7,254
201021010,0,3,0,0,0,3,0,0,8,70,87,18,170,5,3,7,181,126,0,312
201021011,0,0,0,0,0,0,5,4,10,67,102,14,175,3,4,11,185,143,10,337
201021012,0,0,0,0,0,0,0,0,3,58,54,11,116,5,4,10,127,74,0,199
201031013,0,0,0,0,0,0,0,3,0,26,27,6,54,0,0,3,59,74,3,135
201031014,0,0,0,0,0,0,0,4,6,46,38,7,93,0,3,3,95,73,5,171
201031015,0,0,0,0,0,0,0,5,8,38,41,9,85,3,6,7,96,81,5,181
201031016,0,3,0,0,0,3,3,7,13,82,100,19,203,11,8,16,219,230,16,465
201031017,0,0,0,0,0,0,4,0,4,41,46,6,94,11,3,14,107,123,4,236
202011018,0,3,0,0,0,3,5,12,14,193,239,38,462,13,18,31,493,393,15,904
202011019,0,0,0,0,0,0,11,6,18,223,204,35,460,8,10,20,482,354,11,851
202011020,0,4,0,0,0,4,3,5,10,194,164,16,369,7,16,19,396,228,5,624
202011021,0,0,0,0,0,0,0,0,4,163,159,19,334,7,6,21,357,180,0,536
202011022,0,9,0,0,0,9,9,9,21,312,303,50,663,21,20,37,698,473,12,1182
202011023,0,0,0,0,0,0,0,0,4,56,50,6,103,0,3,3,108,37,0,152
202011024,0,0,0,0,0,0,0,0,0,133,87,9,226,3,4,10,242,70,0,311
202011025,0,0,0,0,0,0,3,3,13,207,208,34,448,12,11,24,473,240,11,724
202021026,0,0,0,0,0,0,3,0,0,76,58,9,139,0,3,4,140,54,0,197
202021027,0,0,0,0,0,0,3,0,6,137,193,25,350,5,6,5,356,196,7,553
202021028,0,0,0,0,0,0,6,0,7,84,94,9,184,0,7,10,191,122,0,314
202021029,0,3,0,0,0,3,4,0,10,22,29,8,61,5,0,7,63,95,0,167
202021030,0,3,0,0,0,3,3,3,10,113,80,23,216,4,9,14,225,127,5,362
202021031,0,0,0,0,0,0,0,4,5,107,90,8,204,3,0,5,210,105,7,320
202031032,0,0,0,0,0,0,0,0,0,42,41,5,89,0,6,6,93,68,0,159
202031033,0,0,0,0,0,0,7,0,4,37,35,11,85,4,0,11,95,138,9,234
203011034,0,0,0,0,0,0,0,0,0,83,80,8,171,3,0,0,175,59,5,235
203011035,0,0,0,0,0,0,0,0,0,66,59,9,138,0,9,9,139,83,6,226
203011036,0,0,0,0,0,0,0,4,3,51,68,16,130,0,0,3,135,85,4,222
203021037,0,4,0,0,0,4,0,0,8,193,159,29,390,14,11,23,408,241,3,650
203021039,0,0,0,0,0,0,7,6,5,154,136,10,306,6,9,13,316,186,5,507
