SA2_CODE_2021,P_85ov_DNPCC,P_85ov_UCC_NS,P_85ov_Total,P_Tot_CF_Own_CCO,P_Tot_CF_Oth_CCO,P_Tot_CF_Own_CC_Oth_CC,P_Tot_CF_Total,P_Tot_DNPCC,P_Tot_UCC_NS,P_Tot_Total
201011001,153,16,172,3456,844,116,4421,7907,484,12804
201011002,326,65,394,1838,666,23,2528,7247,577,10353
201011005,76,11,85,1362,452,36,1853,3638,268,5759
201011006,219,18,232,1933,629,84,2644,5329,421,8390
201011007,25,0,27,807,238,24,1072,2180,88,3341
201011008,399,112,514,2256,816,110,3176,8402,919,12503
201011481,339,53,390,1392,530,62,1983,5700,479,8161
201011482,333,41,367,2605,803,92,3495,7959,539,11992
201011483,255,64,320,1891,662,73,2635,6788,659,10077
201011484,306,66,373,1747,662,99,2503,7540,881,10921
201021009,96,22,118,1077,319,32,1433,3504,387,5322
201021010,177,53,236,1150,444,49,1640,4579,538,6761
201021011,206,54,256,1242,540,55,1835,6127,714,8675
201021012,66,11,73,1040,352,35,1428,3345,401,5172
201031013,91,11,101,417,171,13,609,2104,318,3024
201031014,80,23,101,574,230,32,835,2496,637,3970
201031015,35,7,40,778,273,30,1080,2554,317,3947
201031016,342,52,395,924,414,58,1398,5061,495,6955
201031017,99,19,118,640,307,27,971,3258,503,4735
202011018,419,56,484,2008,756,77,2842,8904,920,12668
202011019,245,42,300,1969,839,74,2883,6912,688,10482
202011020,569,49,619,1935,835,51,2828,8369,650,11846
202011021,233,24,254,1542,552,55,2145,5263,374,7786
202011022,632,207,840,3050,1165,135,4350,11845,1307,17502
202011023,28,0,29,1180,346,38,1556,2474,126,4157
202011024,115,7,125,2285,604,86,2974,4904,292,8172
202011025,135,18,156,2776,786,99,3662,6822,551,11032
202021026,49,8,59,1584,533,46,2164,4083,370,6616
202021027,274,196,472,1637,677,65,2375,6037,1328,9742
202021028,158,17,178,1234,501,53,1790,5519,633,7949
202021029,123,23,149,592,234,24,852,2980,495,4330
202021030,273,37,311,1693,562,61,2315,5808,625,8749
202021031,151,11,164,1560,395,30,1986,4100,328,6414
202031032,61,12,76,750,301,30,1083,2550,430,4062
202031033,219,71,297,852,374,39,1268,4156,775,6198
203011034,111,15,127,1689,365,51,2103,3480,256,5839
203011035,57,4,65,1556,395,49,2004,3940,406,6349
203011036,73,38,113,1110,357,40,1507,3472,405,5386
203021037,401,124,526,2595,735,59,3389,8375,686,12451
203021039,249,24,277,1780,732,63,2572,8481,701,11759
203021040,430,42,484,3768,1166,123,5061,11585,722,17367
203021042,433,34,467,4334,1345,120,5797,13052,775,19623
203021043,289,20,315,3700,1074,112,4888,10101,1788,16780
203021044,245,75,320,2263,752,78,3091,7290,487,10867
203021045,445,113,561,1851,877,71,2795,9456,1022,13276
203021046,174,28,201,1937,569,58,2562,5545,329,8441
203021047,540,55,601,2258,933,71,3260,9322,764,13351
203021485,332,14,346,2037,443,53,2529,5259,356,8148
203021486,219,30,247,2498,924,101,3524,10287,1142,14955
203021487,713,50,756,4422,1439,127,5992,13438,829,20261
203021488,203,24,235,1061,369,42,1468,5274,874,7622
203031048,334,96,431,2616,1018,124,3755,9532,580,13873
203031049,169,29,199,788,445,35,1265,3788,397,5458
203031051,226,89,314,895,639,44,1580,6259,696,8532
203031052,275,15,297,644,475,15,1126,3428,321,4876
203031053,340,80,421,5186,1367,146,6706,11540,974,19222
203031489,103,18,124,2461,625,54,3147,5099,445,8689
203031490,460,52,515,3572,1263,97,4933,9870,772,15572
204011054,198,20,220,804,324,29,1161,4353,419,5939
204011055,264,33,296,769,393,40,1203,4152,631,5982
204011056,311,33,354,2589,761,117,3470,8372,812,12650
204011057,216,21,239,1420,502,66,1985,5948,819,8750
204011058,101,32,140,594,255,14,867,2686,310,3861
204011059,193,24,217,815,320,26,1159,3922,495,5577
204011060,39,8,53,735,206,17,956,2554,309,3821
204011061,0,0,0,34,3,0,37,108,39,190
204011062,92,12,104,479,214,23,711,2465,447,3618
204021063,440,80,524,1153,546,64,1760,6710,841,9306
204021064,35,10,42,463,238,11,710,2206,301,3210
204021065,101,15,115,585,234,21,846,2324,216,3386
204021066,675,111,795,2899,1219,103,4224,11228,1006,16453
204021067,137,16,156,1566,582,47,2197,5366,582,8146
204031068,116,14,127,754,253,18,1024,2820,342,4190
204031069,171,33,207,1287,350,60,1702,5151,701,7546
204031070,37,7,45,457,209,14,675,1774,209,2653
204031071,173,16,190,618,270,24,909,2875,259,4039
204031072,171,50,217,801,375,25,1195,3544,490,5231
204031073,269,24,300,2536,857,120,3513,8187,692,12392
204031075,99,11,109,936,307,23,1259,2592,303,4155
204031491,184,28,213,2636,587,102,3325,6029,367,9723
204031492,300,38,335,2160,872,112,3142,8477,833,12454
205011076,398,33,432,3330,1141,157,4628,10149,942,15722
205011077,87,23,116,896,465,35,1398,3641,433,5474
205011078,144,52,194,1313,548,44,1905,4456,447,6807
205011079,540,61,605,3724,1238,156,5113,12581,1087,18783
205021080,0,0,0,0,0,0,0,0,0,0
205021081,405,160,567,2101,810,105,3018,8889,1074,12979
205021082,116,18,136,1211,473,47,1731,4571,597,6903
205021083,0,0,0,0,0,0,0,0,0,0
205021084,279,52,337,1212,561,55,1828,6865,902,9593
205021085,172,29,199,701,352,40,1095,4008,680,5784
205021086,269,20,283,629,325,27,978,4965,315,6264
205031087,234,34,272,1106,572,62,1736,5664,681,8083
205031088,4,0,4,19,4,0,19,89,13,120
205031089,207,22,239,1462,616,66,2140,5433,544,8128
205031090,302,42,347,1754,700,75,2534,6246,629,9410
205031091,310,89,396,1865,704,61,2633,8045,1029,11709
205031092,0,0,0,3,0,0,3,8,5,12
205031093,684,139,821,3565,1509,142,5209,15891,1648,22747
205041094,105,18,126,1825,783,63,2665,6356,717,9739
205041095,516,51,563,2173,932,115,3225,10121,1146,14492
205041096,391,80,475,1710,701,64,2476,8123,1329,11932
205041098,36,4,40,743,356,37,1140,2407,275,3826
205041493,316,74,393,1720,651,81,2448,6671,778,9903
205041494,276,79,356,2892,1016,118,4024,8766,828,13623
205051099,0,0,0,0,6,0,6,16,6,23
205051100,51,10,54,555,235,27,816,3131,304,4252
205051101,270,27,301,2148,888,108,3138,7956,937,12031
205051102,36,6,50,606,240,43,891,2076,1190,4154
205051103,395,68,465,2344,828,92,3263,8391,839,12493
205051104,141,28,166,614,305,26,943,3423,464,4827
206011106,158,5,168,1464,383,39,1885,9122,497,11504
206011107,250,34,283,2025,460,45,2533,9432,524,12493
206011109,296,25,326,1986,362,39,2387,5823,291,8503
206011495,211,12,222,1594,348,32,1966,9142,370,11481
206011496,209,13,228,1463,386,35,1886,9406,476,11764
206011497,273,8,284,1816,384,38,2241,8175,478,10894
206011498,327,17,346,2580,428,61,3066,8158,401,11622
206021110,154,5,165,1554,311,35,1897,5396,266,7561
206021112,363,128,497,3143,635,67,3844,11542,729,16116
206021499,286,28,321,2527,480,51,3054,9210,483,12752
206021500,191,11,203,1668,349,40,2062,6431,327,8816
206031113,194,36,228,2638,535,49,3226,8566,717,12511
206031115,107,12,123,1082,272,24,1371,5903,610,7886
206031116,394,16,415,2434,675,52,3160,10285,527,13976
206031501,434,39,479,2692,698,41,3425,9514,529,13476
206031502,207,9,220,1840,577,22,2435,7621,439,10490
206041117,191,18,217,874,332,15,1223,13395,1152,15771
206041118,42,5,42,1537,315,23,1874,11063,1347,14285
206041119,116,4,119,376,273,8,660,3673,275,4609
206041120,0,0,0,7,0,0,5,68,0,78
206041121,124,7,134,1620,306,53,1985,6825,376,9185
206041124,144,12,155,568,180,15,764,5605,437,6810
206041125,151,89,241,638,278,14,933,4415,516,5862
206041127,0,0,0,0,0,0,0,0,0,0
206041503,35,6,41,519,199,6,727,7573,1114,9408
206041504,17,0,17,550,141,0,697,14221,1486,16405
206041505,15,0,18,702,178,0,880,12815,1418,15112
206041506,108,13,126,1637,355,30,2021,10603,1246,13873
206041507,0,0,0,0,0,0,0,0,0,0
206041508,33,0,35,565,155,6,725,4816,445,5985
206041509,29,0,27,1151,342,12,1500,12874,856,15227
206041510,16,0,15,729,138,8,880,5441,572,6891
206051128,248,26,281,2384,722,48,3152,9854,706,13709
206051129,119,22,143,2157,549,46,2753,9307,813,12870
206051130,211,22,244,2469,679,63,3212,9819,858,13891
206051134,160,16,176,2053,446,48,2556,10422,921,13900
206051511,0,0,0,200,55,3,256,1215,265,1742
206051512,221,66,287,1435,384,29,1849,7841,662,10349
206051513,64,9,75,1007,314,21,1344,8781,905,11030
206051514,130,139,271,1259,399,28,1678,9734,1415,12832
206061135,180,33,221,1311,417,21,1756,6028,362,8142
206061136,305,95,400,1895,542,37,2476,14113,1003,17588
206061138,439,69,517,1520,778,29,2319,8481,735,11535
206061515,92,4,98,700,289,7,992,8781,835,10605
206061516,183,16,197,884,281,19,1182,7341,606,9132
206071139,98,3,97,921,282,10,1210,6645,498,8354
206071140,126,9,141,1026,386,23,1440,5582,276,7293
206071141,62,0,67,749,208,14,976,6741,569,8284
206071142,112,12,135,923,300,23,1244,7334,787,9362
206071143,272,24,294,1706,486,46,2237,8459,525,11215
206071145,128,3,139,1633,447,33,2117,5883,355,8352
206071517,191,10,210,2032,528,43,2601,12518,797,15921
206071518,185,21,202,1302,359,32,1696,10170,725,12592
207011146,192,32,227,1616,268,37,1922,4222,230,6370
207011147,585,46,640,2807,822,33,3665,9463,448,13584
207011148,575,39,615,3961,947,57,4966,11891,505,17368
207011149,820,90,912,3594,1065,63,4723,12502,618,17841
207011150,289,16,312,3304,824,69,4193,9087,369,13649
207011152,299,19,329,2482,655,47,3186,9710,496,13393
207011154,152,8,166,1216,284,20,1518,3637,164,5319
207011155,523,42,570,2770,938,46,3754,9219,421,13399
207011519,142,5,151,1459,413,23,1890,6254,396,8542
207011520,228,20,251,1531,478,26,2031,8096,468,10599
207011521,301,61,368,1919,635,38,2585,6921,362,9865
207011522,381,37,418,2192,648,25,2863,7684,497,11041
207021156,485,25,514,1767,547,28,2343,7042,279,9661
207021157,844,60,909,3859,1115,44,5021,15434,885,21331
207021159,598,90,696,2733,1036,46,3818,9955,569,14347
207021160,614,62,693,2490,666,49,3200,8201,429,11833
207021424,457,20,480,2752,891,31,3680,9047,333,13063
207021425,475,35,518,3144,600,44,3785,8147,502,12435
207031161,667,90,761,4089,908,74,5071,12610,618,18296
207031162,456,31,480,2028,472,33,2534,6189,311,9035
207031163,556,119,673,3232,625,35,3900,14724,1397,20017
207031164,412,22,442,3322,707,61,4092,10404,532,15027
207031165,426,26,456,1580,373,29,1983,8159,708,10846
207031166,354,11,372,1654,477,12,2145,6712,359,9214
207031167,273,41,315,1772,521,35,2328,5909,329,8572
208011168,387,31,423,2507,820,65,3388,7767,358,11512
208011169,804,133,940,3799,1345,74,5217,13149,846,19212
208011170,601,77,679,3316,713,56,4081,8739,539,13357
208011171,258,26,285,2606,464,61,3127,6454,331,9912
208011172,354,27,394,3336,780,72,4189,10174,637,14998
208011173,611,83,709,2940,1110,57,4104,9917,614,14638
208021174,664,64,728,4892,992,70,5952,13572,769,20297
208021176,348,104,457,2941,545,45,3534,11736,710,15981
208021177,583,76,667,3517,1342,120,4976,12444,978,18402
208021178,579,59,649,3186,977,87,4248,10063,639,14950
208021179,247,22,273,2090,464,28,2587,6931,361,9880
208021180,200,9,214,1349,231,18,1605,4555,221,6382
208021181,189,10,195,1710,320,25,2048,5505,272,7826
208021182,155,12,171,2300,390,30,2715,7878,523,11119
208021426,359,26,379,3526,567,52,4146,8441,458,13044
208021427,439,15,458,2884,555,49,3495,7488,362,11336
208031183,138,19,159,1628,408,32,2074,4988,185,7248
208031184,3,0,3,0,0,0,0,24,3,31
208031185,231,16,252,2030,678,47,2756,6913,367,10036
208031186,457,24,478,2654,716,82,3457,8490,667,12609
208031187,103,5,111,1056,228,24,1321,2838,181,4334
208031188,859,98,961,4466,895,75,5438,13643,898,19983
208031189,242,16,261,2809,650,81,3536,6950,365,10852
208031190,371,35,403,2253,585,50,2888,7872,358,11122
208031191,172,32,210,1812,345,34,2194,4763,415,7371
208031192,0,0,0,0,0,0,0,26,0,26
208031193,520,37,558,4025,1090,87,5203,11611,540,17352
208041194,596,57,659,3275,979,61,4313,12280,672,17266
208041195,562,84,651,3751,855,60,4666,13029,718,18419
209011196,245,15,269,1627,409,27,2057,5804,345,8210
209011197,448,73,524,3969,1227,83,5278,11161,550,16983
209011198,609,59,674,3022,665,52,3744,8912,498,13154
209011199,237,23,264,2255,478,62,2796,8795,815,12405
209011200,331,19,363,2073,608,43,2720,7455,362,10540
209011201,188,11,201,1293,504,23,1814,4501,208,6529
