SA2_CODE_2021,M_0_149_CFNC,M_0_149_CF_C_und15,M_0_149_CFNC_und15,M_0_149_1PF_C_und15,M_0_149_1PFNC_und15,M_0_149_OthF,M_0_149_Tot,M_150_299_CFNC,M_150_299_CF_C_und15,M_150_299_CFNC_und15,M_150_299_1PF_C_und15,M_150_299_1PFNC_und15,M_150_299_OthF,M_150_299_Tot,M_300_449_CFNC,M_300_449_CF_C_und15,M_300_449_CFNC_und15,M_300_449_1PF_C_und15,M_300_449_1PFNC_und15,M_300_449_OthF,M_300_449_Tot,M_450_599_CFNC,M_450_599_CF_C_und15,M_450_599_CFNC_und15,M_450_599_1PF_C_und15,M_450_599_1PFNC_und15,M_450_599_OthF,M_450_599_Tot,M_600_799_CFNC,M_600_799_CF_C_und15,M_600_799_CFNC_und15,M_600_799_1PF_C_und15,M_600_799_1PFNC_und15,M_600_799_OthF,M_600_799_Tot,M_800_999_CFNC,M_800_999_CF_C_und15,M_800_999_CFNC_und15,M_800_999_1PF_C_und15,M_800_999_1PFNC_und15,M_800_999_OthF,M_800_999_Tot,M_1000_1199_CFNC,M_1000_1199_CF_C_und15,M_1000_1199_CFNC_und15,M_1000_1199_1PF_C_und15,M_1000_1199_1PFNC_und15,M_1000_1199_OthF,M_1000_1199_Tot,M_1200_1399_CFNC,M_1200_1399_CF_C_und15,M_1200_1399_CFNC_und15,M_1200_1399_1PF_C_und15,M_1200_1399_1PFNC_und15,M_1200_1399_OthF,M_1200_1399_Tot,M_1400_1599_CFNC,M_1400_1599_CF_C_und15,M_1400_1599_CFNC_und15,M_1400_1599_1PF_C_und15,M_1400_1599_1PFNC_und15,M_1400_1599_OthF,M_1400_1599_Tot,M_1600_1799_CFNC,M_1600_1799_CF_C_und15,M_1600_1799_CFNC_und15,M_1600_1799_1PF_C_und15,M_1600_1799_1PFNC_und15,M_1600_1799_OthF,M_1600_1799_Tot,M_1800_1999_CFNC,M_1800_1999_CF_C_und15,M_1800_1999_CFNC_und15,M_1800_1999_1PF_C_und15,M_1800_1999_1PFNC_und15,M_1800_1999_OthF,M_1800_1999_Tot,M_2000_2199_CFNC,M_2000_2199_CF_C_und15,M_2000_2199_CFNC_und15,M_2000_2199_1PF_C_und15,M_2000_2199_1PFNC_und15,M_2000_2199_OthF,M_2000_2199_Tot,M_2200_2399_CFNC,M_2200_2399_CF_C_und15,M_2200_2399_CFNC_und15,M_2200_2399_1PF_C_und15,M_2200_2399_1PFNC_und15,M_2200_2399_OthF,M_2200_2399_Tot,M_2400_2599_CFNC,M_2400_2599_CF_C_und15,M_2400_2599_CFNC_und15,M_2400_2599_1PF_C_und15,M_2400_2599_1PFNC_und15,M_2400_2599_OthF,M_2400_2599_Tot,M_2600_2999_CFNC,M_2600_2999_CF_C_und15,M_2600_2999_CFNC_und15,M_2600_2999_1PF_C_und15,M_2600_2999_1PFNC_und15,M_2600_2999_OthF,M_2600_2999_Tot,M_3000_3999_CFNC,M_3000_3999_CF_C_und15,M_3000_3999_CFNC_und15,M_3000_3999_1PF_C_und15,M_3000_3999_1PFNC_und15,M_3000_3999_OthF,M_3000_3999_Tot,M_4000_4999_CFNC,M_4000_4999_CF_C_und15,M_4000_4999_CFNC_und15,M_4000_4999_1PF_C_und15,M_4000_4999_1PFNC_und15,M_4000_4999_OthF,M_4000_4999_Tot,M_5000over_CFNC,M_5000over_CF_C_und15,M_5000over_CFNC_und15,M_5000over_1PF_C_und15,M_5000over_1PFNC_und15,M_5000over_OthF,M_5000over_Tot,M_NS_CFNC,M_NS_CF_C_und15,M_NS_CFNC_und15,M_NS_1PF_C_und15,M_NS_1PFNC_und15,M_NS_OthF,M_NS_Tot,Tot_CFNC,Tot_CF_C_und15,Tot_CFNC_und15,Tot_1PF_C_und15,Tot_1PFNC_und15,Tot_OthF,Tot_Tot
201011001,16,14,11,0,0,0,47,9,4,3,4,3,0,18,9,13,7,0,3,0,33,9,5,7,3,0,0,20,12,14,9,8,7,0,62,16,34,12,11,17,0,86,29,58,30,16,11,0,143,47,86,24,19,8,0,197,51,110,26,17,11,0,226,58,146,41,13,10,0,273,51,108,27,6,10,0,202,52,154,33,6,5,0,261,11,58,6,3,0,0,82,11,33,9,3,0,0,53,22,71,29,5,0,0,118,27,67,13,5,4,0,115,4,22,6,0,0,0,40,0,17,3,0,0,0,25,20,41,20,9,3,0,94,470,1066,322,126,99,9,2087
201011002,12,12,10,0,0,0,39,5,4,0,0,0,0,10,9,8,7,0,0,0,27,11,4,0,0,5,0,15,18,8,4,0,5,0,39,14,15,12,3,4,0,42,16,26,5,3,6,0,59,23,24,11,13,6,0,78,16,34,15,5,7,0,72,18,34,10,4,0,0,66,18,24,11,3,7,0,56,22,65,17,10,0,0,108,9,18,9,3,0,0,43,4,20,0,0,0,0,31,19,28,9,0,4,0,67,24,38,14,4,5,0,80,10,24,10,0,3,0,41,9,35,4,0,0,0,52,24,19,4,4,0,0,48,275,441,146,62,54,0,979
201011005,15,13,5,5,0,0,28,3,4,8,0,0,0,14,8,6,5,0,5,0,20,0,5,3,0,0,0,17,11,7,9,5,0,0,32,4,17,7,0,0,0,31,20,32,10,7,7,0,71,23,34,17,4,8,0,90,19,41,14,3,4,0,81,23,56,20,3,6,0,111,17,43,9,0,3,0,74,17,68,14,8,6,0,107,8,20,3,0,0,0,34,5,14,3,0,0,0,23,10,43,4,6,0,0,64,11,26,4,4,0,0,44,3,12,0,0,0,0,12,7,6,0,0,0,0,16,10,19,9,0,0,0,44,211,477,145,37,51,3,926
201011006,18,8,12,6,4,0,34,5,0,4,0,0,0,9,10,3,6,0,4,0,20,7,9,3,6,3,0,24,7,14,3,4,3,0,40,21,25,11,4,12,0,76,35,35,22,19,7,0,115,53,89,25,23,11,3,207,83,108,14,15,12,3,235,75,131,24,16,12,3,258,34,66,7,7,3,4,122,35,46,11,0,0,0,102,11,9,7,0,0,0,28,0,4,0,0,0,0,8,13,20,3,4,0,0,44,13,20,7,6,0,0,41,3,0,0,0,0,0,5,0,4,0,0,0,0,4,22,19,9,12,7,0,66,449,612,158,109,79,16,1433
201011007,9,4,0,0,0,0,15,5,5,0,0,0,0,5,10,7,5,0,0,0,28,4,0,0,0,0,0,4,4,6,9,0,3,0,31,11,11,12,0,3,0,42,13,14,11,4,5,0,36,14,19,20,4,5,0,57,8,35,19,0,3,0,73,19,43,9,6,3,0,81,11,27,5,0,0,0,49,21,39,22,0,4,0,89,9,27,9,0,0,0,33,6,8,3,0,0,0,21,6,30,11,0,0,0,41,14,25,10,0,0,0,45,5,4,0,0,0,0,7,8,4,3,0,0,0,8,11,19,14,3,4,0,48,181,328,153,32,33,0,725
201011008,18,6,7,4,0,0,37,7,3,4,0,5,0,14,8,9,11,5,8,0,32,14,13,3,3,9,0,38,24,13,11,9,11,4,65,30,50,14,17,12,4,118,50,55,19,18,18,0,155,67,89,33,28,15,3,233,56,92,19,17,0,0,188,61,94,28,11,0,5,193,16,46,8,3,3,0,72,26,35,14,8,3,0,91,3,11,0,0,0,0,14,3,7,5,0,0,0,9,11,28,5,0,3,0,40,18,13,6,0,3,0,39,5,8,0,0,4,0,10,0,3,0,0,0,0,6,31,29,15,3,11,0,79,443,592,189,119,93,15,1445
201011481,12,3,8,5,0,0,34,8,0,0,0,0,0,10,12,6,4,0,0,0,22,9,7,5,3,0,0,22,19,18,7,6,9,0,52,21,16,10,5,9,0,67,27,40,11,9,7,0,84,29,56,11,7,16,0,120,38,39,17,11,5,0,107,24,41,9,10,6,0,81,13,20,4,8,0,0,36,16,22,9,4,0,0,47,8,10,0,0,3,0,21,3,12,0,0,0,0,13,3,15,6,0,0,0,21,14,13,0,4,4,0,32,7,3,10,0,0,0,16,0,5,0,0,0,0,4,11,8,4,0,6,3,37,252,323,115,63,61,6,819
201011482,18,16,3,3,0,0,42,5,5,7,0,0,0,15,13,16,5,4,3,0,35,12,15,3,0,4,0,30,28,30,12,6,11,0,79,22,40,14,5,15,0,102,41,68,20,13,13,0,151,41,65,26,9,13,0,149,38,100,20,11,6,3,177,51,71,21,12,11,3,159,31,78,12,0,9,0,131,52,119,24,5,0,0,197,22,34,6,0,0,0,69,13,27,7,4,0,0,43,24,52,14,6,5,0,100,21,58,28,3,7,0,113,10,16,4,0,0,0,29,4,15,3,0,0,0,32,15,32,13,5,3,0,68,461,853,242,72,86,12,1722
201011483,16,9,5,0,4,0,32,0,0,0,0,0,0,6,13,0,5,0,0,0,21,8,6,5,4,6,0,31,27,12,8,5,9,0,57,31,42,9,4,3,3,96,32,47,14,20,13,0,129,45,57,21,19,13,0,151,48,74,10,11,10,0,152,35,62,11,6,6,0,131,29,46,5,6,0,0,91,27,63,7,0,0,0,104,16,23,6,0,0,0,43,13,11,0,0,0,0,22,9,21,8,0,0,0,34,11,23,4,0,0,0,30,0,4,3,0,0,0,11,3,0,0,0,0,0,4,13,22,21,9,5,0,67,363,531,151,85,71,8,1216
201011484,14,5,4,0,3,0,26,0,3,0,0,3,0,8,7,6,6,4,4,0,38,13,0,4,0,4,0,20,29,16,19,6,7,0,79,42,51,18,16,18,0,139,43,61,15,20,16,3,163,49,73,16,26,18,0,184,34,41,16,15,5,3,113,20,36,5,5,9,0,78,17,22,5,0,0,0,45,10,13,6,5,7,0,45,3,6,0,0,0,0,10,0,3,0,0,0,0,10,5,8,4,4,0,0,18,3,7,0,0,4,0,13,4,0,0,0,0,0,4,0,0,0,0,0,0,0,21,9,12,3,12,0,55,310,355,141,108,120,9,1047
