SA2_CODE_2021,M_0_149_CFNC,M_0_149_CF_C_und15,M_0_149_CFNC_und15,M_0_149_1PF_C_und15,M_0_149_1PFNC_und15,M_0_149_OthF,M_0_149_Tot,M_150_299_CFNC,M_150_299_CF_C_und15,M_150_299_CFNC_und15,M_150_299_1PF_C_und15,M_150_299_1PFNC_und15,M_150_299_OthF,M_150_299_Tot,M_300_449_CFNC,M_300_449_CF_C_und15,M_300_449_CFNC_und15,M_300_449_1PF_C_und15,M_300_449_1PFNC_und15,M_300_449_OthF,M_300_449_Tot,M_450_599_CFNC,M_450_599_CF_C_und15,M_450_599_CFNC_und15,M_450_599_1PF_C_und15,M_450_599_1PFNC_und15,M_450_599_OthF,M_450_599_Tot,M_600_799_CFNC,M_600_799_CF_C_und15,M_600_799_CFNC_und15,M_600_799_1PF_C_und15,M_600_799_1PFNC_und15,M_600_799_OthF,M_600_799_Tot,M_800_999_CFNC,M_800_999_CF_C_und15,M_800_999_CFNC_und15,M_800_999_1PF_C_und15,M_800_999_1PFNC_und15,M_800_999_OthF,M_800_999_Tot,M_1000_1199_CFNC,M_1000_1199_CF_C_und15,M_1000_1199_CFNC_und15,M_1000_1199_1PF_C_und15,M_1000_1199_1PFNC_und15,M_1000_1199_OthF,M_1000_1199_Tot,M_1200_1399_CFNC,M_1200_1399_CF_C_und15,M_1200_1399_CFNC_und15,M_1200_1399_1PF_C_und15,M_1200_1399_1PFNC_und15,M_1200_1399_OthF,M_1200_1399_Tot,M_1400_1599_CFNC,M_1400_1599_CF_C_und15,M_1400_1599_CFNC_und15,M_1400_1599_1PF_C_und15,M_1400_1599_1PFNC_und15,M_1400_1599_OthF,M_1400_1599_Tot,M_1600_1799_CFNC,M_1600_1799_CF_C_und15,M_1600_1799_CFNC_und15,M_1600_1799_1PF_C_und15,M_1600_1799_1PFNC_und15,M_1600_1799_OthF,M_1600_1799_Tot,M_1800_1999_CFNC,M_1800_1999_CF_C_und15,M_1800_1999_CFNC_und15,M_1800_1999_1PF_C_und15,M_1800_1999_1PFNC_und15,M_1800_1999_OthF,M_1800_1999_Tot,M_2000_2199_CFNC,M_2000_2199_CF_C_und15,M_2000_2199_CFNC_und15,M_2000_2199_1PF_C_und15,M_2000_2199_1PFNC_und15,M_2000_2199_OthF,M_2000_2199_Tot,M_2200_2399_CFNC,M_2200_2399_CF_C_und15,M_2200_2399_CFNC_und15,M_2200_2399_1PF_C_und15,M_2200_2399_1PFNC_und15,M_2200_2399_OthF,M_2200_2399_Tot,M_2400_2599_CFNC,M_2400_2599_CF_C_und15,M_2400_2599_CFNC_und15,M_2400_2599_1PF_C_und15,M_2400_2599_1PFNC_und15,M_2400_2599_OthF,M_2400_2599_Tot,M_2600_2999_CFNC,M_2600_2999_CF_C_und15,M_2600_2999_CFNC_und15,M_2600_2999_1PF_C_und15,M_2600_2999_1PFNC_und15,M_2600_2999_OthF,M_2600_2999_Tot,M_3000_3999_CFNC,M_3000_3999_CF_C_und15,M_3000_3999_CFNC_und15,M_3000_3999_1PF_C_und15,M_3000_3999_1PFNC_und15,M_3000_3999_OthF,M_3000_3999_Tot,M_4000_4999_CFNC,M_4000_4999_CF_C_und15,M_4000_4999_CFNC_und15,M_4000_4999_1PF_C_und15,M_4000_4999_1PFNC_und15,M_4000_4999_OthF,M_4000_4999_Tot,M_5000over_CFNC,M_5000over_CF_C_und15,M_5000over_CFNC_und15,M_5000over_1PF_C_und15,M_5000over_1PFNC_und15,M_5000over_OthF,M_5000over_Tot,M_NS_CFNC,M_NS_CF_C_und15,M_NS_CFNC_und15,M_NS_1PF_C_und15,M_NS_1PFNC_und15,M_NS_OthF,M_NS_Tot,Tot_CFNC,Tot_CF_C_und15,Tot_CFNC_und15,Tot_1PF_C_und15,Tot_1PFNC_und15,Tot_OthF,Tot_Tot
201021009,14,3,0,0,3,0,21,8,0,0,0,0,0,8,11,0,5,0,6,0,21,3,5,4,0,0,0,13,8,10,6,4,6,0,26,10,6,10,0,7,0,39,16,14,15,7,6,0,60,30,26,23,6,8,0,92,26,32,15,9,4,0,83,28,55,11,8,3,0,115,22,42,4,3,0,3,80,19,45,11,0,4,0,79,12,28,17,0,0,0,58,12,14,3,3,0,0,29,15,27,6,0,4,0,51,26,41,10,0,0,0,76,6,6,0,0,0,0,19,0,14,0,0,0,0,17,21,20,11,0,6,0,62,290,404,149,57,54,4,956
201021010,16,10,3,0,0,0,34,10,0,0,0,0,0,12,13,4,4,0,9,0,30,9,3,5,4,5,0,26,15,17,5,12,6,0,61,16,30,12,3,10,0,70,24,31,18,10,5,0,88,40,48,12,11,6,0,107,30,45,9,8,0,0,88,26,40,6,3,3,0,77,19,28,7,3,0,0,59,21,33,11,0,3,0,68,8,11,4,0,0,0,13,8,9,0,0,0,0,15,6,18,9,0,0,0,38,12,16,0,0,0,0,33,4,4,4,0,0,0,18,0,9,3,0,0,0,12,35,17,7,3,10,0,71,320,371,114,58,60,7,936
201021011,18,11,6,0,4,0,34,7,3,0,0,0,0,15,21,0,5,0,0,0,27,3,7,6,0,0,0,24,21,8,4,0,5,0,47,34,19,10,11,8,0,74,28,23,10,7,3,0,72,35,25,14,4,0,0,85,32,25,8,3,0,0,73,44,42,13,11,5,0,121,23,25,7,7,6,0,67,48,36,6,5,4,0,100,16,23,7,4,0,0,49,16,13,3,0,0,0,29,25,18,9,6,0,0,57,34,11,6,0,0,0,56,17,5,4,0,0,0,26,26,12,0,0,0,0,41,16,23,5,3,4,0,58,467,339,119,62,50,3,1051
201021012,4,7,8,5,0,0,20,3,0,0,0,6,0,6,7,6,4,0,0,0,20,9,7,7,0,4,0,21,9,4,3,3,3,0,26,13,13,9,0,8,0,46,24,20,7,3,0,0,59,24,34,9,0,0,0,78,25,37,13,0,0,0,79,19,51,23,4,4,0,97,21,41,10,4,0,0,74,33,41,14,4,4,0,102,13,21,9,0,0,0,43,5,16,7,0,0,0,24,29,28,12,0,4,0,66,18,27,7,5,0,0,55,6,14,5,0,0,0,26,5,4,4,0,3,0,14,17,18,8,0,4,0,56,272,385,154,44,44,8,906
201031013,6,0,0,0,0,0,14,4,0,3,0,0,0,7,5,0,0,3,9,0,18,6,6,0,3,3,0,22,21,9,0,3,4,0,32,17,17,8,0,5,0,49,13,14,3,4,0,0,39,15,24,3,0,3,0,46,9,3,0,0,0,0,21,10,8,3,0,0,0,20,6,6,5,0,0,0,15,5,7,0,0,0,0,20,3,0,0,0,0,0,0,0,3,0,0,0,0,3,0,0,5,0,0,0,5,3,0,0,0,0,0,9,0,0,0,0,0,0,0,4,0,0,0,0,0,4,4,5,0,5,0,0,15,132,117,33,27,23,3,338
201031014,15,4,0,0,0,0,24,3,0,0,0,0,0,10,6,4,0,0,3,0,16,6,4,0,4,0,0,17,21,3,6,0,3,0,35,22,22,6,4,4,0,54,19,11,9,3,4,0,50,23,25,5,6,0,0,54,14,19,6,7,5,0,47,14,20,5,0,0,0,44,5,17,7,0,0,0,24,12,12,6,0,0,0,31,3,12,0,0,0,0,12,4,3,0,0,4,0,9,6,6,3,0,0,0,15,4,4,0,0,0,0,13,4,0,0,0,0,0,3,0,5,0,0,0,0,0,12,9,6,0,0,0,29,182,177,67,24,28,7,486
201031015,6,6,0,0,4,0,20,6,0,0,0,0,0,11,10,0,4,0,4,0,16,6,4,6,0,0,0,13,14,11,8,8,5,0,43,12,22,5,4,3,0,48,24,27,11,11,4,0,76,33,41,16,7,4,0,100,23,39,9,3,0,0,81,16,40,7,5,4,3,86,9,30,4,3,5,0,40,17,25,4,5,0,0,52,6,17,4,0,0,0,22,3,3,4,0,0,0,12,11,19,6,0,0,0,26,6,8,6,0,0,0,22,5,9,0,0,0,0,10,5,0,3,0,0,0,6,17,11,3,0,0,0,36,220,311,101,55,45,3,728
201031016,5,0,4,0,3,0,13,4,8,0,0,3,0,15,10,8,9,0,3,0,32,12,6,0,9,5,0,31,30,6,12,13,10,3,74,36,43,22,12,10,0,118,22,34,13,9,10,0,90,29,34,3,3,5,0,80,14,28,3,4,4,0,47,12,19,0,4,4,0,38,7,7,3,0,0,0,18,14,9,0,0,0,0,25,4,4,0,0,0,0,8,0,0,0,0,0,0,3,9,3,0,0,0,0,12,0,3,0,0,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14,11,7,0,0,0,29,211,223,96,56,63,6,650
201031017,12,10,4,0,0,5,29,8,0,3,0,0,0,16,18,5,13,0,3,0,31,11,5,8,0,4,0,32,14,19,9,5,9,0,63,27,22,11,4,15,0,75,30,22,3,4,3,0,61,22,34,7,4,5,0,74,11,16,4,3,3,0,41,15,14,4,3,0,0,43,10,9,0,0,0,0,17,4,20,5,7,0,0,33,9,0,0,0,0,0,8,0,5,0,0,0,0,3,4,3,0,0,0,0,13,4,4,0,0,0,0,10,0,3,0,0,0,0,5,0,0,3,0,0,0,4,12,7,12,0,4,4,35,202,202,84,39,47,11,579
202011018,14,9,8,5,9,0,37,7,3,0,0,0,0,15,11,7,7,0,4,0,25,9,3,4,5,4,0,25,27,19,19,4,8,0,77,25,41,20,14,9,3,112,52,46,22,6,19,4,145,54,67,15,28,10,0,165,35,29,13,7,5,0,93,26,26,4,8,5,0,75,25,27,3,4,4,0,55,24,28,12,5,0,0,74,9,20,3,0,0,0,34,0,9,0,0,0,0,9,3,19,8,5,5,0,38,15,23,12,3,0,0,57,9,3,3,0,4,0,18,0,9,11,0,0,0,19,20,18,6,7,6,0,50,359,398,162,95,95,16,1126
202011019,9,9,3,4,0,0,29,5,4,3,0,3,0,15,16,10,3,0,8,0,40,3,3,5,0,5,0,15,30,16,8,7,14,0,86,38,43,15,17,20,0,136,50,62,25,17,18,4,177,63,119,22,24,19,6,245,75,88,25,20,13,9,229,52,62,18,13,14,3,157,22,33,13,4,0,4,71,25,27,13,9,4,0,80,7,8,0,0,0,0,23,3,0,5,0,0,0,9,13,10,6,5,0,0,30,13,12,4,7,0,0,34,5,4,3,0,0,0,13,0,3,0,0,0,0,8,24,21,14,7,10,4,85,450,527,193,128,126,29,1460
202011020,19,11,3,0,4,0,41,13,6,0,0,4,0,22,7,5,9,0,7,0,28,12,11,8,0,4,0,24,23,16,8,3,7,0,52,23,17,18,8,6,0,68,43,27,17,3,12,0,104,35,49,12,7,7,0,118,40,66,15,4,6,0,135,28,54,15,8,10,0,116,12,40,10,3,0,0,66,30,45,16,5,0,0,90,7,19,4,0,3,0,35,8,21,6,0,0,0,34,14,32,8,0,0,0,47,23,28,12,0,0,0,65,6,9,0,0,0,0,16,7,9,7,0,0,0,29,18,15,5,4,4,0,46,357,473,183,57,74,9,1143
202011021,14,3,9,0,0,0,32,9,0,0,0,3,0,16,8,8,3,3,0,0,19,8,3,4,0,0,0,21,8,16,8,9,3,0,41,10,25,9,7,15,0,61,25,33,8,9,10,5,81,34,44,17,15,11,0,125,31,52,13,7,3,0,108,23,54,3,4,4,0,86,6,28,5,4,0,0,47,23,39,9,0,4,0,78,3,6,5,0,0,0,16,9,3,3,0,0,0,16,9,12,3,0,0,0,26,16,19,6,4,0,0,47,0,8,0,0,0,0,18,0,4,0,0,0,0,8,11,16,0,5,0,0,32,241,374,118,80,58,8,878
202011022,23,15,11,3,6,0,57,7,3,3,0,3,0,22,16,3,10,6,12,0,40,17,9,13,4,7,0,47,36,27,16,3,15,0,110,46,54,25,28,16,4,174,68,89,32,35,23,0,253,102,146,28,37,32,5,349,89,119,30,22,20,7,288,60,101,30,14,15,3,225,19,62,11,7,8,0,103,29,61,14,6,8,0,119,3,18,8,0,0,0,34,8,3,0,0,0,0,12,30,20,10,0,0,0,61,14,26,7,5,7,0,50,5,8,4,0,0,0,21,7,9,3,0,0,0,18,33,40,13,14,8,4,109,622,819,270,179,173,23,2086
202011023,7,3,0,0,0,0,17,5,0,0,0,0,0,9,7,5,4,0,5,0,13,9,6,3,0,0,0,15,8,5,10,9,0,0,36,7,19,15,0,5,0,42,10,35,9,6,3,0,65,15,35,22,9,6,0,78,14,55,16,4,3,0,82,26,82,17,10,3,3,143,9,68,6,0,0,0,87,24,67,15,9,3,0,115,8,20,4,0,0,0,37,0,16,0,0,0,0,17,8,34,8,0,0,0,51,3,22,6,0,0,0,30,4,4,9,0,0,0,16,0,5,0,0,0,0,9,4,21,11,0,0,0,48,166,492,162,49,31,4,910
202011024,15,16,9,0,4,0,40,0,4,0,0,0,0,8,6,4,4,0,8,0,28,9,6,11,0,0,0,27,13,24,5,6,3,0,51,14,19,12,4,7,0,61,11,33,16,5,3,0,67,29,56,17,12,6,0,123,34,77,20,17,3,0,151,47,117,32,14,5,3,211,27,88,23,12,3,0,155,40,131,30,14,3,0,211,27,58,10,0,0,0,96,11,25,9,0,0,0,45,17,63,29,3,3,0,121,17,66,18,4,0,0,103,13,22,8,0,0,0,37,7,18,4,0,0,0,27,16,44,19,5,0,0,82,356,864,264,90,47,8,1638
202011025,20,12,3,0,3,0,44,10,5,9,0,0,0,23,23,5,9,0,4,0,33,14,0,4,3,4,0,27,26,20,8,3,3,0,61,31,36,22,15,9,0,116,56,83,23,28,12,3,203,73,141,29,21,10,0,277,72,158,34,30,11,0,302,71,129,22,16,8,5,246,34,91,7,10,8,0,149,48,101,18,8,9,0,183,10,28,3,0,0,0,45,8,9,3,0,0,0,22,15,30,13,3,7,0,57,10,32,10,0,0,0,52,7,0,3,3,0,0,13,0,9,0,0,0,0,7,24,35,19,16,3,0,88,548,930,231,149,95,12,1963
202021026,19,17,6,0,3,0,49,3,0,0,0,0,0,11,16,8,3,0,3,0,37,11,4,6,0,0,0,23,8,8,10,0,0,0,35,19,18,10,4,4,0,59,32,33,21,8,4,0,94,33,53,16,6,10,0,123,46,65,23,0,5,0,143,42,103,10,8,3,0,174,25,54,12,4,4,0,101,46,68,23,5,0,0,136,9,28,12,0,0,0,54,4,19,0,0,0,0,27,20,46,13,0,0,0,75,28,35,18,4,0,0,73,15,21,9,0,0,0,39,4,5,0,0,0,0,15,28,25,16,4,4,0,83,409,614,218,60,49,3,1355
202021027,16,14,0,0,3,0,33,14,4,0,5,0,0,21,18,4,7,6,3,5,38,18,3,0,4,4,0,28,19,5,9,5,8,0,41,18,29,9,5,12,0,73,30,28,8,17,7,0,100,32,48,15,17,7,0,134,26,65,6,11,5,0,117,43,64,10,6,7,0,132,22,41,7,0,0,0,63,23,40,10,5,5,0,88,8,22,8,0,0,0,37,7,14,4,0,0,0,25,19,20,9,3,0,0,46,13,27,8,0,0,0,50,4,7,3,0,0,0,15,5,7,0,0,0,0,15,24,14,9,3,5,0,48,347,448,118,96,81,9,1107
202021028,20,0,3,0,0,0,33,9,4,0,0,0,0,15,15,4,9,8,3,0,38,10,5,5,5,7,5,33,22,15,10,5,0,0,57,31,19,9,6,10,0,82,31,22,14,3,6,0,78,30,52,18,14,4,0,118,44,43,12,12,7,0,117,39,46,8,15,6,0,117,21,26,10,5,7,0,69,33,40,9,7,3,0,95,16,15,6,5,0,0,42,13,21,4,0,0,0,38,23,26,5,0,0,0,58,24,28,13,0,0,0,65,9,0,4,0,0,0,19,4,0,3,0,0,0,17,21,19,6,6,5,0,51,420,398,153,87,64,8,1131
202021029,10,3,4,0,0,0,13,5,0,0,0,0,0,5,3,3,0,0,0,0,16,5,0,0,0,0,0,13,14,0,7,3,4,0,27,19,11,11,0,4,4,47,22,19,13,5,9,0,62,25,18,4,3,5,4,63,19,26,4,0,3,0,56,22,22,3,3,3,0,58,8,25,9,0,0,0,41,15,20,0,0,0,0,42,11,9,0,0,0,0,17,4,3,0,0,0,0,11,4,12,0,0,0,0,15,12,10,5,0,0,0,25,4,3,0,0,0,0,8,3,0,0,0,0,0,7,23,8,5,3,0,0,39,211,210,70,23,26,10,552
202021030,17,12,0,3,0,0,37,11,5,0,0,3,0,18,8,0,3,0,5,0,16,9,4,7,0,8,0,25,20,7,10,4,0,0,39,21,25,10,3,0,0,64,25,29,13,5,4,0,72,33,41,12,4,5,0,97,33,53,8,9,7,0,107,32,59,11,11,4,0,116,22,57,12,7,0,0,102,46,65,16,6,6,0,144,29,36,7,0,0,0,68,14,34,0,0,0,0,48,27,55,9,8,0,0,99,43,64,20,0,5,0,125,11,20,4,0,0,0,39,11,12,0,0,0,0,26,26,17,16,4,8,4,62,421,598,157,64,63,9,1315
202021031,19,11,9,0,6,0,44,6,5,0,0,0,0,9,6,0,3,0,10,0,21,5,3,0,0,4,0,15,6,6,9,0,0,0,25,13,6,8,0,3,0,30,15,23,9,4,5,0,52,11,23,15,4,3,0,68,15,25,12,6,9,0,65,13,44,11,4,3,0,79,13,31,5,3,0,0,52,29,52,16,7,3,0,115,21,35,9,0,5,0,68,11,38,4,0,0,0,52,22,54,17,3,3,0,99,26,74,19,0,0,0,123,12,29,6,0,3,0,53,12,28,3,0,0,0,46,19,37,11,4,3,0,71,265,530,172,51,69,0,1083
202031032,6,7,0,4,0,0,16,3,3,0,0,0,0,7,5,9,9,0,0,0,23,9,4,3,0,0,0,17,14,14,3,9,5,0,44,17,23,11,3,5,0,62,16,20,8,3,8,0,58,28,39,14,8,3,5,89,27,25,16,3,0,0,69,27,35,6,0,5,0,75,12,17,3,0,0,0,31,9,24,8,0,0,0,43,7,7,0,0,0,0,16,0,6,0,0,0,0,13,5,13,4,0,0,0,23,8,6,3,0,0,0,23,0,3,0,0,0,0,6,3,8,0,0,0,0,10,18,14,9,3,0,0,41,219,269,112,36,26,9,664
202031033,15,8,4,0,0,0,32,8,5,0,0,3,0,16,12,11,5,0,6,0,39,18,9,7,0,0,0,43,32,20,16,7,7,0,76,27,25,15,12,0,0,81,13,23,14,0,0,0,53,13,30,7,5,0,0,53,10,13,5,0,0,0,34,11,14,4,0,4,0,29,4,3,3,0,0,0,9,8,7,0,0,0,0,20,0,0,0,0,0,0,0,0,0,0,0,0,0,4,4,0,0,0,0,0,5,3,4,0,0,0,0,12,0,6,0,0,0,0,9,6,4,0,0,0,0,13,19,6,4,0,5,0,29,195,199,92,28,30,3,549
