SA2_CODE_2021,F_Vietnam_0_4,F_Vietnam_5_14,F_Vietnam_15_24,F_Vietnam_25_44,F_Vietnam_45_54,F_Vietnam_55_64,F_Vietnam_65_74,F_Vietnam_75_84,F_Vietnam_85ov,F_Vietnam_Tot,F_Wales_0_4,F_Wales_5_14,F_Wales_15_24,F_Wales_25_44,F_Wales_45_54,F_Wales_55_64,F_Wales_65_74,F_Wales_75_84,F_Wales_85ov,F_Wales_Tot,F_Zimbabwe_0_4,F_Zimbabwe_5_14,F_Zimbabwe_15_24,F_Zimbabwe_25_44,F_Zimbabwe_45_54,F_Zimbabwe_55_64,F_Zimbabwe_65_74,F_Zimbabwe_75_84,F_Zimbabwe_85ov,F_Zimbabwe_Tot,F_Elsewhere_0_4,F_Elsewhere_5_14,F_Elsewhere_15_24,F_Elsewhere_25_44,F_Elsewhere_45_54,F_Elsewhere_55_64,F_Elsewhere_65_74,F_Elsewhere_75_84,F_Elsewhere_85ov,F_Elsewhere_Tot,F_COB_NS_0_4,F_COB_NS_5_14,F_COB_NS_15_24,F_COB_NS_25_44,F_COB_NS_45_54,F_COB_NS_55_64,F_COB_NS_65_74,F_COB_NS_75_84,F_COB_NS_85ov,F_COB_NS_Tot,F_Tot_0_4,F_Tot_5_14,F_Tot_15_24,F_Tot_25_44,F_Tot_45_54,F_Tot_55_64,F_Tot_65_74,F_Tot_75_84,F_Tot_85ov,F_Tot_Tot,P_Afghanistan_0_4,P_Afghanistan_5_14,P_Afghanistan_15_24,P_Afghanistan_25_44,P_Afghanistan_45_54,P_Afghanistan_55_64,P_Afghanistan_65_74,P_Afghanistan_75_84,P_Afghanistan_85ov,P_Afghanistan_Tot,P_Australia_0_4,P_Australia_5_14,P_Australia_15_24,P_Australia_25_44,P_Australia_45_54,P_Australia_55_64,P_Australia_65_74,P_Australia_75_84,P_Australia_85ov,P_Australia_Tot,P_Bangladesh_0_4,P_Bangladesh_5_14,P_Bangladesh_15_24,P_Bangladesh_25_44,P_Bangladesh_45_54,P_Bangladesh_55_64,P_Bangladesh_65_74,P_Bangladesh_75_84,P_Bangladesh_85ov,P_Bangladesh_Tot,P_Bosnia_Herzegov_0_4,P_Bosnia_Herzegov_5_14,P_Bosnia_Herzegov_15_24,P_Bosnia_Herzegov_25_44,P_Bosnia_Herzegov_45_54,P_Bosnia_Herzegov_55_64,P_Bosnia_Herzegov_65_74,P_Bosnia_Herzegov_75_84,P_Bosnia_Herzegov_85ov,P_Bosnia_Herzegov_Tot,P_Brazil_0_4,P_Brazil_5_14,P_Brazil_15_24,P_Brazil_25_44,P_Brazil_45_54,P_Brazil_55_64,P_Brazil_65_74,P_Brazil_75_84,P_Brazil_85ov,P_Brazil_Tot,P_Cambodia_0_4,P_Cambodia_5_14,P_Cambodia_15_24,P_Cambodia_25_44,P_Cambodia_45_54,P_Cambodia_55_64,P_Cambodia_65_74,P_Cambodia_75_84,P_Cambodia_85ov,P_Cambodia_Tot,P_Canada_0_4,P_Canada_5_14,P_Canada_15_24,P_Canada_25_44,P_Canada_45_54,P_Canada_55_64,P_Canada_65_74,P_Canada_75_84,P_Canada_85ov,P_Canada_Tot,P_Chile_0_4,P_Chile_5_14,P_Chile_15_24,P_Chile_25_44,P_Chile_45_54,P_Chile_55_64,P_Chile_65_74,P_Chile_75_84,P_Chile_85ov,P_Chile_Tot,P_China_0_4,P_China_5_14,P_China_15_24,P_China_25_44,P_China_45_54,P_China_55_64,P_China_65_74,P_China_75_84,P_China_85ov,P_China_Tot,P_Croatia_0_4,P_Croatia_5_14,P_Croatia_15_24,P_Croatia_25_44,P_Croatia_45_54,P_Croatia_55_64,P_Croatia_65_74,P_Croatia_75_84,P_Croatia_85ov,P_Croatia_Tot,P_Egypt_0_4,P_Egypt_5_14,P_Egypt_15_24,P_Egypt_25_44,P_Egypt_45_54,P_Egypt_55_64,P_Egypt_65_74,P_Egypt_75_84,P_Egypt_85ov,P_Egypt_Tot,P_England_0_4,P_England_5_14,P_England_15_24,P_England_25_44,P_England_45_54,P_England_55_64,P_England_65_74,P_England_75_84,P_England_85ov,P_England_Tot,P_Fiji_0_4,P_Fiji_5_14,P_Fiji_15_24,P_Fiji_25_44,P_Fiji_45_54,P_Fiji_55_64,P_Fiji_65_74,P_Fiji_75_84,P_Fiji_85ov,P_Fiji_Tot,P_France_0_4,P_France_5_14,P_France_15_24,P_France_25_44,P_France_45_54,P_France_55_64,P_France_65_74,P_France_75_84,P_France_85ov,P_France_Tot
213051466,0,0,4,40,12,6,3,0,0,68,0,0,3,5,0,0,0,0,0,11,0,0,4,10,7,0,0,0,0,25,7,53,38,172,76,16,20,6,0,388,32,64,26,117,28,19,3,4,0,299,913,2030,789,4056,863,451,345,67,5,9523,0,0,0,7,4,0,0,0,0,6,1661,2655,726,1317,539,204,101,39,0,7246,0,9,9,49,9,3,4,0,0,76,0,0,0,13,0,4,6,0,0,17,0,0,0,21,4,4,0,0,0,26,0,0,4,7,5,6,0,0,0,28,0,4,0,13,9,4,0,0,0,22,0,0,0,3,4,0,9,0,0,16,11,66,75,756,126,115,132,10,0,1287,0,0,0,4,0,0,6,0,0,16,0,11,17,22,8,4,0,0,0,62,0,50,51,95,72,50,14,5,0,341,0,0,3,25,13,8,4,6,0,64,0,0,0,7,0,0,0,0,0,15
213051467,0,3,8,56,25,26,12,0,0,126,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,8,0,17,30,166,99,88,55,30,9,497,38,76,50,186,66,58,66,74,81,692,619,1199,1108,2799,1244,1164,815,512,273,9729,0,0,0,12,4,0,3,0,0,12,1097,1886,1555,2512,1291,1217,744,390,148,10850,0,3,7,71,18,4,0,0,0,102,0,0,0,17,12,4,9,11,0,42,0,0,0,4,3,0,0,0,0,6,0,0,0,10,3,0,3,0,0,17,0,0,0,3,4,4,0,0,0,12,0,0,0,7,0,5,11,4,0,36,0,4,8,99,28,25,24,3,0,186,0,0,0,5,9,18,7,4,0,45,4,4,5,9,0,5,7,7,0,46,0,0,18,38,57,98,112,67,30,430,0,0,0,15,3,11,7,3,0,47,0,0,0,6,0,0,0,0,0,9
213051468,0,0,3,59,12,12,0,0,0,80,0,0,0,0,5,0,0,0,0,10,0,0,3,12,6,0,0,0,0,18,3,44,77,235,64,40,28,6,0,500,48,89,94,204,69,39,30,19,5,595,989,1491,1355,4262,1195,1031,635,227,65,11250,0,0,0,3,3,0,0,0,0,13,1924,2252,1700,3843,1317,1206,719,234,55,13239,0,11,13,115,18,6,0,0,0,172,0,0,0,14,6,10,8,4,0,39,0,6,0,18,0,0,0,0,0,26,0,0,0,0,0,0,0,0,0,6,0,0,0,4,5,0,5,0,0,21,0,0,0,5,0,0,3,6,0,16,0,8,11,112,25,34,8,4,0,203,0,0,0,10,6,12,3,3,3,39,0,0,3,11,0,0,0,0,0,21,0,14,29,115,63,108,77,51,4,467,0,4,4,32,16,3,9,0,0,61,0,0,0,6,0,6,0,0,0,9
213051579,0,4,5,19,3,0,0,0,0,28,0,0,0,0,0,0,0,0,0,0,0,0,0,9,5,0,0,0,0,14,0,35,55,153,50,14,8,6,0,317,18,46,17,87,11,6,5,4,5,202,551,1023,527,2346,437,231,122,44,28,5311,0,0,0,7,0,0,0,0,0,7,1051,1339,522,944,342,150,81,38,27,4500,0,9,3,92,16,9,0,0,0,131,0,0,0,0,0,0,5,0,0,7,0,0,0,0,0,0,0,0,0,10,0,0,0,0,3,0,0,0,0,6,0,3,0,5,0,0,0,0,0,5,0,0,0,3,0,4,0,0,0,8,0,0,0,18,8,9,3,0,0,42,0,0,0,4,0,0,3,0,0,4,0,4,11,4,3,0,0,0,0,22,0,8,10,28,26,26,11,3,4,116,0,9,9,33,16,11,7,0,0,87,0,0,0,3,0,0,0,0,0,4
213051580,0,0,3,34,42,21,6,0,0,114,0,0,0,0,0,0,0,0,0,5,0,0,0,6,0,0,0,0,0,3,3,20,23,90,67,50,34,19,3,314,10,38,37,90,32,27,9,16,0,262,415,1091,898,2108,1221,631,415,259,48,7077,0,0,0,0,0,8,0,0,0,14,779,1930,1388,1464,1168,476,275,192,24,7689,0,0,4,18,0,0,0,0,0,37,0,0,0,7,9,12,4,0,0,40,0,0,0,12,8,0,0,0,0,22,0,0,4,7,9,10,5,5,0,36,0,5,0,0,5,0,0,0,0,10,0,0,0,0,6,6,6,0,0,23,8,26,30,338,104,90,76,24,3,697,0,0,0,6,7,19,13,7,0,57,0,0,0,8,3,7,0,0,0,21,0,11,20,56,79,49,40,38,0,295,0,0,0,8,15,3,15,0,0,48,0,0,0,6,0,5,0,0,0,7
213051581,0,0,0,23,13,14,3,0,0,55,0,0,0,0,0,0,0,0,0,0,0,0,0,4,4,0,0,0,0,13,0,12,15,69,47,23,14,7,0,188,16,26,19,62,15,8,7,4,4,165,371,823,543,1761,652,305,200,81,61,4800,0,0,0,0,0,0,0,0,0,4,672,1289,597,880,471,169,77,39,28,4234,0,3,8,25,12,0,5,0,0,50,0,0,0,9,3,9,3,0,0,23,0,0,0,5,3,0,0,0,0,13,0,0,0,7,3,5,0,0,0,13,0,0,0,8,5,0,0,0,0,15,0,0,4,3,4,4,4,0,0,16,3,28,31,329,73,68,58,3,0,599,0,0,5,7,4,0,0,0,0,16,0,0,0,0,0,6,0,0,0,20,0,20,31,42,57,21,14,13,8,212,0,0,9,22,8,4,7,0,0,55,0,0,0,3,0,0,0,0,0,4
213051582,0,0,4,23,4,4,0,0,0,37,0,0,0,0,0,0,0,0,0,0,0,0,3,6,0,0,0,0,0,11,7,45,49,193,38,16,7,0,0,356,23,41,23,127,21,14,4,0,0,256,675,893,444,2382,262,176,85,24,3,4938,0,0,0,10,0,0,0,0,0,8,1224,1121,282,566,85,66,27,8,0,3385,0,22,6,154,24,0,4,0,0,213,0,0,0,6,0,0,0,0,0,6,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,9,0,0,0,3,0,0,0,0,0,3,0,6,3,47,3,15,0,0,0,75,0,0,0,4,0,0,4,0,0,7,0,0,3,0,0,3,0,0,0,5,0,14,5,14,8,11,4,5,0,63,0,6,0,37,14,3,6,0,0,71,0,0,0,0,0,0,0,0,0,0
213051583,0,3,10,47,18,12,5,3,0,94,0,0,0,0,0,0,0,0,0,0,0,0,0,8,3,0,0,0,0,9,3,73,111,376,166,78,37,17,3,859,71,146,86,285,69,37,23,11,3,731,1295,2531,1613,5567,1284,780,489,181,49,13783,0,0,0,18,3,5,5,0,0,35,2367,3810,1381,1669,708,381,271,116,23,10729,0,24,23,190,32,14,3,0,0,290,0,0,0,3,3,8,6,0,0,18,0,0,4,9,0,0,0,0,0,16,0,0,0,11,3,0,3,0,0,22,0,5,0,3,0,0,0,0,0,11,0,0,0,8,10,17,13,6,0,60,0,5,21,150,55,38,20,6,4,299,0,0,0,3,6,7,6,0,0,26,0,5,23,16,3,4,3,0,0,47,4,18,33,28,39,49,39,36,4,247,0,4,11,73,39,25,6,0,0,156,0,0,0,4,0,6,0,0,0,4
213051584,0,0,3,18,0,0,3,0,0,24,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,3,35,97,25,14,6,0,0,175,21,44,23,109,7,5,0,0,0,214,476,559,304,1770,144,108,52,10,4,3413,0,0,0,0,0,0,0,0,0,0,865,755,129,285,42,24,5,5,0,2105,0,5,5,50,13,5,0,0,0,78,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,4,11,47,8,8,0,0,0,87,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,4,0,0,4,10,5,0,3,0,0,24,0,0,0,22,7,7,0,0,0,48,0,0,0,4,0,0,0,0,0,4
213051585,0,3,3,16,8,3,0,0,0,28,0,0,0,0,0,0,0,0,0,6,0,0,0,4,0,0,0,0,0,3,0,34,56,178,98,41,23,6,0,430,28,61,40,109,32,11,6,9,3,296,507,1101,694,1990,594,376,233,134,28,5656,0,4,4,14,3,0,0,0,0,24,953,1614,730,847,425,228,171,94,20,5097,0,14,13,119,31,6,9,0,0,196,0,0,0,3,3,5,3,0,0,23,0,0,6,7,4,0,0,0,0,14,0,0,0,10,0,0,0,0,0,12,0,0,0,0,3,0,0,0,0,8,0,0,0,3,5,5,0,0,0,23,0,3,7,24,14,14,3,0,0,67,0,0,0,8,3,3,5,5,0,21,4,4,10,3,0,0,0,0,0,18,0,4,9,17,23,21,25,18,7,127,0,0,0,32,11,17,5,3,0,71,0,0,0,0,0,0,0,0,0,0
