SA2_CODE_2021,P_OthServ_0,P_OthServ_1_19,P_OthServ_20_29,P_OthServ_30_34,P_OthServ_35_39,P_OthServ_40_44,P_OthServ_45_49,P_OthServ_50_over,P_OthServ_hours_NS,P_OthServ_Tot,P_ID_NS_0,P_ID_NS_1_19,P_ID_NS_20_29,P_ID_NS_30_34,P_ID_NS_35_39,P_ID_NS_40_44,P_ID_NS_45_49,P_ID_NS_50_over,P_ID_NS_hours_NS,P_ID_NS_Tot,P_Tot_0,P_Tot_1_19,P_Tot_20_29,P_Tot_30_34,P_Tot_35_39,P_Tot_40_44,P_Tot_45_49,P_Tot_50_over,P_Tot_hours_NS,P_Tot_Tot
201011001,13,59,33,15,45,48,17,37,5,267,9,20,20,8,36,42,6,32,32,209,428,1344,1052,726,1763,1660,514,967,74,8528
201011002,10,34,16,15,29,38,10,10,4,160,4,27,14,11,28,29,9,9,37,172,310,1002,682,488,1010,1127,371,740,75,5804
201011005,10,17,12,11,20,28,7,20,0,111,3,12,11,3,8,17,3,4,19,90,220,579,430,281,599,689,206,447,38,3495
201011006,15,30,32,11,52,33,17,24,4,223,8,21,20,11,19,30,11,16,41,173,282,759,664,470,1146,1039,288,487,77,5205
201011007,9,14,13,9,17,22,6,12,6,96,3,7,5,5,13,20,7,11,10,85,109,335,267,177,418,501,120,258,31,2224
201011008,17,41,26,11,46,39,12,24,4,222,29,35,14,12,64,61,16,30,46,302,376,976,799,558,1346,1210,357,625,109,6361
201011481,12,22,14,25,26,30,5,11,4,150,12,13,12,5,20,19,11,10,36,132,258,692,534,422,850,851,234,380,66,4288
201011482,9,39,40,17,38,44,12,31,3,241,10,26,14,15,33,33,9,28,33,198,421,1119,925,619,1358,1475,500,880,73,7370
201011483,26,41,27,15,43,27,6,17,3,200,4,17,15,10,26,28,5,15,39,162,322,931,760,508,1217,1134,317,535,84,5823
201011484,7,31,34,18,69,48,0,14,3,228,21,30,10,6,69,35,12,17,43,238,321,848,687,539,1238,972,228,409,100,5327
201021009,4,17,11,7,32,19,9,15,4,123,9,12,13,7,21,35,8,12,28,144,188,425,360,230,570,677,204,451,78,3182
201021010,10,19,17,9,31,34,10,23,6,158,9,26,10,14,20,28,7,11,25,142,215,528,427,336,566,612,180,485,83,3430
201021011,8,28,16,16,17,13,4,15,3,114,16,34,23,6,21,25,9,22,25,187,285,849,642,427,627,746,246,566,72,4470
201021012,0,18,8,7,23,27,3,18,0,114,3,16,16,6,23,17,7,24,31,139,181,456,358,255,512,642,203,497,73,3179
201031013,0,10,7,0,3,13,0,3,0,43,3,3,3,4,8,6,7,6,16,64,78,192,172,133,195,241,73,233,36,1348
201031014,0,7,9,5,14,14,4,6,0,64,3,12,4,0,12,8,3,13,25,86,116,286,197,162,298,366,103,299,66,1882
201031015,6,9,18,10,21,12,3,10,0,82,4,10,9,4,25,24,8,15,18,114,137,304,260,178,432,432,128,261,49,2185
201031016,10,18,13,5,20,11,3,16,0,105,12,15,10,13,35,26,5,11,24,138,160,482,349,289,602,481,121,239,64,2778
201031017,3,13,5,8,10,14,3,11,0,72,11,10,9,3,12,17,6,4,22,99,142,369,236,180,313,371,95,233,52,1982
202011018,13,46,31,10,46,45,17,20,0,223,11,28,27,15,51,35,4,28,61,248,346,1021,831,628,1494,1232,344,704,107,6715
202011019,19,38,33,11,61,48,16,13,0,226,17,26,29,11,41,51,12,14,52,250,335,828,679,517,1317,1046,296,495,104,5616
202011020,15,36,29,14,42,36,7,20,6,198,11,19,14,11,34,30,6,24,33,170,390,1052,783,579,1287,1189,345,708,86,6416
202011021,4,46,30,11,31,18,5,21,0,163,3,22,16,8,21,15,6,8,17,113,267,847,639,441,987,752,236,471,44,4688
202011022,21,57,45,35,76,75,11,32,0,364,15,44,26,14,84,65,12,30,49,352,476,1387,1100,869,2099,1714,488,839,129,9108
202011023,10,29,18,10,22,25,0,18,0,125,0,12,8,7,14,22,3,13,5,87,153,481,364,251,555,562,174,358,24,2918
202011024,5,38,20,15,37,40,10,24,0,188,3,14,11,8,20,26,3,17,20,136,270,896,669,451,994,1064,327,635,52,5368
202011025,21,43,34,24,48,56,13,28,0,270,6,21,25,14,31,41,6,22,57,224,402,933,775,666,1568,1379,369,735,100,6926
202021026,8,27,21,13,40,45,6,19,3,172,11,30,17,9,21,34,7,18,37,186,272,611,570,368,769,883,242,535,101,4350
202021027,8,26,24,22,21,26,7,12,0,156,7,31,14,19,17,23,8,17,19,160,250,895,721,516,655,803,216,435,55,4557
202021028,10,22,17,16,22,32,12,14,0,143,17,19,11,14,26,34,5,16,26,172,263,758,596,411,581,727,196,523,100,4162
202021029,4,16,11,0,11,14,3,11,4,77,3,14,6,7,7,6,4,20,23,93,120,302,257,173,298,350,120,270,48,1948
202021030,12,35,16,22,27,36,12,16,0,174,8,31,16,10,26,28,10,22,29,180,303,852,560,469,733,987,297,681,83,4980
202021031,11,23,15,16,11,18,4,12,0,113,12,21,9,4,13,22,7,15,15,125,247,636,423,350,517,805,239,498,47,3764
202031032,6,15,11,7,9,17,7,12,0,88,6,14,7,6,13,15,0,17,26,106,157,339,239,173,376,404,105,370,61,2230
202031033,4,17,7,0,8,11,3,5,0,67,4,16,8,9,29,17,0,23,43,160,148,426,348,232,362,464,143,656,107,2879
203011034,8,27,21,11,27,41,7,22,0,160,4,21,12,7,19,29,3,20,23,145,237,617,452,305,706,788,216,515,56,3891
