SA2_CODE_2021,OPDs_Separate_house_Dwellings,OPDs_Separate_house_Persons,OPDs_SD_r_t_h_th_1_sty_Dwgs,OPDs_SD_r_t_h_th_1_sty_Psns,OPDs_SD_r_t_h_th_2_m_sty_Dwgs,OPDs_SD_r_t_h_th_2_m_sty_Psns,OPDs_SD_r_t_h_th_Tot_Dwgs,OPDs_SD_r_t_h_th_Tot_Psns,OPDs_F_ap_I_1or2_sty_blk_Ds,OPDs_F_ap_I_1or2_sty_blk_Ps,OPDs_F_ap_I_3_sty_blk_Dwgs,OPDs_F_ap_I_3_sty_blk_Psns,OPDs_F_ap_I_4to8_sty_blk_Ds,OPDs_F_ap_I_4to8_sty_blk_Ps,OPDs_F_ap_I_9_m_sty_blk_Ds,OPDs_F_ap_I_9_m_sty_blk_Ps,OPDs_Flt_apt_Att_house_Ds,OPDs_Flt_apt_Att_house_Ps,OPDs_Flt_apart_Tot_Dwgs,OPDs_Flt_apart_Tot_Psns,OPDs_Oth_dwg_Cvn_Ds,OPDs_Oth_dw_Cvn_Ps,OPDs_Oth_dwg_cab_hboat_Ds,OPDs_Oth_dwg_cab_hboat_Ps,OPDs_Ot_dwg_Im_hm_tnt_SO_Ds,OPDs_Ot_dwg_Im_hm_tnt_SO_Ps,OPDs_Ot_dwg_Hs_f_att_sh_of_Ds,OPDs_Ot_dwg_Hs_f_att_sh_of_Ps,OPDs_Other_dwelling_Tot_Dwgs,OPDs_Other_dwelling_Tot_Psns,OPDs_Dwlling_structur_NS_Dwgs,OPDs_Dwlling_structur_NS_Psns,OPDs_Tot_OPDs_Dwellings,OPDs_Tot_OPDs_Persons,Unoccupied_PDs_Dwgs,Unoccupied_PDs_Psns,Total_PDs_Dwellings,Total_PDs_Persons
201011001,5334,15365,71,129,115,230,186,365,226,321,0,0,0,0,0,0,0,0,228,317,4,4,0,0,0,0,0,0,4,4,6,17,5763,16070,296,..,6057,16070
201011002,3981,9226,544,932,160,301,701,1229,248,338,53,85,3,5,0,0,0,0,302,426,0,0,0,0,0,0,26,49,26,49,17,50,5036,10977,652,..,5688,10977
201011005,2407,6555,48,76,12,18,60,97,42,54,0,0,0,0,0,0,0,0,46,57,0,0,0,0,0,0,0,6,5,5,7,5,2522,6722,159,..,2681,6722
201011006,3648,9614,204,418,0,0,204,418,7,3,0,0,0,0,0,0,0,4,4,6,0,0,0,0,0,0,0,0,0,0,13,15,3870,10063,158,..,4028,10063
201011007,1392,4101,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,6,0,0,0,0,0,0,0,0,0,0,0,0,1395,4107,70,..,1468,4107
201011008,5267,12672,685,1060,34,51,714,1117,189,263,22,32,0,0,0,0,0,0,208,296,0,0,0,0,0,0,0,5,0,5,3,4,6201,14095,456,..,6653,14095
201011481,3569,7922,428,700,39,69,464,766,46,65,0,0,0,0,0,0,0,3,43,68,9,17,5,4,0,3,7,11,21,37,9,11,4108,8802,349,..,4458,8802
201011482,5171,12896,493,719,98,165,587,882,74,120,0,0,0,0,0,0,5,6,84,120,0,0,0,0,0,3,7,14,12,18,10,20,5863,13933,468,..,6328,13933
201011483,4016,9754,576,1065,62,113,637,1181,176,274,13,15,0,0,0,0,4,6,195,289,0,0,0,0,0,0,3,14,3,14,9,9,4863,11247,441,..,5310,11247
201011484,3975,9087,1748,2866,31,56,1782,2924,13,27,0,0,0,0,0,0,4,7,14,32,0,0,0,0,0,0,0,0,0,0,7,7,5776,12053,507,..,6288,12053
201021009,2290,5859,64,114,8,10,73,123,0,0,0,0,0,0,0,0,3,6,4,6,10,17,3,11,0,6,9,13,18,38,0,3,2388,6024,384,..,2768,6024
201021010,3046,7086,19,35,8,15,26,51,95,111,0,0,0,0,0,0,0,3,92,113,27,44,0,6,3,5,19,33,52,94,3,7,3229,7344,419,..,3645,7344
201021011,3953,8532,125,187,35,50,157,234,4,6,0,0,0,0,0,0,0,5,8,20,8,8,6,3,5,4,17,29,28,52,11,32,4157,8868,1675,..,5831,8868
201021012,2199,5842,0,0,0,0,0,0,4,5,0,0,0,0,0,0,0,0,4,5,4,5,0,0,0,0,0,0,0,10,4,6,2212,5860,341,..,2555,5860
201031013,1409,3096,11,22,3,7,19,28,0,0,0,0,0,0,0,0,0,0,0,0,6,12,6,13,0,0,4,8,15,30,4,13,1448,3167,371,..,1818,3167
201031014,1659,3767,14,15,0,0,14,15,3,3,0,0,0,0,0,0,0,0,3,3,13,25,49,62,3,4,4,7,62,93,5,3,1746,3881,359,..,2106,3881
201031015,1760,4512,7,7,0,0,7,7,0,3,0,0,0,0,0,0,0,0,0,3,3,10,0,0,0,0,4,5,7,18,0,0,1777,4536,271,..,2043,4536
201031016,3169,6869,330,444,15,26,343,471,59,73,0,0,0,0,0,0,0,0,61,79,29,39,0,0,0,0,23,52,52,87,13,20,3639,7524,356,..,3998,7524
201031017,2129,4794,43,59,0,0,49,62,0,4,0,0,0,0,0,0,0,0,0,4,24,32,0,0,0,5,19,36,40,69,8,14,2221,4937,456,..,2682,4937
202011018,5376,11943,506,811,187,330,691,1143,126,211,4,5,0,0,0,0,0,0,131,221,0,0,0,0,0,0,15,30,15,30,8,18,6229,13354,737,..,6967,13354
202011019,4890,11792,241,331,0,0,241,331,13,30,0,0,0,0,0,0,0,7,15,28,0,0,0,0,0,0,7,11,8,12,22,42,5178,12207,346,..,5524,12207
202011020,4739,11115,835,1283,110,207,941,1486,44,74,19,39,0,0,0,0,0,0,64,114,0,0,0,0,0,0,6,7,6,7,10,29,5759,12745,463,..,6222,12745
202011021,3257,7798,467,700,101,213,564,919,16,31,0,0,0,0,0,0,0,0,16,31,0,0,0,0,0,0,0,0,0,0,9,5,3847,8756,380,..,4233,8756
202011022,7761,17961,561,862,41,91,601,954,190,290,0,0,0,0,0,0,3,5,191,299,3,9,0,0,0,3,0,4,10,17,13,37,8582,19265,576,..,9159,19265
202011023,1727,5277,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,4,3,4,16,15,6,8,0,0,0,5,17,22,0,3,1747,5309,83,..,1831,5309
202011024,3511,10212,4,9,0,3,8,14,0,0,0,0,0,0,0,0,0,0,0,0,6,6,0,0,0,0,0,0,6,6,13,23,3530,10253,164,..,3695,10253
202011025,4911,13299,192,347,6,10,196,359,0,0,0,0,0,0,0,0,0,0,4,3,6,3,25,38,0,0,3,16,33,60,8,16,5147,13734,272,..,5419,13734
202021026,2715,7817,5,20,0,4,6,20,0,0,0,0,0,0,0,0,0,0,0,0,3,7,14,22,0,0,0,0,18,27,0,0,2744,7869,206,..,2953,7869
202021027,4471,9557,218,291,15,22,234,314,4,3,0,0,0,0,0,0,3,4,11,11,7,4,0,0,0,0,14,34,21,39,7,10,4737,9938,478,..,5216,9938
202021028,3744,8440,16,20,0,10,19,27,4,7,0,0,0,0,0,0,0,0,9,12,8,15,0,0,0,3,7,14,20,33,7,9,3799,8516,765,..,4560,8516
202021029,1959,4334,28,40,0,4,30,45,6,9,0,0,0,0,0,0,0,0,6,9,25,34,0,4,5,10,0,6,37,54,0,3,2035,4447,550,..,2578,4447
202021030,3624,9067,241,362,14,29,260,395,5,5,0,0,0,0,0,0,0,0,5,5,0,4,39,117,0,0,31,58,75,174,0,0,3960,9641,482,..,4438,9641
202021031,2650,7005,202,332,15,35,219,366,6,15,0,0,0,0,0,0,0,0,6,15,0,4,0,5,0,0,3,3,4,6,0,14,2880,7398,301,..,3178,7398
202031032,1715,4376,3,3,0,5,0,8,0,0,0,0,0,0,0,0,0,0,0,0,10,16,4,7,4,5,7,14,22,39,11,22,1751,4445,175,..,1926,4445
202031033,2729,6123,71,116,0,0,70,118,4,3,0,0,0,0,0,0,0,0,4,3,25,50,13,11,0,4,14,33,51,95,12,16,2869,6358,832,..,3701,6358
203011034,2349,7143,83,160,0,0,83,160,0,0,0,0,0,0,0,0,6,4,6,4,0,0,0,0,0,7,0,0,0,7,0,3,2439,7316,95,..,2531,7316
203011035,2672,7570,3,11,0,5,5,17,5,4,0,0,0,0,0,0,0,0,5,4,0,0,0,0,0,0,0,6,5,7,0,3,2685,7602,298,..,2983,7602
203011036,2281,6075,43,55,0,8,50,67,4,3,0,0,0,0,0,0,0,0,4,3,3,0,8,12,0,0,0,0,8,14,3,0,2339,6153,249,..,2588,6153
203021037,4793,11775,976,1538,167,330,1146,1865,51,83,0,0,0,0,0,0,4,5,53,82,10,10,162,228,0,0,4,14,177,248,26,38,6194,14015,460,..,6657,14015
203021039,3899,8995,751,1179,413,837,1163,2018,192,320,96,155,300,453,134,229,0,0,726,1159,0,3,3,10,0,0,19,39,23,51,16,24,5827,12248,790,..,6615,12248
203021040,6896,17100,791,1205,225,479,1014,1683,923,1355,52,67,0,0,0,0,0,3,975,1421,0,0,0,0,0,0,14,29,15,26,6,18,8907,20250,708,..,9610,20250
203021042,7381,20519,747,1147,181,319,928,1471,0,4,13,21,0,0,0,0,0,0,18,22,0,0,0,0,0,0,0,0,0,0,13,27,8342,22043,485,..,8826,22043
203021043,6242,17456,571,1078,31,62,604,1138,52,69,0,0,0,0,0,0,0,0,56,70,5,4,0,0,0,10,0,0,4,11,10,19,6908,18695,370,..,7280,18695
203021044,4631,11974,319,465,9,19,324,479,0,0,0,0,0,3,0,0,0,0,3,4,0,0,64,77,0,3,0,3,62,90,0,9,5021,12540,244,..,5270,12540
203021045,5537,12844,728,1064,48,78,775,1144,48,78,0,0,0,0,0,0,6,8,49,89,5,5,21,30,0,0,4,8,35,49,12,17,6411,14139,406,..,6810,14139
203021046,3090,8247,619,948,202,458,825,1415,89,136,0,0,0,0,0,0,0,0,89,136,0,0,0,0,0,0,9,18,9,18,8,16,4015,9826,360,..,4375,9826
203021047,5299,12882,474,811,200,389,679,1202,266,459,0,0,0,0,0,0,0,4,270,470,25,32,35,45,0,0,6,16,66,91,11,19,6323,14658,441,..,6759,14658
203021485,3351,8894,327,576,21,43,342,625,11,16,0,0,0,0,0,0,0,0,11,16,0,0,0,0,0,0,0,0,0,0,7,9,3708,9541,243,..,3948,9541
203021486,5966,15789,369,563,25,65,396,625,93,160,0,0,0,0,0,0,0,0,93,160,0,0,0,0,0,0,64,157,64,157,7,12,6516,16745,373,..,6896,16745
203021487,8129,21652,794,1253,56,111,846,1367,33,58,0,0,0,0,0,0,5,0,35,61,18,23,9,8,0,0,0,7,29,37,7,16,9042,23134,524,..,9563,23134
203021488,3156,7131,445,657,80,161,527,825,55,90,0,0,0,0,0,0,4,3,56,90,0,0,0,0,0,0,5,8,5,8,5,5,3744,8053,398,..,4139,8053
203031048,6357,15549,232,325,34,64,262,390,32,45,0,0,0,0,0,0,5,3,29,48,0,0,0,0,0,0,4,0,4,0,0,0,6656,15985,554,..,7203,15985
203031049,2243,5016,46,75,73,164,121,245,22,32,3,10,3,9,0,0,0,0,37,54,7,11,7,18,0,0,7,11,23,43,4,18,2427,5367,3781,..,6204,5367
203031051,3809,8066,183,255,102,206,278,454,13,28,3,8,0,0,0,0,0,0,15,37,10,17,0,3,3,3,0,0,17,29,11,22,4135,8609,3042,..,7177,8609
203031052,2034,4478,163,253,35,63,198,317,33,45,0,0,0,0,0,0,0,4,39,49,0,0,34,49,0,0,5,11,38,59,0,8,2313,4908,1607,..,3917,4908
203031053,7765,21365,277,477,304,653,588,1129,16,20,30,46,8,4,0,0,0,4,48,71,8,9,8,21,0,0,0,0,17,28,12,30,8424,22628,2218,..,10642,22628
203031489,3595,9885,172,428,78,181,252,610,50,82,0,0,0,0,0,0,0,0,50,82,0,0,0,0,0,0,3,9,3,9,4,4,3906,10583,773,..,4673,10583
203031490,6622,17095,213,393,181,367,398,756,17,24,3,11,0,0,0,0,0,3,22,30,0,0,13,17,0,0,0,0,15,21,3,4,7058,17905,1801,..,8860,17905
204011054,2708,5861,90,124,0,0,90,124,0,3,0,0,0,0,0,0,0,8,0,12,37,46,68,87,3,12,9,9,116,154,15,22,2934,6168,1087,..,4024,6168
204011055,2738,5921,110,146,0,0,110,146,12,16,0,0,0,0,0,0,0,0,12,16,8,15,10,9,3,3,0,0,16,26,0,0,2871,6112,511,..,3382,6112
204011056,5189,13649,456,678,22,47,480,727,25,40,0,0,0,0,0,0,3,13,28,49,15,34,0,0,0,0,0,12,20,46,10,12,5726,14485,435,..,6164,14485
204011057,3673,8452,124,201,5,6,127,205,13,41,8,22,10,22,4,3,0,6,38,95,8,10,19,29,3,5,0,0,30,51,16,44,3882,8840,2394,..,6281,8840
204011058,1752,3940,71,111,0,7,69,111,0,0,0,0,0,0,0,0,0,0,0,0,10,14,31,41,5,7,6,19,50,78,4,6,1875,4130,459,..,2336,4130
204011059,2405,5544,237,311,4,5,239,314,0,0,0,0,0,0,0,0,3,0,3,0,9,12,0,0,0,0,10,14,14,25,6,13,2668,5905,237,..,2907,5905
204011060,1476,3937,8,6,12,10,9,18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,9,0,0,1492,3969,312,..,1805,3969
204011061,89,189,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,92,190,39,..,125,190
204011062,1623,3558,7,6,0,0,7,7,5,5,0,0,0,0,0,0,0,0,5,5,0,6,10,17,0,0,0,0,20,30,8,11,1653,3607,409,..,2064,3607
204021063,3973,8808,582,809,3,8,583,814,9,3,0,0,0,0,0,0,0,0,7,8,22,26,0,4,0,0,7,28,34,51,9,22,4602,9694,521,..,5118,9694
