SA1_CODE_2021,CF_C_BPBO_DC_0_4,CF_C_BPBO_DC_5_9,CF_C_BPBO_DC_10_12,CF_C_BPBO_DC_13_14,CF_C_BPBO_DC_15_17,CF_C_BPBO_DC_18_20,CF_C_BPBO_DC_21_24,CF_C_BPBO_Tot,CF_C_FBO_DC_0_4,CF_C_FBO_DC_5_9,CF_C_FBO_DC_10_12,CF_C_FBO_DC_13_14,CF_C_FBO_DC_15_17,CF_C_FBO_DC_18_20,CF_C_FBO_DC_21_24,CF_C_FBO_Tot,CF_C_MBO_DC_0_4,CF_C_MBO_DC_5_9,CF_C_MBO_DC_10_12,CF_C_MBO_DC_13_14,CF_C_MBO_DC_15_17,CF_C_MBO_DC_18_20,CF_C_MBO_DC_21_24,CF_C_MBO_Tot,CF_C_BPBAu_DC_0_4,CF_C_BPBAu_DC_5_9,CF_C_BPBAu_DC_10_12,CF_C_BPBAu_DC_13_14,CF_C_BPBAu_DC_15_17,CF_C_BPBAu_DC_18_20,CF_C_BPBAu_DC_21_24,CF_C_BPBAu_Tot,CF_C_BP_NS_DC_0_4,CF_C_BP_NS_DC_5_9,CF_C_BP_NS_DC_10_12,CF_C_BP_NS_DC_13_14,CF_C_BP_NS_DC_15_17,CF_C_BP_NS_DC_18_20,CF_C_BP_NS_DC_21_24,CF_C_BP_NS_Tot,CF_C_Tot_DC_0_4,CF_C_Tot_DC_5_9,CF_C_Tot_DC_10_12,CF_C_Tot_DC_13_14,CF_C_Tot_DC_15_17,CF_C_Tot_DC_18_20,CF_C_Tot_DC_21_24,CF_C_Tot_Tot,One_PF_BPBO_DC_0_4,One_PF_BPBO_DC_5_9,One_PF_BPBO_DC_10_12,One_PF_BPBO_DC_13_14,One_PF_BPBO_DC_15_17,One_PF_BPBO_DC_18_20,One_PF_BPBO_DC_21_24,One_PF_BPBO_Tot,One_PF_FBO_DC_0_4,One_PF_FBO_DC_5_9,One_PF_FBO_DC_10_12,One_PF_FBO_DC_13_14,One_PF_FBO_DC_15_17,One_PF_FBO_DC_18_20,One_PF_FBO_DC_21_24,One_PF_FBO_Tot,One_PF_MBO_DC_0_4,One_PF_MBO_DC_5_9,One_PF_MBO_DC_10_12,One_PF_MBO_DC_13_14,One_PF_MBO_DC_15_17,One_PF_MBO_DC_18_20,One_PF_MBO_DC_21_24,One_PF_MBO_Tot,One_PF_BPBAu_DC_0_4,One_PF_BPBAu_DC_5_9,One_PF_BPBAu_DC_10_12,One_PF_BPBAu_DC_13_14,One_PF_BPBAu_DC_15_17,One_PF_BPBAu_DC_18_20,One_PF_BPBAu_DC_21_24,One_PF_BPBAu_Tot,One_PF_BP_NS_DC_0_4,One_PF_BP_NS_DC_5_9,One_PF_BP_NS_DC_10_12,One_PF_BP_NS_DC_13_14,One_PF_BP_NS_DC_15_17,One_PF_BP_NS_DC_18_20,One_PF_BP_NS_DC_21_24,One_PF_BP_NS_Tot,One_PF_Tot_DC_0_4,One_PF_Tot_DC_5_9,One_PF_Tot_DC_10_12,One_PF_Tot_DC_13_14,One_PF_Tot_DC_15_17,One_PF_Tot_DC_18_20,One_PF_Tot_DC_21_24,One_PF_Tot_Tot,Tot_DC_0_4,Tot_DC_5_9,Tot_DC_10_12,Tot_DC_13_14,Tot_DC_15_17,Tot_DC_18_20,Tot_DC_21_24,Tot_Tot
20101100101,0,5,0,0,0,0,0,8,0,3,4,0,0,0,0,16,0,0,0,0,0,0,0,4,17,16,14,6,5,0,0,53,0,0,0,0,0,0,0,0,18,24,22,13,8,0,0,80,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,4,0,0,0,0,0,0,0,0,7,5,9,6,0,0,0,26,0,0,0,0,0,0,0,0,7,7,14,3,7,0,0,36,21,26,31,16,9,5,4,112
20101100102,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,8,12,0,3,3,0,0,21,0,0,0,0,0,0,0,0,9,8,0,3,3,0,0,25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,4,4,0,0,0,0,0,8,15,12,6,3,3,0,0,39
20101100105,0,4,0,0,4,0,0,10,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,3,3,4,3,7,0,0,22,0,0,0,0,0,0,0,0,11,8,10,3,9,0,0,32,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,4,9,3,0,4,0,0,22,0,0,0,0,0,0,0,0,5,14,6,3,3,0,0,30,11,18,14,5,7,4,0,60
20101100106,0,0,0,0,0,0,0,5,8,0,0,0,0,0,0,6,0,0,3,0,0,0,0,5,18,19,11,13,12,3,0,76,0,0,0,0,0,0,0,0,23,22,16,15,15,5,0,90,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,3,14,5,6,4,3,0,37,0,0,0,0,0,0,0,3,3,14,8,9,5,3,0,41,30,36,20,22,13,8,0,133
20101100107,3,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,3,0,0,3,0,0,18,0,0,0,0,0,0,0,0,9,5,0,0,3,0,0,19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,7,7,0,5,0,0,29,0,0,0,0,0,0,0,0,5,7,6,3,4,0,0,33,12,15,6,5,12,0,0,54
20101100108,6,7,8,0,0,0,0,28,0,3,0,0,4,0,0,8,0,0,0,4,5,0,0,11,34,27,24,15,8,6,0,113,0,0,0,0,0,0,0,0,43,37,31,17,17,3,3,150,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,6,0,5,0,0,0,0,0,6,9,17,13,11,9,4,0,62,0,0,0,0,0,0,0,0,8,18,13,16,14,4,0,79,49,59,44,33,31,8,6,234
20101100109,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,6,22,11,15,7,9,3,0,67,0,0,0,0,0,0,0,0,27,15,15,4,14,3,0,73,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,8,0,0,0,0,0,0,0,0,12,4,8,4,4,0,0,33,0,0,0,0,0,0,0,0,8,4,7,4,3,0,0,38,32,20,27,14,19,3,0,113
20101100110,4,8,0,0,0,0,0,8,0,0,0,0,10,3,0,13,0,0,0,0,4,0,0,4,11,18,19,14,18,8,3,94,0,0,0,0,0,0,0,0,13,25,23,14,30,8,3,124,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,6,6,3,0,5,0,22,0,0,0,0,0,0,0,0,5,6,6,3,0,5,0,22,19,35,31,17,33,12,3,148
20101100111,0,0,0,0,0,0,0,12,0,0,0,0,0,0,0,0,0,6,0,4,0,0,0,9,12,23,10,7,14,14,0,69,0,0,0,0,0,0,0,0,10,30,16,7,12,13,0,93,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,4,3,3,0,0,16,0,0,0,0,0,0,0,0,0,6,4,3,3,0,0,16,10,36,18,12,16,18,3,110
20101100112,0,0,0,0,0,0,0,4,0,4,0,0,0,0,0,9,0,0,0,0,0,0,0,3,15,17,10,13,9,0,3,63,0,0,0,0,0,0,0,0,22,26,10,15,9,0,3,72,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,3,3,4,4,3,6,0,0,23,0,0,0,0,0,0,0,0,0,11,4,3,6,0,0,25,22,34,7,16,13,4,5,101
