SA1_CODE_2021,P_Tot_0_14,P_Tot_15_24,P_Tot_25_34,P_Tot_35_44,P_Tot_45_54,P_Tot_55_64,P_Tot_65_74,P_Tot_75_84,P_Tot_85_over,P_Tot_Tot
20101100101,97,61,38,41,63,42,53,27,11,435
20101100102,36,14,15,25,18,30,28,15,5,184
20101100105,47,101,44,52,40,41,30,14,11,377
20101100106,123,76,49,76,78,88,53,33,12,584
20101100107,41,42,49,34,56,45,36,38,14,358
20101100108,199,108,87,110,104,73,63,34,12,791
20101100109,104,55,73,65,72,50,47,43,13,527
20101100110,95,94,20,43,90,79,59,24,9,513
20101100111,82,49,28,37,64,54,33,10,10,366
20101100112,85,39,30,48,50,67,74,19,11,427
20101100113,59,54,16,32,65,47,39,19,6,332
20101100114,102,77,60,61,64,52,62,46,11,535
20101100118,70,43,22,46,62,29,24,19,0,324
20101100119,199,131,64,112,144,83,37,18,0,786
20101100120,194,97,76,114,65,44,35,17,3,643
20101100121,178,109,53,107,89,76,46,34,4,697
20101100124,115,90,12,66,85,50,28,22,5,473
20101100125,159,84,51,90,81,65,47,9,4,592
20101100126,113,69,40,75,98,106,99,50,11,660
20101100127,153,93,133,95,53,41,25,6,0,596
20101100128,101,48,55,52,43,22,28,28,4,385
20101100129,146,67,92,81,59,23,32,15,0,514
20101100130,107,45,64,65,28,25,14,0,0,343
20101100131,86,43,49,72,34,35,43,17,0,372
20101100132,242,159,176,170,85,50,43,25,3,960
20101100133,108,65,69,74,56,22,18,10,4,418
20101100134,33,17,22,27,19,13,43,46,4,227
20101100135,137,67,85,89,43,38,15,9,0,480
20101100136,195,94,126,135,60,32,27,6,0,674
20101100137,128,66,81,70,62,36,35,7,0,480
20101100138,165,81,172,80,36,18,10,0,0,568
20101100139,0,0,0,0,0,0,0,0,0,0
20101100140,132,65,47,96,85,56,47,27,5,572
20101100141,49,52,20,38,40,42,22,11,0,275
20101100142,145,35,52,78,37,15,7,4,0,361
20101100201,66,79,51,39,95,76,54,52,4,523
20101100202,34,44,14,27,39,49,54,50,8,306
20101100203,62,41,33,37,60,64,62,33,11,409
20101100204,82,57,40,47,69,80,75,88,22,559
20101100205,109,59,68,77,58,61,59,42,14,545
20101100206,79,174,15,37,61,33,38,25,7,462
20101100207,76,37,18,39,72,36,55,23,7,366
20101100208,91,62,21,44,79,96,103,66,26,585
20101100209,0,0,0,0,0,0,0,0,0,0
20101100210,0,0,0,0,0,0,0,0,0,0
20101100211,84,63,62,54,63,71,46,27,4,475
20101100212,54,30,36,45,41,50,47,31,10,339
20101100213,48,47,39,40,47,47,39,33,31,378
20101100214,74,32,45,69,66,58,38,25,3,413
20101100215,85,60,100,77,55,58,33,15,7,488
20101100216,67,23,71,81,44,57,50,9,4,399
20101100217,53,37,60,46,38,51,47,6,8,334
20101100218,60,43,66,42,40,47,41,25,11,365
20101100219,14,69,43,19,21,20,13,7,0,207
20101100220,25,25,32,30,36,42,27,19,0,227
20101100221,30,24,34,41,35,28,18,6,3,221
20101100222,114,41,39,61,77,70,78,48,13,541
20101100223,53,63,34,33,80,77,68,76,98,571
20101100224,60,57,53,64,71,64,59,41,9,485
20101100225,21,34,7,21,31,44,44,28,17,251
20101100226,21,23,30,18,18,28,29,8,8,186
20101100227,46,51,50,28,54,52,56,23,4,368
20101100228,37,26,7,19,33,54,46,38,17,273
20101100229,37,43,35,24,51,53,52,30,9,330
20101100230,49,48,47,44,41,55,31,9,3,339
20101100231,66,55,64,56,66,38,46,11,3,403
20101100232,24,33,30,30,42,34,35,21,6,258
20101100233,50,38,45,33,54,57,39,27,13,351
20101100234,26,26,39,20,26,19,16,9,0,174
20101100501,96,47,28,50,58,49,39,15,5,382
20101100502,124,57,39,70,92,106,110,56,13,678
20101100504,98,64,38,62,86,75,86,43,11,567
20101100505,0,115,15,0,3,0,0,0,0,136
20101100506,115,105,66,57,67,68,23,6,0,521
20101100507,75,43,30,36,73,66,60,26,9,418
20101100508,134,50,79,90,54,45,44,15,0,516
20101100509,50,38,20,28,36,34,55,24,3,289
20101100510,90,24,12,48,58,51,57,22,8,362
20101100511,50,34,13,25,62,68,43,6,0,299
20101100512,58,47,26,21,64,45,39,13,0,314
20101100513,59,45,26,29,54,72,51,20,0,363
20101100514,26,18,9,21,34,36,19,7,0,171
20101100515,111,50,31,72,69,44,45,24,6,455
20101100516,76,44,37,44,46,60,39,10,4,365
20101100517,70,75,47,49,67,61,49,24,4,450
20101100518,206,55,27,122,102,54,74,26,6,668
20101100519,62,23,29,40,34,49,57,17,4,309
20101100601,122,76,62,65,40,31,25,10,0,427
20101100602,52,56,52,37,59,57,54,22,4,398
20101100603,65,43,65,39,33,55,40,9,3,369
20101100604,77,51,42,49,48,44,44,16,6,366
20101100607,48,30,27,28,33,55,40,10,0,270
20101100610,62,43,41,32,46,81,92,28,3,428
20101100611,47,49,39,30,60,58,50,32,7,376
20101100612,118,91,80,64,51,32,44,22,5,507
20101100613,49,43,53,32,25,34,25,12,11,295
20101100614,19,19,18,16,21,21,16,5,6,135
20101100615,91,57,36,54,73,66,61,29,18,490
20101100616,0,0,0,0,6,3,43,81,56,196
20101100618,132,73,159,66,28,24,14,4,0,490
20101100619,77,67,77,41,16,17,5,5,0,294
20101100620,224,131,261,121,68,46,29,5,0,898
20101100621,93,61,81,52,49,38,32,15,0,428
20101100622,144,48,139,84,40,20,13,11,0,504
20101100623,83,66,112,38,32,29,31,48,88,531
20101100624,206,72,118,105,73,41,39,20,0,680
20101100625,43,37,24,23,51,52,47,22,7,305
20101100626,67,35,75,26,20,8,6,0,0,250
20101100627,22,20,7,15,30,42,9,10,0,160
20101100628,88,47,92,73,66,35,46,16,4,469
20101100629,124,72,53,76,92,89,53,24,0,579
20101100630,0,0,0,0,0,0,0,0,0,6
20101100631,206,130,247,111,51,39,21,7,3,823
20101100701,143,53,28,78,97,72,43,10,3,533
20101100702,63,58,23,33,60,66,52,12,5,365
20101100703,134,74,45,70,77,54,48,26,3,531
20101100704,70,47,42,47,53,72,45,29,0,404
20101100705,83,62,39,50,68,85,49,13,4,449
20101100706,131,69,67,73,81,80,62,15,3,583
20101100707,112,74,45,69,91,91,51,11,5,548
20101100708,97,53,37,51,81,58,39,18,0,432
20101100709,51,74,27,37,71,69,43,18,5,381
20101100801,108,38,60,42,30,29,24,8,0,339
20101100804,79,54,58,35,41,44,38,19,7,384
20101100805,46,36,43,28,46,56,40,19,4,319
20101100806,88,56,54,52,49,48,46,16,12,421
20101100807,62,30,67,28,30,58,42,32,6,350
20101100808,3,0,3,0,4,0,0,0,0,12
20101100809,91,59,91,64,52,70,54,41,34,549
20101100810,63,56,49,45,65,64,74,35,14,462
20101100811,37,30,40,22,31,30,30,10,4,240
20101100812,55,40,58,42,40,32,59,37,4,357
20101100813,47,42,49,38,28,36,43,28,9,312
20101100814,0,4,0,0,4,0,0,0,0,3
20101100815,47,53,37,30,51,36,36,18,5,321
20101100816,55,21,8,35,47,36,43,30,13,295
20101100818,100,70,84,62,82,73,27,17,4,520
20101100820,91,41,63,50,48,54,63,29,7,437
20101100821,60,66,71,42,55,55,50,49,13,460
20101100822,37,32,47,32,22,29,36,32,6,279
20101100823,70,62,81,43,62,73,66,66,22,544
20101100824,56,41,55,36,44,51,77,98,145,600
20101100825,80,171,23,27,15,12,24,14,5,367
20101100826,46,41,62,52,48,55,35,32,33,397
20101100827,79,60,87,43,52,49,59,51,32,509
20101100828,64,34,49,45,48,51,43,30,24,378
20101100829,56,35,51,27,20,25,30,31,5,286
20101100830,52,28,53,24,38,60,47,46,21,366
20101100831,49,30,42,31,51,36,25,40,24,329
20101100832,69,68,54,48,74,55,59,23,3,456
20101100833,108,59,77,56,67,58,82,34,8,552
20101100834,51,29,43,24,39,35,31,39,10,291
20101100835,112,63,71,59,68,58,33,9,4,468
20101100836,114,55,55,86,54,54,54,16,6,501
20101100837,162,49,78,125,76,65,56,11,6,628
20101100838,50,19,9,30,37,23,16,9,0,190
20101100839,0,0,0,0,0,0,0,0,0,0
20101100840,50,48,41,22,46,23,36,13,8,279
20101100841,96,40,37,52,40,32,16,7,0,323
20101100842,55,22,37,29,26,38,20,3,0,227
20101100843,47,46,74,46,53,42,40,19,9,383
20101100844,143,40,90,102,41,38,23,6,0,488
20101100845,181,94,187,104,45,45,34,12,4,708
20101148101,64,57,86,70,58,93,62,54,16,560
20101148102,50,43,33,24,36,30,3,0,4,223
20101148103,97,61,92,80,75,79,75,37,8,599
20101148104,62,43,82,35,28,30,34,15,3,325
20101148105,27,23,31,30,28,44,50,15,9,257
20101148106,61,31,35,58,34,41,37,19,11,327
20101148107,58,50,78,51,37,51,53,20,4,409
20101148108,36,34,46,30,34,52,69,39,81,422
20101148109,52,37,80,51,56,48,34,14,9,380
20101148110,33,14,38,18,25,38,95,174,96,521
20101148111,59,51,54,30,46,40,49,33,73,441
