SA1_CODE_2021,D_21_24_FPT_MPET,D_21_24_FPT_MPULFTW,D_21_24_FPT_MPULPTW,D_21_24_FPT_MPUT,D_21_24_FPT_MPTLF,D_21_24_FPT_MPNLF,D_21_24_FPT_MPLFSNS,D_21_24_FPT_T,TDCF_FPEFT_MPEFT,TDCF_FPEFT_MPEPT,TDCF_FPEFT_MPEAW,TDCF_FPEFT_MPEHNS,TDCF_FPEFT_MPET,TDCF_FPEFT_MPULFTW,TDCF_FPEFT_MPULPTW,TDCF_FPEFT_MPUT,TDCF_FPEFT_MPTLF,TDCF_FPEFT_MPNLF,TDCF_FPEFT_MPLFSNS,TDCF_FPEFT_T,TDCF_FPEPT_MPEFT,TDCF_FPEPT_MPEPT,TDCF_FPEPT_MPEAW,TDCF_FPEPT_MPEHNS,TDCF_FPEPT_MPET,TDCF_FPEPT_MPULFTW,TDCF_FPEPT_MPULPTW,TDCF_FPEPT_MPUT,TDCF_FPEPT_MPTLF,TDCF_FPEPT_MPNLF,TDCF_FPEPT_MPLFSNS,TDCF_FPEPT_T,TDCF_FPEAW_MPEFT,TDCF_FPEAW_MPEPT,TDCF_FPEAW_MPEAW,TDCF_FPEAW_MPEHNS,TDCF_FPEAW_MPET,TDCF_FPEAW_MPULFTW,TDCF_FPEAW_MPULPTW,TDCF_FPEAW_MPUT,TDCF_FPEAW_MPTLF,TDCF_FPEAW_MPNLF,TDCF_FPEAW_MPLFSNS,TDCF_FPEAW_T,TDCF_FPHNS_MPEFT,TDCF_FPHNS_MPEPT,TDCF_FPHNS_MPEAW,TDCF_FPHNS_MPEHNS,TDCF_FPHNS_MPET,TDCF_FPHNS_MPULFTW,TDCF_FPHNS_MPULPTW,TDCF_FPHNS_MPUT,TDCF_FPHNS_MPTLF,TDCF_FPHNS_MPNLF,TDCF_FPHNS_MPLFSNS,TDCF_FPHNS_T,TDCF_FPET_MPEFT,TDCF_FPET_MPEPT,TDCF_FPET_MPEAW,TDCF_FPET_MPEHNS,TDCF_FPET_MPET,TDCF_FPET_MPULFTW,TDCF_FPET_MPULPTW,TDCF_FPET_MPUT,TDCF_FPET_MPTLF,TDCF_FPET_MPNLF,TDCF_FPET_MPLFSNS,TDCF_FPET_T,TDCF_FPULFTW_MPEFT,TDCF_FPULFTW_MPEPT,TDCF_FPULFTW_MPEAW,TDCF_FPULFTW_MPEHNS,TDCF_FPULFTW_MPET,TDCF_FPULFTW_MPULFTW,TDCF_FPULFTW_MPULPTW,TDCF_FPULFTW_MPUT,TDCF_FPULFTW_MPTLF,TDCF_FPULFTW_MPNLF,TDCF_FPULFTW_MPLFSNS,TDCF_FPULFTW_T,TDCF_FPULPTW_MPEFT,TDCF_FPULPTW_MPEPT,TDCF_FPULPTW_MPEAW,TDCF_FPULPTW_MPEHNS,TDCF_FPULPTW_MPET,TDCF_FPULPTW_MPULFTW,TDCF_FPULPTW_MPULPTW,TDCF_FPULPTW_MPUT,TDCF_FPULPTW_MPTLF,TDCF_FPULPTW_MPNLF,TDCF_FPULPTW_MPLFSNS,TDCF_FPULPTW_T,TDCF_FPUT_MPEFT,TDCF_FPUT_MPEPT,TDCF_FPUT_MPEAW,TDCF_FPUT_MPEHNS,TDCF_FPUT_MPET,TDCF_FPUT_MPULFTW,TDCF_FPUT_MPULPTW,TDCF_FPUT_MPUT,TDCF_FPUT_MPTLF,TDCF_FPUT_MPNLF,TDCF_FPUT_MPLFSNS,TDCF_FPUT_T,TDCF_FPTLF_MPEFT,TDCF_FPTLF_MPEPT,TDCF_FPTLF_MPEAW,TDCF_FPTLF_MPEHNS,TDCF_FPTLF_MPET,TDCF_FPTLF_MPULFTW,TDCF_FPTLF_MPULPTW,TDCF_FPTLF_MPUT,TDCF_FPTLF_MPTLF,TDCF_FPTLF_MPNLF,TDCF_FPTLF_MPLFSNS,TDCF_FPTLF_T,TDCF_FPNLF_MPEFT,TDCF_FPNLF_MPEPT,TDCF_FPNLF_MPEAW,TDCF_FPNLF_MPEHNS,TDCF_FPNLF_MPET,TDCF_FPNLF_MPULFTW,TDCF_FPNLF_MPULPTW,TDCF_FPNLF_MPUT,TDCF_FPNLF_MPTLF,TDCF_FPNLF_MPNLF,TDCF_FPNLF_MPLFSNS,TDCF_FPNLF_T,TDCF_FPLFSNS_MPEFT,TDCF_FPLFSNS_MPEPT,TDCF_FPLFSNS_MPEAW,TDCF_FPLFSNS_MPEHNS,TDCF_FPLFSNS_MPET,TDCF_FPLFSNS_MPULFTW,TDCF_FPLFSNS_MPULPTW,TDCF_FPLFSNS_MPUT,TDCF_FPLFSNS_MPTLF,TDCF_FPLFSNS_MPNLF,TDCF_FPLFSNS_MPLFSNS,TDCF_FPLFSNS_T,TDCF_FPT_MPEFT,TDCF_FPT_MPEPT,TDCF_FPT_MPEAW,TDCF_FPT_MPEHNS,TDCF_FPT_MPET,TDCF_FPT_MPULFTW,TDCF_FPT_MPULPTW,TDCF_FPT_MPUT,TDCF_FPT_MPTLF,TDCF_FPT_MPNLF,TDCF_FPT_MPLFSNS,TDCF_FPT_T
21105128126,0,0,0,0,0,0,0,0,34,0,0,0,33,0,0,0,33,0,0,33,30,4,0,0,35,0,0,0,35,0,0,36,5,0,0,0,5,0,0,0,5,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,74,4,0,0,80,0,0,0,80,0,0,79,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,74,4,0,0,80,0,0,0,80,0,0,79,19,3,0,0,16,0,0,0,16,0,0,16,0,0,0,0,0,0,0,0,0,0,0,0,88,6,0,0,97,0,0,0,97,0,0,100
21105128127,3,0,0,0,3,0,0,3,24,12,0,0,30,0,0,0,30,0,0,32,41,0,0,0,43,0,0,0,43,0,0,43,9,0,0,0,9,0,0,0,9,4,0,8,0,0,0,0,0,0,0,0,0,0,0,0,72,9,0,0,85,0,0,0,85,0,0,89,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,3,0,0,0,3,0,0,3,3,0,0,0,3,0,0,0,3,0,0,3,75,9,0,0,88,0,0,0,88,0,0,91,15,0,0,0,19,0,0,0,19,0,0,19,0,0,0,0,0,0,0,0,0,0,0,0,91,10,3,0,107,0,0,0,107,0,0,112
21105128128,4,0,0,0,4,6,0,8,28,3,0,0,33,0,0,0,33,3,0,32,32,0,0,0,34,0,0,0,34,0,0,37,10,0,0,0,10,0,0,0,10,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,67,4,0,0,75,0,0,0,74,4,0,82,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,4,0,0,0,4,0,0,4,4,0,0,0,4,0,0,0,4,0,0,4,71,4,0,0,79,0,0,0,81,4,0,81,19,0,0,0,19,0,0,0,19,5,0,26,0,0,0,0,0,0,0,0,0,0,0,0,96,4,0,0,102,0,0,0,99,8,0,109
21105128129,0,0,0,0,0,0,0,0,25,13,0,0,39,0,0,0,39,0,0,39,21,0,0,0,25,0,0,0,25,0,0,25,3,3,0,0,10,0,0,0,10,0,0,10,5,0,0,0,5,0,0,0,5,0,0,5,59,15,0,0,71,0,0,0,71,0,0,71,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,3,0,0,3,0,0,0,0,7,0,0,0,7,0,0,7,57,15,0,0,73,0,0,0,73,0,0,73,6,0,0,0,9,0,0,0,9,4,0,16,0,0,0,0,0,0,0,0,0,0,0,0,66,16,0,0,81,0,0,0,81,4,0,91
21105128130,0,0,0,0,0,0,0,0,31,6,0,0,38,0,0,0,38,0,0,38,48,4,0,4,48,0,0,0,48,0,0,49,8,6,0,0,11,0,0,0,11,0,0,14,0,0,0,0,0,0,0,0,0,0,0,0,83,11,0,4,99,0,0,0,99,0,0,101,0,5,0,0,4,0,0,0,4,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,3,5,0,0,6,0,0,0,6,0,0,6,87,11,0,4,100,0,0,0,100,0,0,102,13,3,0,0,10,0,0,0,15,0,0,15,0,0,0,0,0,0,0,0,0,0,0,0,99,11,0,4,116,0,0,0,116,0,0,119
21105128131,6,0,0,0,6,0,0,6,17,10,0,0,25,0,0,0,25,0,0,22,39,3,0,0,47,0,0,0,47,3,0,48,7,4,4,0,17,0,0,0,17,0,0,17,4,0,0,0,4,0,0,0,4,0,0,4,70,18,4,0,85,0,0,0,85,0,0,95,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,3,0,0,0,3,0,0,3,3,0,0,0,3,0,0,0,3,0,0,3,76,18,4,0,91,0,0,0,91,0,0,91,28,3,4,0,34,9,0,9,38,4,0,43,0,0,0,0,0,0,0,0,0,0,0,0,100,20,3,0,127,9,0,9,127,7,0,136
21105128132,3,0,0,0,3,0,0,5,36,0,0,0,36,0,0,0,37,0,0,37,38,6,0,0,46,0,0,0,48,0,0,48,4,0,3,0,5,0,0,0,5,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,79,11,3,0,94,5,0,5,95,0,0,94,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,3,5,0,0,5,0,0,0,0,0,3,0,3,5,0,0,5,83,11,3,0,94,4,0,4,99,0,0,98,29,5,0,0,35,0,0,0,35,4,0,43,0,0,0,0,0,0,0,0,0,0,0,0,111,15,3,0,130,4,0,4,133,8,0,142
21105128133,0,0,0,0,0,0,0,0,14,4,0,0,18,0,0,0,18,0,0,18,20,4,0,0,23,0,0,0,21,0,0,24,5,0,0,0,5,0,0,0,5,0,0,4,0,0,0,0,0,4,0,4,4,0,0,4,38,7,0,0,45,3,0,3,48,0,0,52,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,38,7,0,0,45,3,0,3,48,0,0,52,29,4,0,0,33,0,0,0,33,0,0,36,0,0,0,0,0,0,0,0,0,0,0,0,65,14,0,0,76,3,0,3,84,8,0,87
21105128134,0,0,0,0,0,0,0,0,17,6,0,0,16,0,0,0,16,0,0,16,34,0,0,3,32,0,0,0,32,4,0,34,0,0,4,0,4,0,0,0,4,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,47,6,4,3,54,0,0,0,54,4,0,55,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,47,6,4,3,54,0,0,0,54,4,0,55,14,4,0,0,13,0,0,0,14,5,0,22,0,0,0,3,6,0,0,0,6,0,0,6,59,5,4,4,75,0,0,0,75,4,0,84
21105128135,3,0,0,0,3,0,0,3,8,0,0,0,6,0,0,0,6,0,0,6,26,0,0,0,26,0,0,0,26,0,0,26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,31,0,0,0,32,0,0,0,32,0,0,32,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,31,0,0,0,32,0,0,0,32,0,0,32,4,0,0,0,4,0,0,0,4,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,36,0,0,0,35,0,0,0,35,0,0,35
21105128136,4,0,0,0,4,0,0,4,13,4,0,0,18,0,0,0,18,0,0,18,30,0,0,0,32,0,0,0,32,5,0,37,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,42,7,0,0,49,0,0,0,49,5,0,56,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,5,0,0,0,5,0,0,5,5,0,0,0,5,0,0,0,5,0,0,5,49,7,0,0,53,0,0,0,53,5,0,57,11,0,0,0,14,0,0,0,14,3,0,17,0,0,0,0,0,0,0,0,0,0,0,0,55,5,0,0,63,0,0,0,63,8,0,74
21105128137,0,0,0,0,0,0,0,0,9,3,0,0,9,0,0,0,9,0,0,13,21,0,0,0,20,0,0,0,20,0,0,20,3,0,0,0,3,0,0,0,3,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,31,3,0,0,34,0,0,0,34,0,0,38,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,4,0,0,0,4,0,0,0,0,0,0,4,4,0,0,0,4,0,0,0,31,3,0,4,37,0,0,0,37,4,0,37,19,0,0,0,23,0,0,0,23,6,0,25,0,0,0,0,0,0,0,0,0,0,0,0,52,3,0,3,58,0,0,0,58,5,0,64
21105128138,0,0,0,0,0,0,0,0,24,0,0,0,24,0,0,0,24,0,0,25,25,3,5,0,38,0,0,0,38,0,0,43,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,54,3,5,0,63,0,0,0,63,4,0,69,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,57,3,5,0,66,0,0,0,66,4,0,69,24,0,0,0,24,0,0,0,24,0,0,24,0,0,0,5,5,0,0,0,5,0,0,5,83,3,5,5,97,0,0,0,97,4,0,95
21105128139,0,0,0,0,3,0,0,3,9,0,0,0,13,0,0,0,13,0,0,13,10,0,0,0,10,0,0,0,10,0,0,10,0,0,3,0,3,0,0,0,3,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,25,0,3,0,23,0,0,0,23,0,0,29,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,25,0,3,0,23,0,0,0,23,0,0,29,16,0,0,0,16,4,0,4,18,0,0,18,0,0,0,0,0,0,0,0,0,0,0,0,35,0,3,0,34,4,0,4,39,0,0,39
21105128140,0,0,0,0,0,0,0,0,23,0,0,0,23,0,0,0,23,0,0,23,35,0,0,0,35,4,0,4,35,0,0,35,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,4,0,0,0,4,0,0,4,53,0,0,4,60,4,0,4,58,0,0,58,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,53,0,0,4,60,4,0,4,58,0,0,58,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,60,0,0,4,62,4,0,4,60,0,0,60
21105128141,0,0,0,0,0,0,0,0,35,0,0,0,37,0,0,0,37,0,0,34,49,5,0,0,50,0,0,0,50,0,0,50,3,0,0,0,3,0,0,0,3,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,81,3,0,0,88,0,0,0,88,0,0,90,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,82,3,0,0,90,0,0,0,89,0,0,93,17,0,0,0,17,0,0,0,24,0,0,23,0,0,0,0,0,0,0,0,0,0,0,0,106,3,0,0,108,5,0,5,113,5,0,115
21105128142,3,0,0,0,3,0,0,3,40,3,0,0,42,0,0,0,43,0,0,43,56,6,0,0,67,0,0,0,67,0,0,67,5,0,0,0,5,0,0,0,5,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,97,8,0,0,108,0,0,0,107,0,0,110,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,102,8,0,0,111,0,0,0,111,0,0,114,4,0,0,0,6,0,0,0,6,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,103,8,0,0,113,0,0,0,117,0,0,116
21105128143,0,0,0,0,0,0,0,0,13,0,3,0,14,0,0,0,14,0,0,14,15,4,0,0,23,0,0,0,23,0,0,23,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,27,4,5,0,39,0,0,0,39,0,0,39,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,27,4,5,0,39,0,0,0,39,0,0,39,0,12,0,0,7,0,0,0,7,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,28,11,5,0,47,0,0,0,47,0,0,47
