SA1_CODE_2021,Age_yr_0_M,Age_yr_0_F,Age_yr_0_P,Age_yr_1_M,Age_yr_1_F,Age_yr_1_P,Age_yr_2_M,Age_yr_2_F,Age_yr_2_P,Age_yr_3_M,Age_yr_3_F,Age_yr_3_P,Age_yr_4_M,Age_yr_4_F,Age_yr_4_P,Age_yr_0_4_M,Age_yr_0_4_F,Age_yr_0_4_P,Age_yr_5_M,Age_yr_5_F,Age_yr_5_P,Age_yr_6_M,Age_yr_6_F,Age_yr_6_P,Age_yr_7_M,Age_yr_7_F,Age_yr_7_P,Age_yr_8_M,Age_yr_8_F,Age_yr_8_P,Age_yr_9_M,Age_yr_9_F,Age_yr_9_P,Age_yr_5_9_M,Age_yr_5_9_F,Age_yr_5_9_P,Age_yr_10_M,Age_yr_10_F,Age_yr_10_P,Age_yr_11_M,Age_yr_11_F,Age_yr_11_P,Age_yr_12_M,Age_yr_12_F,Age_yr_12_P,Age_yr_13_M,Age_yr_13_F,Age_yr_13_P,Age_yr_14_M,Age_yr_14_F,Age_yr_14_P,Age_yr_10_14_M,Age_yr_10_14_F,Age_yr_10_14_P,Age_yr_15_M,Age_yr_15_F,Age_yr_15_P,Age_yr_16_M,Age_yr_16_F,Age_yr_16_P,Age_yr_17_M,Age_yr_17_F,Age_yr_17_P,Age_yr_18_M,Age_yr_18_F,Age_yr_18_P,Age_yr_19_M,Age_yr_19_F,Age_yr_19_P,Age_yr_15_19_M,Age_yr_15_19_F,Age_yr_15_19_P,Age_yr_20_M,Age_yr_20_F,Age_yr_20_P,Age_yr_21_M,Age_yr_21_F,Age_yr_21_P,Age_yr_22_M,Age_yr_22_F,Age_yr_22_P,Age_yr_23_M,Age_yr_23_F,Age_yr_23_P,Age_yr_24_M,Age_yr_24_F,Age_yr_24_P,Age_yr_20_24_M,Age_yr_20_24_F,Age_yr_20_24_P,Age_yr_25_M,Age_yr_25_F,Age_yr_25_P,Age_yr_26_M,Age_yr_26_F,Age_yr_26_P,Age_yr_27_M,Age_yr_27_F,Age_yr_27_P,Age_yr_28_M,Age_yr_28_F,Age_yr_28_P,Age_yr_29_M,Age_yr_29_F,Age_yr_29_P,Age_yr_25_29_M,Age_yr_25_29_F,Age_yr_25_29_P,Age_yr_30_M,Age_yr_30_F,Age_yr_30_P,Age_yr_31_M,Age_yr_31_F,Age_yr_31_P,Age_yr_32_M,Age_yr_32_F,Age_yr_32_P,Age_yr_33_M,Age_yr_33_F,Age_yr_33_P,Age_yr_34_M,Age_yr_34_F,Age_yr_34_P,Age_yr_30_34_M,Age_yr_30_34_F,Age_yr_30_34_P,Age_yr_35_M,Age_yr_35_F,Age_yr_35_P,Age_yr_36_M,Age_yr_36_F,Age_yr_36_P,Age_yr_37_M,Age_yr_37_F,Age_yr_37_P,Age_yr_38_M,Age_yr_38_F,Age_yr_38_P,Age_yr_39_M,Age_yr_39_F,Age_yr_39_P,Age_yr_35_39_M,Age_yr_35_39_F,Age_yr_35_39_P,Age_yr_40_M,Age_yr_40_F,Age_yr_40_P,Age_yr_41_M,Age_yr_41_F,Age_yr_41_P,Age_yr_42_M,Age_yr_42_F,Age_yr_42_P,Age_yr_43_M,Age_yr_43_F,Age_yr_43_P,Age_yr_44_M,Age_yr_44_F,Age_yr_44_P,Age_yr_40_44_M,Age_yr_40_44_F,Age_yr_40_44_P,Age_yr_45_M,Age_yr_45_F,Age_yr_45_P,Age_yr_46_M,Age_yr_46_F,Age_yr_46_P,Age_yr_47_M,Age_yr_47_F,Age_yr_47_P,Age_yr_48_M,Age_yr_48_F,Age_yr_48_P,Age_yr_49_M,Age_yr_49_F,Age_yr_49_P,Age_yr_45_49_M,Age_yr_45_49_F,Age_yr_45_49_P,Age_yr_50_M,Age_yr_50_F,Age_yr_50_P,Age_yr_51_M,Age_yr_51_F,Age_yr_51_P,Age_yr_52_M,Age_yr_52_F,Age_yr_52_P,Age_yr_53_M,Age_yr_53_F,Age_yr_53_P,Age_yr_54_M,Age_yr_54_F,Age_yr_54_P,Age_yr_50_54_M,Age_yr_50_54_F,Age_yr_50_54_P,Age_yr_55_M,Age_yr_55_F
20101100101,0,3,8,0,3,4,5,4,3,4,0,4,3,3,0,13,9,20,10,0,12,0,4,0,4,3,6,0,5,5,4,4,3,16,7,26,7,4,10,7,3,16,6,7,12,5,0,3,8,4,13,24,20,45,0,0,4,0,0,3,7,7,14,5,3,5,3,5,9,19,11,29,4,0,0,3,5,8,4,4,4,0,3,3,4,5,4,15,17,32,0,3,7,5,3,6,3,5,4,0,0,0,0,3,4,10,10,27,0,0,0,5,4,6,0,0,0,0,0,0,6,0,5,7,11,13,0,6,4,0,0,3,0,4,0,5,0,5,0,0,5,15,10,23,4,0,0,0,0,0,6,0,6,0,5,5,5,4,8,10,10,19,3,7,3,4,3,7,5,3,7,0,0,4,0,5,5,14,16,33,3,0,4,0,0,5,8,8,13,3,0,4,5,3,8,15,16,34,5,4
20101100102,6,0,0,0,0,0,0,0,0,0,3,3,0,0,0,5,6,15,3,0,4,0,0,0,3,0,3,0,0,4,0,3,8,10,8,12,0,0,0,0,0,6,0,3,3,0,0,0,3,0,3,3,6,11,5,0,5,0,0,0,0,0,0,0,0,0,0,0,5,9,0,4,0,0,0,0,0,0,3,0,3,0,0,0,0,3,3,3,4,10,0,0,0,0,0,0,0,0,0,0,0,0,0,4,3,0,3,5,0,0,0,0,0,0,4,0,4,0,0,3,4,0,4,10,0,12,3,0,3,3,3,5,0,0,0,0,0,0,0,0,0,9,6,12,0,4,4,0,0,4,0,0,0,4,4,0,0,0,0,3,5,11,0,0,0,0,0,0,0,0,0,0,0,0,4,5,9,0,3,11,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,3,5,0,0
20101100105,4,5,9,0,0,3,0,0,0,0,0,0,0,0,0,6,4,11,0,4,4,0,0,3,0,3,4,6,3,3,6,0,4,7,8,18,0,0,3,0,0,3,3,8,7,0,0,0,6,3,5,5,11,18,4,0,4,3,6,7,0,0,0,0,17,21,13,19,31,19,43,66,6,7,12,0,9,7,4,0,4,3,6,9,3,0,5,16,23,37,6,0,6,0,0,0,0,0,0,3,6,7,0,4,0,9,9,19,0,0,0,3,3,7,3,3,7,5,0,4,0,7,7,12,9,28,3,7,4,0,4,3,3,6,6,0,3,4,9,0,6,16,15,26,0,5,4,0,3,5,0,0,0,0,0,3,3,3,9,11,13,23,0,0,0,0,0,0,3,0,3,6,0,6,3,4,10,6,4,17,7,3,11,0,3,3,4,3,5,4,0,4,0,0,0,12,13,24,0,3
20101100106,0,0,4,3,7,9,5,0,4,6,0,6,7,3,6,19,13,32,5,0,8,7,4,10,5,5,12,0,0,0,4,9,8,20,21,43,7,0,7,4,7,12,4,3,11,7,3,7,4,11,13,25,21,49,8,5,12,0,3,3,7,3,11,3,5,6,6,3,13,22,24,42,10,5,17,0,0,3,0,0,4,10,4,9,0,5,5,17,13,30,5,0,13,0,0,4,3,7,7,5,0,4,4,3,7,18,17,30,0,4,6,0,0,0,0,0,5,0,0,4,0,3,3,3,15,18,3,10,14,6,3,11,0,0,5,5,0,8,8,7,12,18,25,45,8,0,12,3,7,11,0,4,5,7,0,6,4,6,6,20,16,34,7,6,13,3,4,7,3,5,11,3,4,4,0,4,11,16,26,42,9,3,15,0,4,4,5,0,8,0,3,9,0,9,4,12,22,37,0,3
20101100107,3,0,3,3,0,3,0,4,5,0,4,4,0,0,0,9,5,14,0,0,5,0,0,0,0,0,5,0,0,8,0,0,0,5,4,10,0,5,3,4,4,0,0,0,6,0,3,4,4,0,4,7,9,15,5,5,7,0,0,0,3,3,8,0,0,0,0,0,0,11,6,17,0,0,0,4,0,4,6,4,12,0,3,6,3,6,3,9,11,24,0,7,6,0,5,10,5,3,7,4,0,4,4,3,4,10,19,31,0,6,6,0,4,3,0,0,8,3,0,3,4,0,6,12,7,18,3,5,8,4,4,0,0,0,8,0,3,4,6,4,3,10,15,24,0,0,3,0,4,7,0,0,0,0,4,4,0,0,0,0,8,11,0,0,0,6,0,3,4,5,11,4,0,8,0,0,0,14,11,21,5,0,4,0,0,3,10,3,12,0,0,3,0,3,3,15,12,33,0,0
20101100108,6,9,14,0,3,7,4,0,7,0,8,7,7,6,10,22,31,53,5,6,11,9,9,13,11,5,14,9,7,13,11,0,10,35,24,59,12,6,25,9,10,15,3,6,11,10,8,16,12,10,16,46,37,85,5,10,14,7,3,11,3,7,11,7,3,12,7,9,14,31,24,62,6,7,10,0,10,9,5,4,10,6,0,8,6,6,7,23,28,44,3,0,4,4,3,5,3,7,7,6,3,8,3,3,5,21,18,33,5,9,15,3,10,16,4,8,16,6,3,8,0,6,0,27,26,57,3,9,12,7,13,15,0,5,5,8,7,13,4,14,10,18,42,64,3,0,3,6,0,4,7,7,15,3,0,9,5,6,11,26,16,44,3,5,8,8,3,16,3,8,7,3,5,9,10,7,16,28,31,56,0,5,7,9,8,10,7,4,6,3,0,8,4,3,12,24,24,48,0,4
20101100109,5,0,3,3,0,3,3,0,10,4,3,15,4,0,8,23,14,34,0,0,3,6,0,7,3,0,3,5,3,11,0,0,3,12,10,26,0,10,13,4,0,8,9,6,12,10,0,10,4,4,12,29,18,43,0,3,8,5,4,10,4,6,8,5,0,5,0,0,4,11,18,29,3,0,3,0,3,0,0,0,0,4,7,8,8,5,14,14,10,25,3,4,6,3,0,5,0,0,0,3,9,10,5,0,7,15,18,28,7,12,16,4,0,6,0,3,3,0,0,0,6,4,10,22,23,44,6,3,11,3,3,9,0,4,4,5,0,6,0,9,4,15,19,37,4,5,11,4,0,0,0,3,10,0,3,3,4,0,5,10,19,27,3,0,7,6,7,8,0,0,5,0,3,3,4,10,10,14,19,31,7,3,5,8,3,9,6,5,5,5,10,8,6,3,6,20,20,39,0,0
20101100110,0,0,0,0,0,0,3,0,3,0,8,9,3,4,4,5,15,19,0,5,8,4,3,8,3,4,8,0,4,3,4,4,6,14,14,35,0,3,8,3,6,3,6,6,16,0,3,8,8,3,16,22,29,49,4,10,17,10,8,12,3,6,9,6,9,15,10,5,13,39,27,61,6,0,10,4,0,4,6,4,7,6,4,5,3,0,4,17,8,25,0,4,3,0,0,0,0,0,5,0,0,5,4,0,4,7,7,13,0,0,0,0,0,0,0,3,3,0,0,0,0,0,0,0,5,9,0,5,7,0,0,0,0,0,3,0,0,0,0,5,5,3,9,17,7,0,7,0,3,0,3,6,8,3,3,5,0,3,3,12,16,31,6,5,10,3,5,7,4,6,6,3,6,6,4,9,13,18,24,43,3,3,9,3,4,9,3,6,9,6,3,8,3,3,12,22,25,46,12,10
20101100111,0,0,0,0,0,3,0,0,0,0,3,3,3,0,3,4,6,11,4,3,9,0,3,9,3,0,0,4,4,14,7,3,6,19,15,39,0,3,5,4,0,3,5,6,3,3,5,6,5,0,10,20,13,33,7,6,12,3,5,3,0,0,4,3,4,10,3,0,3,22,13,32,4,0,9,0,0,5,0,5,3,0,0,0,0,0,0,9,10,18,3,0,4,4,5,3,0,0,4,0,0,0,0,0,0,14,4,16,0,3,3,0,0,0,0,3,0,3,3,5,0,0,3,7,6,10,3,0,3,3,0,3,0,0,3,0,0,0,0,5,3,8,3,16,4,3,6,0,5,6,0,0,0,0,0,3,5,0,5,7,16,26,3,0,3,0,6,6,6,0,12,0,0,3,0,3,7,16,17,24,3,4,11,0,3,4,5,0,9,5,0,6,3,3,6,19,18,38,5,0
20101100112,7,0,7,0,0,5,4,3,9,4,3,8,0,3,3,13,12,22,0,4,9,4,7,9,0,5,7,0,0,3,3,0,5,16,19,33,0,4,4,0,5,6,3,0,3,0,3,9,0,5,7,12,19,29,0,0,4,0,5,4,5,4,10,0,0,5,5,4,6,17,8,28,4,0,4,3,4,5,3,0,3,0,0,7,0,0,3,5,4,12,5,0,5,0,0,0,0,0,5,0,0,0,5,0,3,12,0,15,0,3,6,3,0,0,0,5,0,6,4,8,0,3,3,7,13,21,0,3,4,4,5,3,0,0,0,6,3,8,3,0,3,11,11,21,0,0,0,0,0,3,3,6,11,8,0,9,4,0,3,11,13,28,6,0,4,0,3,4,8,0,6,0,3,3,0,0,3,10,7,23,4,6,8,0,5,4,4,9,11,4,0,4,3,0,0,12,17,32,0,4
