CED_CODE_2021,M_15_19_yr_Marrd_reg_marrge,M_15_19_yr_Married_de_facto,M_15_19_yr_Not_married,M_15_19_yr_Total,M_20_24_yr_Marrd_reg_marrge,M_20_24_yr_Married_de_facto,M_20_24_yr_Not_married,M_20_24_yr_Total,M_25_34_yr_Marrd_reg_marrge,M_25_34_yr_Married_de_facto,M_25_34_yr_Not_married,M_25_34_yr_Total,M_35_44_yr_Marrd_reg_marrge,M_35_44_yr_Married_de_facto,M_35_44_yr_Not_married,M_35_44_yr_Total,M_45_54_yr_Marrd_reg_marrge,M_45_54_yr_Married_de_facto,M_45_54_yr_Not_married,M_45_54_yr_Total,M_55_64_yr_Marrd_reg_marrge,M_55_64_yr_Married_de_facto,M_55_64_yr_Not_married,M_55_64_yr_Total,M_65_74_yr_Marrd_reg_marrge,M_65_74_yr_Married_de_facto,M_65_74_yr_Not_married,M_65_74_yr_Total,M_75_84_yr_Marrd_reg_marrge,M_75_84_yr_Married_de_facto,M_75_84_yr_Not_married,M_75_84_yr_Total,M_85ov_Marrd_reg_marrge,M_85ov_Married_de_facto,M_85ov_Not_married,M_85ov_Total,M_Tot_Marrd_reg_marrge,M_Tot_Married_de_facto,M_Tot_Not_married,M_Tot_Total,F_15_19_yr_Marrd_reg_marrge,F_15_19_yr_Married_de_facto,F_15_19_yr_Not_married,F_15_19_yr_Total,F_20_24_yr_Marrd_reg_marrge,F_20_24_yr_Married_de_facto,F_20_24_yr_Not_married,F_20_24_yr_Total,F_25_34_yr_Marrd_reg_marrge,F_25_34_yr_Married_de_facto,F_25_34_yr_Not_married,F_25_34_yr_Total,F_35_44_yr_Marrd_reg_marrge,F_35_44_yr_Married_de_facto,F_35_44_yr_Not_married,F_35_44_yr_Total,F_45_54_yr_Marrd_reg_marrge,F_45_54_yr_Married_de_facto,F_45_54_yr_Not_married,F_45_54_yr_Total,F_55_64_yr_Marrd_reg_marrge,F_55_64_yr_Married_de_facto,F_55_64_yr_Not_married,F_55_64_yr_Total,F_65_74_yr_Marrd_reg_marrge,F_65_74_yr_Married_de_facto,F_65_74_yr_Not_married,F_65_74_yr_Total,F_75_84_yr_Marrd_reg_marrge,F_75_84_yr_Married_de_facto,F_75_84_yr_Not_married,F_75_84_yr_Total,F_85ov_Marrd_reg_marrge,F_85ov_Married_de_facto,F_85ov_Not_married,F_85ov_Total,F_Tot_Marrd_reg_marrge,F_Tot_Married_de_facto,F_Tot_Not_married,F_Tot_Total,P_15_19_yr_Marrd_reg_marrge,P_15_19_yr_Married_de_facto,P_15_19_yr_Not_married,P_15_19_yr_Total,P_20_24_yr_Marrd_reg_marrge,P_20_24_yr_Married_de_facto,P_20_24_yr_Not_married,P_20_24_yr_Total,P_25_34_yr_Marrd_reg_marrge,P_25_34_yr_Married_de_facto,P_25_34_yr_Not_married,P_25_34_yr_Total,P_35_44_yr_Marrd_reg_marrge,P_35_44_yr_Married_de_facto,P_35_44_yr_Not_married,P_35_44_yr_Total,P_45_54_yr_Marrd_reg_marrge,P_45_54_yr_Married_de_facto,P_45_54_yr_Not_married,P_45_54_yr_Total,P_55_64_yr_Marrd_reg_marrge,P_55_64_yr_Married_de_facto,P_55_64_yr_Not_married,P_55_64_yr_Total,P_65_74_yr_Marrd_reg_marrge,P_65_74_yr_Married_de_facto,P_65_74_yr_Not_married,P_65_74_yr_Total,P_75_84_yr_Marrd_reg_marrge,P_75_84_yr_Married_de_facto,P_75_84_yr_Not_married,P_75_84_yr_Total,P_85ov_Marrd_reg_marrge,P_85ov_Married_de_facto,P_85ov_Not_married,P_85ov_Total,P_Tot_Marrd_reg_marrge,P_Tot_Married_de_facto,P_Tot_Not_married,P_Tot_Total
CED211,0,21,4831,4851,54,293,4328,4676,2999,2214,4385,9596,7615,1237,2186,11040,6906,981,2353,10235,6019,586,2218,8820,4964,304,1474,6735,3105,118,860,4089,813,15,487,1311,32463,5763,23126,61359,6,33,4334,4367,99,456,3628,4189,4059,2330,3576,9962,8183,1180,2608,11970,6951,960,3315,11226,5881,534,3334,9745,4711,232,3272,8218,2450,69,2730,5249,380,7,1544,1938,32718,5799,28344,66860,5,54,9159,9222,153,752,7959,8859,7050,4539,7960,19553,15794,2417,4797,23006,13854,1937,5672,21465,11901,1118,5553,18566,9676,537,4746,14959,5555,188,3593,9341,1191,20,2033,3242,65185,11566,51469,128219
CED212,0,32,4478,4514,36,400,3519,3953,2192,2740,4089,9017,5422,1868,2468,9762,5756,1381,2845,9979,5169,879,2610,8660,4279,339,1825,6441,2419,140,964,3523,575,20,445,1045,25854,7791,23251,56896,0,61,3939,3996,78,613,3096,3788,3045,2960,3486,9489,5997,1828,2798,10626,5780,1329,3482,10594,5103,756,3570,9421,3910,312,3183,7395,1846,81,2290,4219,303,18,1223,1539,26058,7949,27053,61067,0,88,8418,8509,115,1016,6609,7742,5241,5702,7573,18505,11423,3693,5265,20391,11540,2710,6331,20576,10271,1631,6176,18078,8187,651,5000,13835,4265,220,3255,7739,880,37,1672,2584,51919,15742,50305,117964
CED213,0,20,3851,3872,22,306,2675,3000,1468,1902,2570,5942,3849,1304,1560,6709,4899,1253,2269,8421,5439,979,2334,8751,6241,624,2038,8908,4193,249,1353,5798,1104,44,629,1782,27216,6688,19287,53192,3,35,3485,3526,41,474,2281,2791,2009,2084,2246,6338,4408,1332,1961,7701,5280,1337,3008,9631,5658,943,3269,9868,6091,526,3592,10207,3375,165,3184,6722,532,20,1603,2156,27399,6914,24619,58936,3,61,7334,7393,62,780,4955,5792,3480,3986,4816,12279,8259,2634,3521,14416,10183,2589,5281,18052,11093,1923,5603,18623,12336,1146,5629,19113,7565,415,4540,12513,1635,70,2232,3939,54612,13604,43911,112124
CED214,0,14,3883,3903,120,332,5373,5824,3615,3201,9910,16726,6407,1974,4437,12816,5137,1146,3640,9918,4652,663,3116,8434,3767,247,1946,5960,2101,58,887,3044,565,20,419,999,26362,7651,33607,67623,7,33,3809,3849,307,502,4591,5400,5103,3417,7132,15655,6624,1829,4157,12612,5136,1003,4185,10324,4175,486,3817,8475,3398,150,3030,6581,1423,30,2127,3581,241,5,1196,1441,26407,7463,34045,67916,12,50,7693,7748,431,827,9967,11227,8721,6619,17044,32377,13032,3804,8595,25427,10274,2146,7823,20245,8819,1152,6931,16909,7166,392,4979,12542,3521,87,3014,6620,804,26,1615,2436,52770,15110,67658,135538
CED215,0,15,4667,4682,85,275,4410,4768,4211,2581,5909,12704,12500,1948,2674,17128,7582,1308,2400,11298,5054,719,2033,7808,3598,251,1377,5222,1787,71,623,2481,447,7,323,778,35275,7175,24421,66873,4,18,4332,4353,258,451,3478,4185,6688,2799,4228,13709,12224,1926,2950,17102,6959,1222,3354,11543,4734,578,2989,8290,3137,185,2461,5783,1258,30,1757,3042,217,4,951,1168,35463,7215,26496,69173,4,33,8996,9031,339,723,7886,8947,10899,5378,10134,26415,24725,3873,5626,34222,14544,2534,5760,22837,9784,1298,5021,16097,6732,440,3841,11008,3045,101,2378,5527,665,6,1275,1948,70733,14395,50916,136045
CED216,0,35,3853,3887,57,569,2597,3218,1889,2242,3058,7186,3720,1273,2039,7037,4159,1170,2396,7724,5589,1070,2943,9600,6227,666,2822,9714,3432,190,1302,4923,677,28,497,1199,25746,7237,21506,54489,4,91,3487,3579,106,839,2153,3095,2579,2327,2929,7832,4166,1298,2281,7741,4673,1232,2871,8772,6103,997,3410,10505,5776,515,3363,9653,2509,141,2604,5258,313,7,1249,1567,26220,7448,24344,58010,4,126,7338,7467,155,1402,4748,6305,4464,4574,5983,15017,7886,2572,4318,14771,8832,2403,5264,16500,11691,2064,6356,20107,12005,1180,6182,19363,5939,328,3908,10180,988,34,1745,2768,51969,14682,45845,112497
CED217,4,8,5073,5086,18,165,3966,4154,1457,1874,3458,6787,5748,1325,1581,8658,7735,1177,1839,10753,6619,751,1767,9136,4946,437,1375,6757,2799,143,849,3795,796,38,498,1329,30114,5920,20414,56444,0,15,4686,4703,41,259,3354,3651,2180,2076,2888,7137,6510,1308,2038,9858,8227,1078,2911,12216,6263,658,2946,9873,4538,349,2947,7830,2129,91,2509,4732,364,17,1764,2138,30254,5836,26044,62134,4,23,9760,9791,59,422,7326,7804,3635,3944,6345,13925,12257,2627,3619,18510,15962,2255,4754,22969,12885,1411,4714,19006,9486,786,4318,14584,4930,238,3357,8521,1156,49,2263,3470,60368,11753,46456,118580
CED218,0,10,5556,5564,66,233,5255,5558,3795,1686,6181,11663,8970,1136,2730,12834,7722,800,2247,10768,6363,445,1736,8545,4758,189,1147,6091,2099,40,588,2721,346,3,218,574,34121,4540,25667,64323,4,25,5380,5410,226,341,4483,5049,5683,1799,4586,12064,9417,1118,2855,13393,7605,782,3115,11508,6007,362,2790,9151,3964,125,2385,6474,1222,28,1494,2748,162,7,661,826,34287,4582,27755,66618,8,32,10937,10978,290,574,9743,10605,9480,3486,10765,23728,18387,2248,5588,26227,15328,1582,5370,22280,12367,802,4528,17701,8720,312,3530,12566,3324,70,2078,5466,504,10,878,1396,68404,9113,53417,130942
CED219,0,18,4743,4763,70,500,4119,4693,3678,2792,4666,11139,7075,1661,2525,11251,5860,1171,2401,9433,5116,633,1962,7712,4179,261,1521,5963,1760,91,713,2560,315,7,242,562,28053,7127,22885,58074,5,33,4503,4536,179,759,3438,4383,5164,2922,3951,12038,7170,1626,2870,11666,5774,1073,3063,9907,4963,587,2876,8425,3730,220,2592,6538,1150,39,1593,2788,148,5,688,832,28279,7265,25573,61112,6,49,9240,9300,252,1267,7554,9074,8844,5717,8622,23182,14239,3284,5394,22917,11634,2243,5462,19337,10082,1221,4838,16140,7912,480,4113,12507,2907,130,2308,5340,457,10,925,1393,56332,14392,48463,119183
CED220,0,18,3360,3375,36,529,4398,4965,2305,4536,7237,14087,5487,1869,2967,10315,5439,976,2242,8661,4712,640,1914,7264,3608,354,1460,5416,2344,117,927,3386,683,16,427,1132,24615,9050,24933,58601,0,31,3419,3445,71,714,4822,5604,3150,4464,7389,15005,5655,1366,3509,10531,5636,787,3111,9531,4534,468,2953,7950,3446,260,2830,6537,1815,52,2349,4218,299,13,1344,1655,24609,8153,31718,64484,0,47,6778,6827,110,1245,9217,10573,5464,9001,14631,29088,11145,3233,6474,20853,11074,1763,5357,18196,9243,1108,4868,15214,7049,616,4292,11953,4155,174,3277,7611,982,29,1771,2785,49231,17206,56653,123087
CED221,0,29,5510,5539,136,517,5292,5944,5154,2589,6015,13760,10860,1486,2699,15039,7320,948,2155,10421,5338,598,1843,7781,3331,213,1096,4643,1445,67,561,2072,298,8,182,486,33887,6457,25356,65699,8,48,5364,5413,407,774,4586,5774,7766,2781,4499,15048,10638,1372,2728,14733,6738,907,2857,10497,4684,482,2683,7841,2717,171,2172,5058,978,43,1288,2308,152,3,546,703,34092,6576,26717,67385,8,75,10871,10953,542,1298,9875,11722,12924,5367,10510,28809,21495,2854,5421,29770,14057,1854,5011,20924,10022,1080,4520,15625,6051,385,3271,9702,2426,109,1849,4380,452,10,727,1194,67979,13032,52069,133079
CED222,3,19,4886,4907,176,390,7065,7631,4515,2296,10356,17166,8166,1164,3898,13228,6876,793,3399,11065,5973,551,2952,9480,4901,252,1937,7090,3211,79,1073,4359,952,14,578,1541,34768,5563,36149,76476,15,43,4613,4674,385,589,5608,6579,6225,2344,6454,15025,8535,1138,3551,13224,6931,734,3958,11625,5580,465,3861,9903,4578,189,3410,8174,2262,45,2838,5143,410,8,1730,2146,34923,5542,36019,76484,23,63,9503,9584,560,978,12668,14210,10736,4641,16814,32193,16706,2294,7452,26450,13808,1524,7352,22692,11553,1017,6815,19380,9479,437,5351,15262,5473,128,3903,9502,1362,24,2307,3690,69693,11103,72163,152959
CED223,0,39,3994,4036,54,514,2386,2955,1932,2118,2886,6940,4090,1378,1871,7338,4821,1320,2441,8585,5927,1080,2883,9885,6219,638,2558,9412,3298,201,1346,4852,733,23,506,1262,27075,7306,20875,55253,0,87,3601,3692,119,755,1935,2812,2571,2200,2584,7363,4678,1486,2180,8349,5209,1361,2844,9415,6349,1050,3349,10749,5703,467,3275,9443,2474,113,2536,5133,322,19,1335,1675,27441,7539,23645,58623,3,124,7600,7728,178,1266,4323,5765,4506,4319,5478,14301,8765,2865,4056,15679,10029,2680,5283,17996,12283,2127,6230,20637,11920,1103,5833,18846,5777,316,3885,9979,1054,39,1843,2937,54511,14847,44517,113879
CED224,0,9,4475,4483,54,222,3861,4136,2409,2358,4387,9153,7116,1567,2250,10938,7118,1123,2517,10765,5686,689,2349,8732,4351,326,1544,6218,2458,100,983,3549,698,23,483,1201,29897,6424,22853,59174,6,15,4290,4314,133,341,3417,3890,3435,2575,3439,9452,7725,1538,2611,11869,7286,1103,3327,11715,5426,587,3315,9322,3899,251,3132,7281,1856,73,2510,4444,327,13,1514,1850,30085,6492,27562,64137,11,26,8768,8797,179,562,7278,8026,5847,4929,7826,18605,14836,3105,4859,22803,14407,2229,5847,22480,11108,1276,5664,18053,8247,576,4674,13504,4316,175,3495,7983,1022,30,1999,3051,59980,12914,50415,123315
CED225,0,9,4569,4584,24,207,3971,4201,2187,2322,4204,8722,6688,1489,2015,10192,6917,1085,2146,10143,5953,707,2072,8738,5226,371,1469,7074,2940,92,858,3891,707,14,411,1132,30641,6298,21736,58674,5,13,4149,4162,53,313,3578,3937,3039,2532,3485,9057,7265,1475,2264,10998,6916,1044,2904,10869,6068,629,3053,9758,4912,305,2887,8100,2211,54,2291,4554,357,10,1273,1636,30821,6384,25878,63076,5,25,8723,8748,80,520,7548,8139,5221,4860,7691,17778,13953,2963,4279,21194,13834,2130,5054,21014,12026,1338,5128,18492,10139,677,4356,15167,5144,151,3148,8440,1062,21,1686,2774,61464,12678,47609,121749
CED226,0,10,5409,5414,25,339,5228,5586,1817,2553,5231,9596,5757,1071,1850,8678,7475,765,1700,9937,6827,561,1576,8966,5192,290,1220,6703,2918,122,767,3798,873,21,514,1409,30882,5724,23493,60101,0,11,5266,5281,52,487,4863,5408,2518,2563,4735,9818,6524,1061,2547,10134,8075,687,3024,11788,6515,441,2919,9874,4847,240,2755,7843,2269,62,2432,4759,384,15,1674,2075,31186,5576,30219,66982,0,23,10677,10699,80,823,10087,10993,4337,5113,9965,19419,12281,2138,4396,18820,15552,1455,4728,21725,13342,995,4497,18838,10035,534,3978,14546,5185,177,3202,8562,1256,38,2196,3487,62072,11306,53708,127089
CED227,0,17,5215,5234,79,553,4108,4742,4456,2954,4220,11630,9226,1396,1914,12533,6821,1031,1843,9692,4916,660,1518,7095,3563,244,1019,4822,1979,113,585,2675,393,11,236,647,31425,6973,20667,59069,0,32,4733,4768,204,811,3557,4575,6260,3023,3614,12894,9227,1347,2315,12889,6525,1006,2568,10096,4572,556,2411,7537,3322,195,2154,5671,1389,55,1566,3011,183,4,685,879,31685,7041,23591,62318,0,50,9950,10000,285,1363,7665,9315,10719,5974,7831,24525,18450,2742,4227,25421,13348,2038,4403,19789,9485,1217,3930,14633,6877,438,3181,10492,3368,164,2154,5685,579,23,925,1527,63109,14017,44257,121388
CED228,0,28,5471,5506,131,529,5873,6530,6119,2400,7391,15904,13225,1387,3095,17706,6839,912,2319,10074,5153,550,1908,7611,3526,238,1236,4995,1442,44,565,2054,236,6,192,440,36668,6093,28052,70812,10,63,5007,5070,386,702,4504,5591,9663,2569,5298,17531,12116,1329,3263,16706,6090,827,3129,10049,4731,477,3048,8259,2926,160,2272,5357,915,32,1321,2263,110,0,590,701,36937,6160,28426,71523,12,88,10477,10575,518,1228,10373,12120,15774,4972,12686,33430,25342,2717,6357,34412,12933,1742,5446,20120,9883,1032,4951,15870,6451,402,3506,10354,2354,74,1886,4315,349,10,786,1137,73599,12256,56475,142340
CED229,0,19,2605,2625,65,696,4105,4867,2873,5884,9062,17821,5457,3013,4466,12935,4487,1622,3343,9452,3798,970,2765,7532,3227,490,1873,5591,1735,158,851,2748,446,21,321,792,22090,12874,29396,64365,0,38,2640,2679,160,988,4169,5306,3827,6123,9129,19086,5554,2285,5213,13051,4461,1245,4329,10029,3659,704,3540,7900,2896,348,2860,6103,1236,76,1776,3092,202,13,882,1094,21983,11815,34539,68342,3,56,5250,5310,219,1679,8269,10169,6702,12005,18195,36901,11014,5297,9677,25993,8948,2867,7669,19478,7452,1670,6310,15429,6119,836,4735,11694,2972,239,2628,5837,649,33,1208,1886,44071,24691,63939,132701
CED230,6,61,4117,4181,78,571,3119,3779,2355,2222,3949,8521,4150,1226,2354,7728,4795,1119,2889,8805,6320,961,3502,10790,6085,544,2985,9612,3584,152,1583,5314,887,21,696,1607,28254,6883,25194,60335,3,96,3708,3805,158,892,2362,3407,3116,2239,3534,8884,4562,1253,2428,8248,5363,1153,2949,9459,6516,879,3529,10925,5657,428,3362,9451,2699,98,2962,5764,423,8,1752,2177,28501,7042,26587,62128,12,153,7826,7985,234,1470,5484,7184,5468,4462,7483,17412,8716,2486,4777,15976,10160,2271,5839,18268,12836,1847,7027,21710,11742,971,6354,19063,6282,258,4543,11079,1305,30,2453,3788,56759,13924,51778,122464
