CED_CODE_2021,P_PGrad_Deg_35_44,P_PGrad_Deg_45_54,P_PGrad_Deg_55_64,P_PGrad_Deg_65_74,P_PGrad_Deg_75_84,P_PGrad_Deg_85ov,P_PGrad_Deg_Total,P_GradDip_and_GradCert_15_24,P_GradDip_and_GradCert_25_34,P_GradDip_and_GradCert_35_44,P_GradDip_and_GradCert_45_54,P_GradDip_and_GradCert_55_64,P_GradDip_and_GradCert_65_74,P_GradDip_and_GradCert_75_84,P_GradDip_and_GradCert_85ov,P_GradDip_and_GradCert_Total,P_BachDeg_15_24,P_BachDeg_25_34,P_BachDeg_35_44,P_BachDeg_45_54,P_BachDeg_55_64,P_BachDeg_65_74,P_BachDeg_75_84,P_BachDeg_85ov,P_BachDeg_Total,P_AdvDip_and_Dip_15_24,P_AdvDip_and_Dip_25_34,P_AdvDip_and_Dip_35_44,P_AdvDip_and_Dip_45_54,P_AdvDip_and_Dip_55_64,P_AdvDip_and_Dip_65_74,P_AdvDip_and_Dip_75_84,P_AdvDip_and_Dip_85ov,P_AdvDip_and_Dip_Total,P_Cert_III_IV_15_24,P_Cert_III_IV_25_34,P_Cert_III_IV_35_44,P_Cert_III_IV_45_54,P_Cert_III_IV_55_64,P_Cert_III_IV_65_74,P_Cert_III_IV_75_84,P_Cert_III_IV_85ov,P_Cert_III_IV_Total,P_Cert_I_II_15_24,P_Cert_I_II_25_34,P_Cert_I_II_35_44,P_Cert_I_II_45_54,P_Cert_I_II_55_64,P_Cert_I_II_65_74,P_Cert_I_II_75_84,P_Cert_I_II_85ov,P_Cert_I_II_Total,P_Cert_Levl_nfd_15_24,P_Cert_Levl_nfd_25_34,P_Cert_Levl_nfd_35_44,P_Cert_Levl_nfd_45_54,P_Cert_Levl_nfd_55_64,P_Cert_Levl_nfd_65_74,P_Cert_Levl_nfd_75_84,P_Cert_Levl_nfd_85ov,P_Cert_Levl_nfd_Total,P_Cert_Lev_Tot_15_24,P_Cert_Lev_Tot_25_34,P_Cert_Lev_Tot_35_44,P_Cert_Lev_Tot_45_54,P_Cert_Lev_Tot_55_64,P_Cert_Lev_Tot_65_74,P_Cert_Lev_Tot_75_84,P_Cert_Lev_Tot_85ov,P_Cert_Lev_Tot_Total,P_Lev_Edu_IDes_15_24,P_Lev_Edu_IDes_25_34,P_Lev_Edu_IDes_35_44,P_Lev_Edu_IDes_45_54,P_Lev_Edu_IDes_55_64,P_Lev_Edu_IDes_65_74,P_Lev_Edu_IDes_75_84,P_Lev_Edu_IDes_85ov,P_Lev_Edu_IDes_Total,P_Lev_Edu_NS_15_24,P_Lev_Edu_NS_25_34,P_Lev_Edu_NS_35_44,P_Lev_Edu_NS_45_54,P_Lev_Edu_NS_55_64,P_Lev_Edu_NS_65_74,P_Lev_Edu_NS_75_84,P_Lev_Edu_NS_85ov,P_Lev_Edu_NS_Total,P_Tot_15_24,P_Tot_25_34,P_Tot_35_44,P_Tot_45_54,P_Tot_55_64,P_Tot_65_74,P_Tot_75_84,P_Tot_85ov,P_Tot_Total
CED201,3057,1569,1097,529,156,31,8778,93,569,850,738,617,385,121,21,3394,1682,6235,6604,4437,2992,1916,670,178,24720,814,2280,2981,3110,2546,1717,738,214,14406,1660,3711,3566,4163,3823,2432,1225,337,20917,257,212,225,195,169,139,44,12,1246,99,202,321,406,507,380,190,61,2161,2017,4132,4111,4765,4500,2956,1450,409,24327,32,100,131,106,137,152,84,41,793,672,950,939,847,864,905,1004,709,6886,5449,16479,18677,15574,12753,8560,4228,1607,83315
CED202,1364,1211,1040,767,255,35,6014,47,549,830,866,805,723,171,29,4026,897,4085,4220,3341,2403,1966,718,154,17793,501,1816,2249,2387,2172,1769,694,160,11734,2100,5012,4479,4333,3886,2514,1024,273,23614,325,334,270,215,192,163,39,11,1548,108,195,246,315,366,324,152,43,1747,2531,5543,4991,4863,4445,2996,1216,329,26914,35,76,78,97,90,115,65,28,580,1183,1223,1092,1312,1344,1582,1280,779,9795,5279,14543,14826,14079,12300,9914,4405,1512,76859
CED203,1179,1053,900,777,276,36,5364,67,559,891,921,852,686,163,19,4158,784,3802,4017,3243,2375,2124,825,190,17358,466,1703,2019,2223,2223,1954,896,177,11665,1852,4859,4306,4344,4169,2707,1199,309,23746,305,283,282,218,247,184,38,11,1571,117,178,235,337,409,349,162,59,1850,2275,5320,4825,4904,4824,3241,1408,378,27165,12,94,52,77,92,91,78,43,551,1102,1308,1239,1390,1540,1670,1540,1067,10856,4796,13834,14226,13813,12809,10545,5189,1906,77122
CED204,2517,1219,697,367,110,19,7446,96,548,603,542,406,236,74,10,2509,1714,6477,5316,3210,2248,1297,427,90,20765,1055,3044,3459,3049,2351,1280,439,136,14812,2005,4073,3853,4248,3798,2211,888,247,21323,321,287,264,248,220,121,43,7,1509,139,307,402,530,525,296,131,28,2362,2464,4668,4521,5021,4542,2630,1060,283,25191,72,169,195,138,147,157,73,31,975,1475,2263,1847,1561,1423,1302,993,509,11380,7020,19538,18455,14739,11815,7262,3170,1079,83082
CED205,3166,920,429,192,34,0,7904,136,735,677,422,226,114,23,4,2337,1842,7320,5874,2475,1471,665,150,32,19831,1105,4139,4156,2441,1513,635,157,27,14179,2079,4751,3939,3165,2613,1102,409,78,18137,321,365,302,227,149,65,16,6,1438,216,446,492,439,366,142,55,16,2168,2609,5566,4735,3830,3123,1304,477,92,21746,79,200,261,146,107,70,31,4,907,1790,2653,2310,1538,1270,838,527,218,11153,7781,23552,21181,11776,8142,3820,1403,393,78054
CED206,1479,1103,780,580,210,26,5283,67,539,825,829,736,576,164,14,3738,898,4327,4402,3505,2495,1948,740,137,18442,681,2349,2956,3019,2526,1827,764,159,14286,2206,5596,5202,5373,4762,2836,1220,279,27474,308,230,258,217,221,145,60,9,1437,133,231,337,429,493,402,183,45,2261,2656,6054,5795,6024,5474,3383,1467,328,31175,29,83,66,97,105,128,100,31,632,803,925,974,1144,1157,1109,923,491,7534,5179,15323,16501,15717,13274,9550,4359,1191,81090
CED207,6008,3691,2341,1250,569,115,20558,88,692,989,1126,1000,684,282,56,4921,3797,9658,8899,7383,4988,3145,1585,572,40019,1381,2168,2452,2829,2508,1974,1334,480,15136,1207,1796,1495,2187,2016,1308,1104,485,11603,208,147,107,143,143,103,58,20,938,124,153,221,405,431,394,308,144,2178,1540,2100,1821,2733,2590,1809,1472,641,14714,97,141,195,161,168,199,168,85,1208,1355,1790,1211,1034,892,963,1169,1112,9530,8743,22648,21581,18960,14496,10017,6575,3055,106085
CED208,4508,2722,1562,680,162,25,14951,76,1109,1512,1413,954,495,82,10,5650,2150,11290,8738,5573,2817,1361,383,104,32417,905,2756,2748,2462,1645,792,255,84,11651,1161,2957,2490,2415,1905,1046,503,192,12672,196,199,169,163,121,69,14,3,938,84,213,270,397,368,182,79,34,1632,1444,3374,2934,2977,2392,1302,596,234,15247,45,143,157,119,88,85,41,22,702,918,1670,1314,1132,937,915,845,702,8437,5795,25370,21912,16394,10396,5626,2373,1186,89062
CED209,1601,1105,943,785,261,30,6439,63,661,936,815,776,742,206,22,4230,1182,5122,5416,3737,2711,2445,955,204,21773,659,2102,2723,2704,2426,2299,1055,257,14229,1785,4445,4676,4220,3831,2775,1219,347,23295,213,177,244,189,170,159,44,10,1203,125,196,292,333,342,417,210,67,1978,2121,4818,5203,4741,4344,3351,1473,423,26476,36,72,88,68,95,130,139,38,672,922,893,953,915,1039,1446,1375,914,8464,5094,15274,16929,14094,12340,11192,5464,1887,82273
CED210,1726,1194,830,488,201,16,7071,77,779,862,787,628,456,118,15,3728,1495,6015,5001,3452,2422,1783,584,141,20898,762,2333,2384,2527,2062,1610,697,174,12552,2151,5056,4183,4078,3799,2335,1000,334,22929,304,276,242,214,166,131,44,3,1383,134,219,254,321,357,304,148,38,1780,2586,5546,4684,4617,4317,2771,1200,379,26101,56,86,102,90,95,109,87,42,664,1227,1566,1341,1252,1184,1306,1194,673,9733,6388,18765,16090,13922,11544,8525,4079,1438,80746
