CED_CODE_2021,I_4000more_1AW_OthNW,I_4000more_BNW,I_4000more_LFsta_NS,I_4000more_Tot,Part_inc_stated_BE_WFT,Part_inc_stated_BE_WPT,Part_inc_stated_BE_BAW,Part_inc_stated_1EFT_OthPT,Part_inc_stated_1EFT_OthAW,Part_inc_stated_1EFT_OthNW,Part_inc_stated_1EPT_OthAW,Part_inc_stated_1EPT_OthNW,Part_inc_stated_1AW_OthNW,Part_inc_stated_BNW,Part_inc_stated_LFsta_NS,Part_inc_stated_Tot,All_inc_NS_BE_WFT,All_inc_NS_BE_WPT,All_inc_NS_BE_BAW,All_inc_NS_1EFT_OthPT,All_inc_NS_1EFT_OthAW,All_inc_NS_1EFT_OthNW,All_inc_NS_1EPT_OthAW,All_inc_NS_1EPT_OthNW,All_inc_NS_1AW_OthNW,All_inc_NS_BNW,All_inc_NS_LFsta_NS,All_inc_NS_Tot,Tot_BE_WFT,Tot_BE_WPT,Tot_BE_BAW,Tot_1EFT_OthPT,Tot_1EFT_OthAW,Tot_1EFT_OthNW,Tot_1EPT_OthAW,Tot_1EPT_OthNW,Tot_1AW_OthNW,Tot_BNW,Tot_LFsta_NS,Tot_Tot
CED201,8,37,0,1115,9,3,7,9,12,17,9,12,0,42,338,457,11,8,5,12,0,8,0,12,4,103,72,232,3285,680,92,2120,280,1539,138,1133,192,5803,470,15731
CED202,3,89,3,1125,12,0,3,13,5,17,0,16,7,49,473,596,18,5,3,9,0,3,0,3,5,124,98,279,3033,922,138,2483,297,1406,204,1324,264,6031,680,16775
CED203,13,79,0,1003,13,8,4,19,3,14,4,20,8,64,495,651,11,7,10,7,4,8,8,7,4,140,112,306,2850,945,143,2425,300,1380,219,1404,260,6583,708,17205
CED204,0,37,5,698,14,6,10,6,5,25,4,13,11,44,318,457,5,3,6,7,3,9,0,3,3,107,108,264,2802,668,89,1814,231,1679,119,1022,184,5333,525,14469
CED205,0,10,5,519,17,4,4,10,3,17,6,11,9,28,266,380,17,4,7,3,0,7,0,0,9,81,99,224,2488,463,94,1460,242,1388,98,732,151,3769,442,11319
CED206,10,67,0,1269,21,0,3,8,9,16,4,11,3,48,395,521,23,3,18,22,5,8,0,10,8,100,75,272,3443,831,108,2569,336,1481,196,1294,257,5583,542,16640
CED207,11,143,5,1691,12,4,0,9,5,12,4,6,6,54,454,557,4,3,4,5,0,4,0,7,0,117,80,241,2975,897,80,1819,230,1502,141,1291,183,7734,628,17471
CED208,7,39,3,2208,20,6,4,4,12,14,3,3,6,33,390,495,3,0,6,3,5,7,0,4,0,68,99,193,4738,835,107,2514,343,1319,190,896,171,3821,567,15494
CED209,8,146,9,1482,13,5,0,11,6,15,3,18,3,64,504,645,8,5,18,14,6,5,0,4,4,139,79,288,2948,951,120,2398,347,1250,181,1412,248,7471,677,18011
CED210,8,80,0,1348,11,0,6,13,5,12,6,10,10,54,388,522,15,4,7,5,8,4,0,9,6,120,98,267,3179,760,101,2411,314,1400,160,1222,226,5678,572,16021
