CED_CODE_2021,T_LPLFS_EPT_DC_0_4,T_LPLFS_EPT_DC_5_9,T_LPLFS_EPT_DC_10_12,T_LPLFS_EPT_DC_13_14,T_LPLFS_EPT_DC_15_17,T_LPLFS_EPT_DC_18_20,T_LPLFS_EPT_DC_21_24,T_LPLFS_EPT_Tot,T_LPLFS_EAW_DC_0_4,T_LPLFS_EAW_DC_5_9,T_LPLFS_EAW_DC_10_12,T_LPLFS_EAW_DC_13_14,T_LPLFS_EAW_DC_15_17,T_LPLFS_EAW_DC_18_20,T_LPLFS_EAW_DC_21_24,T_LPLFS_EAW_Tot,T_LPLFS_HNS_DC_0_4,T_LPLFS_HNS_DC_5_9,T_LPLFS_HNS_DC_10_12,T_LPLFS_HNS_DC_13_14,T_LPLFS_HNS_DC_15_17,T_LPLFS_HNS_DC_18_20,T_LPLFS_HNS_DC_21_24,T_LPLFS_HNS_Tot,T_LPLFS_EW_Tot_DC_0_4,T_LPLFS_EW_Tot_DC_5_9,T_LPLFS_EW_Tot_DC_10_12,T_LPLFS_EW_Tot_DC_13_14,T_LPLFS_EW_Tot_DC_15_17,T_LPLFS_EW_Tot_DC_18_20,T_LPLFS_EW_Tot_DC_21_24,T_LPLFS_EW_Tot_Tot,T_LPLFS_ULFTW_DC_0_4,T_LPLFS_ULFTW_DC_5_9,T_LPLFS_ULFTW_DC_10_12,T_LPLFS_ULFTW_DC_13_14,T_LPLFS_ULFTW_DC_15_17,T_LPLFS_ULFTW_DC_18_20,T_LPLFS_ULFTW_DC_21_24,T_LPLFS_ULFTW_Tot,T_LPLFS_ULPTW_DC_0_4,T_LPLFS_ULPTW_DC_5_9,T_LPLFS_ULPTW_DC_10_12,T_LPLFS_ULPTW_DC_13_14,T_LPLFS_ULPTW_DC_15_17,T_LPLFS_ULPTW_DC_18_20,T_LPLFS_ULPTW_DC_21_24,T_LPLFS_ULPTW_Tot,T_LPLFS_U_T_DC_0_4,T_LPLFS_U_T_DC_5_9,T_LPLFS_U_T_DC_10_12,T_LPLFS_U_T_DC_13_14,T_LPLFS_U_T_DC_15_17,T_LPLFS_U_T_DC_18_20,T_LPLFS_U_T_DC_21_24,T_LPLFS_U_T_Tot,T_LPLFS_T_LF_DC_0_4,T_LPLFS_T_LF_DC_5_9,T_LPLFS_T_LF_DC_10_12,T_LPLFS_T_LF_DC_13_14,T_LPLFS_T_LF_DC_15_17,T_LPLFS_T_LF_DC_18_20,T_LPLFS_T_LF_DC_21_24,T_LPLFS_T_LF_Tot,T_LPLFS_NLF_DC_0_4,T_LPLFS_NLF_DC_5_9,T_LPLFS_NLF_DC_10_12,T_LPLFS_NLF_DC_13_14,T_LPLFS_NLF_DC_15_17,T_LPLFS_NLF_DC_18_20,T_LPLFS_NLF_DC_21_24,T_LPLFS_NLF_Tot,T_LPLFS_LFSNS_DC_0_4,T_LPLFS_LFSNS_DC_5_9,T_LPLFS_LFSNS_DC_10_12,T_LPLFS_LFSNS_DC_13_14,T_LPLFS_LFSNS_DC_15_17,T_LPLFS_LFSNS_DC_18_20,T_LPLFS_LFSNS_DC_21_24,T_LPLFS_LFSNS_Tot,T_LPLFS_Tot_DC_0_4,T_LPLFS_Tot_DC_5_9,T_LPLFS_Tot_DC_10_12,T_LPLFS_Tot_DC_13_14,T_LPLFS_Tot_DC_15_17,T_LPLFS_Tot_DC_18_20,T_LPLFS_Tot_DC_21_24,T_LPLFS_Tot_Tot
CED224,172,410,307,222,291,184,79,1659,44,34,24,14,22,21,10,158,12,12,12,8,11,7,3,66,375,859,710,516,787,495,266,4007,6,12,14,13,21,8,6,78,15,24,17,9,18,5,3,100,25,45,27,19,35,18,9,175,399,904,741,543,822,508,273,4183,231,338,196,147,188,101,57,1252,8,9,10,8,3,0,0,35,640,1250,938,698,1008,607,331,5476
CED225,125,337,268,242,302,151,80,1508,35,24,24,15,23,13,12,145,7,0,4,6,15,0,4,37,311,689,626,553,779,400,263,3623,3,15,13,9,13,6,9,72,14,37,18,14,17,3,6,105,20,51,32,19,31,9,16,174,329,742,653,575,812,412,277,3797,241,282,203,152,174,106,54,1215,6,5,3,6,3,0,4,28,581,1027,860,736,986,520,335,5039
CED226,109,231,230,186,259,223,108,1341,19,14,14,17,19,16,4,96,0,12,6,8,10,3,4,40,246,576,571,470,699,583,329,3478,7,14,16,7,16,11,9,80,10,23,23,13,21,7,5,107,16,36,41,20,35,17,11,183,266,618,614,487,735,602,340,3664,129,230,223,194,318,236,144,1472,5,9,9,7,8,4,3,41,397,848,843,688,1061,839,491,5173
CED227,318,513,344,256,334,123,66,1960,41,65,46,19,32,13,13,230,21,36,24,17,18,3,0,118,583,1110,767,603,838,373,211,4489,20,51,25,12,25,10,4,145,33,56,27,19,21,0,8,172,59,109,54,35,46,8,11,316,636,1219,821,634,886,378,227,4809,648,672,325,202,236,93,43,2214,25,26,13,10,9,0,0,79,1308,1911,1166,844,1131,472,270,7107
CED228,340,562,356,265,342,145,75,2078,69,78,56,36,46,22,14,318,21,40,26,14,20,12,3,134,679,1290,894,640,902,416,228,5055,52,90,44,34,42,9,19,293,77,116,48,46,38,7,6,336,130,203,92,75,78,22,23,627,808,1491,993,709,980,437,250,5680,941,970,527,377,424,174,110,3520,38,41,20,15,13,3,4,137,1785,2507,1545,1101,1417,616,367,9341
CED229,131,238,156,116,159,108,67,971,26,24,13,17,16,15,3,111,8,10,6,8,0,3,0,49,315,572,425,381,480,326,183,2673,19,20,10,5,7,4,7,76,9,31,12,7,18,9,5,88,28,48,22,12,31,14,11,162,348,616,442,387,505,345,193,2833,169,206,160,101,153,117,71,985,5,0,0,0,4,3,0,16,518,826,604,493,659,467,268,3829
CED230,349,592,425,310,317,82,11,2091,63,64,44,17,30,3,0,221,11,32,24,26,14,4,0,112,577,1063,829,636,759,172,37,4068,32,52,41,16,22,3,4,166,27,62,32,20,21,0,0,166,60,116,72,36,44,4,4,330,639,1174,900,672,802,178,40,4400,830,869,465,352,241,64,18,2837,24,27,21,17,10,5,0,105,1496,2073,1385,1039,1050,236,54,7343
CED231,135,277,230,195,237,148,74,1299,23,26,12,21,20,16,8,127,3,9,7,0,7,7,3,35,300,666,553,478,654,422,227,3302,13,15,9,20,17,16,7,98,19,21,15,17,21,7,6,108,36,39,22,30,32,24,11,202,334,707,577,506,688,452,241,3501,298,319,208,122,156,97,68,1267,8,12,8,6,7,0,0,42,640,1039,798,635,853,550,309,4816
CED232,235,480,382,282,352,131,63,1917,54,61,28,25,34,6,0,209,12,14,11,5,11,3,4,60,433,979,796,599,886,329,184,4203,11,22,18,14,19,3,4,100,23,64,22,18,15,12,0,149,37,87,38,26,31,16,8,243,475,1059,833,623,918,349,191,4442,490,540,308,197,206,83,39,1862,16,22,10,10,3,0,0,63,978,1620,1149,829,1131,432,233,6369
CED233,134,210,142,110,143,104,61,905,18,20,12,12,13,14,8,95,12,5,5,6,5,4,7,43,259,513,385,285,378,304,147,2274,12,19,20,16,12,15,6,101,25,36,20,9,21,19,8,140,38,57,42,29,31,29,10,235,302,571,418,313,412,330,159,2512,328,343,193,156,218,174,126,1536,26,24,11,6,0,0,3,74,653,932,630,479,629,509,288,4117
CED234,136,355,267,224,338,179,125,1636,21,22,29,12,24,19,14,134,0,6,14,6,5,3,6,39,280,713,589,504,779,520,316,3697,0,19,10,7,15,24,11,82,16,42,24,11,21,13,5,141,21,64,29,20,34,37,16,221,299,773,617,526,816,557,329,3918,167,312,219,176,275,186,142,1476,9,10,6,5,4,7,0,36,469,1095,840,708,1095,744,471,5427
CED235,275,573,418,307,343,85,22,2026,48,63,32,32,30,6,4,205,20,33,18,8,18,4,0,104,445,971,737,598,736,188,59,3736,4,31,34,26,20,5,0,116,45,58,24,33,18,5,3,178,45,87,54,53,37,10,4,300,490,1060,795,657,771,199,65,4035,625,595,330,231,220,65,30,2096,11,31,27,15,6,0,0,83,1123,1686,1152,898,996,267,90,6210
CED236,320,672,444,318,338,84,20,2203,70,74,26,18,31,5,0,232,17,40,18,18,22,7,3,134,556,1222,850,637,777,183,57,4284,21,31,31,28,19,10,0,139,46,51,42,26,19,5,0,188,70,79,74,54,40,17,3,329,627,1301,918,689,814,200,60,4613,770,766,435,265,292,50,18,2597,20,26,33,13,8,5,0,98,1416,2093,1390,971,1113,249,80,7307
CED237,210,426,311,242,338,163,86,1778,38,34,32,16,27,14,10,167,11,20,11,5,10,3,4,68,406,832,645,497,752,397,225,3751,23,48,33,29,23,20,10,188,31,72,32,19,36,15,3,207,61,115,63,45,61,41,12,396,462,946,710,540,807,438,240,4137,567,693,418,298,369,191,94,2632,27,23,13,8,0,6,5,78,1053,1670,1140,848,1184,630,328,6854
CED238,281,619,432,323,364,73,21,2114,56,58,30,24,16,9,3,196,8,14,14,10,13,0,0,59,443,976,773,625,748,163,45,3784,10,15,14,9,16,3,0,73,22,38,33,18,22,4,0,134,31,57,46,30,31,5,0,205,481,1036,817,655,780,173,50,3992,499,574,299,201,171,42,6,1792,20,24,13,9,5,0,0,64,991,1633,1128,863,955,214,54,5846
CED239,132,257,235,132,191,112,60,1113,38,21,18,13,18,12,8,133,4,10,0,6,3,3,0,37,284,586,493,317,534,333,186,2729,8,18,12,20,18,12,7,90,18,52,24,22,13,11,0,134,29,66,40,37,29,21,7,223,310,646,528,354,562,356,192,2953,275,331,167,138,196,108,74,1292,13,12,6,0,0,0,0,27,592,987,707,492,762,461,268,4270
CED294,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CED297,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
