CED_CODE_2021,Count_home_Census_Nt_0_14_yr,Count_hom_Census_Nt_15_24_yr,Count_hom_Census_Nt_25_34_yr,Count_hom_Census_Nt_35_44_yr,Count_hom_Census_Nt_45_54_yr,Count_hom_Census_Nt_55_64_yr,Count_hom_Census_Nt_65_74_yr,Count_hom_Census_Nt_75_84_yr,Count_hom_Census_Nt_85ov,Counted_home_Census_Night_Tot,VisSame_SA2_0_14_yr,VisSame_SA2_15_24_yr,VisSame_SA2_25_34_yr,VisSame_SA2_35_44_yr,VisSame_SA2_45_54_yr,VisSame_SA2_55_64_yr,VisSame_SA2_65_74_yr,VisSame_SA2_75_84_yr,VisSame_SA2_85ov,VisSame_SA2_Total,VisDiff_SA2_NSW_0_14_yr,VisDiff_SA2_NSW_15_24_yr,VisDiff_SA2_NSW_25_34_yr,VisDiff_SA2_NSW_35_44_yr,VisDiff_SA2_NSW_45_54_yr,VisDiff_SA2_NSW_55_64_yr,VisDiff_SA2_NSW_65_74_yr,VisDiff_SA2_NSW_75_84_yr,VisDiff_SA2_NSW_85ov,VisDiff_SA2_NSW_Total,VisDiff_SA2_VIC_0_14_yr,VisDiff_SA2_VIC_15_24_yr,VisDiff_SA2_VIC_25_34_yr,VisDiff_SA2_VIC_35_44_yr,VisDiff_SA2_VIC_45_54_yr,VisDiff_SA2_VIC_55_64_yr,VisDiff_SA2_VIC_65_74_yr,VisDiff_SA2_VIC_75_84_yr,VisDiff_SA2_VIC_85ov,VisDiff_SA2_VIC_Total,VisDiff_SA2_QLD_0_14_yr,VisDiff_SA2_QLD_15_24_yr,VisDiff_SA2_QLD_25_34_yr,VisDiff_SA2_QLD_35_44_yr,VisDiff_SA2_QLD_45_54_yr,VisDiff_SA2_QLD_55_64_yr,VisDiff_SA2_QLD_65_74_yr,VisDiff_SA2_QLD_75_84_yr,VisDiff_SA2_QLD_85ov,VisDiff_SA2_QLD_Total,VisDiff_SA2_SA_0_14_yr,VisDiff_SA2_SA_15_24_yr,VisDiff_SA2_SA_25_34_yr,VisDiff_SA2_SA_35_44_yr,VisDiff_SA2_SA_45_54_yr,VisDiff_SA2_SA_55_64_yr,VisDiff_SA2_SA_65_74_yr,VisDiff_SA2_SA_75_84_yr,VisDiff_SA2_SA_85ov,VisDiff_SA2_SA_Total,VisDiff_SA2_WA_0_14_yr,VisDiff_SA2_WA_15_24_yr,VisDiff_SA2_WA_25_34_yr,VisDiff_SA2_WA_35_44_yr,VisDiff_SA2_WA_45_54_yr,VisDiff_SA2_WA_55_64_yr,VisDiff_SA2_WA_65_74_yr,VisDiff_SA2_WA_75_84_yr,VisDiff_SA2_WA_85ov,VisDiff_SA2_WA_Total,VisDiff_SA2_TAS_0_14_yr,VisDiff_SA2_TAS_15_24_yr,VisDiff_SA2_TAS_25_34_yr,VisDiff_SA2_TAS_35_44_yr,VisDiff_SA2_TAS_45_54_yr,VisDiff_SA2_TAS_55_64_yr,VisDiff_SA2_TAS_65_74_yr,VisDiff_SA2_TAS_75_84_yr,VisDiff_SA2_TAS_85ov,VisDiff_SA2_TAS_Total,VisDiff_SA2_NT_0_14_yr,VisDiff_SA2_NT_15_24_yr,VisDiff_SA2_NT_25_34_yr,VisDiff_SA2_NT_35_44_yr,VisDiff_SA2_NT_45_54_yr,VisDiff_SA2_NT_55_64_yr,VisDiff_SA2_NT_65_74_yr,VisDiff_SA2_NT_75_84_yr,VisDiff_SA2_NT_85ov,VisDiff_SA2_NT_Total,VisDiff_SA2_ACT_0_14_yr,VisDiff_SA2_ACT_15_24_yr,VisDiff_SA2_ACT_25_34_yr,VisDiff_SA2_ACT_35_44_yr,VisDiff_SA2_ACT_45_54_yr,VisDiff_SA2_ACT_55_64_yr,VisDiff_SA2_ACT_65_74_yr,VisDiff_SA2_ACT_75_84_yr,VisDiff_SA2_ACT_85ov,VisDiff_SA2_ACT_Total,VisDiff_SA2_OT_0_14_yr,VisDiff_SA2_OT_15_24_yr,VisDiff_SA2_OT_25_34_yr,VisDiff_SA2_OT_35_44_yr,VisDiff_SA2_OT_45_54_yr,VisDiff_SA2_OT_55_64_yr,VisDiff_SA2_OT_65_74_yr,VisDiff_SA2_OT_75_84_yr,VisDiff_SA2_OT_85ov,VisDiff_SA2_OT_Total,VisDiff_SA2_Tot_0_14_yr,VisDiff_SA2_Tot_15_24_yr,VisDiff_SA2_Tot_25_34_yr,VisDiff_SA2_Tot_35_44_yr,VisDiff_SA2_Tot_45_54_yr,VisDiff_SA2_Tot_55_64_yr,VisDiff_SA2_Tot_65_74_yr,VisDiff_SA2_Tot_75_84_yr,VisDiff_SA2_Tot_85ov,VisDiff_SA2_Tot_Total,Vis_Tot_Visitrs_0_14_yr,Vis_Tot_Visitrs_15_24_yr,Vis_Tot_Visitrs_25_34_yr,Vis_Tot_Visitrs_35_44_yr,Vis_Tot_Visitrs_45_54_yr,Vis_Tot_Visitrs_55_64_yr,Vis_Tot_Visitrs_65_74_yr,Vis_Tot_Visitrs_75_84_yr,Vis_Tot_Visitrs_85ov,Vis_Tot_Visitrs_Total,Total_0_14_yr,Total_15_24_yr,Total_25_34_yr,Total_35_44_yr,Total_45_54_yr,Total_55_64_yr,Total_65_74_yr,Total_75_84_yr,Total_85ov,Total_Total
CED214,27751,20186,34443,26912,21273,17777,13251,7351,3326,172260,25,20,28,28,31,29,46,24,5,241,0,13,14,7,17,14,5,6,0,70,326,442,606,444,378,338,225,129,67,2948,5,12,18,7,11,17,9,0,0,77,0,8,3,6,8,3,9,0,0,35,4,5,4,3,0,3,3,0,0,22,0,0,8,0,0,0,0,0,0,15,0,0,4,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,333,472,650,473,411,376,254,142,63,3181,359,492,677,499,441,409,305,166,72,3420,28108,20675,35124,27408,21715,18184,13548,7518,3397,175681
CED215,43250,18910,28072,35827,23720,16656,11395,5880,2432,186144,17,15,17,17,26,19,16,15,10,155,9,15,28,21,18,25,17,5,0,126,298,348,458,298,269,226,186,112,65,2245,6,3,9,13,12,20,14,3,0,83,0,4,3,4,3,7,5,0,0,26,3,0,10,3,3,5,0,0,0,38,3,4,8,0,0,0,3,0,0,31,0,0,0,6,4,0,3,0,0,14,0,0,3,5,4,4,0,0,0,12,0,0,0,0,0,0,0,0,0,0,316,379,516,349,311,287,223,119,71,2575,334,398,535,368,335,311,238,140,85,2735,43585,19303,28604,36196,24062,16963,11631,6014,2518,188878
CED216,25358,14924,16503,16188,17634,21242,20434,10943,3728,146951,50,30,37,36,42,59,93,50,20,414,6,35,27,22,22,17,30,13,5,176,643,819,813,630,671,859,772,441,245,5880,4,20,37,23,22,33,13,0,0,158,7,8,9,6,4,12,10,0,0,51,3,3,5,6,3,11,6,0,0,48,0,5,0,4,4,9,0,0,0,21,0,4,3,4,0,5,4,0,0,20,0,3,4,5,4,6,0,0,0,28,0,0,0,0,0,0,0,0,0,0,667,899,900,698,723,944,836,460,246,6380,714,929,931,734,762,1010,934,517,269,6790,26069,15855,17441,16920,18394,22248,21361,11462,3990,153743
CED217,26525,17941,14400,19053,23516,19399,15029,9146,4628,149631,16,13,10,6,13,16,16,13,10,114,0,24,20,7,13,20,15,6,3,103,352,350,392,295,287,291,231,165,97,2467,0,5,4,0,12,8,12,6,5,57,0,4,3,3,0,4,0,0,0,16,0,0,0,5,0,0,9,6,0,26,0,0,0,0,3,11,5,3,0,23,0,0,0,0,0,0,0,0,0,0,0,4,3,5,3,3,0,0,0,11,0,0,0,0,0,0,0,0,0,0,358,392,418,315,316,344,275,186,99,2702,373,406,433,321,329,358,288,193,115,2816,26895,18353,14831,19375,23844,19751,15327,9337,4738,152454
CED218,37079,22682,25649,27839,23324,18289,12924,5798,1810,175397,3,3,14,9,13,20,24,18,10,119,0,13,9,4,6,8,9,0,0,45,330,280,401,321,262,175,137,100,44,2047,3,3,8,0,6,6,0,0,0,33,4,0,9,3,3,0,4,0,0,18,0,0,4,0,3,5,0,0,0,16,0,0,0,0,0,5,3,0,0,7,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,341,295,425,333,283,204,151,99,45,2182,345,302,435,346,300,226,173,121,53,2302,37419,22984,26086,28182,23619,18516,13101,5922,1863,177697
CED219,36480,19235,24345,24016,20199,16749,12961,5739,1819,161544,25,15,17,18,12,25,38,26,10,187,9,11,12,6,7,20,9,5,0,68,430,431,523,310,254,207,174,91,58,2472,6,10,12,12,6,11,9,0,0,59,0,6,7,5,4,6,4,0,0,21,8,0,5,0,0,5,3,0,0,22,4,0,4,7,3,0,4,0,0,28,0,0,0,0,0,0,4,0,0,3,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,458,452,559,336,271,243,205,97,56,2681,482,464,578,358,284,266,241,121,67,2870,36961,19700,24922,24377,20489,17015,13203,5857,1893,164413
CED220,19806,18080,30415,21672,18821,15691,12420,8168,3672,148749,40,8,15,15,14,19,30,27,53,217,3,78,104,20,31,34,21,10,3,312,242,497,723,401,367,344,336,235,144,3285,0,12,20,7,11,12,26,0,0,96,0,4,11,5,10,4,0,0,0,42,0,8,8,3,4,5,7,4,4,37,4,0,10,0,0,10,7,6,0,41,0,0,3,0,0,0,0,0,0,7,0,4,3,0,6,0,0,0,0,16,0,0,0,0,0,0,0,0,0,0,254,602,882,441,415,411,398,266,153,3837,294,610,902,459,432,433,428,291,204,4051,20097,18688,31318,22138,19247,16124,12848,8457,3878,152797
CED221,45187,23537,30075,30934,21682,16183,10063,4684,1556,183899,27,17,17,19,16,6,13,15,4,140,4,3,9,5,5,0,3,0,0,35,410,448,451,280,199,175,118,78,26,2189,10,3,5,3,3,14,9,3,0,45,7,0,8,4,0,3,5,0,0,26,5,0,0,3,0,0,5,0,0,22,0,0,0,0,0,0,4,4,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,429,465,475,301,218,196,140,84,26,2337,457,482,496,322,232,199,158,105,35,2476,45640,24018,30571,31253,21916,16385,10219,4778,1593,186373
CED222,31222,25006,33691,27432,23424,20013,15815,10240,4742,191581,15,15,24,14,25,17,36,29,14,189,6,15,15,12,8,5,4,0,9,70,372,498,615,433,366,318,241,180,140,3160,0,0,7,3,3,10,11,4,0,39,10,0,9,0,4,5,4,0,0,26,7,4,4,3,0,0,0,0,0,20,0,3,8,0,0,0,8,0,0,15,0,3,0,0,0,0,0,0,0,6,4,0,9,5,3,0,0,0,0,17,0,0,0,0,0,0,0,0,0,0,390,525,667,456,379,336,269,183,151,3355,406,540,689,470,404,355,306,213,163,3546,31629,25545,34376,27903,23827,20368,16119,10453,4907,195133
CED223,26214,15004,15497,16764,19092,21757,19817,10873,4030,149053,65,55,22,24,43,61,66,32,24,399,72,187,141,75,85,97,53,23,6,747,1067,1397,1140,990,1036,988,758,285,147,7818,22,148,105,32,31,40,52,7,0,439,16,110,60,17,23,22,23,0,0,284,7,53,20,13,10,12,12,3,0,125,8,29,17,10,8,8,16,0,0,85,3,3,9,8,0,10,4,0,0,42,6,8,3,6,3,4,0,0,0,30,0,0,0,0,0,0,0,0,0,0,1193,1939,1504,1148,1202,1188,912,329,161,9571,1253,1997,1523,1169,1242,1253,982,359,183,9962,27472,17001,17018,17939,20340,23007,20794,11232,4208,159014
