CED_CODE_2021,M_15_19y_DUDW_LT_5_h,M_15_19y_DUDW_5_14_h,M_15_19y_DUDW_15_29_h,M_15_19y_DUDW_30_h_mo,M_15_19y_DNUDW,M_15_19y_UDW_NS,M_15_19y_Total,M_20_24y_DUDW_LT_5_h,M_20_24y_DUDW_5_14_h,M_20_24y_DUDW_15_29_h,M_20_24y_DUDW_30_h_mo,M_20_24y_DNUDW,M_20_24y_UDW_NS,M_20_24y_Total,M_25_34y_DUDW_LT_5_h,M_25_34y_DUDW_5_14_h,M_25_34y_DUDW_15_29_h,M_25_34y_DUDW_30_h_mo,M_25_34y_DNUDW,M_25_34y_UDW_NS,M_25_34y_Total,M_35_44y_DUDW_LT_5_h,M_35_44y_DUDW_5_14_h,M_35_44y_DUDW_15_29_h,M_35_44y_DUDW_30_h_mo,M_35_44y_DNUDW,M_35_44y_UDW_NS,M_35_44y_Total,M_45_54y_DUDW_LT_5_h,M_45_54y_DUDW_5_14_h,M_45_54y_DUDW_15_29_h,M_45_54y_DUDW_30_h_mo,M_45_54y_DNUDW,M_45_54y_UDW_NS,M_45_54y_Total,M_55_64y_DUDW_LT_5_h,M_55_64y_DUDW_5_14_h,M_55_64y_DUDW_15_29_h,M_55_64y_DUDW_30_h_mo,M_55_64y_DNUDW,M_55_64y_UDW_NS,M_55_64y_Total,M_65_74y_DUDW_LT_5_h,M_65_74y_DUDW_5_14_h,M_65_74y_DUDW_15_29_h,M_65_74y_DUDW_30_h_mo,M_65_74y_DNUDW,M_65_74y_UDW_NS,M_65_74y_Total,M_75_84y_DUDW_LT_5_h,M_75_84y_DUDW_5_14_h,M_75_84y_DUDW_15_29_h,M_75_84y_DUDW_30_h_mo,M_75_84y_DNUDW,M_75_84y_UDW_NS,M_75_84y_Total,M_85y_ov_DUDW_LT_5_h,M_85y_ov_DUDW_5_14_h,M_85y_ov_DUDW_15_29_h,M_85y_ov_DUDW_30_h_mo,M_85y_ov_DNUDW,M_85y_ov_UDW_NS,M_85y_ov_Total,M_Tot_DUDW_LT_5_h,M_Tot_DUDW_5_14_h,M_Tot_DUDW_15_29_h,M_Tot_DUDW_30_h_mo,M_Tot_DNUDW,M_Tot_UDW_NS,M_Tot_Total,F_15_19y_DUDW_LT_5_h,F_15_19y_DUDW_5_14_h,F_15_19y_DUDW_15_29_h,F_15_19y_DUDW_30_h_mo,F_15_19y_DNUDW,F_15_19y_UDW_NS,F_15_19y_Total,F_20_24y_DUDW_LT_5_h,F_20_24y_DUDW_5_14_h,F_20_24y_DUDW_15_29_h,F_20_24y_DUDW_30_h_mo,F_20_24y_DNUDW,F_20_24y_UDW_NS,F_20_24y_Total,F_25_34y_DUDW_LT_5_h,F_25_34y_DUDW_5_14_h,F_25_34y_DUDW_15_29_h,F_25_34y_DUDW_30_h_mo,F_25_34y_DNUDW,F_25_34y_UDW_NS,F_25_34y_Total,F_35_44y_DUDW_LT_5_h,F_35_44y_DUDW_5_14_h,F_35_44y_DUDW_15_29_h,F_35_44y_DUDW_30_h_mo,F_35_44y_DNUDW,F_35_44y_UDW_NS,F_35_44y_Total,F_45_54y_DUDW_LT_5_h,F_45_54y_DUDW_5_14_h,F_45_54y_DUDW_15_29_h,F_45_54y_DUDW_30_h_mo,F_45_54y_DNUDW,F_45_54y_UDW_NS,F_45_54y_Total,F_55_64y_DUDW_LT_5_h,F_55_64y_DUDW_5_14_h,F_55_64y_DUDW_15_29_h,F_55_64y_DUDW_30_h_mo,F_55_64y_DNUDW,F_55_64y_UDW_NS,F_55_64y_Total,F_65_74y_DUDW_LT_5_h,F_65_74y_DUDW_5_14_h,F_65_74y_DUDW_15_29_h,F_65_74y_DUDW_30_h_mo,F_65_74y_DNUDW,F_65_74y_UDW_NS,F_65_74y_Total,F_75_84y_DUDW_LT_5_h,F_75_84y_DUDW_5_14_h,F_75_84y_DUDW_15_29_h,F_75_84y_DUDW_30_h_mo,F_75_84y_DNUDW,F_75_84y_UDW_NS,F_75_84y_Total,F_85y_ov_DUDW_LT_5_h,F_85y_ov_DUDW_5_14_h,F_85y_ov_DUDW_15_29_h,F_85y_ov_DUDW_30_h_mo,F_85y_ov_DNUDW,F_85y_ov_UDW_NS,F_85y_ov_Total,F_Tot_DUDW_LT_5_h,F_Tot_DUDW_5_14_h,F_Tot_DUDW_15_29_h,F_Tot_DUDW_30_h_mo,F_Tot_DNUDW,F_Tot_UDW_NS,F_Tot_Total,P_15_19y_DUDW_LT_5_h,P_15_19y_DUDW_5_14_h,P_15_19y_DUDW_15_29_h,P_15_19y_DUDW_30_h_mo,P_15_19y_DNUDW,P_15_19y_UDW_NS,P_15_19y_Total,P_20_24y_DUDW_LT_5_h,P_20_24y_DUDW_5_14_h,P_20_24y_DUDW_15_29_h,P_20_24y_DUDW_30_h_mo,P_20_24y_DNUDW,P_20_24y_UDW_NS,P_20_24y_Total,P_25_34y_DUDW_LT_5_h,P_25_34y_DUDW_5_14_h,P_25_34y_DUDW_15_29_h,P_25_34y_DUDW_30_h_mo,P_25_34y_DNUDW,P_25_34y_UDW_NS,P_25_34y_Total,P_35_44y_DUDW_LT_5_h,P_35_44y_DUDW_5_14_h,P_35_44y_DUDW_15_29_h,P_35_44y_DUDW_30_h_mo,P_35_44y_DNUDW,P_35_44y_UDW_NS,P_35_44y_Total,P_45_54y_DUDW_LT_5_h,P_45_54y_DUDW_5_14_h,P_45_54y_DUDW_15_29_h,P_45_54y_DUDW_30_h_mo,P_45_54y_DNUDW,P_45_54y_UDW_NS,P_45_54y_Total,P_55_64y_DUDW_LT_5_h,P_55_64y_DUDW_5_14_h,P_55_64y_DUDW_15_29_h,P_55_64y_DUDW_30_h_mo,P_55_64y_DNUDW,P_55_64y_UDW_NS,P_55_64y_Total,P_65_74y_DUDW_LT_5_h,P_65_74y_DUDW_5_14_h,P_65_74y_DUDW_15_29_h,P_65_74y_DUDW_30_h_mo,P_65_74y_DNUDW,P_65_74y_UDW_NS,P_65_74y_Total,P_75_84y_DUDW_LT_5_h,P_75_84y_DUDW_5_14_h,P_75_84y_DUDW_15_29_h,P_75_84y_DUDW_30_h_mo,P_75_84y_DNUDW,P_75_84y_UDW_NS,P_75_84y_Total,P_85y_ov_DUDW_LT_5_h,P_85y_ov_DUDW_5_14_h,P_85y_ov_DUDW_15_29_h,P_85y_ov_DUDW_30_h_mo
CED201,2256,294,34,10,2088,161,4843,1987,669,90,43,2070,187,5036,3050,2660,508,206,3148,464,10030,2604,3908,1034,421,2504,413,10879,2765,3744,899,365,2227,359,10352,2461,3482,901,359,2341,295,9838,1437,2263,909,443,2209,254,7519,650,927,478,265,1492,241,4047,189,206,91,50,664,143,1333,17398,18144,4928,2157,18738,2512,63878,2142,458,29,6,1670,162,4472,1828,1083,136,64,1336,185,4627,2142,3222,1234,1134,2074,394,10190,1139,3441,2409,2245,1772,391,11402,1125,4016,2442,1684,1646,293,11196,1073,3438,2337,1589,1936,311,10687,633,2062,1841,1451,2201,300,8477,449,881,751,639,1800,332,4851,232,265,137,81,1203,286,2203,10762,18864,11313,8895,15631,2653,68114,4400,754,67,22,3756,325,9314,3811,1754,222,98,3411,365,9661,5187,5876,1737,1337,5220,857,20219,3745,7349,3441,2666,4270,804,22280,3889,7759,3340,2048,3866,647,21548,3536,6915,3235,1948,4276,605,20530,2071,4325,2750,1896,4404,551,15998,1101,1807,1224,905,3291,572,8898,423,465,222,137
CED202,2043,368,31,17,1922,285,4658,1538,731,96,37,1642,275,4316,2711,2842,564,286,2386,567,9358,2130,3282,990,417,1510,478,8812,2378,3400,967,393,1761,574,9467,2186,3129,962,422,2105,514,9326,1416,2412,1133,645,2190,531,8333,586,949,495,333,1463,373,4196,153,168,92,64,612,211,1302,15137,17278,5329,2616,15596,3817,59771,2115,480,43,23,1486,296,4447,1392,1159,263,139,1088,271,4314,1388,3268,1386,1521,1410,562,9530,835,3193,2128,2134,955,493,9741,1032,3709,2345,1418,1152,503,10156,1069,3351,2247,1404,1623,488,10173,639,2087,1992,1780,2032,522,9040,393,809,768,816,1536,460,4783,217,297,161,127,1050,378,2237,9085,18347,11333,9358,12333,3975,64432,4159,843,74,39,3406,583,9108,2934,1891,362,167,2723,546,8630,4095,6113,1949,1808,3804,1126,18890,2964,6478,3125,2554,2469,973,18557,3413,7101,3305,1806,2916,1077,19622,3254,6485,3207,1833,3729,1003,19499,2052,4493,3121,2430,4222,1053,17372,984,1755,1258,1148,3000,834,8981,368,467,259,192
CED203,1946,361,24,10,1640,313,4299,1548,714,91,41,1512,289,4179,2419,2694,628,277,2133,803,8944,2069,3116,1002,474,1378,683,8722,2194,3316,982,415,1636,693,9235,2230,3122,1012,466,2030,651,9512,1521,2522,1282,707,2260,580,8881,660,1095,622,431,1527,426,4757,168,227,123,115,720,246,1597,14757,17157,5763,2934,14832,4685,60122,1986,499,42,20,1378,286,4209,1268,1160,243,157,1041,229,4100,1393,3076,1466,1508,1407,579,9431,851,3111,2108,1991,916,555,9522,1024,3693,2183,1360,1080,560,9882,1199,3415,2326,1495,1595,585,10611,699,2273,2061,1825,2074,544,9476,422,917,851,917,1661,512,5283,275,250,160,164,1130,479,2462,9122,18382,11437,9430,12283,4325,64985,3931,856,70,28,3019,597,8508,2814,1877,330,194,2547,514,8279,3812,5759,2096,1789,3545,1381,18378,2920,6226,3108,2467,2289,1237,18254,3213,7007,3164,1776,2712,1250,19119,3432,6534,3337,1953,3630,1236,20117,2223,4792,3345,2527,4337,1129,18353,1086,2017,1470,1345,3192,942,10043,446,474,283,282
CED204,2097,478,38,8,2731,386,5740,1965,806,129,56,3049,469,6468,3192,2794,550,278,5784,1237,13825,2770,3295,947,437,4270,925,12645,2666,3258,821,399,3583,692,11413,2339,2889,773,361,3537,579,10483,1280,1804,778,388,2789,388,7428,553,718,314,221,1701,300,3811,173,147,61,47,653,127,1206,17028,16181,4410,2201,28101,5099,73021,2048,601,85,27,2253,326,5335,1709,1204,299,150,2032,361,5754,1902,3024,1418,1646,3740,919,12655,926,3028,2068,2648,2945,743,12359,1007,3278,2216,1847,2523,645,11519,985,2837,1999,1656,2836,519,10833,614,1697,1374,1184,2592,435,7902,435,734,510,467,1785,307,4243,204,228,102,78,1179,216,2004,9830,16629,10074,9711,21879,4473,72599,4142,1080,124,34,4987,707,11078,3677,2004,426,208,5081,834,12226,5094,5816,1973,1921,9524,2154,26482,3697,6325,3015,3083,7211,1664,25001,3677,6534,3034,2247,6106,1336,22936,3322,5724,2769,2026,6375,1101,21311,1898,3503,2152,1576,5375,823,15323,987,1451,828,686,3481,609,8050,370,376,164,131
CED205,1609,402,43,17,3645,445,6156,1532,737,123,54,3947,537,6921,3249,2933,645,334,7425,1356,15946,2739,3457,1011,571,6148,1153,15078,2031,2421,575,335,4409,728,10505,1683,1873,540,294,4071,528,8984,801,991,337,202,2510,281,5122,311,366,147,99,1251,166,2339,62,59,20,23,350,64,580,14015,13230,3441,1924,33760,5267,71640,1762,714,94,39,2889,373,5868,1401,1318,317,207,2753,421,6423,1753,3265,1816,2555,5789,1112,16294,905,2892,2217,3146,4529,960,14649,782,2415,1643,1894,3564,648,10941,692,1841,1351,1376,3177,498,8934,407,958,799,719,2340,316,5535,248,404,229,241,1281,209,2609,96,68,40,27,561,107,901,8044,13874,8505,10207,26880,4646,72154,3372,1112,134,62,6533,819,12026,2938,2050,439,259,6699,958,13349,5004,6197,2466,2886,13212,2473,32238,3646,6345,3231,3713,10676,2113,29729,2810,4841,2214,2230,7972,1379,21444,2378,3710,1890,1671,7246,1027,17912,1203,1944,1136,920,4847,598,10657,558,769,379,338,2539,380,4948,158,128,59,47
CED206,2403,338,21,17,1970,234,4981,1799,650,74,32,1765,204,4532,2855,3103,662,224,2245,453,9543,2497,3802,1158,442,1619,430,9954,2666,4040,1185,392,1786,512,10587,2379,3618,1120,422,1986,424,9948,1351,2452,1156,648,1906,335,7844,614,1056,554,366,1308,275,4168,153,196,83,85,505,80,1095,16732,19249,6009,2634,15103,2934,62660,2387,489,41,9,1444,209,4578,1628,1009,194,89,1151,153,4227,1583,3419,1482,1577,1271,401,9727,905,3454,2485,2397,979,388,10610,1099,4289,2683,1585,1037,436,11120,1050,3742,2397,1613,1351,385,10537,615,2129,2065,1674,1820,337,8648,392,867,759,783,1399,255,4451,192,242,117,88,834,128,1599,9853,19642,12215,9813,11282,2698,65494,4791,831,59,19,3416,445,9563,3435,1658,265,123,2915,360,8754,4442,6521,2143,1804,3522,848,19271,3404,7264,3640,2843,2597,813,20562,3765,8327,3864,1982,2824,945,21712,3430,7358,3515,2035,3334,811,20483,1973,4578,3216,2321,3723,673,16491,1003,1922,1308,1143,2710,528,8622,349,438,198,174
CED207,2592,517,32,17,2379,217,5761,2789,1294,184,73,3425,538,8295,3527,3155,593,252,5229,985,13741,2506,3777,1217,461,3209,575,11753,2729,4044,1193,423,2318,433,11141,2176,3416,1010,424,2175,312,9511,1339,2348,1026,403,2051,279,7450,941,1413,727,315,1822,288,5505,355,434,208,117,1227,233,2583,18946,20408,6183,2495,23829,3860,75730,2689,651,56,23,1950,197,5557,2595,1603,203,94,2269,413,7176,2459,3424,1104,907,3706,719,12312,1157,3381,2620,2275,2598,484,12505,1095,3861,2912,1980,2018,426,12293,909,3225,2347,1650,1860,352,10334,693,2189,1955,1511,2172,333,8859,674,1415,1264,1037,2241,376,6996,419,569,322,238,1881,391,3826,12686,20316,12778,9710,20686,3688,79864,5277,1172,93,37,4328,416,11321,5381,2894,382,170,5688,946,15469,5984,6580,1697,1154,8933,1705,26052,3665,7155,3843,2733,5806,1055,24258,3826,7906,4108,2406,4334,859,23436,3080,6641,3358,2078,4033,664,19846,2031,4543,2978,1918,4226,615,16313,1612,2828,1985,1346,4061,665,12503,771,1006,529,354
CED208,1655,242,14,8,1475,151,3557,1645,852,106,52,1996,335,4988,4307,4612,717,231,3820,826,14509,2957,4766,1325,453,2254,628,12381,2496,3931,1034,366,2200,481,10504,1694,2498,759,301,2143,381,7781,890,1435,515,248,1754,324,5166,508,665,301,188,1405,275,3340,239,224,111,45,746,220,1582,16380,19221,4882,1893,17797,3626,63802,1735,405,36,10,1158,182,3526,1732,1305,196,93,1292,242,4858,3713,5914,1392,972,2602,715,15305,1796,4620,2479,1992,1503,535,12931,1245,3910,2451,1473,1511,429,11015,978,2776,1579,1050,1690,345,8417,539,1461,1080,876,1640,362,5953,371,889,622,517,1567,341,4310,293,364,181,120,1159,382,2486,12396,21640,10018,7097,14119,3532,68799,3388,648,53,18,2639,330,7078,3373,2158,303,139,3290,581,9849,8015,10519,2110,1206,6423,1539,29817,4746,9391,3802,2445,3761,1164,25311,3747,7837,3486,1838,3708,911,21520,2668,5277,2336,1353,3833,732,16198,1429,2898,1594,1123,3393,688,11117,877,1554,918,707,2971,614,7645,530,587,288,161
CED209,2067,271,30,10,1701,209,4278,1640,698,97,32,1653,243,4366,2725,2861,566,226,2173,435,8983,2427,3752,1143,391,1349,399,9459,2285,3544,901,338,1403,417,8885,2030,3022,967,367,1522,396,8305,1570,2768,1269,633,2038,476,8765,651,1191,650,360,1415,370,4636,151,197,146,97,684,207,1477,15537,18306,5762,2457,13929,3159,59157,2146,427,43,9,1338,230,4195,1598,1094,171,93,981,212,4152,1612,3251,1419,1359,1324,376,9334,916,3425,2537,2311,849,415,10463,966,3773,2277,1390,884,349,9645,1049,3364,2198,1338,1371,402,9722,622,2501,2306,1752,1925,506,9605,375,911,936,895,1593,467,5172,204,253,161,146,1230,377,2362,9490,19000,12049,9305,11494,3322,64658,4207,700,72,20,3039,442,8476,3234,1790,270,122,2640,454,8523,4334,6113,1981,1585,3498,814,18315,3340,7171,3680,2710,2201,818,19922,3253,7316,3181,1729,2289,766,18524,3078,6392,3165,1708,2895,797,18027,2192,5279,3575,2383,3962,986,18371,1028,2107,1580,1258,3002,836,9805,358,445,302,241
CED210,2010,300,22,13,2062,274,4681,1776,856,127,46,2060,425,5299,3223,3422,628,248,3390,1159,12069,2429,3447,919,380,1943,917,10028,2392,3357,881,375,2066,684,9760,2056,2868,848,375,2466,521,9128,1255,2065,904,453,2336,407,7424,577,953,469,302,1424,304,4026,197,207,112,99,670,159,1443,15921,17475,4903,2286,18428,4856,63867,1980,486,44,18,1610,240,4384,1610,1387,291,155,1375,280,5103,2045,3921,1506,1450,2141,652,11713,1053,3231,2278,2069,1288,558,10485,1062,3609,2214,1546,1449,484,10375,1016,3139,2075,1305,1919,404,9860,619,1893,1759,1447,2297,474,8487,425,905,806,784,1759,410,5086,237,333,175,139,1155,292,2330,10051,18902,11149,8919,14998,3789,67806,3992,790,65,28,3670,513,9064,3385,2247,411,204,3444,710,10402,5266,7342,2137,1697,5533,1809,23778,3481,6677,3194,2455,3230,1474,20514,3455,6966,3097,1924,3519,1171,20133,3069,6003,2918,1680,4388,924,18988,1878,3961,2659,1898,4632,885,15914,1004,1859,1277,1087,3181,710,9111,436,538,291,241
