CED_CODE_2021,Iran_2016,Iran_2017,Iran_2018,Iran_2019,Iran_2020,Iran_2021,Iran_Yr_arrival_NS,Iran_Tot,Iraq_Before_1951,Iraq_1951_1960,Iraq_1961_1970,Iraq_1971_1980,Iraq_1981_1990,Iraq_1991_2000,Iraq_2001_2010,Iraq_2011_2015,Iraq_2016,Iraq_2017,Iraq_2018,Iraq_2019,Iraq_2020,Iraq_2021,Iraq_Yr_arrival_NS,Iraq_Tot,Ireland_Before_1951,Ireland_1951_1960,Ireland_1961_1970,Ireland_1971_1980,Ireland_1981_1990,Ireland_1991_2000,Ireland_2001_2010,Ireland_2011_2015,Ireland_2016,Ireland_2017,Ireland_2018,Ireland_2019,Ireland_2020,Ireland_2021,Ireland_Yr_arrival_NS,Ireland_Tot,Italy_Before_1951,Italy_1951_1960,Italy_1961_1970,Italy_1971_1980,Italy_1981_1990,Italy_1991_2000,Italy_2001_2010,Italy_2011_2015,Italy_2016,Italy_2017,Italy_2018,Italy_2019,Italy_2020,Italy_2021,Italy_Yr_arrival_NS,Italy_Tot,Japan_Before_1951,Japan_1951_1960,Japan_1961_1970,Japan_1971_1980,Japan_1981_1990,Japan_1991_2000,Japan_2001_2010,Japan_2011_2015,Japan_2016,Japan_2017,Japan_2018,Japan_2019,Japan_2020,Japan_2021,Japan_Yr_arrival_NS,Japan_Tot,Korea_Rep_Sth_Before_1951,Korea_Rep_Sth_1951_1960,Korea_Rep_Sth_1961_1970,Korea_Rep_Sth_1971_1980,Korea_Rep_Sth_1981_1990,Korea_Rep_Sth_1991_2000,Korea_Rep_Sth_2001_2010,Korea_Rep_Sth_2011_2015,Korea_Republic_South_2016,Korea_Republic_South_2017,Korea_Republic_South_2018,Korea_Republic_South_2019,Korea_Republic_South_2020,Korea_Republic_South_2021,Korea_Repub_Sth_arrival_ns,Korea_Republic_South_Tot,Lebanon_Before_1951,Lebanon_1951_1960,Lebanon_1961_1970,Lebanon_1971_1980,Lebanon_1981_1990,Lebanon_1991_2000,Lebanon_2001_2010,Lebanon_2011_2015,Lebanon_2016,Lebanon_2017,Lebanon_2018,Lebanon_2019,Lebanon_2020,Lebanon_2021,Lebanon_Yr_arrival_NS,Lebanon_Tot,Malaysia_Before_1951,Malaysia_1951_1960,Malaysia_1961_1970,Malaysia_1971_1980,Malaysia_1981_1990,Malaysia_1991_2000,Malaysia_2001_2010,Malaysia_2011_2015,Malaysia_2016,Malaysia_2017,Malaysia_2018,Malaysia_2019,Malaysia_2020,Malaysia_2021,Malaysia_Yr_arrival_ns,Malaysia_Tot,Nepal_Before_1951,Nepal_1951_1960,Nepal_1961_1970,Nepal_1971_1980,Nepal_1981_1990,Nepal_1991_2000,Nepal_2001_2010,Nepal_2011_2015,Nepal_2016,Nepal_2017,Nepal_2018,Nepal_2019,Nepal_2020,Nepal_2021,Nepal_Yr_arrival_NS,Nepal_Tot,Netherlands_Before_1951,Netherlands_1951_1960,Netherlands_1961_1970,Netherlands_1971_1980,Netherlands_1981_1990,Netherlands_1991_2000,Netherlands_2001_2010,Netherlands_2011_2015,Netherlands_2016,Netherlands_2017,Netherlands_2018,Netherlands_2019,Netherlands_2020,Netherlands_2021,Netherlands_Yr_arrival_ns,Netherlands_Tot,New_Zealand_Before_1951,New_Zealand_1951_1960,New_Zealand_1961_1970,New_Zealand_1971_1980,New_Zealand_1981_1990,New_Zealand_1991_2000,New_Zealand_2001_2010,New_Zealand_2011_2015,New_Zealand_2016,New_Zealand_2017,New_Zealand_2018,New_Zealand_2019,New_Zealand_2020,New_Zealand_2021,New_Zealand_Yr_arrival_ns,New_Zealand_Tot,North_Macedonia_Before_1951,North_Macedonia_1951_1960,North_Macedonia_1961_1970,North_Macedonia_1971_1980,North_Macedonia_1981_1990,North_Macedonia_1991_2000,North_Macedonia_2001_2010,North_Macedonia_2011_2015,North_Macedonia_2016,North_Macedonia_2017,North_Macedonia_2018,North_Macedonia_2019,North_Macedonia_2020,North_Macedonia_2021,North_Macedonia_Yr_arrival_NS,North_Macedonia_Tot,Pakistan_Before_1951,Pakistan_1951_1960,Pakistan_1961_1970,Pakistan_1971_1980,Pakistan_1981_1990,Pakistan_1991_2000,Pakistan_2001_2010,Pakistan_2011_2015,Pakistan_2016,Pakistan_2017,Pakistan_2018,Pakistan_2019,Pakistan_2020,Pakistan_2021,Pakistan_Yr_arrival_NS,Pakistan_Tot
CED201,47,49,36,57,7,0,8,957,0,0,4,3,8,20,58,27,11,24,0,4,0,0,0,151,3,21,51,82,90,26,32,39,5,0,4,6,0,0,6,373,31,349,434,84,32,15,22,23,3,0,0,3,0,3,53,1071,0,4,0,6,11,28,67,29,3,3,3,0,0,0,3,164,0,0,0,0,30,102,423,157,12,14,14,9,3,6,0,763,0,0,20,58,53,14,22,11,0,0,4,0,0,0,7,204,0,8,74,205,864,441,1278,627,117,97,82,66,36,12,53,3955,0,0,0,0,0,19,101,44,8,9,10,17,3,0,3,220,19,431,101,46,37,9,24,5,3,0,0,3,0,0,13,697,9,17,90,191,405,312,452,259,20,28,30,28,15,11,36,1915,0,5,16,23,11,9,0,0,3,0,0,0,0,0,3,74,0,0,0,11,30,35,76,85,6,17,24,29,8,6,5,334
CED202,0,0,9,4,4,0,5,77,0,0,0,0,0,6,18,10,6,11,3,0,0,0,0,57,3,15,36,36,39,27,62,35,8,6,3,4,0,0,3,272,12,108,50,21,6,9,9,11,5,3,3,3,4,0,16,258,0,5,3,4,6,20,44,24,3,4,4,0,0,0,5,114,0,0,0,0,11,12,25,16,0,0,0,0,0,0,0,76,0,0,6,3,5,0,4,0,3,0,0,0,0,0,0,20,4,6,21,29,52,21,70,47,12,5,8,14,4,0,0,301,0,0,0,0,0,3,19,44,32,45,39,49,10,0,3,243,18,480,62,28,35,15,24,8,0,4,4,0,0,0,25,714,8,21,75,238,293,259,240,148,22,12,32,14,8,9,41,1428,0,0,14,16,4,0,3,0,0,0,0,0,0,0,4,36,0,0,0,0,0,4,56,59,17,11,19,16,8,0,9,193
CED203,9,0,7,4,0,0,4,63,0,0,0,0,0,9,13,6,0,0,0,0,0,0,3,28,3,16,34,22,30,17,41,21,0,0,3,0,0,0,12,199,15,88,56,12,13,5,8,9,0,3,0,0,0,0,20,232,0,3,0,4,3,12,19,4,0,0,3,6,0,0,4,66,3,0,0,0,7,5,11,19,10,4,12,5,0,0,3,77,0,0,0,0,6,4,6,0,8,0,0,0,0,0,9,35,0,5,21,34,46,27,63,35,20,24,28,30,5,0,18,351,0,0,0,0,0,0,22,32,22,19,13,15,11,0,0,126,17,206,60,26,13,14,9,20,0,0,0,3,0,0,8,384,4,11,83,242,268,223,264,97,12,33,19,17,8,6,73,1347,0,0,6,5,0,0,0,0,0,0,0,0,0,0,5,21,0,0,0,0,0,4,32,39,18,4,14,4,0,0,0,120
CED204,88,91,44,51,19,7,14,1352,0,0,3,9,8,150,145,112,46,25,7,17,13,0,8,547,0,12,52,49,64,12,33,39,0,0,0,0,0,0,6,286,53,497,761,176,55,23,24,32,8,7,0,3,0,0,72,1723,0,0,3,0,8,17,46,10,0,0,6,0,0,0,0,98,0,0,0,0,16,67,312,103,10,19,10,4,0,0,5,552,4,4,87,240,169,123,103,39,13,11,0,12,6,4,32,841,0,3,13,86,261,155,415,262,96,105,82,65,20,7,13,1589,0,0,0,0,0,8,44,32,9,20,14,20,10,0,0,160,28,369,81,25,43,9,15,8,0,3,0,3,0,0,19,595,0,10,50,215,407,485,770,524,53,72,59,61,24,29,78,2848,3,8,76,111,103,62,52,4,0,3,0,4,0,0,10,440,0,0,3,14,74,167,522,1004,142,219,198,228,116,80,44,2820
CED205,19,16,3,28,3,6,38,835,0,0,9,62,160,2612,4174,2986,1466,1246,569,1380,393,29,218,15291,0,6,26,20,15,13,18,23,0,3,0,5,0,0,4,132,39,736,1119,204,62,44,53,71,17,10,4,0,0,0,78,2428,0,4,0,0,0,8,20,14,4,0,3,0,0,0,0,54,0,0,0,0,3,4,59,28,0,3,0,3,0,0,0,121,0,17,194,708,621,493,866,426,111,102,84,81,51,25,136,3892,0,0,5,15,42,39,133,102,32,31,27,18,3,0,12,455,0,0,0,0,0,21,839,580,121,205,230,264,86,10,32,2396,3,35,18,3,3,4,10,4,0,0,0,0,0,0,5,91,0,3,12,88,247,368,763,721,143,115,116,112,52,47,80,2865,0,8,81,105,51,50,32,21,6,6,3,3,0,0,7,380,0,0,5,0,44,178,863,1199,338,311,324,280,128,25,70,3758
CED206,33,11,10,10,0,0,0,308,0,0,4,0,0,3,7,3,0,0,0,0,0,0,0,21,6,22,63,71,73,25,64,45,6,3,0,4,0,0,4,379,52,349,262,42,21,13,34,26,0,0,0,5,0,3,29,834,0,0,6,8,8,25,39,26,4,4,5,0,0,0,4,127,0,0,0,0,13,9,45,30,0,3,0,8,0,0,5,113,0,0,4,18,15,4,9,0,0,0,5,4,0,0,3,68,0,7,22,40,75,28,117,94,19,16,18,14,3,0,8,463,0,0,0,0,0,4,41,18,8,0,4,3,0,0,0,79,45,705,253,97,130,48,54,22,0,0,8,4,0,0,27,1391,14,17,113,325,402,333,366,161,14,20,9,21,8,12,41,1860,0,4,13,15,9,0,4,0,0,0,0,0,0,0,0,53,0,5,0,4,0,4,7,10,7,5,4,12,0,0,0,53
CED207,67,50,74,73,44,25,9,1032,0,0,7,0,9,23,42,27,0,0,6,0,0,0,3,115,7,21,33,32,48,25,53,36,4,5,8,0,0,0,14,274,61,614,595,97,22,26,41,59,10,3,15,11,0,4,77,1630,4,0,9,25,56,110,175,107,17,19,14,23,25,0,3,589,0,0,0,35,118,202,835,302,54,56,75,37,12,5,26,1751,0,9,28,64,35,16,23,3,0,7,4,6,0,0,5,189,6,23,192,504,1557,718,1445,963,351,382,357,321,128,15,118,7073,0,0,0,0,0,21,55,48,19,44,67,68,13,0,4,341,12,152,38,20,19,12,44,13,0,9,0,0,0,6,12,336,16,26,106,183,268,262,412,284,54,31,45,86,47,30,39,1885,0,6,28,16,8,6,0,0,0,0,0,0,0,0,0,74,0,3,0,4,11,34,146,163,48,61,97,70,52,17,12,721
CED208,11,16,23,16,0,3,4,440,0,0,0,5,8,79,72,48,4,4,5,0,3,0,0,241,0,10,21,33,78,50,142,90,12,10,17,11,4,0,3,495,133,2061,2124,269,73,67,97,201,44,25,22,19,4,5,230,5373,0,0,0,6,16,77,148,46,12,11,7,5,5,0,5,359,0,0,0,11,20,22,73,47,13,12,5,6,3,0,9,208,0,41,233,363,246,133,89,41,4,12,5,15,11,3,60,1260,0,8,22,68,216,124,246,140,74,57,45,41,14,0,18,1085,0,0,0,0,4,10,117,149,90,159,267,233,52,5,18,1116,0,44,14,13,13,22,37,18,5,5,0,0,5,0,6,187,3,11,48,171,315,416,771,501,72,76,78,79,23,15,39,2624,10,73,349,308,200,88,65,18,3,7,4,5,0,0,37,1171,0,0,0,0,17,25,66,136,37,28,49,37,21,4,12,430
CED209,4,7,0,8,0,0,3,157,0,0,0,0,0,3,13,13,21,0,0,0,5,0,0,51,5,23,47,37,58,28,99,72,5,6,9,11,0,0,9,399,39,256,144,42,15,12,20,38,5,0,0,3,0,0,24,593,0,0,0,3,13,19,39,11,0,0,0,0,0,0,11,96,0,0,0,0,5,11,30,14,7,5,7,5,0,0,6,82,0,0,4,12,3,3,6,0,0,0,0,0,0,0,0,34,0,3,24,31,34,19,63,43,17,21,13,16,3,0,3,292,0,0,0,0,0,0,38,28,13,20,10,10,4,0,0,131,17,418,78,23,27,18,38,18,4,5,8,12,0,0,23,700,9,24,105,205,317,243,379,263,39,22,29,35,17,13,45,1750,0,10,26,10,16,0,7,0,0,0,0,0,0,0,0,67,0,0,0,0,4,0,19,59,6,17,12,22,11,0,0,157
CED210,14,22,29,26,9,6,11,379,0,0,0,0,0,21,18,55,66,16,17,18,8,0,13,226,0,18,45,35,65,35,83,83,8,4,3,5,6,0,13,409,60,435,400,64,18,11,40,26,7,4,8,8,4,0,60,1145,0,0,0,0,3,17,43,22,6,4,4,3,5,0,4,106,0,0,0,0,11,5,49,35,12,13,0,5,0,3,0,132,0,0,14,26,12,15,14,4,0,3,0,4,0,0,10,107,3,9,9,32,61,35,89,64,31,25,33,25,17,0,13,441,0,0,0,0,0,0,39,56,26,37,34,25,4,0,0,222,19,600,59,29,22,14,26,6,8,0,6,0,0,0,18,793,5,13,71,206,262,266,351,190,26,25,28,34,18,7,91,1607,0,27,275,195,69,33,23,14,3,0,3,0,0,0,8,650,0,0,0,7,7,9,69,268,31,54,49,93,23,6,21,642
