CED_CODE_2021,P_FoodHospPersServ_Occ_Mng,P_FoodHospPersServ_Occ_Pro,P_FoodHospPersServ_Occ_TTW,P_FoodHospPersServ_Occ_CPS,P_FoodHospPersServ_Occ_CA,P_FoodHospPersServ_Occ_Sal,P_FoodHospPersServ_Occ_MOD,P_FoodHospPersServ_Occ_Lab,P_FoodHospPersServ_Occ_IDNS,P_FoodHospPersServ_Total,P_MixFieldProg_Occ_Mng,P_MixFieldProg_Occ_Pro,P_MixFieldProg_Occ_TTW,P_MixFieldProg_Occ_CPS,P_MixFieldProg_Occ_CA,P_MixFieldProg_Occ_Sal,P_MixFieldProg_Occ_MOD,P_MixFieldProg_Occ_Lab,P_MixFieldProg_Occ_IDNS,P_MixFieldProg_Total,P_FS_ID_Occ_Mng,P_FS_ID_Occ_Pro,P_FS_ID_Occ_TTW,P_FS_ID_Occ_CPS,P_FS_ID_Occ_CA,P_FS_ID_Occ_Sal,P_FS_ID_Occ_MOD,P_FS_ID_Occ_Lab,P_FS_ID_Occ_IDNS,P_FS_ID_Total,P_FS_NS_Occ_Mng,P_FS_NS_Occ_Pro,P_FS_NS_Occ_TTW,P_FS_NS_Occ_CPS,P_FS_NS_Occ_CA,P_FS_NS_Occ_Sal,P_FS_NS_Occ_MOD,P_FS_NS_Occ_Lab,P_FS_NS_Occ_IDNS,P_FS_NS_Total,P_Tot_Occ_Mng,P_Tot_Occ_Pro,P_Tot_Occ_TTW,P_Tot_Occ_CPS,P_Tot_Occ_CA,P_Tot_Occ_Sal,P_Tot_Occ_MOD,P_Tot_Occ_Lab,P_Tot_Occ_IDNS,P_Total_Total
CED201,329,89,825,377,356,290,129,271,32,2695,0,3,3,0,11,6,5,10,0,42,144,199,116,110,120,66,48,53,38,900,125,111,234,109,159,84,92,115,231,1272,8263,17865,8968,6359,7673,3412,2054,2717,943,58245
CED202,337,62,867,457,346,264,109,295,14,2752,4,4,9,4,4,3,3,16,0,44,124,171,96,111,115,48,60,54,27,811,150,91,220,138,120,90,104,170,161,1244,6703,14459,7868,6779,5467,2464,1849,2847,635,49081
CED203,300,66,866,441,290,238,124,336,31,2697,4,3,7,3,7,5,5,17,0,51,138,180,71,95,106,51,66,67,29,800,120,105,192,149,91,98,134,162,190,1246,6222,14692,7447,6750,4974,2327,1916,3054,690,48075
CED204,245,72,858,424,337,259,228,369,40,2830,6,0,6,0,3,8,12,12,0,59,88,112,131,118,143,66,103,111,29,887,141,127,272,141,146,90,196,217,352,1684,6079,13279,9103,6754,7049,3054,3466,4038,1137,53960
CED205,280,68,888,452,321,314,444,348,39,3154,8,4,10,8,9,0,6,15,0,54,109,111,132,155,109,57,166,130,32,995,91,125,235,173,124,119,220,172,358,1627,5033,11704,7675,7487,6297,2929,4345,3645,1091,50211
CED206,380,90,906,415,438,267,108,274,40,2914,0,8,11,3,4,0,4,11,0,34,149,199,114,144,122,53,48,45,35,919,151,96,264,112,117,84,103,133,251,1310,8348,14670,11290,7027,6450,2625,1997,3007,868,56279
CED207,288,85,762,345,222,200,100,255,16,2272,5,0,4,9,5,6,3,16,4,51,179,290,78,110,169,100,37,57,42,1059,151,175,173,87,125,89,66,107,334,1301,10984,27177,6246,5667,8469,4156,1826,2933,1241,68693
CED208,293,81,802,338,256,181,100,240,23,2314,0,3,0,9,6,0,9,8,5,45,314,540,113,152,253,89,42,71,36,1608,123,149,154,113,144,75,50,111,258,1180,10016,27416,6594,6105,7056,3046,1716,2641,1003,65590
CED209,319,90,978,464,326,285,113,276,30,2880,6,4,3,7,3,4,0,10,0,41,144,199,82,135,111,44,57,63,31,858,145,120,211,139,120,89,71,126,206,1227,7704,16442,8795,7286,5688,2741,1745,2818,810,54031
CED210,312,67,920,453,293,257,189,331,31,2858,0,6,0,5,4,10,0,8,4,40,115,184,105,141,114,48,72,77,25,881,112,113,226,155,111,80,99,179,233,1309,6633,16369,8171,7469,5676,2699,2429,3233,849,53535
CED211,328,88,741,383,344,282,115,219,34,2532,0,4,0,4,0,0,7,10,3,46,147,227,109,115,169,59,48,41,24,941,117,128,190,130,130,77,60,110,222,1169,9493,22324,8124,6573,7818,3247,1557,2456,965,62549
CED212,333,110,861,465,402,319,134,305,32,2961,0,3,6,3,9,4,3,6,0,44,150,160,103,116,129,53,45,65,45,879,134,128,251,113,127,111,103,157,221,1344,7628,14208,9614,6897,6315,3147,2017,2937,856,53606
CED213,385,73,928,447,327,270,90,285,34,2837,8,4,3,5,3,6,0,3,0,31,149,141,110,125,84,42,27,60,22,750,181,89,264,167,135,119,63,148,166,1332,7515,11988,8759,5817,4719,2595,1242,2561,754,45949
CED214,308,101,936,559,320,243,200,392,43,3104,7,3,10,13,6,6,12,19,0,64,175,292,120,126,189,71,116,79,48,1210,107,149,172,179,158,96,200,200,386,1637,7466,19262,6548,6433,7143,3247,3381,3833,1196,58506
CED215,381,133,916,457,423,266,365,283,54,3274,5,4,3,4,8,0,3,10,0,44,244,274,122,163,222,85,123,94,49,1388,159,156,187,122,154,97,134,131,388,1532,11478,23763,7916,6863,8904,3587,3645,3033,1459,70653
CED216,320,78,808,437,353,254,99,357,29,2744,4,0,4,0,0,8,0,10,0,25,109,94,110,71,78,32,68,67,20,638,185,95,262,159,118,122,131,259,211,1543,5658,9999,7646,6158,4446,1974,2126,3101,752,41855
CED217,321,109,544,235,232,171,35,90,29,1765,4,5,11,6,4,3,0,0,0,33,319,407,86,107,178,80,16,38,42,1283,189,177,91,67,88,89,19,47,226,991,14929,25511,4445,4126,6725,3398,720,1279,1041,62171
CED218,316,89,801,469,433,334,365,325,52,3191,5,3,8,8,6,4,9,10,0,48,118,133,120,157,155,58,130,92,33,985,129,111,222,158,169,90,132,171,351,1530,6382,14279,7867,6578,7866,3092,3746,3204,1206,54212
CED219,279,84,828,450,438,288,384,296,33,3074,9,0,6,4,8,4,0,12,0,51,91,104,118,125,116,48,146,85,39,882,151,91,245,164,162,99,212,188,277,1580,5623,11050,9110,7468,6606,2742,3838,3162,946,50543
CED220,349,116,717,296,218,213,46,125,31,2107,9,11,4,5,3,0,0,5,0,37,349,498,75,116,230,124,33,52,37,1510,171,194,106,63,92,84,27,49,250,1042,14840,33871,4515,4630,7845,4075,880,1718,1186,73567
