CED_CODE_2021,P_15_yrs_over_M,P_15_yrs_over_F,P_15_yrs_over_P,lfs_Emplyed_wrked_full_time_M,lfs_Emplyed_wrked_full_time_F,lfs_Emplyed_wrked_full_time_P,lfs_Emplyed_wrked_part_time_M,lfs_Emplyed_wrked_part_time_F,lfs_Emplyed_wrked_part_time_P,lfs_Employed_away_from_work_M,lfs_Employed_away_from_work_F,lfs_Employed_away_from_work_P,lfs_Unmplyed_lookng_for_wrk_M,lfs_Unmplyed_lookng_for_wrk_F,lfs_Unmplyed_lookng_for_wrk_P,lfs_Tot_LF_M,lfs_Tot_LF_F,lfs_Tot_LF_P,lfs_N_the_labour_force_M,lfs_N_the_labour_force_F,lfs_N_the_labour_force_P,Percent_Unem_loyment_M,Percent_Unem_loyment_F,Percent_Unem_loyment_P,Percnt_LabForc_prticipation_M,Percnt_LabForc_prticipation_F,Percnt_LabForc_prticipation_P,Percnt_Employment_to_populn_M,Percnt_Employment_to_populn_F,Percnt_Employment_to_populn_P,non_sch_qual_PostGrad_Dgre_M,non_sch_qual_PostGrad_Dgre_F,non_sch_qual_PostGrad_Dgre_P,non_sch_qual_Gr_Dip_Gr_Crt_M,non_sch_qual_Gr_Dip_Gr_Crt_F,non_sch_qual_Gr_Dip_Gr_Crt_P,non_sch_qual_Bchelr_Degree_M,non_sch_qual_Bchelr_Degree_F,non_sch_qual_Bchelr_Degree_P,non_sch_qual_Advnd_Dip_Dip_M,non_sch_qual_Advnd_Dip_Dip_F,non_sch_qual_Advnd_Dip_Dip_P,non_sch_qual_Cert3a4_Level_M,non_sch_qual_Cert3a4_Level_F,non_sch_qual_Cert3a4_Level_P,non_sch_qual_Cert1a2_Level_M,non_sch_qual_Cert1a2_Level_F,non_sch_qual_Cert1a2_Level_P,non_sch_qual_Certnfd_Level_M,non_sch_qual_Certnfd_Level_F,non_sch_qual_Certnfd_Level_P,non_sch_qual_CertTot_Level_M,non_sch_qual_CertTot_Level_F,non_sch_qual_CertTot_Level_P,Migtn_Lvd_same_add_1_yr_ago_M,Migtn_Lvd_same_add_1_yr_ago_F,Migtn_Lvd_same_add_1_yr_ago_P,Migtn_Lvd_Diff_add_1_yr_ago_M,Migtn_Lvd_Diff_add_1_yr_ago_F,Migtn_Lvd_Diff_add_1_yr_ago_P,Migtn_Lvd_sme_add_5_yrs_ago_M,Migtn_Lvd_sme_add_5_yrs_ago_F,Migtn_Lvd_sme_add_5_yrs_ago_P,Mign_Lvd_Diff_add_5_yrs_ago_M,Mign_Lvd_Diff_add_5_yrs_ago_F,Mign_Lvd_Diff_add_5_yrs_ago_P
CED201,63878,68114,131987,30975,18209,49186,9075,18414,27487,2022,2822,4854,2005,1776,3777,44077,41227,85303,17649,24592,42245,4.5,4.3,4.4,69,60.5,64.6,65.9,57.9,61.8,4356,4428,8778,1128,2267,3394,11112,13613,24720,6189,8218,14406,14056,6862,20917,503,746,1246,831,1332,2161,15391,8940,24327,66942,69810,136756,7642,8024,15668,47470,49669,97135,23605,24656,48262
CED202,59771,64432,124204,25418,14124,39543,8427,17838,26267,2180,2985,5162,1798,1494,3292,37822,36441,74265,18434,24333,42765,4.8,4.1,4.4,63.3,56.6,59.8,60.3,54.2,57.1,2708,3304,6014,1329,2697,4026,7187,10605,17793,4765,6965,11734,15135,8480,23614,597,951,1548,728,1019,1747,16461,10460,26914,58694,61914,120610,10372,11015,21382,37742,39576,77323,27745,29828,57570
CED203,60122,64985,125110,24394,13967,38357,8558,17966,26527,2142,2963,5107,1627,1325,2949,36719,36220,72938,19751,24924,44675,4.4,3.7,4,61.1,55.7,58.3,58.4,53.7,55.9,2296,3076,5364,1302,2860,4158,6837,10526,17358,4791,6870,11665,15356,8391,23746,567,1007,1571,765,1087,1850,16680,10485,27165,59132,62418,121544,9215,10178,19392,38509,40150,78655,26190,28938,55125
CED204,73021,72599,145620,31665,16642,48308,10461,16962,27422,2476,2637,5112,3066,2557,5631,47674,38806,86477,20855,29737,50590,6.4,6.6,6.5,65.3,53.4,59.4,61.1,49.9,55.5,3715,3732,7446,763,1743,2509,9331,11435,20765,6728,8088,14812,14067,7251,21323,633,875,1509,969,1391,2362,15674,9518,25191,74519,74125,148650,9806,9204,19007,50147,50815,100967,29386,28114,57494
CED205,71640,72154,143794,28981,15220,44197,10716,15249,25962,2751,2827,5578,3669,3260,6928,46109,36556,82668,21153,31493,52643,8,8.9,8.4,64.4,50.7,57.5,59.2,46.2,52.7,3975,3933,7904,675,1665,2337,8872,10962,19831,6606,7576,14179,11249,6888,18137,649,791,1438,908,1258,2168,12804,8940,21746,75303,74933,150237,12841,12700,25539,43695,44098,87792,37779,37413,75191
CED206,62660,65494,128156,30586,15626,46211,8585,19847,28428,2453,3522,5977,1530,1435,2969,43153,40429,83584,16930,22666,39594,3.5,3.6,3.6,68.9,61.7,65.2,66.4,59.5,62.9,2306,2977,5283,1118,2625,3738,7348,11098,18442,5594,8694,14286,18813,8662,27474,500,942,1437,869,1387,2261,20188,10986,31175,66967,68555,135521,6878,7227,14111,47843,48548,96395,21986,23556,45537
CED207,75730,79864,155599,30577,19908,50490,12605,19044,31648,2284,2778,5065,2958,2550,5501,48424,44281,92710,23918,32283,56200,6.1,5.8,5.9,63.9,55.4,59.6,60,52.3,56,10804,9751,20558,1875,3047,4921,19220,20799,40019,7017,8117,15136,7754,3853,11603,369,568,938,812,1360,2178,8928,5786,14714,70732,74629,145363,15307,14916,30231,45919,49989,95908,36720,36328,73051
CED208,63802,68799,132603,28393,20880,49271,10633,17816,28453,2421,3117,5538,2529,2075,4606,43978,43887,87864,16553,21691,38244,5.8,4.7,5.2,68.9,63.8,66.3,65,60.8,62.8,6651,8307,14951,1877,3774,5650,14838,17578,32417,5336,6312,11651,8318,4360,12672,413,527,938,698,932,1632,9433,5818,15247,59837,63261,123091,11909,12854,24760,38760,41879,80644,29400,30804,60207
CED209,59157,64658,123811,26014,14167,40184,8897,19337,28230,2266,3321,5586,1436,1276,2716,38615,38102,76718,17738,23569,41303,3.7,3.4,3.5,65.3,58.9,62,62.8,57,59.8,3124,3316,6439,1270,2961,4230,8979,12797,21773,5885,8341,14229,15490,7812,23295,432,765,1203,804,1173,1978,16727,9745,26476,58089,61295,119387,11679,12808,24487,33861,35561,69430,31950,34732,66684
CED210,63867,67806,131674,27371,15743,43116,9031,18642,27671,2184,3015,5204,2172,1708,3882,40764,39106,79867,19727,25292,45015,5.3,4.4,4.9,63.8,57.7,60.7,60.4,55.2,57.7,3449,3619,7071,1192,2533,3728,8826,12071,20898,5303,7246,12552,14391,8539,22929,540,840,1383,691,1096,1780,15622,10475,26101,61301,64920,126217,10610,11403,22016,39691,42329,82020,28345,30328,58673
