CED_CODE_2021,P_Y8b_15_19_yrs,P_Y8b_20_24_yrs,P_Y8b_25_34_yrs,P_Y8b_35_44_yrs,P_Y8b_45_54_yrs,P_Y8b_55_64_yrs,P_Y8b_65_74_yrs,P_Y8b_75_84_yrs,P_Y8b_85ov,P_Y8b_Tot,P_DNGTS_15_19,P_DNGTS_20_24,P_DNGTS_25_34,P_DNGTS_35_44,P_DNGTS_45_54,P_DNGTS_55_64,P_DNGTS_65_74,P_DNGTS_75_84,P_DNGTS_85_ov,P_DNGTS_Tot,P_Hghst_yr_schl_ns_15_19_yrs,P_Hghst_yr_schl_ns_20_24_yrs,P_Hghst_yr_schl_ns_25_34_yrs,P_Hghst_yr_schl_ns_35_44_yrs,P_Hghst_yr_schl_ns_45_54_yrs,P_Hghst_yr_schl_ns_55_64_yrs,P_Hghst_yr_schl_ns_65_74_yrs,P_Hghst_yr_schl_ns_75_84_yrs,P_Hghst_yr_schl_ns_85_yrs_ovr,P_Hghst_yr_schl_ns_Tot,P_Tot_15_19_yrs,P_Tot_20_24_yrs,P_Tot_25_34_yrs,P_Tot_35_44_yrs,P_Tot_45_54_yrs,P_Tot_55_64_yrs,P_Tot_65_74_yrs,P_Tot_75_84_yrs,P_Tot_85ov,P_Tot_Tot
CED201,34,33,120,171,288,525,985,1292,761,4207,11,15,85,112,124,210,220,180,117,1060,237,310,751,714,600,595,706,743,581,5253,3423,9646,20213,22267,21536,20503,15975,8891,3529,125988
CED202,85,102,215,244,321,563,1219,1432,893,5084,12,21,56,45,74,63,75,40,30,419,455,512,1079,961,1129,1082,1236,1038,660,8143,3668,8613,18883,18552,19614,19492,17363,8981,3540,118715
CED203,76,72,272,310,369,649,1359,1618,957,5689,10,37,115,133,149,133,102,59,31,768,448,456,1168,1061,1199,1269,1304,1206,927,9043,3478,8263,18361,18234,19113,20115,18346,10035,4057,119998
CED204,77,119,541,795,787,1100,1732,1854,916,7923,20,135,780,955,879,689,519,432,245,4657,559,713,1910,1497,1233,1123,1006,835,461,9331,4251,12150,26423,24959,22894,21274,15291,8043,3208,138483
CED205,93,194,792,1363,1525,1812,2148,1607,511,10042,23,114,435,653,818,1168,935,687,283,5114,649,795,2138,1863,1255,1038,739,468,200,9148,4873,13264,32184,29652,21413,17882,10643,4948,1480,136330
CED206,44,54,197,261,328,425,835,1204,616,3961,11,36,103,124,133,73,84,82,47,695,349,320,749,739,878,852,785,739,410,5815,3573,8743,19266,20557,21703,20478,16484,8615,2694,122125
CED207,22,45,125,166,298,454,1209,1850,1219,5389,12,51,188,186,195,253,359,340,262,1848,317,853,1541,974,782,702,757,923,939,7784,4328,15455,26023,24235,23419,19815,16271,12494,6398,148436
CED208,23,37,130,191,309,656,1775,2949,1747,7824,8,43,94,110,167,267,470,751,485,2396,268,512,1420,1080,868,786,751,734,668,7083,2625,9830,29801,25289,21494,16176,11113,7638,4069,128027
CED209,49,36,103,112,165,329,785,1089,743,3407,11,19,44,42,42,41,43,53,26,332,303,418,743,784,731,812,1137,999,729,6657,3362,8505,18318,19916,18523,18027,18367,9807,3839,118653
CED210,85,91,280,351,463,727,1525,1849,1129,6498,10,37,154,207,217,190,185,192,125,1320,421,599,1364,1145,1034,964,1016,953,597,8087,3526,10351,23763,20498,20122,18972,15902,9107,3776,126021
CED211,30,68,245,295,314,457,808,1300,925,4444,3,30,198,181,195,262,221,155,99,1345,192,268,727,748,661,601,715,869,918,5704,3160,9430,20676,24062,22444,19521,16139,10475,4842,130751
CED212,52,74,179,242,358,520,876,1130,692,4124,17,25,67,63,67,87,86,87,64,559,436,420,1107,1131,1127,927,865,928,729,7665,3537,8563,19991,21821,21957,19401,15095,8680,3545,122587
CED213,63,45,148,161,262,400,1079,1604,983,4738,8,15,34,51,56,83,85,95,68,481,396,364,782,936,1158,1188,1497,1448,974,8736,3344,6823,13645,15713,19629,20749,21952,14394,5492,121738
CED214,56,85,392,676,1032,1593,2514,2549,1217,10117,16,66,442,499,741,1091,1000,739,509,5099,510,897,2720,1866,1376,1225,1134,988,756,11465,3379,12305,35329,27484,21723,18191,13608,7545,3414,142967
CED215,43,51,159,263,346,628,1361,1541,866,5261,7,44,141,183,229,270,363,396,240,1871,465,615,1845,1789,1065,772,706,512,344,8107,3511,9786,28670,36337,24209,17123,11812,6067,2519,140032
CED216,110,75,263,301,426,858,1664,2029,1027,6748,5,28,51,72,77,91,87,92,53,558,587,621,1416,1477,1472,1746,1892,1455,921,11593,3650,7351,17205,16740,18424,22654,22086,11694,3937,123741
CED217,21,16,33,59,93,173,464,792,698,2349,4,16,47,53,68,80,95,121,90,581,232,241,651,693,739,582,707,755,667,5271,3228,8339,14961,19522,24117,20173,15843,9560,4813,120546
CED218,41,65,335,562,743,1327,2492,1909,645,8111,12,45,271,372,516,689,659,474,215,3250,501,627,1708,1462,1110,843,774,508,215,7748,4318,11495,26103,28156,23566,18577,13220,5937,1848,133220
CED219,85,103,349,385,446,675,1434,1233,555,5259,13,35,156,199,215,195,191,167,48,1222,533,536,1503,1354,1100,905,872,620,234,7648,4109,9831,24935,24409,20609,17184,13530,5975,1906,122481
CED220,17,18,56,66,97,176,443,969,635,2472,0,15,83,61,63,91,94,202,130,729,206,472,1544,950,767,662,724,707,570,6601,2559,11689,31625,22352,19511,16505,13180,8593,3866,129884
CED221,91,106,566,798,768,876,1181,1025,453,5857,21,111,618,821,814,604,402,194,83,3673,493,644,1759,1494,1060,866,662,457,231,7669,4380,12494,30617,31242,21984,16536,10410,4885,1641,134192
CED222,54,80,379,627,881,1478,2335,3082,1684,10602,28,164,536,589,765,1204,1080,908,483,5762,374,855,2098,1272,980,937,911,855,632,8917,4023,15358,34377,27852,23807,20431,16223,10504,4905,157485
CED223,67,56,170,221,290,615,1334,1764,1119,5638,10,14,62,54,84,102,102,65,47,537,568,572,1112,1215,1385,1632,1700,1362,751,10306,3614,7030,16270,17463,19879,23020,21404,11526,4239,124446
CED224,36,42,198,317,383,614,996,1426,990,4996,9,32,216,274,298,323,308,246,160,1857,219,262,860,837,670,665,764,790,561,5625,3138,8466,19723,23826,23386,18982,14563,8831,4123,125026
CED225,33,29,91,111,175,330,867,1534,1121,4301,11,25,88,108,117,173,166,146,153,989,218,282,692,696,633,616,715,610,372,4827,3066,8810,18946,22254,21975,19579,16365,9254,3868,124126
CED226,20,22,36,68,110,165,438,855,743,2452,0,20,60,59,104,121,130,146,150,799,262,341,773,621,683,596,639,632,510,5056,3627,12049,20853,19866,22909,20085,15745,9598,4985,129717
