CED_CODE_2021,P_Germany_0_4,P_Germany_5_14,P_Germany_15_24,P_Germany_25_44,P_Germany_45_54,P_Germany_55_64,P_Germany_65_74,P_Germany_75_84,P_Germany_85ov,P_Germany_Tot,P_Greece_0_4,P_Greece_5_14,P_Greece_15_24,P_Greece_25_44,P_Greece_45_54,P_Greece_55_64,P_Greece_65_74,P_Greece_75_84,P_Greece_85ov,P_Greece_Tot,P_Hong_Kong_SAR_Ch_0_4,P_Hong_Kong_SAR_Ch_5_14,P_Hong_Kong_SAR_Ch_15_24,P_Hong_Kong_SAR_Ch_25_44,P_Hong_Kong_SAR_Ch_45_54,P_Hong_Kong_SAR_Ch_55_64,P_Hong_Kong_SAR_Ch_65_74,P_Hong_Kong_SAR_Ch_75_84,P_Hong_Kong_SAR_Ch_85ov,P_Hong_Kong_SAR_Ch_Tot,P_India_0_4,P_India_5_14,P_India_15_24,P_India_25_44,P_India_45_54,P_India_55_64,P_India_65_74,P_India_75_84,P_India_85ov,P_India_Tot,P_Indonesia_0_4,P_Indonesia_5_14,P_Indonesia_15_24,P_Indonesia_25_44,P_Indonesia_45_54,P_Indonesia_55_64,P_Indonesia_65_74,P_Indonesia_75_84,P_Indonesia_85ov,P_Indonesia_Tot,P_Iran_0_4,P_Iran_5_14,P_Iran_15_24,P_Iran_25_44,P_Iran_45_54,P_Iran_55_64,P_Iran_65_74,P_Iran_75_84,P_Iran_85ov,P_Iran_Tot,P_Iraq_0_4,P_Iraq_5_14,P_Iraq_15_24,P_Iraq_25_44,P_Iraq_45_54,P_Iraq_55_64,P_Iraq_65_74,P_Iraq_75_84,P_Iraq_85ov,P_Iraq_Tot,P_Ireland_0_4,P_Ireland_5_14,P_Ireland_15_24,P_Ireland_25_44,P_Ireland_45_54,P_Ireland_55_64,P_Ireland_65_74,P_Ireland_75_84,P_Ireland_85ov,P_Ireland_Tot,P_Italy_0_4,P_Italy_5_14,P_Italy_15_24,P_Italy_25_44,P_Italy_45_54,P_Italy_55_64,P_Italy_65_74,P_Italy_75_84,P_Italy_85ov,P_Italy_Tot,P_Japan_0_4,P_Japan_5_14,P_Japan_15_24,P_Japan_25_44,P_Japan_45_54,P_Japan_55_64,P_Japan_65_74,P_Japan_75_84,P_Japan_85ov,P_Japan_Tot,P_Korea_South_0_4,P_Korea_South_5_14,P_Korea_South_15_24,P_Korea_South_25_44,P_Korea_South_45_54,P_Korea_South_55_64,P_Korea_South_65_74,P_Korea_South_75_84,P_Korea_South_85ov,P_Korea_South_Tot,P_Lebanon_0_4,P_Lebanon_5_14,P_Lebanon_15_24,P_Lebanon_25_44,P_Lebanon_45_54,P_Lebanon_55_64,P_Lebanon_65_74,P_Lebanon_75_84,P_Lebanon_85ov,P_Lebanon_Tot,P_Malaysia_0_4,P_Malaysia_5_14,P_Malaysia_15_24,P_Malaysia_25_44,P_Malaysia_45_54,P_Malaysia_55_64,P_Malaysia_65_74,P_Malaysia_75_84,P_Malaysia_85ov,P_Malaysia_Tot,P_Malta_0_4,P_Malta_5_14,P_Malta_15_24,P_Malta_25_44,P_Malta_45_54,P_Malta_55_64,P_Malta_65_74,P_Malta_75_84,P_Malta_85ov,P_Malta_Tot,P_Mauritius_0_4,P_Mauritius_5_14,P_Mauritius_15_24,P_Mauritius_25_44,P_Mauritius_45_54,P_Mauritius_55_64,P_Mauritius_65_74,P_Mauritius_75_84,P_Mauritius_85ov,P_Mauritius_Tot,P_Myanmar_0_4,P_Myanmar_5_14,P_Myanmar_15_24,P_Myanmar_25_44,P_Myanmar_45_54,P_Myanmar_55_64,P_Myanmar_65_74,P_Myanmar_75_84,P_Myanmar_85ov,P_Myanmar_Tot,P_Nepal_0_4,P_Nepal_5_14,P_Nepal_15_24,P_Nepal_25_44,P_Nepal_45_54,P_Nepal_55_64,P_Nepal_65_74,P_Nepal_75_84,P_Nepal_85ov,P_Nepal_Tot,P_Netherlands_0_4,P_Netherlands_5_14,P_Netherlands_15_24,P_Netherlands_25_44,P_Netherlands_45_54,P_Netherlands_55_64,P_Netherlands_65_74,P_Netherlands_75_84,P_Netherlands_85ov,P_Netherlands_Tot,P_New_Zealand_0_4,P_New_Zealand_5_14,P_New_Zealand_15_24,P_New_Zealand_25_44,P_New_Zealand_45_54,P_New_Zealand_55_64,P_New_Zealand_65_74,P_New_Zealand_75_84,P_New_Zealand_85ov,P_New_Zealand_Tot,P_North_Macedonia_0_4,P_North_Macedonia_5_14,P_North_Macedonia_15_24,P_North_Macedonia_25_44,P_North_Macedonia_45_54,P_North_Macedonia_55_64,P_North_Macedonia_65_74,P_North_Macedonia_75_84,P_North_Macedonia_85ov,P_North_Macedonia_Tot
CED228,0,3,21,57,45,53,130,71,31,411,0,4,12,45,47,79,115,80,46,420,8,25,13,164,42,77,45,0,0,373,385,2269,3113,23483,1997,946,745,169,38,33148,7,20,58,527,164,58,44,15,0,895,0,26,49,215,42,24,11,0,0,363,0,10,24,87,59,30,17,8,0,229,0,11,6,99,25,34,38,22,9,247,0,12,28,85,81,275,399,353,191,1427,3,15,24,77,41,10,8,0,0,173,3,15,18,197,52,16,12,3,0,318,4,35,68,428,164,120,45,13,0,885,20,156,127,634,172,135,116,29,0,1383,0,3,5,32,47,174,335,156,29,777,0,10,27,196,55,44,25,15,0,367,0,33,301,1277,484,245,112,65,19,2537,0,20,113,737,85,16,10,4,0,987,0,3,7,10,9,27,79,43,14,195,146,1062,1117,2306,720,558,215,61,5,6194,0,4,14,100,80,122,120,39,10,491
CED229,5,19,43,432,132,87,238,109,57,1118,3,0,23,91,59,197,271,518,226,1393,12,54,134,424,80,80,71,17,9,871,57,212,627,3836,254,164,122,68,15,5358,3,22,221,693,99,41,46,12,5,1139,3,9,35,545,70,34,28,9,0,729,0,0,3,40,10,11,6,6,7,79,7,18,76,1469,128,92,58,22,17,1875,0,14,41,597,86,137,183,153,87,1305,6,30,52,398,122,65,38,3,7,717,7,19,62,678,75,32,11,4,0,876,0,0,4,34,31,23,21,9,0,119,3,22,259,1238,182,165,160,49,10,2100,0,0,0,9,16,12,40,30,7,120,0,0,28,156,18,32,12,14,6,271,0,0,20,29,8,6,8,0,7,73,0,0,148,270,9,0,0,0,0,432,0,10,15,149,47,32,59,45,13,383,12,75,268,2001,748,530,306,99,21,4053,0,3,7,55,34,18,21,4,0,147
CED230,0,0,11,49,26,41,132,80,26,359,0,0,0,8,9,26,62,71,23,206,0,3,14,62,0,15,9,0,0,99,15,97,96,918,119,69,38,27,0,1375,0,11,18,87,37,15,10,0,0,176,0,0,3,27,4,0,0,0,0,44,0,10,7,20,19,9,0,0,0,56,0,11,4,41,9,23,22,11,8,125,0,0,8,37,14,86,261,271,174,850,0,0,0,36,3,0,0,0,0,49,0,0,9,55,3,3,0,0,0,72,0,0,0,3,0,9,4,3,0,26,5,61,238,1277,259,89,21,0,0,1950,0,0,0,0,0,24,38,12,3,82,0,0,3,16,7,6,7,3,0,40,0,5,19,125,40,19,7,3,0,223,0,8,22,175,4,0,0,0,0,211,0,0,0,31,23,36,166,120,35,415,11,59,70,302,226,252,192,71,18,1190,0,0,0,4,0,3,4,3,0,18
CED231,0,9,7,123,56,49,157,125,36,559,0,9,17,73,73,240,443,621,216,1699,0,15,31,226,91,82,58,4,7,513,41,201,230,1920,342,271,249,146,47,3447,0,7,27,186,48,17,30,16,3,336,0,27,22,332,61,43,39,27,13,560,0,19,34,146,74,62,24,10,7,369,3,20,26,238,75,64,52,41,21,538,0,31,35,256,146,678,1630,1636,948,5353,6,17,16,140,79,29,10,0,3,303,4,11,28,160,41,8,5,8,0,273,0,4,17,109,146,170,149,71,18,690,4,18,72,547,134,98,131,34,4,1041,0,0,3,16,35,97,278,289,122,842,0,0,3,71,22,35,25,13,8,175,0,0,0,21,10,3,8,6,0,52,0,5,305,361,3,6,0,0,0,674,0,8,7,51,15,17,64,46,17,221,23,100,182,895,352,257,136,48,8,2009,0,0,0,55,68,73,93,60,15,367
CED232,0,0,13,80,65,68,176,130,34,557,0,5,12,44,46,97,116,61,16,394,3,10,10,56,23,17,10,3,0,130,34,311,441,4350,374,237,174,57,20,6001,0,9,16,69,27,7,7,0,3,134,0,50,63,359,87,37,14,4,3,617,0,24,31,205,80,35,19,7,0,397,4,21,9,126,69,42,49,31,9,366,4,22,12,73,80,273,424,200,57,1140,0,13,8,23,22,7,8,0,0,88,0,8,10,61,16,6,4,3,0,102,0,7,10,88,55,41,37,15,0,245,3,35,53,202,64,62,46,11,3,474,0,0,4,25,19,84,198,80,18,429,0,9,11,84,17,23,19,6,0,166,0,0,0,9,5,0,5,0,0,13,0,21,31,326,21,5,3,0,0,409,5,3,11,31,42,39,105,73,22,331,23,227,204,681,428,290,183,62,16,2110,0,8,5,137,69,116,105,26,3,473
CED233,8,22,69,407,100,61,81,67,14,838,0,0,4,83,49,151,229,424,223,1170,11,49,455,992,151,117,71,32,8,1881,194,317,1311,6045,218,105,69,40,3,8312,7,19,1421,1219,80,47,68,15,0,2872,4,10,44,571,60,25,18,6,0,740,0,0,14,80,17,14,8,0,0,130,5,12,30,651,78,60,56,13,9,914,0,12,81,569,71,143,256,237,265,1637,6,22,159,662,118,36,16,9,0,1032,14,25,280,1620,128,40,8,5,0,2116,0,0,8,63,27,33,24,14,10,178,10,52,1541,3315,367,261,196,65,16,5824,0,0,0,11,6,23,42,21,12,111,0,4,66,157,12,21,5,4,0,275,0,5,177,180,20,13,4,3,0,404,0,6,432,335,6,0,0,0,0,783,0,10,32,159,24,35,39,47,3,359,17,50,615,2926,565,366,202,62,18,4805,0,0,5,54,26,21,22,11,5,153
CED234,0,15,17,74,65,68,160,189,76,649,0,36,47,79,129,425,819,1211,479,3240,42,321,260,1430,673,855,742,168,56,4542,21,267,375,2202,459,292,293,151,39,4095,0,25,59,415,160,74,84,52,17,888,21,262,329,1585,612,337,183,84,16,3429,0,7,9,67,36,21,16,9,0,167,0,15,13,48,37,43,38,29,14,237,0,18,28,115,95,307,946,1067,693,3258,3,25,34,124,71,43,39,17,4,351,4,76,143,552,281,112,53,21,5,1250,0,4,9,47,76,148,124,48,20,478,11,265,679,2257,959,840,888,357,68,6328,0,0,0,5,5,24,68,95,29,221,0,0,8,54,19,21,20,10,3,141,0,6,9,39,8,15,18,7,7,107,0,3,64,147,5,3,0,0,0,234,0,9,10,23,37,30,92,91,59,356,21,132,209,451,297,254,150,88,22,1620,0,0,0,30,28,64,77,72,30,296
CED235,0,13,13,84,47,99,293,214,69,825,0,0,0,5,13,19,47,59,17,161,0,3,5,25,13,11,14,0,0,70,5,29,58,415,75,42,51,28,9,700,0,6,7,50,16,9,19,5,0,113,0,3,0,12,4,3,0,0,0,26,0,5,3,10,6,0,0,0,0,21,0,10,0,52,40,42,70,54,14,289,0,3,3,40,19,76,237,187,111,670,0,3,7,23,21,16,7,0,0,81,0,0,0,36,5,0,0,0,0,45,0,0,0,4,6,5,5,4,0,24,0,3,5,44,21,35,17,9,0,147,0,0,8,4,3,37,102,81,21,263,0,4,10,32,17,27,31,11,0,138,0,0,4,16,11,0,3,0,0,37,0,0,3,36,0,0,0,0,0,46,0,5,3,49,54,119,456,313,108,1101,5,57,97,410,312,407,344,141,24,1786,0,0,0,0,3,3,6,9,0,23
CED236,3,9,12,48,34,42,130,87,23,394,0,5,8,17,9,33,71,62,34,228,4,3,8,47,5,7,9,3,0,76,14,132,182,1550,219,152,97,20,12,2376,0,0,20,62,33,7,0,4,4,127,0,34,46,41,3,3,5,0,0,131,0,40,56,255,104,58,20,5,0,537,0,23,5,50,28,27,41,24,6,205,0,4,4,25,24,138,386,389,204,1167,0,0,0,15,11,0,0,0,0,35,0,5,0,29,0,9,0,0,0,46,0,0,0,7,0,9,4,0,0,28,5,75,89,629,129,80,20,0,0,1034,0,0,0,7,6,10,49,34,3,102,0,0,3,11,7,4,0,0,0,31,0,0,0,19,0,3,0,4,0,27,0,4,30,127,13,3,0,0,0,169,0,0,4,31,28,58,186,132,38,479,9,113,176,391,296,330,237,100,23,1672,0,0,0,13,10,13,29,25,16,96
CED237,0,8,13,80,39,32,61,51,9,296,0,43,119,208,202,612,976,1045,369,3585,0,0,25,160,31,61,41,7,0,333,77,561,1577,8073,1062,621,365,93,36,12475,0,15,44,210,88,40,35,8,0,440,5,191,236,1039,250,90,38,6,0,1869,7,159,265,1045,647,413,132,63,11,2742,0,26,9,68,23,38,35,25,8,238,3,40,66,251,230,895,1652,1359,724,5207,0,13,13,42,30,13,0,6,0,119,0,10,25,117,39,14,6,0,0,214,13,26,82,463,443,472,234,77,19,1832,3,68,109,499,141,164,163,26,6,1173,0,0,0,11,30,131,317,218,70,778,0,5,41,145,51,65,46,18,5,372,0,0,3,36,8,6,7,0,0,59,4,27,267,1110,52,34,14,0,0,1502,0,0,6,24,5,15,25,28,17,107,25,283,328,664,226,190,70,17,9,1809,6,47,102,867,736,1227,1550,696,214,5450
CED238,3,3,9,81,39,49,135,72,39,422,0,0,0,0,8,22,33,12,5,82,0,0,8,18,0,7,0,0,0,43,4,44,39,419,44,37,24,15,3,642,0,14,8,69,16,6,6,0,3,124,0,0,0,21,3,0,0,0,0,27,0,0,4,3,0,0,0,0,0,12,0,19,23,85,35,37,36,33,4,275,0,0,0,24,10,28,69,37,25,193,0,4,4,25,15,7,4,0,0,66,0,7,9,55,0,0,0,0,0,82,0,0,0,14,5,0,3,0,0,19,0,3,5,70,27,23,14,3,0,150,0,0,0,4,5,28,48,18,7,112,0,0,0,9,0,7,5,0,0,25,0,0,0,17,6,0,0,0,0,21,0,0,12,125,6,0,0,0,0,144,0,0,8,47,35,37,200,188,54,565,14,92,167,559,391,460,265,93,21,2068,0,0,0,0,3,6,9,0,0,21
CED239,3,9,21,237,79,49,84,67,35,592,0,24,24,116,133,328,651,1167,492,2944,0,5,34,200,34,17,14,4,0,315,42,272,333,2660,253,133,88,49,15,3855,9,38,58,304,59,19,13,6,0,511,3,37,31,337,54,41,11,7,0,526,0,19,33,202,131,96,46,28,4,565,0,14,15,296,75,40,27,17,19,498,0,17,39,435,200,711,1393,1961,1523,6280,0,7,34,209,73,14,14,5,0,353,0,12,21,187,38,11,0,0,0,262,3,27,79,566,571,577,502,186,44,2551,5,27,92,571,103,93,73,22,4,998,0,0,0,17,13,63,166,229,150,632,0,0,9,93,20,19,13,5,0,160,0,6,5,21,10,17,9,3,0,69,6,38,1250,2215,74,24,15,3,0,3616,4,4,9,73,26,22,30,16,3,194,18,64,203,1767,404,212,96,32,11,2811,0,0,0,31,26,30,25,30,17,170
CED294,0,0,0,9,0,11,3,0,0,33,0,0,0,5,0,0,0,0,0,10,0,3,5,0,0,0,5,0,0,9,0,4,9,71,4,0,0,0,0,90,0,0,0,11,3,0,0,0,0,15,0,3,0,12,5,0,0,0,0,24,0,4,0,0,0,0,0,0,0,11,0,0,0,17,0,0,0,0,0,27,0,0,0,3,0,0,5,0,0,13,0,0,0,7,0,0,0,0,0,6,0,0,0,6,0,0,0,0,0,10,0,4,0,6,5,0,0,0,0,14,0,0,12,43,13,6,0,0,0,74,0,0,0,0,4,0,0,0,0,5,0,0,3,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,4,0,0,0,8,0,0,0,0,0,8,0,0,0,0,0,3,8,3,0,22,0,0,17,64,27,23,14,6,0,157,0,0,0,4,0,0,0,0,0,3
CED297,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
