CED_CODE_2021,P_Germany_0_4,P_Germany_5_14,P_Germany_15_24,P_Germany_25_44,P_Germany_45_54,P_Germany_55_64,P_Germany_65_74,P_Germany_75_84,P_Germany_85ov,P_Germany_Tot,P_Greece_0_4,P_Greece_5_14,P_Greece_15_24,P_Greece_25_44,P_Greece_45_54,P_Greece_55_64,P_Greece_65_74,P_Greece_75_84,P_Greece_85ov,P_Greece_Tot,P_Hong_Kong_SAR_Ch_0_4,P_Hong_Kong_SAR_Ch_5_14,P_Hong_Kong_SAR_Ch_15_24,P_Hong_Kong_SAR_Ch_25_44,P_Hong_Kong_SAR_Ch_45_54,P_Hong_Kong_SAR_Ch_55_64,P_Hong_Kong_SAR_Ch_65_74,P_Hong_Kong_SAR_Ch_75_84,P_Hong_Kong_SAR_Ch_85ov,P_Hong_Kong_SAR_Ch_Tot,P_India_0_4,P_India_5_14,P_India_15_24,P_India_25_44,P_India_45_54,P_India_55_64,P_India_65_74,P_India_75_84,P_India_85ov,P_India_Tot,P_Indonesia_0_4,P_Indonesia_5_14,P_Indonesia_15_24,P_Indonesia_25_44,P_Indonesia_45_54,P_Indonesia_55_64,P_Indonesia_65_74,P_Indonesia_75_84,P_Indonesia_85ov,P_Indonesia_Tot,P_Iran_0_4,P_Iran_5_14,P_Iran_15_24,P_Iran_25_44,P_Iran_45_54,P_Iran_55_64,P_Iran_65_74,P_Iran_75_84,P_Iran_85ov,P_Iran_Tot,P_Iraq_0_4,P_Iraq_5_14,P_Iraq_15_24,P_Iraq_25_44,P_Iraq_45_54,P_Iraq_55_64,P_Iraq_65_74,P_Iraq_75_84,P_Iraq_85ov,P_Iraq_Tot,P_Ireland_0_4,P_Ireland_5_14,P_Ireland_15_24,P_Ireland_25_44,P_Ireland_45_54,P_Ireland_55_64,P_Ireland_65_74,P_Ireland_75_84,P_Ireland_85ov,P_Ireland_Tot,P_Italy_0_4,P_Italy_5_14,P_Italy_15_24,P_Italy_25_44,P_Italy_45_54,P_Italy_55_64,P_Italy_65_74,P_Italy_75_84,P_Italy_85ov,P_Italy_Tot,P_Japan_0_4,P_Japan_5_14,P_Japan_15_24,P_Japan_25_44,P_Japan_45_54,P_Japan_55_64,P_Japan_65_74,P_Japan_75_84,P_Japan_85ov,P_Japan_Tot,P_Korea_South_0_4,P_Korea_South_5_14,P_Korea_South_15_24,P_Korea_South_25_44,P_Korea_South_45_54,P_Korea_South_55_64,P_Korea_South_65_74,P_Korea_South_75_84,P_Korea_South_85ov,P_Korea_South_Tot,P_Lebanon_0_4,P_Lebanon_5_14,P_Lebanon_15_24,P_Lebanon_25_44,P_Lebanon_45_54,P_Lebanon_55_64,P_Lebanon_65_74,P_Lebanon_75_84,P_Lebanon_85ov,P_Lebanon_Tot,P_Malaysia_0_4,P_Malaysia_5_14,P_Malaysia_15_24,P_Malaysia_25_44,P_Malaysia_45_54,P_Malaysia_55_64,P_Malaysia_65_74,P_Malaysia_75_84,P_Malaysia_85ov,P_Malaysia_Tot,P_Malta_0_4,P_Malta_5_14,P_Malta_15_24,P_Malta_25_44,P_Malta_45_54,P_Malta_55_64,P_Malta_65_74,P_Malta_75_84,P_Malta_85ov,P_Malta_Tot,P_Mauritius_0_4,P_Mauritius_5_14,P_Mauritius_15_24,P_Mauritius_25_44,P_Mauritius_45_54,P_Mauritius_55_64,P_Mauritius_65_74,P_Mauritius_75_84,P_Mauritius_85ov,P_Mauritius_Tot,P_Myanmar_0_4,P_Myanmar_5_14,P_Myanmar_15_24,P_Myanmar_25_44,P_Myanmar_45_54,P_Myanmar_55_64,P_Myanmar_65_74,P_Myanmar_75_84,P_Myanmar_85ov,P_Myanmar_Tot,P_Nepal_0_4,P_Nepal_5_14,P_Nepal_15_24,P_Nepal_25_44,P_Nepal_45_54,P_Nepal_55_64,P_Nepal_65_74,P_Nepal_75_84,P_Nepal_85ov,P_Nepal_Tot,P_Netherlands_0_4,P_Netherlands_5_14,P_Netherlands_15_24,P_Netherlands_25_44,P_Netherlands_45_54,P_Netherlands_55_64,P_Netherlands_65_74,P_Netherlands_75_84,P_Netherlands_85ov,P_Netherlands_Tot,P_New_Zealand_0_4,P_New_Zealand_5_14,P_New_Zealand_15_24,P_New_Zealand_25_44,P_New_Zealand_45_54,P_New_Zealand_55_64,P_New_Zealand_65_74,P_New_Zealand_75_84,P_New_Zealand_85ov,P_New_Zealand_Tot,P_North_Macedonia_0_4,P_North_Macedonia_5_14,P_North_Macedonia_15_24,P_North_Macedonia_25_44,P_North_Macedonia_45_54,P_North_Macedonia_55_64,P_North_Macedonia_65_74,P_North_Macedonia_75_84,P_North_Macedonia_85ov,P_North_Macedonia_Tot
CED218,0,5,22,69,42,44,170,121,40,520,0,24,28,70,84,251,305,274,63,1100,0,13,24,194,54,53,41,5,7,393,76,614,1119,7286,1408,762,539,211,57,12067,0,20,41,248,93,49,35,6,0,503,3,20,41,232,58,23,15,9,0,401,10,282,241,604,190,137,100,32,3,1598,3,23,12,55,24,21,23,18,6,184,0,13,21,103,115,467,700,454,193,2064,4,7,5,52,28,3,3,0,0,101,0,8,15,93,34,11,4,0,0,174,5,27,21,192,164,188,108,33,12,758,3,151,64,394,123,101,85,25,0,947,0,4,23,108,156,551,1165,648,158,2821,0,3,15,107,34,30,42,11,5,252,0,47,180,561,134,40,15,6,0,984,0,12,35,225,15,12,7,0,0,299,0,0,3,9,8,16,40,36,17,125,50,525,675,996,301,225,72,21,5,2878,3,9,41,467,468,635,906,303,62,2893
CED219,0,7,10,65,57,78,259,111,45,630,0,3,4,23,37,65,79,86,14,309,0,9,5,41,14,13,15,0,0,98,57,416,570,5392,447,345,239,72,19,7548,0,10,11,120,43,13,8,3,3,217,0,13,4,58,22,11,6,0,0,122,0,24,29,78,30,15,13,3,0,195,3,8,12,106,56,63,66,46,4,376,0,6,6,61,60,211,292,177,53,871,0,10,12,37,22,3,7,0,0,87,0,3,18,56,27,13,7,5,0,123,0,8,14,86,61,50,23,12,3,261,0,91,30,162,59,60,44,15,3,462,0,11,30,108,104,242,564,255,38,1353,0,3,9,91,24,29,14,4,0,169,8,26,89,354,82,31,14,4,4,602,0,7,24,135,3,0,5,0,0,177,0,0,7,16,48,42,156,92,35,402,62,501,489,1163,548,408,207,68,11,3457,0,4,10,96,100,112,134,23,5,486
CED220,5,3,26,192,80,57,151,97,52,663,3,4,9,82,101,225,416,928,450,2225,14,110,124,423,93,125,106,38,12,1034,70,309,493,3481,338,241,184,99,39,5239,0,19,110,405,96,51,66,17,6,761,0,11,15,273,50,21,20,16,0,407,0,0,0,36,15,10,4,4,0,67,0,7,17,696,59,60,65,42,18,964,0,8,24,234,60,98,196,190,121,923,12,33,45,268,105,59,33,10,0,571,0,15,46,362,67,37,13,11,4,564,0,7,5,34,22,25,21,8,4,119,9,33,170,960,271,279,253,96,25,2096,0,0,0,8,7,19,24,18,5,78,0,0,20,134,33,32,43,20,11,290,0,0,16,16,15,9,10,6,3,83,0,9,157,276,4,3,0,0,0,452,0,14,16,79,33,32,64,33,23,281,16,78,225,1443,453,408,263,110,34,3036,0,0,0,31,14,17,9,5,0,75
CED221,0,5,18,83,49,57,97,84,26,420,0,8,25,62,42,73,94,66,20,397,0,10,11,120,20,33,8,0,0,206,91,1125,1881,12208,2288,1210,684,212,59,19760,0,30,40,206,92,29,24,4,4,434,3,136,268,344,38,18,6,3,0,822,0,54,58,144,49,41,23,17,6,391,3,59,11,70,36,35,33,39,9,286,0,11,13,52,29,115,148,128,58,556,6,3,9,60,18,3,0,0,0,98,0,5,24,109,51,10,3,0,0,208,0,8,13,68,65,56,39,10,0,260,7,55,104,317,127,122,72,14,0,829,0,0,0,9,3,28,70,41,6,152,0,26,131,585,264,392,291,90,40,1815,0,3,3,67,35,19,19,3,0,159,4,16,62,365,41,14,6,0,0,520,0,7,6,23,34,46,160,137,53,468,89,668,932,1812,622,429,215,69,18,4850,0,0,5,80,47,63,34,4,0,237
CED222,7,12,26,86,60,61,112,134,75,558,8,76,175,354,340,683,1247,1927,757,5576,12,37,116,518,98,122,81,19,8,1009,133,575,2407,9032,1220,866,578,386,139,15330,8,45,159,776,218,101,76,28,5,1415,0,25,56,286,59,30,14,0,0,471,0,12,21,60,28,41,14,11,0,191,0,21,11,142,49,41,48,37,24,372,3,6,28,128,81,212,553,791,553,2358,6,43,49,197,109,30,28,3,0,468,15,79,108,734,178,87,39,18,3,1258,0,4,16,63,78,105,86,59,14,428,30,219,620,2590,414,310,249,73,14,4519,0,0,0,12,10,16,81,102,42,261,4,0,52,287,117,230,210,175,82,1160,4,17,78,615,210,115,51,33,12,1138,0,14,246,477,15,12,0,0,0,765,0,5,9,20,23,37,46,63,33,234,24,205,347,816,322,268,129,49,20,2171,0,0,0,20,30,25,38,26,11,157
CED223,4,3,10,65,43,133,365,217,82,919,0,0,0,9,10,17,29,18,9,91,0,3,10,38,7,10,7,0,0,81,14,50,77,545,71,45,34,25,7,865,0,0,7,39,11,10,11,7,0,91,0,0,0,22,5,8,6,0,0,40,0,0,0,3,0,0,0,0,0,15,0,9,10,64,23,40,27,29,8,199,0,3,6,25,23,75,232,238,134,735,0,3,3,32,18,4,13,0,0,69,0,0,8,23,5,5,0,0,0,38,0,7,0,3,3,5,7,0,0,23,3,20,19,78,37,46,18,3,3,225,0,0,0,3,0,12,27,11,6,63,0,0,5,19,4,11,0,0,0,39,0,4,3,25,3,0,8,0,0,43,4,27,60,152,7,0,0,0,0,251,0,8,3,38,39,77,258,179,46,643,0,52,75,310,317,339,258,97,21,1465,0,0,0,0,6,6,15,4,0,36
CED224,0,18,29,155,110,93,150,153,54,763,0,9,21,84,114,265,394,517,200,1606,7,20,28,200,58,53,54,14,3,433,25,186,398,2281,655,497,370,161,60,4633,0,9,30,157,57,22,33,13,5,328,0,23,51,158,31,16,24,4,0,306,0,3,10,37,22,14,15,5,0,104,0,37,37,343,116,86,67,61,31,786,0,8,16,96,95,164,304,332,176,1187,6,23,28,103,74,42,15,0,0,303,4,14,22,124,47,19,5,3,0,240,0,3,9,78,51,58,58,18,3,272,7,29,51,383,123,132,111,33,12,875,0,0,0,4,9,19,52,54,17,160,0,5,19,192,97,111,124,78,22,641,0,4,3,43,23,19,10,10,3,124,0,0,37,81,10,5,3,0,0,136,0,10,16,52,37,33,104,88,49,384,13,133,221,890,497,415,234,85,24,2510,0,6,11,240,191,196,127,66,18,846
CED225,6,10,17,117,81,61,162,156,56,667,0,9,18,44,76,234,342,315,159,1201,4,42,28,231,88,82,71,19,9,573,22,153,227,1593,271,181,137,51,31,2673,0,12,23,173,49,42,34,11,9,356,5,33,50,631,120,57,36,11,0,939,0,0,4,37,26,18,18,0,3,108,4,21,19,179,114,85,80,42,26,569,0,9,7,114,89,338,780,597,412,2346,5,16,20,116,81,33,23,0,4,295,0,13,27,144,55,20,15,3,0,277,0,0,6,52,59,118,76,44,15,378,4,49,86,478,182,217,224,73,4,1321,0,0,0,12,10,43,109,74,14,261,0,0,13,52,11,47,25,19,6,168,0,0,4,15,3,10,8,0,0,42,0,3,50,109,12,0,3,0,0,177,0,17,8,50,45,31,87,64,31,338,16,90,133,656,368,339,171,80,23,1871,0,3,4,68,64,121,147,70,24,499
CED226,5,16,13,114,68,62,143,110,47,576,0,4,17,35,66,218,324,558,297,1522,23,236,175,535,353,346,286,82,25,2066,29,260,367,2120,486,286,220,136,42,3953,0,21,64,382,115,67,92,35,4,792,0,49,63,422,166,65,57,24,9,851,0,9,0,36,16,5,3,6,0,78,4,20,10,137,64,87,57,38,29,443,0,13,11,128,72,164,362,382,277,1408,4,29,38,144,96,42,28,20,6,404,0,41,80,286,123,63,22,3,3,619,0,0,0,21,28,28,20,17,9,123,3,131,279,1049,767,649,630,249,75,3834,0,0,0,0,6,14,44,19,12,91,0,0,11,76,20,26,24,0,3,168,0,0,7,32,8,17,6,0,4,80,0,0,64,112,7,6,3,5,0,189,4,15,31,47,44,22,78,48,18,304,12,132,235,726,407,380,263,118,59,2334,0,0,0,14,13,26,27,19,5,104
CED227,0,0,15,82,46,81,148,127,39,533,0,6,11,14,27,27,22,25,12,144,0,10,11,65,32,20,20,0,0,172,64,741,878,7879,1037,491,345,120,21,11573,0,19,23,136,56,25,17,8,0,285,4,19,29,124,42,24,4,5,0,250,0,3,26,51,23,12,5,4,0,124,0,51,18,99,51,59,42,30,16,365,0,10,8,60,41,90,161,142,49,572,0,13,16,34,28,5,6,0,0,94,5,15,26,125,54,18,6,4,0,252,0,9,15,60,41,37,8,4,0,169,8,98,83,232,127,82,48,19,3,699,0,0,0,6,7,25,57,30,0,131,3,7,72,351,140,193,113,37,10,929,0,17,40,240,51,16,8,3,0,380,0,3,18,148,12,6,0,0,0,189,0,3,11,37,50,82,272,215,77,755,41,364,441,977,495,370,156,73,15,2936,0,0,0,20,15,17,5,0,0,62
