CED_CODE_2021,M_PGrad_Deg_15_24,M_PGrad_Deg_25_34,M_PGrad_Deg_35_44,M_PGrad_Deg_45_54,M_PGrad_Deg_55_64,M_PGrad_Deg_65_74,M_PGrad_Deg_75_84,M_PGrad_Deg_85ov,M_PGrad_Deg_Total,M_GradDip_and_GradCert_15_24,M_GradDip_and_GradCert_25_34,M_GradDip_and_GradCert_35_44,M_GradDip_and_GradCert_45_54,M_GradDip_and_GradCert_55_64,M_GradDip_and_GradCert_65_74,M_GradDip_and_GradCert_75_84,M_GradDip_and_GradCert_85ov,M_GradDip_and_GradCert_Total,M_BachDeg_15_24,M_BachDeg_25_34,M_BachDeg_35_44,M_BachDeg_45_54,M_BachDeg_55_64,M_BachDeg_65_74,M_BachDeg_75_84,M_BachDeg_85ov,M_BachDeg_Total,M_AdvDip_and_Dip_15_24,M_AdvDip_and_Dip_25_34,M_AdvDip_and_Dip_35_44,M_AdvDip_and_Dip_45_54,M_AdvDip_and_Dip_55_64,M_AdvDip_and_Dip_65_74,M_AdvDip_and_Dip_75_84,M_AdvDip_and_Dip_85ov,M_AdvDip_and_Dip_Total,M_Cert_III_IV_15_24,M_Cert_III_IV_25_34,M_Cert_III_IV_35_44,M_Cert_III_IV_45_54,M_Cert_III_IV_55_64,M_Cert_III_IV_65_74,M_Cert_III_IV_75_84,M_Cert_III_IV_85ov,M_Cert_III_IV_Total,M_Cert_I_II_15_24,M_Cert_I_II_25_34,M_Cert_I_II_35_44,M_Cert_I_II_45_54,M_Cert_I_II_55_64,M_Cert_I_II_65_74,M_Cert_I_II_75_84,M_Cert_I_II_85ov,M_Cert_I_II_Total,M_Cert_Levl_nfd_15_24,M_Cert_Levl_nfd_25_34,M_Cert_Levl_nfd_35_44,M_Cert_Levl_nfd_45_54,M_Cert_Levl_nfd_55_64,M_Cert_Levl_nfd_65_74,M_Cert_Levl_nfd_75_84,M_Cert_Levl_nfd_85ov,M_Cert_Levl_nfd_Total,M_Cert_Lev_Tot_15_24,M_Cert_Lev_Tot_25_34,M_Cert_Lev_Tot_35_44,M_Cert_Lev_Tot_45_54,M_Cert_Lev_Tot_55_64,M_Cert_Lev_Tot_65_74,M_Cert_Lev_Tot_75_84,M_Cert_Lev_Tot_85ov,M_Cert_Lev_Tot_Total,M_Lev_Edu_IDes_15_24,M_Lev_Edu_IDes_25_34,M_Lev_Edu_IDes_35_44,M_Lev_Edu_IDes_45_54,M_Lev_Edu_IDes_55_64,M_Lev_Edu_IDes_65_74,M_Lev_Edu_IDes_75_84,M_Lev_Edu_IDes_85ov,M_Lev_Edu_IDes_Total,M_Lev_Edu_NS_15_24,M_Lev_Edu_NS_25_34,M_Lev_Edu_NS_35_44,M_Lev_Edu_NS_45_54,M_Lev_Edu_NS_55_64,M_Lev_Edu_NS_65_74,M_Lev_Edu_NS_75_84,M_Lev_Edu_NS_85ov,M_Lev_Edu_NS_Total,M_Tot_15_24,M_Tot_25_34,M_Tot_35_44,M_Tot_45_54,M_Tot_55_64,M_Tot_65_74,M_Tot_75_84,M_Tot_85ov,M_Tot_Total,F_PGrad_Deg_15_24,F_PGrad_Deg_25_34,F_PGrad_Deg_35_44,F_PGrad_Deg_45_54,F_PGrad_Deg_55_64,F_PGrad_Deg_65_74,F_PGrad_Deg_75_84,F_PGrad_Deg_85ov,F_PGrad_Deg_Total,F_GradDip_and_GradCert_15_24,F_GradDip_and_GradCert_25_34,F_GradDip_and_GradCert_35_44,F_GradDip_and_GradCert_45_54,F_GradDip_and_GradCert_55_64,F_GradDip_and_GradCert_65_74,F_GradDip_and_GradCert_75_84,F_GradDip_and_GradCert_85ov,F_GradDip_and_GradCert_Total,F_BachDeg_15_24,F_BachDeg_25_34,F_BachDeg_35_44,F_BachDeg_45_54,F_BachDeg_55_64,F_BachDeg_65_74,F_BachDeg_75_84,F_BachDeg_85ov,F_BachDeg_Total,F_AdvDip_and_Dip_15_24,F_AdvDip_and_Dip_25_34,F_AdvDip_and_Dip_35_44,F_AdvDip_and_Dip_45_54,F_AdvDip_and_Dip_55_64,F_AdvDip_and_Dip_65_74,F_AdvDip_and_Dip_75_84,F_AdvDip_and_Dip_85ov,F_AdvDip_and_Dip_Total,F_Cert_III_IV_15_24,F_Cert_III_IV_25_34,F_Cert_III_IV_35_44,F_Cert_III_IV_45_54,F_Cert_III_IV_55_64,F_Cert_III_IV_65_74,F_Cert_III_IV_75_84,F_Cert_III_IV_85ov,F_Cert_III_IV_Total,F_Cert_I_II_15_24,F_Cert_I_II_25_34,F_Cert_I_II_35_44,F_Cert_I_II_45_54,F_Cert_I_II_55_64,F_Cert_I_II_65_74,F_Cert_I_II_75_84,F_Cert_I_II_85ov,F_Cert_I_II_Total,F_Cert_Levl_nfd_15_24,F_Cert_Levl_nfd_25_34,F_Cert_Levl_nfd_35_44,F_Cert_Levl_nfd_45_54,F_Cert_Levl_nfd_55_64,F_Cert_Levl_nfd_65_74,F_Cert_Levl_nfd_75_84,F_Cert_Levl_nfd_85ov,F_Cert_Levl_nfd_Total,F_Cert_Lev_Tot_15_24,F_Cert_Lev_Tot_25_34,F_Cert_Lev_Tot_35_44,F_Cert_Lev_Tot_45_54,F_Cert_Lev_Tot_55_64,F_Cert_Lev_Tot_65_74,F_Cert_Lev_Tot_75_84,F_Cert_Lev_Tot_85ov,F_Cert_Lev_Tot_Total,F_Lev_Edu_IDes_15_24,F_Lev_Edu_IDes_25_34,F_Lev_Edu_IDes_35_44,F_Lev_Edu_IDes_45_54,F_Lev_Edu_IDes_55_64,F_Lev_Edu_IDes_65_74,F_Lev_Edu_IDes_75_84,F_Lev_Edu_IDes_85ov,F_Lev_Edu_IDes_Total,F_Lev_Edu_NS_15_24,F_Lev_Edu_NS_25_34,F_Lev_Edu_NS_35_44,F_Lev_Edu_NS_45_54,F_Lev_Edu_NS_55_64,F_Lev_Edu_NS_65_74,F_Lev_Edu_NS_75_84,F_Lev_Edu_NS_85ov,F_Lev_Edu_NS_Total,F_Tot_15_24,F_Tot_25_34,F_Tot_35_44,F_Tot_45_54,F_Tot_55_64,F_Tot_65_74,F_Tot_75_84,F_Tot_85ov,F_Tot_Total,P_PGrad_Deg_15_24,P_PGrad_Deg_25_34
CED201,54,896,1448,815,677,338,108,25,4356,19,135,256,232,238,180,59,12,1128,729,2710,2849,1967,1422,982,365,92,11112,326,956,1343,1251,1054,813,359,95,6189,984,2414,2273,2673,2591,1817,1020,280,14056,142,102,86,51,69,40,17,4,503,47,87,150,145,166,141,77,22,831,1166,2601,2509,2870,2821,1994,1112,307,15391,22,43,65,52,58,51,41,21,348,335,510,465,425,369,372,370,211,3057,2644,7849,8939,7616,6634,4732,2413,756,41577,78,1317,1610,752,424,193,42,8,4428,76,430,594,505,385,206,64,10,2267,953,3533,3761,2474,1565,931,310,85,13613,492,1320,1646,1861,1496,904,377,119,8218,678,1292,1291,1488,1234,614,202,61,6862,119,110,138,142,103,100,27,6,746,53,118,172,259,335,242,112,38,1332,853,1522,1595,1891,1673,957,338,105,8940,14,56,63,54,80,108,45,22,445,338,444,470,424,492,534,634,501,3828,2804,8625,9739,7958,6117,3825,1815,849,41734,137,2215
CED202,34,528,589,541,448,379,162,27,2708,4,136,242,276,283,306,73,9,1329,356,1584,1634,1362,988,885,321,62,7187,165,689,890,994,850,822,298,55,4765,1216,3106,2688,2663,2535,1808,898,229,15135,142,148,95,75,66,50,18,4,597,42,85,111,121,155,135,68,19,728,1399,3339,2897,2859,2752,1986,985,248,16461,11,38,32,42,40,50,28,11,254,586,601,526,672,654,722,527,255,4540,2552,6920,6802,6746,6012,5158,2386,662,37250,53,721,779,676,591,389,94,8,3304,39,409,598,590,524,416,98,25,2697,549,2498,2584,1980,1416,1078,402,96,10605,334,1126,1358,1394,1322,941,399,103,6965,892,1908,1788,1672,1356,706,128,44,8480,182,190,176,139,130,111,27,6,951,66,117,137,192,217,194,78,24,1019,1134,2210,2097,2006,1695,1006,227,80,10460,24,41,42,55,50,65,41,20,327,599,626,564,642,697,857,755,520,5256,2727,7625,8018,7331,6287,4758,2012,851,39610,86,1253
CED203,33,345,481,440,394,415,172,21,2296,11,121,257,278,295,266,58,0,1302,280,1422,1509,1279,923,962,375,81,6837,149,614,809,908,918,883,440,76,4791,1006,2970,2639,2728,2719,2002,1022,266,15356,144,117,101,77,54,51,14,0,567,41,84,99,123,162,157,71,28,765,1195,3172,2841,2924,2937,2219,1107,295,16680,3,46,26,39,37,44,37,17,247,551,642,604,712,741,725,612,360,4944,2214,6367,6529,6578,6246,5509,2795,853,37100,65,698,698,611,512,366,109,14,3076,53,435,637,644,551,413,102,19,2860,504,2375,2509,1969,1453,1164,448,108,10526,313,1083,1214,1323,1305,1073,458,108,6870,850,1888,1664,1621,1451,702,178,37,8391,158,161,184,141,193,133,28,7,1007,78,100,134,216,241,193,90,36,1087,1083,2150,1984,1979,1888,1027,295,78,10485,6,52,30,38,57,43,48,25,296,550,664,632,681,801,946,932,709,5912,2583,7462,7701,7235,6566,5034,2389,1054,40021,102,1043
CED204,56,1015,1227,677,398,251,78,10,3715,16,125,167,170,154,100,32,5,763,725,2933,2281,1414,1071,649,212,43,9331,521,1407,1556,1278,1064,621,217,60,6728,1194,2637,2384,2706,2544,1646,761,204,14067,182,138,113,85,69,37,11,6,633,62,151,179,192,194,127,52,17,969,1435,2920,2673,2981,2807,1809,824,224,15674,32,76,105,73,70,72,36,12,476,814,1260,1006,766,694,575,434,185,5735,3606,9753,9009,7354,6264,4076,1830,526,42426,89,1352,1292,550,295,118,35,6,3732,80,420,438,372,251,131,40,6,1743,987,3538,3032,1802,1176,650,208,42,11435,527,1635,1901,1773,1289,659,224,75,8088,811,1441,1471,1538,1250,563,127,49,7251,138,151,155,165,152,80,31,3,875,75,159,223,336,330,174,75,9,1391,1026,1742,1846,2045,1736,822,237,67,9518,38,87,88,63,75,82,40,22,496,660,998,848,796,727,730,564,333,5643,3414,9785,9445,7390,5548,3188,1342,547,40664,147,2368
CED205,78,1311,1638,527,263,131,23,0,3975,31,162,199,133,94,52,11,0,675,731,3025,2735,1154,738,375,85,17,8872,513,1967,1948,1027,730,332,84,16,6606,1258,2815,2268,1910,1755,824,342,70,11249,173,168,124,93,53,23,7,6,649,87,204,222,152,147,67,32,3,908,1516,3186,2619,2155,1953,914,378,76,12804,44,87,145,77,58,35,17,3,460,968,1415,1207,765,637,369,229,75,5666,3888,11153,10482,5829,4468,2208,835,192,39054,139,1627,1532,392,168,62,11,0,3933,110,572,483,294,137,56,14,0,1665,1108,4290,3138,1325,728,289,62,16,10962,589,2178,2207,1414,782,307,79,14,7576,824,1942,1668,1254,855,277,60,13,6888,142,199,178,128,97,37,7,0,791,124,244,271,290,222,75,21,8,1258,1092,2378,2118,1673,1175,389,95,17,8940,38,115,122,71,51,33,16,4,445,818,1236,1106,774,638,468,296,145,5483,3893,12403,10698,5944,3681,1609,573,198,39000,216,2939
CED206,14,346,571,502,375,318,147,20,2306,7,104,195,232,253,229,84,10,1118,313,1583,1675,1388,1047,904,368,71,7348,238,802,1142,1147,982,828,381,71,5594,1340,3833,3487,3552,3257,2099,1016,234,18813,135,87,87,72,52,44,16,0,500,47,90,141,147,182,172,84,14,869,1526,4014,3719,3769,3482,2315,1114,252,20188,16,40,36,38,42,56,45,11,279,441,461,480,580,536,442,380,171,3483,2554,7348,7817,7649,6720,5087,2523,604,40307,26,702,903,597,403,261,64,10,2977,59,435,626,594,484,342,80,5,2625,583,2739,2728,2115,1442,1048,372,70,11098,444,1551,1811,1875,1544,1003,383,88,8694,865,1762,1709,1824,1511,740,200,50,8662,173,139,169,148,165,96,42,4,942,89,135,202,283,316,234,104,27,1387,1128,2039,2081,2256,1991,1069,350,76,10986,11,41,33,54,58,70,63,23,354,372,466,495,570,624,665,540,322,4050,2620,7970,8683,8064,6554,4460,1838,591,40782,46,1054
CED207,241,2923,2937,1977,1419,846,387,79,10804,27,258,368,398,390,312,98,25,1875,1798,4725,4049,3400,2505,1627,806,307,19220,776,1182,1160,1144,1020,855,664,214,7017,749,1218,911,1368,1306,912,899,397,7754,109,73,50,54,32,21,21,9,369,51,71,95,142,157,139,108,47,812,913,1368,1057,1562,1495,1068,1022,447,8928,53,77,103,71,83,78,60,32,562,745,1020,647,511,400,396,421,371,4519,4555,11552,10322,9062,7300,5183,3471,1474,52922,251,3176,3075,1709,925,403,178,33,9751,60,435,622,736,620,373,182,30,3047,1997,4931,4846,3979,2482,1523,777,265,20799,598,992,1294,1687,1491,1117,673,263,8117,459,582,587,816,716,401,207,92,3853,101,70,58,95,106,90,41,12,568,79,75,122,261,274,247,208,93,1360,633,732,765,1176,1095,740,451,199,5786,42,67,93,84,92,114,104,43,643,610,769,568,524,494,565,744,738,5006,4188,11096,11261,9896,7191,4836,3110,1577,53158,493,6100
CED208,126,2176,1979,1219,714,345,86,17,6651,22,342,471,483,325,202,25,3,1877,921,4957,4104,2551,1388,671,204,48,14838,427,1329,1285,1071,697,372,129,36,5336,653,1909,1614,1581,1226,762,417,160,8318,90,112,78,70,41,14,0,0,413,40,111,130,169,138,61,39,6,698,773,2133,1822,1822,1417,847,459,163,9433,25,79,91,61,43,34,18,6,363,491,865,697,590,464,415,362,261,4148,2782,11887,10443,7793,5044,2876,1285,541,42637,137,2850,2530,1503,851,342,80,12,8307,50,765,1041,927,634,288,62,8,3774,1226,6332,4639,3023,1436,694,182,53,17578,475,1430,1464,1396,948,424,127,51,6312,513,1045,875,835,677,290,90,35,4360,113,88,95,94,80,50,8,5,527,48,103,140,226,230,123,38,31,932,668,1235,1106,1158,980,456,138,65,5818,21,63,66,62,41,44,23,18,342,426,806,616,540,466,505,483,442,4287,3015,13486,11470,8607,5353,2751,1089,646,46419,261,5027
CED209,63,770,675,508,474,429,175,21,3124,4,147,247,228,264,289,91,7,1270,476,1969,2105,1548,1159,1142,471,108,8979,281,818,1130,1066,953,1066,476,99,5885,1024,2866,3015,2739,2468,2060,1016,296,15490,104,80,85,57,49,41,17,0,432,40,81,120,132,125,183,103,20,804,1163,3028,3223,2926,2644,2285,1135,324,16727,20,34,53,38,45,55,54,21,319,475,483,449,462,477,618,537,284,3785,2484,7246,7886,6774,6014,5884,2939,860,40085,40,833,928,597,468,353,84,8,3316,59,522,690,587,518,453,120,14,2961,707,3155,3309,2188,1549,1299,486,98,12797,378,1282,1598,1642,1473,1238,575,157,8341,765,1582,1655,1473,1364,711,200,50,7812,114,91,154,136,121,120,31,4,765,82,112,173,204,217,239,107,46,1173,960,1791,1986,1811,1702,1060,332,102,9745,13,38,35,36,55,81,85,17,356,450,408,503,451,565,829,840,626,4674,2604,8032,9048,7322,6326,5314,2527,1025,42190,104,1601
CED210,116,1154,753,575,414,277,136,14,3449,15,226,256,225,233,181,51,10,1192,628,2479,2074,1462,1068,806,246,65,8826,332,983,984,1048,823,741,324,68,5303,1133,3110,2494,2416,2422,1693,834,282,14391,144,132,103,71,49,36,15,0,540,45,86,97,121,136,120,71,11,691,1317,3332,2696,2602,2610,1847,920,294,15622,29,42,60,41,34,41,38,18,307,658,840,658,650,601,537,460,220,4626,3099,9057,7488,6614,5784,4426,2168,697,39334,65,1273,967,619,412,207,66,4,3619,63,553,607,562,394,278,69,7,2533,864,3543,2923,1986,1351,981,343,73,12071,426,1350,1400,1482,1237,874,377,101,7246,1016,1945,1686,1656,1377,644,167,49,8539,162,141,142,151,115,100,28,4,840,93,131,161,206,218,180,83,27,1096,1268,2220,1984,2011,1711,922,277,82,10475,30,44,38,46,57,69,55,24,355,571,724,681,602,586,772,735,447,5112,3290,9707,8601,7305,5763,4098,1906,739,41414,185,2428
