CED_CODE_2021,NegNil_Inc_BE_WFT,NegNil_Inc_BE_WPT,NegNil_Inc_BE_BAW,NegNil_Inc_1EFT_OthPT,NegNil_Inc_1EFT_OthAW,NegNil_Inc_1EFT_OthNW,NegNil_Inc_1EPT_OthAW,NegNil_Inc_1EPT_OthNW,NegNil_Inc_1AW_OthNW,NegNil_Inc_BNW,NegNil_Inc_LFsta_NS,NegNil_Inc_Tot,I_1_149_BE_WFT,I_1_149_BE_WPT,I_1_149_BE_BAW,I_1_149_1EFT_OthPT,I_1_149_1EFT_OthAW,I_1_149_1EFT_OthNW,I_1_149_1EPT_OthAW,I_1_149_1EPT_OthNW,I_1_149_1AW_OthNW,I_1_149_BNW,I_1_149_LFsta_NS,I_1_149_Tot,I_150_299_BE_WFT,I_150_299_BE_WPT,I_150_299_BE_BAW,I_150_299_1EFT_OthPT,I_150_299_1EFT_OthAW,I_150_299_1EFT_OthNW,I_150_299_1EPT_OthAW,I_150_299_1EPT_OthNW,I_150_299_1AW_OthNW,I_150_299_BNW,I_150_299_LFsta_NS,I_150_299_Tot,I_300_399_BE_WFT,I_300_399_BE_WPT,I_300_399_BE_BAW,I_300_399_1EFT_OthPT,I_300_399_1EFT_OthAW,I_300_399_1EFT_OthNW,I_300_399_1EPT_OthAW,I_300_399_1EPT_OthNW,I_300_399_1AW_OthNW,I_300_399_BNW,I_300_399_LFsta_NS,I_300_399_Tot,I_400_499_BE_WFT,I_400_499_BE_WPT,I_400_499_BE_BAW,I_400_499_1EFT_OthPT,I_400_499_1EFT_OthAW,I_400_499_1EFT_OthNW,I_400_499_1EPT_OthAW,I_400_499_1EPT_OthNW,I_400_499_1AW_OthNW,I_400_499_BNW,I_400_499_LFsta_NS,I_400_499_Tot,I_500_649_BE_WFT,I_500_649_BE_WPT,I_500_649_BE_BAW,I_500_649_1EFT_OthPT,I_500_649_1EFT_OthAW,I_500_649_1EFT_OthNW,I_500_649_1EPT_OthAW,I_500_649_1EPT_OthNW,I_500_649_1AW_OthNW,I_500_649_BNW,I_500_649_LFsta_NS,I_500_649_Tot,I_650_799_BE_WFT,I_650_799_BE_WPT,I_650_799_BE_BAW,I_650_799_1EFT_OthPT,I_650_799_1EFT_OthAW,I_650_799_1EFT_OthNW,I_650_799_1EPT_OthAW,I_650_799_1EPT_OthNW,I_650_799_1AW_OthNW,I_650_799_BNW,I_650_799_LFsta_NS,I_650_799_Tot,I_800_999_BE_WFT,I_800_999_BE_WPT,I_800_999_BE_BAW,I_800_999_1EFT_OthPT,I_800_999_1EFT_OthAW,I_800_999_1EFT_OthNW,I_800_999_1EPT_OthAW,I_800_999_1EPT_OthNW,I_800_999_1AW_OthNW,I_800_999_BNW,I_800_999_LFsta_NS,I_800_999_Tot,I_1000_1249_BE_WFT,I_1000_1249_BE_WPT,I_1000_1249_BE_BAW,I_1000_1249_1EFT_OthPT,I_1000_1249_1EFT_OthAW,I_1000_1249_1EFT_OthNW,I_1000_1249_1EPT_OthAW,I_1000_1249_1EPT_OthNW,I_1000_1249_1AW_OthNW,I_1000_1249_BNW,I_1000_1249_LFsta_NS,I_1000_1249_Tot,I_1250_1499_BE_WFT,I_1250_1499_BE_WPT,I_1250_1499_BE_BAW,I_1250_1499_1EFT_OthPT,I_1250_1499_1EFT_OthAW,I_1250_1499_1EFT_OthNW,I_1250_1499_1EPT_OthAW,I_1250_1499_1EPT_OthNW,I_1250_1499_1AW_OthNW,I_1250_1499_BNW,I_1250_1499_LFsta_NS,I_1250_1499_Tot,I_1500_1749_BE_WFT,I_1500_1749_BE_WPT,I_1500_1749_BE_BAW,I_1500_1749_1EFT_OthPT,I_1500_1749_1EFT_OthAW,I_1500_1749_1EFT_OthNW,I_1500_1749_1EPT_OthAW,I_1500_1749_1EPT_OthNW,I_1500_1749_1AW_OthNW,I_1500_1749_BNW,I_1500_1749_LFsta_NS,I_1500_1749_Tot,I_1750_1999_BE_WFT,I_1750_1999_BE_WPT,I_1750_1999_BE_BAW,I_1750_1999_1EFT_OthPT,I_1750_1999_1EFT_OthAW,I_1750_1999_1EFT_OthNW,I_1750_1999_1EPT_OthAW,I_1750_1999_1EPT_OthNW,I_1750_1999_1AW_OthNW,I_1750_1999_BNW,I_1750_1999_LFsta_NS,I_1750_1999_Tot,I_2000_2499_BE_WFT,I_2000_2499_BE_WPT,I_2000_2499_BE_BAW,I_2000_2499_1EFT_OthPT,I_2000_2499_1EFT_OthAW,I_2000_2499_1EFT_OthNW,I_2000_2499_1EPT_OthAW,I_2000_2499_1EPT_OthNW,I_2000_2499_1AW_OthNW,I_2000_2499_BNW,I_2000_2499_LFsta_NS,I_2000_2499_Tot,I_2500_2999_BE_WFT,I_2500_2999_BE_WPT,I_2500_2999_BE_BAW,I_2500_2999_1EFT_OthPT,I_2500_2999_1EFT_OthAW,I_2500_2999_1EFT_OthNW,I_2500_2999_1EPT_OthAW,I_2500_2999_1EPT_OthNW,I_2500_2999_1AW_OthNW,I_2500_2999_BNW,I_2500_2999_LFsta_NS,I_2500_2999_Tot,I_3000_3499_BE_WFT,I_3000_3499_BE_WPT,I_3000_3499_BE_BAW,I_3000_3499_1EFT_OthPT,I_3000_3499_1EFT_OthAW,I_3000_3499_1EFT_OthNW,I_3000_3499_1EPT_OthAW,I_3000_3499_1EPT_OthNW,I_3000_3499_1AW_OthNW,I_3000_3499_BNW,I_3000_3499_LFsta_NS,I_3000_3499_Tot,I_3500_3999_BE_WFT,I_3500_3999_BE_WPT,I_3500_3999_BE_BAW,I_3500_3999_1EFT_OthPT,I_3500_3999_1EFT_OthAW,I_3500_3999_1EFT_OthNW,I_3500_3999_1EPT_OthAW,I_3500_3999_1EPT_OthNW,I_3500_3999_1AW_OthNW,I_3500_3999_BNW,I_3500_3999_LFsta_NS,I_3500_3999_Tot,I_4000more_BE_WFT,I_4000more_BE_WPT,I_4000more_BE_BAW,I_4000more_1EFT_OthPT,I_4000more_1EFT_OthAW,I_4000more_1EFT_OthNW,I_4000more_1EPT_OthAW,I_4000more_1EPT_OthNW
CED201,5,0,0,3,0,7,0,3,0,488,9,515,0,0,0,3,0,0,0,9,3,157,0,181,0,0,0,0,0,4,0,23,7,72,0,108,0,0,0,0,0,6,0,16,9,53,0,90,0,10,0,4,0,3,0,28,13,365,4,426,0,11,0,5,0,13,0,67,7,196,0,306,0,22,0,5,0,50,5,138,17,1378,15,1640,4,28,0,20,0,92,12,165,21,809,5,1163,15,73,6,59,4,191,10,145,19,774,5,1296,44,124,3,200,17,218,25,168,20,611,11,1432,74,73,4,153,20,174,8,108,13,185,0,819,124,54,0,214,17,172,7,67,19,204,0,883,679,119,16,506,59,248,31,85,18,199,10,1954,683,65,13,392,60,93,14,42,10,75,0,1436,589,40,8,250,34,93,7,14,9,36,0,1080,410,17,6,104,20,20,0,11,4,13,0,610,618,39,11,202,36,129,7,28
CED202,0,6,0,0,0,4,0,0,3,224,7,247,3,0,0,0,0,0,0,17,0,88,0,110,0,0,0,0,0,0,0,12,0,54,0,75,0,0,0,0,0,0,0,17,5,57,0,78,3,16,0,6,0,3,0,42,3,308,5,389,3,19,0,0,0,5,0,60,18,210,7,326,15,29,6,17,0,35,10,150,23,1627,33,1939,6,67,6,28,6,87,7,180,24,912,14,1335,50,105,10,75,9,166,20,237,44,760,5,1480,93,156,13,251,19,193,34,190,40,732,18,1726,83,70,8,260,16,165,26,120,21,221,4,989,210,109,14,255,28,142,13,82,21,219,0,1108,701,151,21,585,69,246,39,105,17,186,3,2141,571,91,17,401,48,87,22,40,13,86,8,1368,437,34,9,250,31,89,11,16,10,54,0,938,308,18,5,94,21,30,4,16,0,19,4,529,501,53,16,241,38,126,9,37
CED203,0,0,0,0,0,10,0,3,5,207,3,232,0,7,0,0,0,0,0,7,0,120,0,137,0,3,0,0,0,0,0,6,4,64,0,84,0,0,0,0,0,0,0,10,0,45,0,60,0,7,3,4,0,8,5,34,5,344,6,420,0,12,0,3,0,8,4,90,15,189,0,335,7,39,0,22,0,46,0,147,17,1763,32,2079,13,58,5,26,6,98,11,214,29,963,12,1445,32,98,10,83,6,189,21,202,32,910,10,1593,93,162,9,219,25,167,32,200,41,774,16,1747,86,96,5,224,27,148,18,126,21,206,3,965,170,91,13,272,29,121,31,91,17,232,6,1073,642,141,17,576,59,289,33,118,34,261,7,2182,572,84,8,392,46,86,24,49,12,125,0,1404,440,53,19,250,35,67,14,26,4,63,0,968,294,21,12,126,10,22,7,9,0,21,0,532,454,42,9,204,36,102,14,47
CED204,5,0,0,3,0,0,0,4,3,513,8,532,0,0,0,0,0,0,0,6,0,133,0,145,0,0,0,0,0,0,0,23,4,70,0,106,0,0,0,0,0,3,0,20,0,76,4,107,0,6,0,3,0,0,0,39,7,414,6,486,3,14,4,3,0,17,5,73,12,180,0,300,3,39,4,7,0,68,0,120,16,1606,22,1893,6,45,4,19,3,167,9,170,22,707,9,1168,12,77,11,46,8,240,20,131,36,535,7,1116,79,116,5,178,15,264,16,154,15,470,16,1342,74,59,9,197,16,186,9,74,14,114,0,751,177,88,3,217,23,177,10,54,14,109,4,871,695,101,10,448,55,276,22,67,13,114,3,1805,594,53,9,340,49,82,6,30,7,54,0,1227,429,19,0,150,24,66,7,13,4,33,8,755,299,16,3,65,6,20,0,11,0,10,0,436,396,24,3,118,18,76,8,15
CED205,0,0,0,0,0,7,0,3,3,496,5,520,0,6,0,0,0,3,0,4,0,82,0,91,0,0,0,0,0,0,0,18,3,58,0,82,0,0,0,0,0,4,0,19,0,53,6,79,0,3,0,0,0,4,0,24,6,268,5,306,0,7,0,0,0,19,3,68,12,165,5,280,8,17,0,0,0,49,3,93,13,1198,20,1407,3,34,5,18,0,105,0,132,16,504,5,821,8,45,6,38,12,190,5,108,25,293,7,735,42,91,6,169,9,213,14,86,18,277,9,941,73,52,0,152,12,176,6,47,11,77,3,609,137,54,5,199,30,142,4,31,10,55,4,674,633,86,16,400,55,242,31,64,5,59,0,1594,561,34,12,236,45,75,6,15,6,37,3,1039,405,16,9,99,24,61,4,9,3,14,0,638,260,9,4,53,14,20,0,0,0,8,0,371,333,12,4,64,18,58,0,10
CED206,4,0,0,0,0,3,0,10,3,244,7,282,5,5,0,3,0,4,0,12,0,120,0,147,0,6,0,0,0,0,3,16,6,65,0,89,0,0,0,0,0,0,0,17,3,45,0,69,0,15,0,8,0,5,0,43,8,278,5,363,0,17,0,12,0,15,0,60,12,191,0,302,8,30,5,13,0,40,5,111,22,1280,23,1529,6,49,0,25,6,80,19,176,34,841,8,1240,22,86,4,82,10,146,11,199,27,810,9,1407,46,118,8,179,10,177,23,178,31,727,6,1511,63,80,4,206,14,161,22,101,19,205,0,881,116,95,0,281,30,155,12,82,17,194,5,992,682,142,24,596,69,296,42,122,30,208,5,2204,742,82,8,451,57,100,19,49,7,72,3,1607,608,39,18,293,55,96,21,30,5,59,6,1220,434,18,8,155,28,35,7,15,6,23,0,735,655,49,7,236,48,154,5,39
CED207,4,0,0,0,0,6,0,6,4,826,13,852,0,5,0,0,0,3,0,19,7,236,0,269,0,11,0,0,0,4,0,33,3,140,0,191,0,0,0,0,0,0,0,31,7,74,0,106,0,11,0,0,0,8,0,48,3,560,3,632,3,11,3,6,0,26,4,98,9,280,3,441,7,38,4,10,5,31,11,120,14,1444,14,1700,7,82,7,17,7,92,11,134,16,855,9,1230,15,127,9,47,9,134,4,172,15,870,7,1413,53,143,6,155,21,161,20,153,24,768,11,1517,62,72,0,133,18,145,18,92,12,284,0,844,100,82,6,182,30,134,19,80,7,327,9,962,502,125,8,387,39,266,27,114,22,389,5,1891,507,71,5,266,27,132,6,55,7,180,3,1263,464,37,7,196,27,119,3,45,5,131,8,1048,343,21,3,100,16,40,4,20,4,57,0,611,910,38,4,296,44,190,8,56
CED208,0,0,0,0,0,0,0,0,3,293,3,306,5,4,0,0,0,0,0,3,5,121,5,148,0,0,0,0,0,0,0,13,8,58,0,81,0,0,0,0,0,0,0,11,0,44,0,62,0,3,0,3,0,8,0,29,8,308,4,367,0,8,0,9,0,12,0,61,9,121,3,224,9,21,0,7,4,35,4,89,18,1234,16,1443,12,61,3,10,0,82,9,111,8,455,3,760,12,95,4,52,9,122,19,115,26,314,8,768,53,129,15,156,21,144,32,114,26,303,10,992,48,83,3,194,12,138,21,72,9,101,3,695,110,94,3,215,35,145,15,45,11,107,0,772,638,153,11,603,68,228,35,91,11,96,0,1937,816,73,18,444,53,119,14,56,9,63,0,1676,777,41,9,333,34,74,16,28,6,35,5,1356,727,24,9,164,32,30,0,13,0,18,0,1018,1520,46,18,323,59,149,18,31
CED209,6,7,0,0,0,6,0,7,6,313,6,334,0,0,0,0,0,0,0,13,3,146,3,168,0,0,0,0,0,0,0,21,6,63,0,98,0,0,0,0,0,4,0,16,0,64,0,85,3,13,0,4,0,11,0,46,6,375,7,463,3,13,7,6,3,15,3,67,9,231,0,350,0,37,4,19,4,28,4,133,18,1582,25,1844,12,59,8,22,3,61,12,174,26,1055,5,1430,13,93,3,51,5,117,8,199,31,1116,9,1643,38,149,6,170,17,141,23,193,30,993,8,1772,47,84,3,179,26,128,20,115,13,264,4,895,102,87,12,211,25,102,17,90,14,330,0,993,558,153,19,583,65,233,28,126,37,325,9,2126,644,100,20,438,62,82,33,66,17,146,0,1613,496,49,15,278,47,83,10,31,9,98,3,1122,367,34,5,144,31,31,5,28,0,30,0,670,643,74,8,276,58,181,17,73
CED210,6,0,0,0,0,0,0,0,0,232,9,249,0,0,0,0,0,0,0,9,4,90,3,104,0,0,0,0,0,0,0,13,0,53,0,76,0,0,0,0,0,4,0,17,0,39,0,62,0,8,0,3,0,3,4,33,3,308,8,378,3,7,0,4,0,18,0,57,9,177,0,282,0,19,3,7,0,30,3,155,15,1480,24,1746,4,46,6,15,0,71,4,186,37,800,7,1177,8,104,7,59,4,166,8,177,36,744,9,1328,62,131,10,203,22,206,21,158,24,674,7,1517,64,74,4,236,27,158,12,85,19,194,3,867,157,67,11,270,23,138,12,81,17,203,0,980,632,130,11,531,58,256,28,89,27,210,6,1975,652,67,13,386,64,82,16,50,10,121,3,1458,511,32,5,276,31,79,15,31,3,62,3,1047,367,21,16,126,25,32,4,14,5,34,0,634,691,42,9,267,46,148,10,42
