CED_CODE_2021,M_0_cond_0_14,M_0_cond_15_24,M_0_cond_25_34,M_0_cond_35_44,M_0_cond_45_54,M_0_cond_55_64,M_0_cond_65_74,M_0_cond_75_84,M_0_cond_85_over,M_0_cond_Tot,M_1_cond_0_14,M_1_cond_15_24,M_1_cond_25_34,M_1_cond_35_44,M_1_cond_45_54,M_1_cond_55_64,M_1_cond_65_74,M_1_cond_75_84,M_1_cond_85_over,M_1_cond_Tot,M_2_cond_0_14,M_2_cond_15_24,M_2_cond_25_34,M_2_cond_35_44,M_2_cond_45_54,M_2_cond_55_64,M_2_cond_65_74,M_2_cond_75_84,M_2_cond_85_over,M_2_cond_Tot,M_3_or_mo_cond_0_14,M_3_or_mo_cond_15_24,M_3_or_mo_cond_25_34,M_3_or_mo_cond_35_44,M_3_or_mo_cond_45_54,M_3_or_mo_cond_55_64,M_3_or_mo_cond_65_74,M_3_or_mo_cond_75_84,M_3_or_mo_cond_85_over,M_3_or_mo_cond_Tot,M_1m_cond_Tot_0_14,M_1m_cond_Tot_15_24,M_1m_cond_Tot_25_34,M_1m_cond_Tot_35_44,M_1m_cond_Tot_45_54,M_1m_cond_Tot_55_64,M_1m_cond_Tot_65_74,M_1m_cond_Tot_75_84,M_1m_cond_Tot_85_over,M_1m_cond_Tot_Tot,M_cond_NS_0_14,M_cond_NS_15_24,M_cond_NS_25_34,M_cond_NS_35_44,M_cond_NS_45_54,M_cond_NS_55_64,M_cond_NS_65_74,M_cond_NS_75_84,M_cond_NS_85_over,M_cond_NS_Tot,M_Tot_0_14,M_Tot_15_24,M_Tot_25_34,M_Tot_35_44,M_Tot_45_54,M_Tot_55_64,M_Tot_65_74,M_Tot_75_84,M_Tot_85_over,M_Tot_Tot,F_0_cond_0_14,F_0_cond_15_24,F_0_cond_25_34,F_0_cond_35_44,F_0_cond_45_54,F_0_cond_55_64,F_0_cond_65_74,F_0_cond_75_84,F_0_cond_85_over,F_0_cond_Tot,F_1_cond_0_14,F_1_cond_15_24,F_1_cond_25_34,F_1_cond_35_44,F_1_cond_45_54,F_1_cond_55_64,F_1_cond_65_74,F_1_cond_75_84,F_1_cond_85_over,F_1_cond_Tot,F_2_cond_0_14,F_2_cond_15_24,F_2_cond_25_34,F_2_cond_35_44,F_2_cond_45_54,F_2_cond_55_64,F_2_cond_65_74,F_2_cond_75_84,F_2_cond_85_over,F_2_cond_Tot,F_3_or_mo_cond_0_14,F_3_or_mo_cond_15_24,F_3_or_mo_cond_25_34,F_3_or_mo_cond_35_44,F_3_or_mo_cond_45_54,F_3_or_mo_cond_55_64,F_3_or_mo_cond_65_74,F_3_or_mo_cond_75_84,F_3_or_mo_cond_85_over,F_3_or_mo_cond_Tot,F_1m_cond_Tot_0_14,F_1m_cond_Tot_15_24,F_1m_cond_Tot_25_34,F_1m_cond_Tot_35_44,F_1m_cond_Tot_45_54,F_1m_cond_Tot_55_64,F_1m_cond_Tot_65_74,F_1m_cond_Tot_75_84,F_1m_cond_Tot_85_over,F_1m_cond_Tot_Tot,F_cond_NS_0_14,F_cond_NS_15_24,F_cond_NS_25_34,F_cond_NS_35_44,F_cond_NS_45_54,F_cond_NS_55_64,F_cond_NS_65_74,F_cond_NS_75_84,F_cond_NS_85_over,F_cond_NS_Tot,F_Tot_0_14,F_Tot_15_24,F_Tot_25_34,F_Tot_35_44,F_Tot_45_54,F_Tot_55_64,F_Tot_65_74,F_Tot_75_84,F_Tot_85_over,F_Tot_Tot,P_0_cond_0_14,P_0_cond_15_24,P_0_cond_25_34,P_0_cond_35_44,P_0_cond_45_54,P_0_cond_55_64,P_0_cond_65_74,P_0_cond_75_84,P_0_cond_85_over,P_0_cond_Tot,P_1_cond_0_14,P_1_cond_15_24,P_1_cond_25_34,P_1_cond_35_44,P_1_cond_45_54,P_1_cond_55_64,P_1_cond_65_74,P_1_cond_75_84,P_1_cond_85_over,P_1_cond_Tot,P_2_cond_0_14,P_2_cond_15_24,P_2_cond_25_34,P_2_cond_35_44,P_2_cond_45_54,P_2_cond_55_64,P_2_cond_65_74,P_2_cond_75_84,P_2_cond_85_over,P_2_cond_Tot,P_3_or_mo_cond_0_14,P_3_or_mo_cond_15_24,P_3_or_mo_cond_25_34,P_3_or_mo_cond_35_44,P_3_or_mo_cond_45_54,P_3_or_mo_cond_55_64,P_3_or_mo_cond_65_74,P_3_or_mo_cond_75_84,P_3_or_mo_cond_85_over,P_3_or_mo_cond_Tot,P_1m_cond_Tot_0_14,P_1m_cond_Tot_15_24,P_1m_cond_Tot_25_34,P_1m_cond_Tot_35_44,P_1m_cond_Tot_45_54,P_1m_cond_Tot_55_64,P_1m_cond_Tot_65_74,P_1m_cond_Tot_75_84,P_1m_cond_Tot_85_over,P_1m_cond_Tot_Tot,P_cond_NS_0_14,P_cond_NS_15_24,P_cond_NS_25_34,P_cond_NS_35_44,P_cond_NS_45_54,P_cond_NS_55_64,P_cond_NS_65_74,P_cond_NS_75_84,P_cond_NS_85_over,P_cond_NS_Tot
CED201,11805,7731,7579,8155,6997,5661,3208,1185,289,52607,1380,1413,1546,1789,2110,2572,2340,1287,385,14814,80,141,233,309,461,722,1022,755,301,4027,4,8,24,55,137,318,598,591,241,1978,1460,1560,1807,2152,2710,3615,3960,2627,925,20818,802,588,648,571,648,563,342,239,119,4513,14064,9877,10030,10879,10352,9838,7519,4047,1333,77940,11292,6528,7067,8139,7354,5964,3557,1301,429,51621,933,1719,2048,2130,2328,2792,2670,1614,647,16871,51,295,482,475,679,967,1198,999,483,5645,3,12,61,99,273,412,631,628,479,2594,987,2030,2594,2701,3279,4170,4499,3246,1611,25111,775,543,534,562,566,556,424,303,165,4431,13053,9102,10190,11402,11196,10687,8477,4851,2203,81164,23095,14262,14641,16286,14351,11622,6764,2483,717,104233,2311,3132,3592,3914,4440,5361,5014,2895,1027,31692,131,440,721,781,1148,1688,2222,1754,786,9672,7,21,80,146,408,735,1227,1225,717,4575,2451,3592,4397,4853,5992,7790,8461,5871,2537,45930,1575,1127,1184,1141,1208,1113,770,541,281,8944
CED202,11146,6302,6356,5780,5638,4736,3085,1091,253,44385,1810,1627,1867,1854,2164,2428,2558,1248,368,15933,142,212,338,411,567,901,1241,839,287,4944,3,26,51,110,216,506,827,680,259,2669,1959,1867,2262,2376,2945,3833,4624,2771,906,23547,1299,810,738,656,878,761,621,338,143,6245,14405,8980,9358,8812,9467,9326,8333,4196,1302,74181,10925,5478,5549,5729,5621,4947,3294,1230,393,43161,1387,2024,2442,2408,2443,2679,2736,1538,712,18360,113,449,706,719,889,1172,1472,946,498,6967,3,34,102,200,442,697,922,699,414,3509,1502,2504,3249,3333,3773,4551,5129,3180,1621,28835,1207,772,727,685,762,679,617,373,230,6066,13631,8760,9530,9741,10156,10173,9040,4783,2237,78063,22073,11778,11908,11505,11258,9683,6380,2319,646,87551,3197,3649,4314,4260,4610,5102,5292,2786,1079,34295,256,668,1045,1135,1459,2071,2710,1785,782,11916,4,61,148,309,646,1204,1748,1375,672,6178,3459,4378,5506,5707,6719,8380,9754,5948,2532,52380,2503,1583,1472,1340,1644,1438,1244,713,368,12312
CED203,11090,5976,5919,5605,5572,4682,3287,1217,287,43644,1634,1474,1711,1810,1961,2523,2789,1481,413,15802,117,189,286,362,554,941,1288,870,352,4959,9,20,44,79,212,480,835,768,327,2779,1761,1681,2042,2259,2734,3944,4905,3129,1094,23543,1289,822,985,862,928,881,682,415,213,7085,14139,8475,8944,8722,9235,9512,8881,4757,1597,74267,10789,5219,5567,5665,5501,4893,3408,1267,416,42725,1192,1927,2366,2275,2382,2896,2958,1702,694,18382,79,416,664,653,850,1278,1520,1000,518,6965,4,32,87,179,373,724,936,815,461,3605,1277,2374,3119,3108,3600,4891,5415,3511,1669,28964,1237,723,744,757,784,822,654,509,379,6603,13304,8313,9431,9522,9882,10611,9476,5283,2462,78286,21886,11195,11493,11269,11068,9580,6696,2482,701,86364,2824,3403,4074,4087,4346,5422,5742,3185,1105,34182,199,606,946,1014,1399,2218,2805,1868,866,11929,16,52,136,262,584,1205,1770,1581,788,6392,3037,4052,5158,5365,6338,8837,10322,6636,2761,52501,2525,1542,1734,1616,1712,1704,1336,928,593,13685
CED204,14309,9552,10763,9415,7609,5754,3012,1117,275,61795,1497,1428,1496,1790,2238,2695,2245,1134,333,14850,78,136,221,305,485,852,1028,724,253,4087,0,10,38,82,166,429,637,553,243,2165,1576,1568,1762,2179,2889,3975,3905,2413,829,21101,1428,1087,1306,1045,913,751,511,284,112,7445,17313,12214,13825,12645,11413,10483,7428,3811,1206,90343,13812,8299,9293,8891,7015,5571,3098,1163,352,57501,988,1644,1874,1988,2545,2900,2398,1319,580,16241,51,270,385,424,758,1067,1121,835,445,5352,0,24,59,128,308,553,719,625,434,2858,1044,1938,2315,2536,3603,4523,4243,2781,1459,24451,1347,851,1047,931,899,738,562,295,188,6853,16198,11093,12655,12359,11519,10833,7902,4243,2004,88799,28118,17852,20051,18312,14624,11325,6110,2276,627,119296,2488,3072,3369,3780,4781,5596,4642,2454,912,31092,129,402,608,728,1244,1924,2148,1561,698,9439,3,38,100,209,471,983,1355,1180,679,5023,2618,3505,4075,4716,6501,8502,8147,5196,2289,45547,2777,1943,2354,1977,1811,1493,1069,579,299,14297
CED205,19277,10417,12748,11598,6924,4594,1911,622,119,68209,1731,1354,1549,1870,1996,2378,1530,738,168,13311,81,112,199,286,473,844,803,425,120,3347,4,5,36,68,170,465,532,364,118,1769,1817,1469,1782,2221,2639,3686,2868,1534,411,18437,2023,1182,1414,1262,933,707,343,189,55,8108,23115,13078,15946,15078,10505,8984,5122,2339,580,94756,18632,9488,12623,10797,6621,4277,1904,591,136,65072,1045,1551,1943,2080,2316,2361,1704,845,261,14108,51,257,409,474,772,1043,877,529,213,4629,7,19,71,114,373,559,644,439,202,2427,1103,1828,2424,2669,3460,3965,3225,1817,671,21162,1838,980,1249,1180,867,689,401,203,90,7499,21573,12294,16294,14649,10941,8934,5535,2609,901,93729,37907,19909,25366,22394,13545,8865,3811,1217,258,133280,2776,2901,3487,3953,4316,4734,3243,1583,429,27422,136,371,606,758,1250,1885,1681,953,328,7981,12,27,102,181,542,1028,1175,808,321,4200,2916,3300,4202,4892,6101,7649,6096,3343,1088,39600,3863,2162,2669,2444,1802,1398,746,391,141,15612
CED206,12468,7005,6901,6913,6954,5471,3142,1176,242,50272,1555,1524,1673,2006,2211,2567,2428,1338,325,15633,97,181,256,327,467,796,1146,793,236,4306,8,19,26,51,151,383,647,593,210,2083,1653,1724,1957,2385,2828,3754,4222,2726,769,22015,1130,790,683,662,807,727,480,262,81,5618,15251,9520,9543,9954,10587,9948,7844,4168,1095,77906,11779,5924,6302,6784,6633,5394,3386,1257,316,47768,1168,1945,2241,2452,2632,2894,2733,1473,535,18065,96,286,506,584,874,1042,1313,841,352,5883,4,11,77,141,264,515,698,611,281,2612,1264,2246,2827,3174,3764,4452,4748,2924,1158,26560,991,635,603,649,723,689,516,274,126,5206,14039,8801,9727,10610,11120,10537,8648,4451,1599,79535,24252,12930,13196,13695,13589,10866,6535,2433,553,98046,2720,3467,3917,4453,4842,5461,5160,2811,858,33692,190,471,769,909,1339,1842,2457,1628,580,10185,13,31,102,196,415,902,1347,1205,490,4694,2920,3966,4788,5558,6597,8204,8967,5649,1932,48572,2117,1420,1292,1311,1525,1420,996,539,204,10827
CED207,12530,11381,11102,9378,8238,6048,3575,1799,636,64693,1093,1599,1411,1449,1868,2170,2187,1846,799,14417,32,145,199,200,350,599,907,948,492,3870,3,7,17,46,79,197,408,606,471,1833,1124,1753,1629,1694,2298,2965,3501,3402,1758,20120,709,921,1010,676,601,499,375,302,185,5285,14367,14054,13741,11753,11141,9511,7450,5505,2583,90099,12238,9725,9679,10127,8964,6566,4250,2245,755,64540,756,1934,1564,1481,2102,2315,2677,2353,1210,16391,35,281,259,278,461,671,976,1216,827,4994,0,18,24,37,146,243,493,808,721,2483,793,2239,1846,1797,2704,3224,4140,4376,2761,23866,652,775,794,580,630,547,469,380,312,5150,13688,12740,12312,12505,12293,10334,8859,6996,3826,93552,24775,21104,20771,19508,17204,12612,7829,4042,1389,129237,1846,3538,2971,2930,3972,4479,4862,4195,2013,30805,66,425,464,476,806,1269,1880,2161,1317,8865,0,27,45,79,221,438,900,1413,1192,4311,1920,3983,3470,3486,5003,6188,7645,7772,4518,43991,1369,1695,1807,1261,1230,1051,843,682,494,10430
CED208,10323,6524,10617,8931,7127,4471,2198,1013,345,51550,1013,1202,2490,2239,2060,1939,1569,1061,513,14076,44,145,368,384,437,595,633,568,267,3442,0,8,41,49,147,247,410,447,285,1645,1060,1353,2900,2673,2643,2776,2610,2075,1061,19162,806,663,988,778,733,534,358,246,172,5286,12193,8545,14509,12381,10504,7781,5166,3340,1582,75990,9978,5723,9932,8756,7150,4639,2357,1126,474,50125,727,1722,3647,2697,2338,2095,1873,1464,813,17370,35,326,750,625,568,805,823,822,501,5254,0,17,55,101,191,386,504,602,435,2299,767,2062,4451,3418,3105,3279,3205,2890,1749,24923,743,597,925,752,767,498,393,293,262,5242,11487,8389,15305,12931,11015,8417,5953,4310,2486,80287,20297,12250,20545,17684,14275,9104,4556,2135,817,101675,1743,2922,6137,4935,4394,4028,3444,2526,1317,31444,81,474,1119,1014,1007,1395,1455,1388,769,8698,6,20,98,145,337,633,919,1054,725,3938,1827,3421,7350,6093,5742,6056,5816,4970,2811,44083,1555,1257,1919,1530,1501,1035,749,543,438,10522
CED209,12190,6446,6626,6651,5841,4575,3659,1325,339,47653,1654,1384,1492,1834,1867,2147,2612,1498,422,14908,94,151,238,292,424,695,1195,828,285,4203,3,3,17,59,117,291,689,623,281,2086,1752,1539,1746,2179,2411,3135,4496,2948,988,21190,992,660,613,625,637,589,609,362,159,5243,14933,8646,8983,9459,8885,8305,8765,4636,1477,74092,11776,5443,6222,6904,6043,5147,4056,1479,429,47499,1106,1905,2064,2261,2148,2612,2853,1651,688,17291,82,333,451,518,616,901,1330,974,494,5703,5,24,53,117,224,438,717,636,510,2713,1188,2255,2573,2892,2992,3952,4902,3262,1686,25705,1050,650,543,667,611,622,651,426,244,5465,14012,8353,9334,10463,9645,9722,9605,5172,2362,78661,23972,11889,12842,13560,11881,9722,7716,2799,763,95152,2763,3289,3556,4091,4017,4764,5464,3150,1110,32197,176,483,693,809,1045,1595,2530,1805,777,9904,8,29,70,171,333,729,1406,1257,790,4794,2939,3797,4317,5071,5395,7092,9393,6211,2677,46897,2039,1306,1156,1288,1247,1216,1263,792,397,10705
CED210,11187,7124,8492,6630,6045,4754,2906,1215,335,48667,1610,1639,1916,1853,2032,2325,2247,1238,429,15278,113,227,322,349,519,834,1078,742,290,4467,5,13,33,79,217,452,696,563,284,2346,1722,1882,2272,2283,2777,3602,4023,2543,994,22095,1196,979,1311,1121,944,773,499,272,118,7211,14106,9976,12069,10028,9760,9128,7424,4026,1443,77971,11001,6168,7511,6587,6070,5026,3274,1394,423,47459,1259,2096,2647,2371,2381,2532,2535,1618,701,18140,77,405,674,651,828,1035,1232,943,468,6321,3,25,80,144,360,642,870,779,547,3443,1339,2527,3400,3169,3574,4212,4639,3337,1714,27909,1123,782,802,728,721,615,580,349,195,5904,13461,9482,11713,10485,10375,9860,8487,5086,2330,81268,22188,13295,15996,13214,12110,9782,6180,2604,758,96128,2870,3732,4559,4222,4417,4858,4785,2852,1129,33419,189,630,997,1002,1346,1865,2311,1690,757,10792,9,41,117,223,582,1093,1566,1342,824,5795,3062,4402,5672,5447,6347,7815,8659,5882,2709,49998,2319,1761,2110,1848,1667,1387,1074,627,310,13111
