CED_CODE_2021,One_method_Train_M,One_method_Train_F,One_method_Train_P,One_method_Bus_M,One_method_Bus_F,One_method_Bus_P,One_method_Ferry_M,One_method_Ferry_F,One_method_Ferry_P,One_met_Tram_or_lt_rail_M,One_met_Tram_or_lt_rail_F,One_met_Tram_or_lt_rail_P,One_met_Taxi_or_Rideshare_M,One_met_Taxi_or_Rideshare_F,One_met_Taxi_or_Rideshare_P,One_method_Car_as_driver_M,One_method_Car_as_driver_F,One_method_Car_as_driver_P,One_method_Car_as_passenger_M,One_method_Car_as_passenger_F,One_method_Car_as_passenger_P,One_method_Truck_M,One_method_Truck_F,One_method_Truck_P,One_method_Motorbike_scootr_M,One_method_Motorbike_scootr_F,One_method_Motorbike_scootr_P,One_method_Bicycle_M,One_method_Bicycle_F,One_method_Bicycle_P,One_method_Other_M,One_method_Other_F,One_method_Other_P,One_method_Walked_only_M,One_method_Walked_only_F,One_method_Walked_only_P,One_method_Tot_one_method_M,One_method_Tot_one_method_F,One_method_Tot_one_method_P,Two_methods_Train_Bus_M,Two_methods_Train_Bus_F,Two_methods_Train_Bus_P,Two_methods_Train_Ferry_M,Two_methods_Train_Ferry_F,Two_methods_Train_Ferry_P,Two_mt_trn_Trm_or_lt_rail_M,Two_mt_trn_Trm_or_lt_rail_F,Two_mt_trn_Trm_or_lt_rail_P,Two_methods_Trn_Car_as_drvr_M,Two_methods_Trn_Car_as_drvr_F,Two_methods_Trn_Car_as_drvr_P,Two_methods_Trn_Car_as_pass_M,Two_methods_Trn_Car_as_pass_F,Two_methods_Trn_Car_as_pass_P,Two_methods_Train_Other_M,Two_methods_Train_Other_F,Two_methods_Train_Other_P,Two_methods_Train_Tot_M,Two_methods_Train_Tot_F,Two_methods_Train_Tot_P,Two_methods_Bus_Ferry_M,Two_methods_Bus_Ferry_F,Two_methods_Bus_Ferry_P,Two_mth_Bu_Trm_or_lt_rail_M,Two_mth_Bu_Trm_or_lt_rail_F,Two_mth_Bu_Trm_or_lt_rail_P,Two_methods_Bus_Car_as_drvr_M,Two_methods_Bus_Car_as_drvr_F,Two_methods_Bus_Car_as_drvr_P,Two_methods_Bus_Car_as_pass_M,Two_methods_Bus_Car_as_pass_F,Two_methods_Bus_Car_as_pass_P,Two_methods_Bus_Other_M,Two_methods_Bus_Other_F,Two_methods_Bus_Other_P,Two_methods_Bus_Tot_M,Two_methods_Bus_Tot_F,Two_methods_Bus_Tot_P,Two_methds_Othr_two_methds_M,Two_methds_Othr_two_methds_F,Two_methds_Othr_two_methds_P,Two_methods_Tot_two_methods_M,Two_methods_Tot_two_methods_F,Two_methods_Tot_two_methods_P,Three_meth_Tr_2_oth_meth_M,Three_meth_Tr_2_oth_meth_F,Three_meth_Tr_2_oth_meth_P,Three_met_Bs_2_ot_met_ex_tr_M,Three_met_Bs_2_ot_met_ex_tr_F,Three_met_Bs_2_ot_met_ex_tr_P,Three_meth_Othr_three_meth_M,Three_meth_Othr_three_meth_F,Three_meth_Othr_three_meth_P,Three_meth_Tot_three_meth_M,Three_meth_Tot_three_meth_F,Three_meth_Tot_three_meth_P,Worked_home_M,Worked_home_F,Worked_home_P,Did_not_go_to_work_M,Did_not_go_to_work_F,Did_not_go_to_work_P,Method_travel_to_work_ns_M,Method_travel_to_work_ns_F,Method_travel_to_work_ns_P,Tot_M,Tot_F,Tot_P
CED201,514,361,875,230,255,487,6,7,12,0,6,7,62,56,111,25176,19201,44377,1204,1577,2776,356,9,360,142,10,150,179,34,211,164,113,282,287,327,613,28312,21964,50268,95,93,190,0,0,0,13,25,41,196,110,308,20,32,51,16,10,24,349,267,615,3,0,7,9,5,7,20,12,26,30,39,71,11,13,26,70,64,132,226,125,350,638,457,1097,61,86,142,11,6,12,14,7,20,83,92,178,9678,10905,20582,3232,5942,9174,128,102,231,42071,39450,81521
CED202,121,55,173,131,183,316,12,0,15,4,3,8,91,92,179,23278,19711,42991,1511,1656,3160,427,14,438,106,13,116,268,70,340,154,65,224,882,841,1726,26980,22708,49687,4,10,17,0,0,0,10,10,21,48,19,73,5,3,7,16,0,13,90,47,133,0,0,0,0,0,0,8,3,14,13,30,45,6,16,29,30,53,82,240,129,372,361,229,592,29,20,47,7,10,11,21,3,21,48,35,85,5397,6461,11861,3026,5322,8348,210,195,405,36021,34948,70971
CED203,105,75,181,178,203,377,15,3,20,4,9,14,37,39,79,22886,19791,42677,1455,1630,3092,457,8,461,147,15,164,313,140,446,139,72,210,921,870,1793,26642,22858,49508,4,12,17,0,0,0,8,0,8,26,8,36,8,7,18,25,3,31,73,37,108,0,0,0,0,0,0,11,3,19,23,36,56,8,12,17,43,51,94,194,124,314,309,214,522,13,15,26,7,3,14,11,4,13,35,27,57,4878,6321,11201,3011,5297,8309,222,179,393,35094,34890,69986
CED204,595,469,1057,329,411,738,5,6,11,0,0,0,108,101,211,29923,18539,48461,1556,2069,3621,605,14,619,121,18,135,101,11,114,279,156,435,244,297,538,33851,22083,55933,155,215,374,0,0,0,18,17,40,182,107,286,26,38,67,14,15,31,396,401,800,0,0,0,0,0,0,26,24,50,29,60,89,16,18,32,74,106,175,278,136,415,744,645,1386,110,140,254,11,11,25,12,5,14,139,153,292,6670,8279,14949,2976,4923,7898,227,162,391,44601,36242,80845
CED205,827,745,1569,200,256,454,11,6,19,0,13,13,181,71,252,28755,17279,46034,1495,1824,3319,688,8,690,93,0,102,77,12,86,288,135,423,189,239,428,32813,20583,53401,170,277,446,0,0,0,31,52,84,197,129,324,40,68,98,26,14,40,461,543,1002,0,0,0,5,0,4,23,11,34,26,39,64,9,18,30,65,66,133,310,170,479,830,778,1610,150,232,378,10,15,26,6,3,13,164,253,417,5467,7151,12621,2891,4361,7254,275,169,445,42439,33301,75741
CED206,319,238,557,149,121,270,20,10,23,0,0,5,27,25,52,25625,18976,44602,1379,1221,2602,722,14,736,148,17,167,113,12,126,161,89,254,556,482,1036,29226,21206,50428,108,91,199,0,0,0,10,5,15,126,76,201,21,21,38,16,3,15,269,201,475,3,0,3,0,0,0,11,9,25,32,19,52,0,3,3,50,28,80,248,90,340,577,322,898,57,45,102,0,10,11,11,5,10,65,64,130,7841,10299,18142,3743,6972,10716,171,128,303,41625,38996,80620
CED207,1137,911,2045,390,591,978,6,6,12,120,137,257,79,106,187,21409,15942,37356,1012,1770,2781,213,3,220,152,20,169,236,66,301,234,132,366,714,805,1518,25701,20489,46188,253,271,528,0,0,0,84,95,180,220,135,355,25,48,73,36,19,61,626,573,1201,0,0,0,36,53,93,29,24,49,24,75,99,14,14,30,108,167,274,239,193,428,975,929,1904,191,221,410,18,35,52,11,8,24,223,266,486,14666,14170,28832,3703,5751,9456,203,134,330,45469,41735,87202
CED208,1152,1144,2289,261,384,648,10,4,8,472,664,1138,78,115,191,17491,12610,30101,716,1160,1871,253,5,259,255,35,292,1260,752,2008,198,135,325,624,790,1418,22761,17800,40553,170,192,362,0,0,0,130,165,293,99,78,174,25,46,69,68,59,123,490,541,1030,0,0,0,80,113,195,4,11,15,9,27,40,18,12,27,111,162,277,259,209,465,862,912,1769,173,178,355,20,16,40,27,17,44,220,215,431,13623,16572,30196,3816,6187,10000,170,132,296,41446,41811,83259
CED209,147,80,227,160,211,373,19,0,22,6,6,14,38,38,74,23455,19378,42835,1178,1350,2530,399,6,407,84,14,98,220,84,305,147,92,239,537,556,1097,26393,21824,48216,7,6,15,0,0,0,6,8,12,70,34,105,5,3,12,14,4,14,113,56,167,0,0,0,0,0,0,10,19,26,6,27,36,10,9,17,30,55,80,210,118,327,347,229,576,42,16,62,7,8,20,13,3,15,58,27,91,6861,8625,15487,3336,5964,9307,176,152,330,37176,36829,73999
CED210,315,199,513,260,443,706,14,4,18,3,0,5,116,112,227,24451,19613,44060,1496,1752,3251,298,9,306,163,23,187,453,154,606,160,93,253,829,1020,1845,28565,23417,51982,25,41,64,0,0,0,14,18,31,91,52,142,4,9,17,32,5,35,162,127,289,5,0,5,0,0,0,20,10,27,30,39,68,19,22,40,68,69,134,246,143,393,479,339,820,34,47,86,13,19,29,14,9,15,63,69,129,6212,7861,14071,3072,5543,8617,208,169,375,38591,37400,75988
