CED_CODE_2021,O_OR_DS_Sep_house,O_OR_DS_SemiD_ro_or_tce_h_th,O_OR_DS_Flat_apart,O_OR_DS_Oth_dwell,O_OR_DS_not_stated,O_OR_Total,O_MTG_DS_Sep_house,O_MTG_DS_SemiD_ro_or_tce_h_th,O_MTG_DS_Flat_apart,O_MTG_DS_Oth_dwell,O_MTG_DS_not_stated,O_MTG_Total,R_RE_Agt_DS_Sep_house,R_RE_Ag_DS_SemD_ro_or_tc_h_th,R_RE_Agt_DS_Flat_apart,R_RE_Agt_DS_Oth_dwell,R_RE_Agt_DS_not_stated,R_RE_Agt_Total,R_ST_h_auth_DS_Sep_house,R_ST_h_au_DS_SD_ro_or_tc_h_th,R_ST_h_auth_DS_Flat_apart,R_ST_h_auth_DS_Oth_dwell,R_ST_h_auth_DS_not_stated,R_ST_h_auth_Total,R_Com_Hp_DS_Sp_ho,R_Com_Hp_DS_SD_ro_t_h_t,R_Com_Hp_DS_Flt_apt,R_Com_Hp_DS_Ot_dwel,R_Com_Hp_DS_NS,R_Com_Hp_Total,R_Psn_not_in_s_hh_DS_Sep_hous,R_P_not_in_s_h_DS_SD_ro_t_h_t,R_P_not_in_s_hh_DS_Flat_apart,R_Psn_not_in_s_hh_DS_Oth_dwel,R_Psn_not_in_s_hh_DS_NS,R_Psn_not_in_s_hh_Total,R_Ot_landld_typ_DS_Sep_house,R_O_LLd_typ_DS_SD_ro_tc_h_th,R_Ot_LLd_typ_DS_Flat_apart,R_Ot_landld_typ_DS_Oth_dwell,R_Ot_landld_typ_DS_not_stated,R_Ot_landld_typ_Total,R_Landld_typ_NS_DS_Sep_house,R_Ld_typ_NS_DS_SD_ro_tce_h_th,R_LLd_typ_NS_DS_Flat_apart,R_Landld_typ_NS_DS_Oth_dwell,R_Landld_typ_NS_DS_not_stated,R_Landld_typ_NS_Total,R_Tot_DS_Sep_house,R_Tot_DS_SemiD_ro_or_tce_h_th,R_Tot_DS_Flat_apart,R_Tot_DS_Oth_dwell,R_Tot_DS_not_stated,R_Tot_Total,Oth_ten_type_DS_Sep_house,Oth_ten_ty_DS_SD_ro_tce_h_th,Oth_ten_type_DS_Flat_apart,Oth_ten_type_DS_Oth_dwell,Oth_ten_type_DS_not_stated,Oth_ten_type_Total,Ten_type_NS_DS_Sep_house,Ten_ty_NS_DS_SD_ro_tce_h_t,Ten_ty_NS_DS_Flat_apart,Ten_type_NS_DS_Oth_dwell,Ten_type_NS_DS_not_stated,Ten_type_NS_Total,Total_DS_Sep_house,Total_DS_SemiD_ro_or_tce_h_th,Total_DS_Flat_apart,Total_DS_Oth_dwell,Total_DS_not_stated,Total_Total
CED201,17438,1957,257,10,7,19667,20687,2426,432,8,7,23561,6701,1949,429,15,0,9103,506,257,153,0,0,925,63,85,92,0,3,249,1378,267,87,6,3,1743,85,51,4,0,0,139,34,18,4,0,0,54,8771,2629,769,24,13,12210,465,777,42,6,5,1291,496,163,29,0,3,693,47854,7959,1531,47,37,57422
CED202,19298,1232,221,103,22,20883,19786,825,103,32,23,20766,7908,2101,606,16,21,10653,893,487,103,0,3,1482,155,174,41,0,3,375,2241,347,93,18,13,2710,207,38,13,33,5,294,59,23,0,0,0,86,11461,3173,848,73,40,15607,734,165,29,9,4,946,670,132,25,9,3,837,51946,5537,1234,226,101,59035
CED203,20946,737,61,124,36,21905,20508,423,51,50,26,21058,7245,1538,167,35,10,8991,976,514,83,0,0,1578,263,144,24,0,0,426,2750,276,40,25,18,3107,232,21,8,21,6,288,58,13,3,0,0,78,11533,2507,320,80,38,14477,723,56,8,13,0,799,709,83,15,7,4,823,54416,3804,456,279,109,59059
CED204,15522,1529,244,10,8,17312,20468,2264,446,4,6,23189,7685,2474,1200,15,15,11397,951,551,121,0,0,1623,63,73,71,0,4,206,1775,391,134,0,13,2312,361,95,34,75,7,564,74,18,15,0,0,113,10909,3604,1568,99,36,16217,461,183,38,0,5,678,762,180,80,5,7,1033,48108,7758,2378,117,57,58429
CED205,11034,597,140,6,7,11781,25306,1676,254,0,12,27254,7487,1875,411,0,14,9796,937,240,176,0,3,1349,101,36,49,0,0,185,1923,278,87,6,6,2302,618,98,32,93,0,852,97,16,5,5,5,119,11166,2536,759,109,35,14604,532,107,17,0,0,661,915,126,27,7,5,1079,48957,5039,1208,115,58,55380
CED206,18709,852,89,115,21,19781,26386,694,64,12,21,27180,4296,714,48,8,11,5079,264,155,10,0,0,421,85,39,18,0,0,146,1716,136,17,5,10,1876,161,11,4,62,3,244,33,9,4,0,0,47,6556,1058,96,75,27,7820,586,263,60,9,5,914,557,45,7,3,4,620,52796,2919,313,216,71,56307
CED207,19614,2625,2118,4,9,24372,14088,2748,2490,0,5,19333,6894,2848,4523,13,18,14295,483,319,376,0,0,1180,77,74,247,0,0,402,1711,521,615,7,4,2857,219,82,149,0,3,447,31,23,38,0,0,97,9407,3873,5942,24,28,19281,645,683,654,0,3,1986,492,145,186,0,3,833,44246,10072,11399,28,47,65793
CED208,14671,2750,865,46,8,18334,11521,4832,2251,61,3,18665,5697,6649,5104,163,15,17627,666,998,615,3,0,2285,112,126,135,0,0,371,1514,907,534,54,4,3009,184,88,58,15,0,347,33,47,22,0,0,107,8203,8802,6473,240,24,23745,453,292,103,9,3,860,499,247,107,9,9,874,35348,16920,9802,356,45,62474
CED209,19078,1101,95,106,23,20404,21057,649,31,9,12,21765,7360,959,84,14,10,8421,193,114,0,0,0,310,93,54,0,0,0,145,1850,202,24,7,9,2095,165,32,3,62,3,261,42,7,0,4,0,47,9695,1373,117,85,17,11288,908,433,8,7,3,1364,612,103,9,10,3,735,51352,3656,260,215,70,55553
CED210,18184,1606,386,128,10,20320,18498,1207,326,16,18,20071,9134,3121,1234,34,28,13544,1396,776,109,0,0,2279,245,299,76,5,9,630,2181,560,158,20,13,2929,226,82,23,113,7,453,71,42,8,0,0,125,13254,4880,1608,172,55,19962,550,135,21,46,0,758,687,142,44,8,0,881,51184,7973,2382,367,88,61989
