CED_CODE_2021,M_Ptn_in_RM_0_14,M_Ptn_in_RM_15_24,M_Ptn_in_RM_25_34,M_Ptn_in_RM_35_44,M_Ptn_in_RM_45_54,M_Ptn_in_RM_55_64,M_Ptn_in_RM_65_74,M_Ptn_in_RM_75_84,M_Ptn_in_RM_85ov,M_Ptn_in_RM_Tot,M_Ptn_in_DFM_0_14,M_Ptn_in_DFM_15_24,M_Ptn_in_DFM_25_34,M_Ptn_in_DFM_35_44,M_Ptn_in_DFM_45_54,M_Ptn_in_DFM_55_64,M_Ptn_in_DFM_65_74,M_Ptn_in_DFM_75_84,M_Ptn_in_DFM_85ov,M_Ptn_in_DFM_Tot,M_LonePnt_0_14,M_LonePnt_15_24,M_LonePnt_25_34,M_LonePnt_35_44,M_LonePnt_45_54,M_LonePnt_55_64,M_LonePnt_65_74,M_LonePnt_75_84,M_LonePnt_85ov,M_LonePnt_Tot,M_CU15_0_14,M_CU15_15_24,M_CU15_25_34,M_CU15_35_44,M_CU15_45_54,M_CU15_55_64,M_CU15_65_74,M_CU15_75_84,M_CU15_85ov,M_CU15_Tot,M_DpStu_0_14,M_DpStu_15_24,M_DpStu_25_34,M_DpStu_35_44,M_DpStu_45_54,M_DpStu_55_64,M_DpStu_65_74,M_DpStu_75_84,M_DpStu_85ov,M_DpStu_Tot,M_NDpChl_0_14,M_NDpChl_15_24,M_NDpChl_25_34,M_NDpChl_35_44,M_NDpChl_45_54,M_NDpChl_55_64,M_NDpChl_65_74,M_NDpChl_75_84,M_NDpChl_85ov,M_NDpChl_Tot,M_OthRI_0_14,M_OthRI_15_24,M_OthRI_25_34,M_OthRI_35_44,M_OthRI_45_54,M_OthRI_55_64,M_OthRI_65_74,M_OthRI_75_84,M_OthRI_85ov,M_OthRI_Tot,M_URI_in_FH_0_14,M_URI_in_FH_15_24,M_URI_in_FH_25_34,M_URI_in_FH_35_44,M_URI_in_FH_45_54,M_URI_in_FH_55_64,M_URI_in_FH_65_74,M_URI_in_FH_75_84,M_URI_in_FH_85ov,M_URI_in_FH_Tot,M_GrpH_Mem_0_14,M_GrpH_Mem_15_24,M_GrpH_Mem_25_34,M_GrpH_Mem_35_44,M_GrpH_Mem_45_54,M_GrpH_Mem_55_64,M_GrpH_Mem_65_74,M_GrpH_Mem_75_84,M_GrpH_Mem_85ov,M_GrpH_Mem_Tot,M_LonePsn_0_14,M_LonePsn_15_24,M_LonePsn_25_34,M_LonePsn_35_44,M_LonePsn_45_54,M_LonePsn_55_64,M_LonePsn_65_74,M_LonePsn_75_84,M_LonePsn_85ov,M_LonePsn_Tot,M_Vis_within_Aus_0_14,M_Vis_within_Aus_15_24,M_Vis_within_Aus_25_34,M_Vis_within_Aus_35_44,M_Vis_within_Aus_45_54,M_Vis_within_Aus_55_64,M_Vis_within_Aus_65_74,M_Vis_within_Aus_75_84,M_Vis_within_Aus_85ov,M_Vis_within_Aus_Tot,M_Tot_0_14,M_Tot_15_24,M_Tot_25_34,M_Tot_35_44,M_Tot_45_54,M_Tot_55_64,M_Tot_65_74,M_Tot_75_84,M_Tot_85ov,M_Tot_Tot,F_Ptn_in_RM_0_14,F_Ptn_in_RM_15_24,F_Ptn_in_RM_25_34,F_Ptn_in_RM_35_44,F_Ptn_in_RM_45_54,F_Ptn_in_RM_55_64,F_Ptn_in_RM_65_74,F_Ptn_in_RM_75_84,F_Ptn_in_RM_85ov,F_Ptn_in_RM_Tot,F_Ptn_in_DFM_0_14,F_Ptn_in_DFM_15_24,F_Ptn_in_DFM_25_34,F_Ptn_in_DFM_35_44,F_Ptn_in_DFM_45_54,F_Ptn_in_DFM_55_64,F_Ptn_in_DFM_65_74,F_Ptn_in_DFM_75_84,F_Ptn_in_DFM_85ov,F_Ptn_in_DFM_Tot,F_LonePnt_0_14,F_LonePnt_15_24,F_LonePnt_25_34,F_LonePnt_35_44,F_LonePnt_45_54,F_LonePnt_55_64,F_LonePnt_65_74,F_LonePnt_75_84,F_LonePnt_85ov,F_LonePnt_Tot,F_CU15_0_14,F_CU15_15_24,F_CU15_25_34,F_CU15_35_44,F_CU15_45_54,F_CU15_55_64,F_CU15_65_74,F_CU15_75_84,F_CU15_85ov,F_CU15_Tot,F_DpStu_0_14,F_DpStu_15_24,F_DpStu_25_34,F_DpStu_35_44,F_DpStu_45_54,F_DpStu_55_64,F_DpStu_65_74,F_DpStu_75_84,F_DpStu_85ov,F_DpStu_Tot,F_NDpChl_0_14,F_NDpChl_15_24,F_NDpChl_25_34,F_NDpChl_35_44,F_NDpChl_45_54,F_NDpChl_55_64,F_NDpChl_65_74,F_NDpChl_75_84,F_NDpChl_85ov,F_NDpChl_Tot,F_OthRI_0_14,F_OthRI_15_24,F_OthRI_25_34,F_OthRI_35_44,F_OthRI_45_54,F_OthRI_55_64,F_OthRI_65_74,F_OthRI_75_84,F_OthRI_85ov,F_OthRI_Tot,F_URI_in_FH_0_14,F_URI_in_FH_15_24,F_URI_in_FH_25_34,F_URI_in_FH_35_44,F_URI_in_FH_45_54,F_URI_in_FH_55_64,F_URI_in_FH_65_74,F_URI_in_FH_75_84,F_URI_in_FH_85ov,F_URI_in_FH_Tot
CED201,..,40,2621,6919,6657,6766,5438,2746,584,31770,..,346,2018,1150,962,652,294,76,12,5518,..,7,48,218,409,338,139,86,47,1293,13570,..,..,..,..,..,..,..,..,13570,..,4821,..,..,..,..,..,..,..,4821,..,3350,2899,782,486,184,25,0,0,7715,..,337,340,171,158,184,165,89,51,1503,..,184,311,133,91,67,29,6,3,838,..,274,639,259,203,247,160,52,7,1844,..,93,607,748,919,976,816,580,302,5037,130,164,156,120,88,68,54,27,6,821,13701,9616,9640,10502,9982,9493,7110,3665,1025,74726,..,82,3607,7495,6943,6624,4844,2038,281,31919,..,498,2219,1146,919,566,213,63,10,5628,..,52,487,1109,1753,1135,497,316,162,5500,12575,..,..,..,..,..,..,..,..,12575,..,4944,..,..,..,..,..,..,..,4944,..,2281,1974,398,249,128,37,0,0,5063,..,269,266,97,120,375,471,324,206,2125,..,188,199,59,39,39,22,3,0,554
CED202,..,63,2184,4610,4972,5118,4858,2505,539,24846,..,661,2475,1426,1271,939,494,159,10,7435,..,22,131,269,436,262,145,64,43,1368,13453,..,..,..,..,..,..,..,..,13453,..,3065,..,..,..,..,..,..,..,3065,..,2795,1348,536,372,178,25,0,0,5250,..,309,245,98,121,170,150,66,34,1192,..,252,277,87,74,59,31,7,3,791,..,668,861,252,256,247,213,78,16,2588,..,233,991,840,1160,1522,1489,832,300,7362,159,216,234,138,133,130,99,39,15,1166,13609,8288,8753,8240,8793,8616,7506,3741,963,68513,..,139,2858,5101,5134,5135,4516,1906,269,25065,..,906,2535,1425,1214,849,379,93,4,7402,..,168,868,1412,1604,798,368,236,190,5641,12781,..,..,..,..,..,..,..,..,12781,..,3280,..,..,..,..,..,..,..,3280,..,1767,756,239,175,112,32,0,0,3083,..,223,168,60,88,223,295,164,87,1309,..,256,130,52,30,40,21,6,7,533
CED203,..,75,2116,4422,4680,5036,5122,2866,663,24981,..,576,2365,1428,1269,966,561,173,21,7363,..,17,116,260,430,280,131,66,55,1356,13266,..,..,..,..,..,..,..,..,13266,..,2993,..,..,..,..,..,..,..,2993,..,2793,1324,530,355,177,34,4,0,5214,..,335,259,102,120,173,158,77,40,1264,..,187,257,92,92,67,40,9,5,751,..,496,689,216,240,249,218,93,18,2216,..,222,787,782,1174,1609,1632,919,353,7474,138,206,200,152,117,142,124,47,8,1138,13410,7897,8109,7990,8471,8695,8021,4254,1167,68010,..,117,2845,4848,4869,5347,4739,2191,334,25294,..,856,2557,1485,1243,833,432,97,10,7514,..,142,907,1406,1571,808,392,263,183,5663,12446,..,..,..,..,..,..,..,..,12446,..,3205,..,..,..,..,..,..,..,3205,..,1732,749,268,171,122,36,0,0,3079,..,303,173,57,98,247,291,201,108,1480,..,223,186,67,42,29,24,11,0,582
CED204,..,102,3836,7432,7150,6935,5119,2444,585,33607,..,318,1629,956,745,545,213,68,15,4485,..,11,74,256,377,353,182,95,49,1396,16383,..,..,..,..,..,..,..,..,16383,..,5514,..,..,..,..,..,..,..,5514,..,4027,3625,989,578,239,35,0,0,9494,..,551,639,262,221,234,213,126,63,2302,..,265,510,229,176,96,49,18,3,1344,..,493,1579,769,502,306,202,82,14,3932,..,144,715,795,920,1069,849,518,193,5201,125,157,210,150,106,85,75,32,5,947,16512,11584,12815,11833,10773,9862,6932,3378,922,84616,..,344,5456,8001,7177,6544,4331,1678,234,33762,..,466,1711,943,736,474,154,49,7,4541,..,132,761,1392,1690,1231,569,347,230,6356,15311,..,..,..,..,..,..,..,..,15311,..,5790,..,..,..,..,..,..,..,5790,..,2681,2297,479,279,149,34,3,0,5918,..,403,352,138,177,426,576,430,253,2752,..,239,257,88,54,31,18,3,3,693
CED205,..,197,5697,10350,7043,6085,3685,1621,285,34952,..,265,1612,817,572,414,145,32,0,3858,..,20,87,229,374,347,148,70,45,1306,21898,..,..,..,..,..,..,..,..,21898,..,5662,..,..,..,..,..,..,..,5662,..,4490,4162,1110,524,183,31,0,0,10499,..,594,880,351,268,312,203,102,49,2765,..,289,497,216,109,85,26,9,3,1233,..,630,1063,293,226,170,97,31,0,2502,..,152,820,730,710,844,495,284,101,4135,145,132,192,146,103,73,45,14,7,860,22042,12420,15002,14241,9928,8518,4864,2161,494,89677,..,596,8588,10006,6777,5259,2925,903,115,35180,..,445,1643,809,581,337,109,18,0,3946,..,122,960,1587,1864,1157,537,341,154,6724,20458,..,..,..,..,..,..,..,..,20458,..,6490,..,..,..,..,..,..,..,6490,..,2984,2659,599,288,149,28,4,0,6704,..,450,458,163,255,561,642,408,194,3131,..,210,252,65,51,46,19,5,7,658
CED206,..,43,2752,5800,6202,6128,5140,2712,541,29327,..,370,2578,1630,1425,988,435,142,9,7589,..,8,72,246,501,318,165,76,33,1422,14519,..,..,..,..,..,..,..,..,14519,..,3918,..,..,..,..,..,..,..,3918,..,3826,2112,692,390,159,18,0,0,7198,..,259,279,120,133,176,145,94,57,1270,..,211,246,112,116,96,45,10,0,838,..,154,337,186,210,206,185,81,13,1365,..,95,520,605,927,1176,1023,645,256,5245,158,244,213,117,140,112,89,55,3,1137,14678,9132,9108,9511,10054,9366,7249,3814,909,73828,..,87,3538,6314,6411,6089,4797,1970,258,29469,..,560,2797,1617,1397,854,362,77,8,7675,..,72,485,1163,1620,934,425,258,145,5099,13389,..,..,..,..,..,..,..,..,13389,..,4220,..,..,..,..,..,..,..,4220,..,2582,1381,332,209,112,34,0,0,4649,..,222,152,62,92,267,319,264,153,1525,..,212,154,59,59,45,29,15,9,578
CED207,..,71,3010,7664,7713,6587,5397,3978,1379,35794,..,460,1966,846,580,470,219,78,15,4634,..,3,31,178,418,329,138,91,100,1287,13842,..,..,..,..,..,..,..,..,13842,..,6242,..,..,..,..,..,..,..,6242,..,2243,2505,703,564,312,33,4,0,6369,..,538,559,155,148,147,148,87,81,1864,..,409,688,243,111,66,25,4,0,1545,..,1972,2712,584,283,223,159,65,20,6006,..,409,983,712,783,881,838,737,545,5887,88,265,194,110,95,93,50,34,17,945,13932,12618,12641,11196,10692,9112,7008,5076,2155,84419,..,122,4063,8591,7868,6292,5272,3208,628,36047,..,611,1986,805,593,374,173,36,5,4583,..,33,255,1090,1895,1086,465,439,325,5585,13218,..,..,..,..,..,..,..,..,13218,..,6109,..,..,..,..,..,..,..,6109,..,1616,1864,416,350,222,49,6,0,4525,..,436,384,111,148,487,560,442,267,2838,..,350,416,93,64,40,26,10,4,1008
CED208,..,45,2413,5528,5356,3922,2830,2027,767,22889,..,330,3717,2582,1438,784,283,72,11,9211,..,7,38,186,384,277,124,112,85,1216,11544,..,..,..,..,..,..,..,..,11544,..,3511,..,..,..,..,..,..,..,3511,..,1850,1723,629,648,345,46,0,0,5236,..,343,470,164,158,243,143,88,47,1664,..,278,567,154,60,58,30,9,0,1159,..,1224,3087,807,372,255,158,55,17,5974,..,242,1416,1482,1386,1369,1144,662,361,8056,145,180,295,169,144,107,40,21,10,1119,11689,7999,13727,11704,9947,7355,4802,3049,1301,71574,..,135,3322,5776,5355,3840,2732,1552,305,23015,..,454,4190,2526,1393,702,242,48,3,9563,..,25,288,922,1441,930,458,445,341,4854,10899,..,..,..,..,..,..,..,..,10899,..,3616,..,..,..,..,..,..,..,3616,..,1262,1194,330,379,232,36,3,0,3432,..,342,408,132,154,278,312,210,179,2021,..,225,414,99,47,32,16,6,0,844
CED209,..,42,2386,5724,5540,5261,5813,3061,668,28495,..,429,2471,1598,1111,719,417,145,15,6902,..,13,58,223,340,231,82,51,36,1040,14212,..,..,..,..,..,..,..,..,14212,..,3292,..,..,..,..,..,..,..,3292,..,2604,1273,385,248,110,25,0,0,4643,..,222,221,95,91,101,114,42,41,923,..,220,313,64,59,33,33,4,0,718,..,749,915,191,155,155,142,36,9,2347,..,140,541,570,733,944,974,630,306,4832,140,249,194,124,117,130,125,65,20,1154,14352,7948,8369,8963,8393,7682,7734,4036,1085,68559,..,60,3237,6234,5650,5470,5500,2325,347,28827,..,630,2642,1618,1091,722,323,103,4,7138,..,52,498,1110,1406,747,238,160,128,4337,13309,..,..,..,..,..,..,..,..,13309,..,3507,..,..,..,..,..,..,..,3507,..,1633,774,215,151,115,17,0,0,2905,..,208,180,47,73,199,198,174,105,1180,..,223,219,42,32,32,13,5,0,563
CED210,..,75,2658,5058,5078,4976,4492,2519,637,25490,..,581,2780,1419,1097,714,343,118,11,7068,..,12,94,247,468,334,129,73,49,1408,13228,..,..,..,..,..,..,..,..,13228,..,3542,..,..,..,..,..,..,..,3542,..,2870,1727,670,462,203,41,0,0,5982,..,356,331,115,128,185,121,55,45,1333,..,229,405,88,78,33,22,10,0,868,..,972,1599,364,241,249,169,50,9,3655,..,261,1042,997,1411,1697,1377,756,387,7927,140,238,284,132,116,92,72,25,16,1121,13372,9152,10917,9087,9073,8489,6777,3619,1152,71633,..,148,3487,5437,5272,5016,4171,1942,303,25774,..,841,2899,1382,1062,649,282,70,6,7193,..,159,828,1436,1800,929,437,316,196,6102,12634,..,..,..,..,..,..,..,..,12634,..,3680,..,..,..,..,..,..,..,3680,..,1897,1097,292,188,139,25,0,0,3641,..,326,255,91,126,273,281,198,102,1655,..,231,213,51,42,22,15,3,5,571
