CED_CODE_2021,POL_Tamil_UOLSE_NWorNAA,POL_Tamil_UOLSE_Tot,POL_Tamil_NS,POL_Tamil_Tot,POL_Thai_SEO,POL_Thai_UOLSE_VWorW,POL_Thai_UOLSE_NWorNAA,POL_Thai_UOLSE_Tot,POL_Thai_NS,POL_Thai_Tot,POL_Turkish_SEO,POL_Turkish_UOLSE_VWorW,POL_Turkish_UOLSE_NWorNAA,POL_Turkish_UOLSE_Tot,POL_Turkish_NS,POL_Turkish_Tot,POL_Vietnamese_SEO,POL_Vietnamese_UOLSE_VWorW,POL_Vietnamese_UOLSE_NWorNAA,POL_Vietnamese_UOLSE_Tot,POL_Vietnamese_NS,POL_Vietnamese_Tot,POL_Oth_SEO,POL_Oth_UOLSE_VWorW,POL_Oth_UOLSE_NWorNAA,POL_Oth_UOLSE_Tot,POL_Oth_NS,POL_Oth_Tot,POL_Tot_SEO,POL_Tot_UOLSE_VWorW,POL_Tot_UOLSE_NWorNAA,POL_Tot_UOLSE_Tot,POL_Tot_NS,POL_Tot_Tot,P_LUatH_NS_SEO,P_LUatH_NS_UOLSE_VWorW,P_LUatH_NS_UOLSE_NWorNAA,P_LUatH_NS_UOLSE_Tot,P_LUatH_NS_NS,P_LUatH_NS_Tot,P_Tot_SEO,P_Tot_UOLSE_VWorW,P_Tot_UOLSE_NWorNAA,P_Tot_UOLSE_Tot,P_Tot_NS,P_Tot_Tot
CED231,20,337,4,338,..,330,58,388,0,387,..,1111,186,1299,11,1311,..,2525,812,3338,26,3358,..,4555,737,5288,100,5390,..,37275,6249,43528,407,43935,..,621,93,712,5336,6048,103430,37898,6346,44241,5741,153408
CED232,33,541,7,553,..,211,31,242,3,245,..,449,65,514,0,518,..,264,59,326,4,333,..,2913,398,3308,101,3411,..,22647,2345,24993,353,25340,..,484,60,547,6449,6993,127556,23131,2400,25530,6800,159894
CED233,43,1010,9,1023,..,1515,388,1904,6,1912,..,504,112,617,5,624,..,3951,1517,5465,28,5500,..,5982,794,6774,135,6906,..,61687,9866,71556,467,72018,..,698,132,830,12929,13756,114188,62381,9996,72378,13398,199964
CED234,25,616,7,621,..,256,39,294,0,299,..,277,51,327,0,327,..,1185,285,1471,15,1483,..,2476,382,2857,115,2977,..,62208,13982,76191,684,76877,..,593,120,708,4864,5572,90405,62797,14101,76901,5544,172855
CED235,7,68,0,67,..,154,29,181,6,184,..,31,3,38,0,38,..,139,66,210,5,213,..,1360,171,1531,23,1555,..,6190,817,7011,87,7095,..,357,24,379,8887,9263,129986,6549,839,7391,8976,146349
CED236,13,192,0,195,..,228,88,315,0,318,..,371,130,503,0,501,..,118,60,174,8,179,..,2476,802,3276,65,3343,..,12929,3052,15976,232,16208,..,549,80,629,11128,11759,131544,13477,3131,16604,11362,159507
CED237,200,2067,17,2087,..,216,53,267,5,277,..,1239,331,1569,3,1570,..,3469,1553,5022,38,5058,..,6383,1037,7419,152,7571,..,72339,13636,85975,816,86788,..,1163,277,1444,6878,8324,75286,73504,13913,87421,7694,170399
CED238,6,53,0,53,..,149,37,188,0,188,..,28,3,31,4,37,..,151,71,225,6,228,..,965,139,1104,37,1148,..,5147,892,6047,115,6161,..,352,28,375,10549,10927,137470,5502,923,6423,10666,154555
CED239,34,413,5,418,..,273,51,326,0,327,..,2299,609,2907,28,2929,..,1171,308,1477,11,1485,..,3700,604,4306,123,4429,..,46902,8166,55068,570,55638,..,740,121,861,6286,7147,95531,47648,8289,55935,6856,158319
CED294,0,6,0,6,..,7,0,7,0,7,..,25,13,32,0,35,..,32,14,42,0,42,..,187,40,227,6,229,..,794,171,962,15,977,..,37,7,45,3575,3624,4485,834,179,1012,3592,9089
CED297,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,5,0,5,0,5,..,0,0,0,27,27,13,5,0,5,27,38
