CED_CODE_2021,Sme_Usl_ad_1_yr_ago_as_2021_M,Sme_Usl_ad_1_yr_ago_as_2021_F,Sme_Usl_ad_1_yr_ago_as_2021_P,Dif_Usl_ad_1_yr_ago_Sme_SA2_M,Dif_Usl_ad_1_yr_ago_Sme_SA2_F,Dif_Usl_ad_1_yr_ago_Sme_SA2_P,Dif_Us_ad_1_ago_Dif_SA2_NSW_M,Dif_Us_ad_1_ago_Dif_SA2_NSW_F,Dif_Us_ad_1_ago_Dif_SA2_NSW_P,Dif_Us_ad_1_ago_Dif_SA2_Vic_M,Dif_Us_ad_1_ago_Dif_SA2_Vic_F,Dif_Us_ad_1_ago_Dif_SA2_Vic_P,Dif_Us_ad_1_ago_Dif_SA2_Qld_M,Dif_Us_ad_1_ago_Dif_SA2_Qld_F,Dif_Us_ad_1_ago_Dif_SA2_Qld_P,Dif_Us_ad_1_ago_Dif_SA2_SA_M,Dif_Us_ad_1_ago_Dif_SA2_SA_F,Dif_Us_ad_1_ago_Dif_SA2_SA_P,Dif_Us_ad_1_ago_Dif_SA2_WA_M,Dif_Us_ad_1_ago_Dif_SA2_WA_F,Dif_Us_ad_1_ago_Dif_SA2_WA_P,Dif_Us_ad_1_ago_Dif_SA2_Tas_M,Dif_Us_ad_1_ago_Dif_SA2_Tas_F,Dif_Us_ad_1_ago_Dif_SA2_Tas_P,Dif_Us_ad_1_ago_Dif_SA2_NT_M,Dif_Us_ad_1_ago_Dif_SA2_NT_F,Dif_Us_ad_1_ago_Dif_SA2_NT_P,Dif_Us_ad_1_ago_Dif_SA2_ACT_M,Dif_Us_ad_1_ago_Dif_SA2_ACT_F,Dif_Us_ad_1_ago_Dif_SA2_ACT_P,Dif_Us_ad_1_ago_Dif_SA2_OT_M,Dif_Us_ad_1_ago_Dif_SA2_OT_F,Dif_Us_ad_1_ago_Dif_SA2_OT_P,Dif_Us_ad_1_ago_Dif_SA2_Tot_M,Dif_Us_ad_1_ago_Dif_SA2_Tot_F,Dif_Us_ad_1_ago_Dif_SA2_Tot_P,Difnt_Usl_add_1_yr_ago_OS_M,Difnt_Usl_add_1_yr_ago_OS_F,Difnt_Usl_add_1_yr_ago_OS_P,Difnt_Usl_add_1_yr_ago_Ns_M,Difnt_Usl_add_1_yr_ago_Ns_F,Difnt_Usl_add_1_yr_ago_Ns_P,Difnt_Usl_add_1_yr_ago_Tot_M,Difnt_Usl_add_1_yr_ago_Tot_F,Difnt_Usl_add_1_yr_ago_Tot_P,N_stated_M,N_stated_F,N_stated_P,Tot_M,Tot_F,Tot_P
CED201,66942,69810,136756,834,918,1749,94,99,190,6082,6363,12444,81,72,150,24,30,52,25,24,46,28,25,50,3,9,10,15,8,26,0,0,0,6351,6614,12966,339,388,723,127,100,228,7642,8024,15668,2510,2586,5098,77101,80424,157522
CED202,58694,61914,120610,1857,1987,3844,152,174,326,7574,8079,15656,151,145,292,64,56,114,50,68,121,37,37,77,31,29,60,20,22,40,0,0,0,8077,8610,16686,239,275,518,185,148,340,10372,11015,21382,4278,4321,8594,73335,77256,150588
CED203,59132,62418,121544,1917,2108,4024,209,232,442,6465,7130,13599,99,117,208,60,67,124,50,60,113,36,38,71,37,32,68,24,25,44,0,0,0,6974,7708,14682,193,233,428,130,133,267,9215,10178,19392,5114,4865,9980,73463,77459,150920
CED204,74519,74125,148650,1477,1357,2833,130,111,242,7201,6722,13919,74,63,139,63,54,117,37,28,60,17,27,42,4,11,15,19,11,27,0,0,0,7544,7020,14564,619,723,1341,166,109,272,9806,9204,19007,4971,4483,9455,89300,87808,177107
CED205,75303,74933,150237,2114,2056,4170,258,236,490,9410,9385,18801,121,110,233,44,36,75,25,33,61,45,43,86,22,27,46,22,10,31,0,0,0,9941,9879,19820,615,637,1252,167,128,299,12841,12700,25539,5087,4650,9740,93234,92291,185522
CED206,66967,68555,135521,1195,1286,2486,76,73,146,5122,5457,10583,63,61,118,22,23,43,27,23,50,13,21,38,16,19,35,4,6,18,0,0,0,5353,5676,11026,221,183,399,118,84,199,6878,7227,14111,3051,2847,5899,76903,78632,155533
CED207,70732,74629,145363,2369,2306,4673,273,269,547,10811,10571,21382,162,168,330,102,87,191,56,68,130,96,99,196,37,42,77,37,48,89,0,0,0,11585,11361,22944,1155,1124,2283,197,130,330,15307,14916,30231,3435,3330,6766,89478,92879,182359
CED208,59837,63261,123091,1600,1729,3327,221,274,496,9022,9694,18720,131,133,267,56,73,127,55,54,112,36,46,85,25,24,48,35,39,69,0,0,0,9576,10346,19919,542,623,1169,201,157,359,11909,12854,24760,3394,3332,6724,75138,79438,154579
CED209,58089,61295,119387,2952,3171,6124,198,207,400,7782,8577,16361,144,166,311,50,60,111,50,49,98,53,63,116,30,37,63,25,29,47,0,0,0,8331,9188,17521,244,305,555,147,145,293,11679,12808,24487,3370,3638,7013,73140,77747,150884
CED210,61301,64920,126217,2126,2274,4401,150,185,336,7460,8074,15538,122,133,253,60,53,112,48,35,79,64,65,131,31,32,57,24,30,52,0,0,0,7956,8608,16561,337,367,698,197,157,349,10610,11403,22016,5167,4066,9233,77080,80386,157465
