CED_CODE_2021,Tot_OcMngr,Tot_OcProf,Tot_OcTechTrdW,Tot_OcComPerS,Tot_OcClericAdm,Tot_OcSalesWk,Tot_OcMacOp_Driv,Tot_OcLab,Tot_OcID_NS,Tot_Tot
CED201,10483,19146,11758,8397,11818,7638,4374,6452,1453,81521
CED202,8977,15344,10338,9353,8453,6273,3942,7195,1105,70971
CED203,8452,15528,9729,9087,8011,6025,4064,7945,1144,69986
CED204,8209,14270,13209,8734,10765,7101,7383,9279,1894,80845
CED205,7006,12506,11256,9546,9741,6636,8549,8527,1971,75741
CED206,10939,15829,14834,9538,10259,6315,4208,7286,1411,80620
CED207,12786,28709,8171,8077,11250,7791,3006,5673,1741,87202
CED208,11831,28796,8491,8368,9868,5921,3166,5355,1464,83259
CED209,9801,17365,11056,9917,8527,6621,3429,6133,1164,73999
CED210,8574,17327,10646,10030,8486,6552,5178,7820,1380,75988
CED211,11609,23714,10620,8792,11368,7145,3172,5897,1455,83785
CED212,10075,15306,12484,9232,10089,7281,4527,7118,1375,77486
CED213,9992,12904,11811,8353,7598,6304,2627,6031,1271,66888
CED214,9322,20451,9332,8784,10096,6256,7454,9227,2069,82979
CED215,13709,25160,9966,8948,12510,7004,6782,6374,2040,92478
CED216,8482,10637,9845,8513,7417,5646,4414,7839,1339,64133
CED217,17405,27209,5667,6710,9518,6736,1341,2931,1357,78879
CED218,8548,15305,10881,8831,12125,7489,8590,8439,2082,82283
CED219,7868,11943,12078,9703,10974,6905,8096,7467,1557,76596
CED220,17180,35768,5569,6975,10434,6910,1483,3165,1515,88994
CED221,8139,13184,14302,11133,11184,7402,9935,10874,2024,88199
CED222,9897,21682,11174,9834,11015,7650,7624,11776,2280,92931
CED223,11425,12519,11120,9375,7593,5910,4963,8634,1334,72871
CED224,12987,21408,10420,7935,11486,7331,3714,5557,1381,82227
CED225,12838,26054,9418,7960,10900,6090,2376,4272,1187,81095
CED226,16300,34068,4866,6635,10070,6963,1246,3007,1414,84572
CED227,10305,15646,13403,9948,11131,7394,6744,8208,1650,84432
CED228,8821,18472,11550,11023,12433,7662,11400,9197,2236,92800
CED229,19226,38897,7172,8795,11448,6788,1818,4029,1897,100070
CED230,13439,10570,9300,8638,7123,6047,5150,10823,1616,72700
CED231,12763,24629,7994,7331,11637,6364,3078,4804,1465,80068
CED232,10538,16206,13283,9753,10783,6463,5067,6507,1469,80063
CED233,17952,51688,8947,12231,12691,8046,2458,6063,2090,122175
CED234,13431,25803,8525,7652,11022,7796,2317,4867,1604,83013
CED235,9364,10613,10148,7856,6956,5483,3914,7667,1234,63234
CED236,11017,10727,10044,8592,7299,5987,5007,10356,1404,70437
CED237,7578,14376,11144,9382,10904,7446,7088,8309,1783,78009
CED238,13171,11549,9596,8662,6690,5879,4790,10366,1395,72115
CED239,11497,29312,9062,8712,10626,5948,3292,5489,1508,85448
CED294,174,334,250,227,143,129,177,308,49,1797
CED297,0,4,0,0,0,0,0,4,0,15
