CED_CODE_2021,Sme_Usl_ad_5_yr_ago_as_2021_M,Sme_Usl_ad_5_yr_ago_as_2021_F,Sme_Usl_ad_5_yr_ago_as_2021_P,Dif_Usl_ad_5_yr_ago_Sme_SA2_M,Dif_Usl_ad_5_yr_ago_Sme_SA2_F,Dif_Usl_ad_5_yr_ago_Sme_SA2_P,Dif_Us_ad_5_ago_Dif_SA2_NSW_M,Dif_Us_ad_5_ago_Dif_SA2_NSW_F,Dif_Us_ad_5_ago_Dif_SA2_NSW_P,Dif_Us_ad_5_ago_Dif_SA2_Vic_M,Dif_Us_ad_5_ago_Dif_SA2_Vic_F,Dif_Us_ad_5_ago_Dif_SA2_Vic_P,Dif_Us_ad_5_ago_Dif_SA2_Qld_M,Dif_Us_ad_5_ago_Dif_SA2_Qld_F,Dif_Us_ad_5_ago_Dif_SA2_Qld_P,Dif_Us_ad_5_ago_Dif_SA2_SA_M,Dif_Us_ad_5_ago_Dif_SA2_SA_F,Dif_Us_ad_5_ago_Dif_SA2_SA_P,Dif_Us_ad_5_ago_Dif_SA2_WA_M,Dif_Us_ad_5_ago_Dif_SA2_WA_F,Dif_Us_ad_5_ago_Dif_SA2_WA_P,Dif_Us_ad_5_ago_Dif_SA2_Tas_M,Dif_Us_ad_5_ago_Dif_SA2_Tas_F,Dif_Us_ad_5_ago_Dif_SA2_Tas_P,Dif_Us_ad_5_ago_Dif_SA2_NT_M,Dif_Us_ad_5_ago_Dif_SA2_NT_F,Dif_Us_ad_5_ago_Dif_SA2_NT_P,Dif_Us_ad_5_ago_Dif_SA2_ACT_M,Dif_Us_ad_5_ago_Dif_SA2_ACT_F,Dif_Us_ad_5_ago_Dif_SA2_ACT_P,Dif_Us_ad_5_ago_Dif_SA2_OT_M,Dif_Us_ad_5_ago_Dif_SA2_OT_F,Dif_Us_ad_5_ago_Dif_SA2_OT_P,Dif_Us_ad_5_ago_Dif_SA2_Tot_M,Dif_Us_ad_5_ago_Dif_SA2_Tot_F,Dif_Us_ad_5_ago_Dif_SA2_Tot_P,Difnt_Usl_add_5_yr_ago_OS_M,Difnt_Usl_add_5_yr_ago_OS_F,Difnt_Usl_add_5_yr_ago_OS_P,Difnt_Usl_add_5_yr_ago_Ns_M,Difnt_Usl_add_5_yr_ago_Ns_F,Difnt_Usl_add_5_yr_ago_Ns_P,Difnt_Usl_add_5_yr_ago_Tot_M,Difnt_Usl_add_5_yr_ago_Tot_F,Difnt_Usl_add_5_yr_ago_Tot_P,N_stated_M,N_stated_F,N_stated_P,Tot_M,Tot_F,Tot_P
CED221,43036,43187,86224,3124,3177,6302,684,652,1332,26862,26924,53790,446,440,889,267,231,498,252,213,462,80,100,183,88,80,161,33,27,61,0,0,0,28718,28666,57377,5519,6312,11832,636,461,1094,37992,38620,76608,4367,4173,8540,85395,85974,171369
CED222,50278,52715,102996,4044,3946,7989,597,556,1158,20180,18789,38975,395,412,810,243,235,474,262,256,516,88,81,173,77,74,145,90,93,180,0,0,0,21938,20504,42436,11429,10189,21614,640,466,1105,38039,35108,73148,4564,4172,8740,92882,91999,184883
CED223,40885,42062,82952,7280,7786,15067,2698,2913,5611,12576,13386,25962,1039,1054,2095,251,253,508,301,298,598,130,142,276,220,228,442,167,163,328,0,0,4,17384,18437,35818,1262,1364,2630,467,432,903,26396,28020,54414,5780,5589,11374,73064,75673,148742
CED224,44135,47317,91455,3669,3873,7547,496,523,1014,17937,19095,37035,300,328,633,138,127,265,188,187,378,45,47,90,37,46,85,45,58,100,0,0,0,19183,20414,39598,3000,3354,6356,426,426,855,26281,28070,54347,2720,2784,5500,73141,78166,151308
CED225,46658,49518,96176,3211,3291,6504,542,601,1141,15990,17195,33184,466,427,890,181,181,364,218,194,409,75,75,146,72,83,153,97,89,187,0,0,0,17635,18844,36477,2563,2697,5257,338,299,634,23744,25132,48875,2533,2528,5065,72933,77185,150118
CED226,41888,46514,88408,3285,3502,6784,816,881,1695,19070,20390,39461,511,589,1096,297,331,630,397,409,800,115,120,233,87,81,165,114,122,236,6,6,8,21409,22918,44327,5459,6154,11612,343,338,683,30488,32924,63406,2463,2769,5240,74845,82208,157054
CED227,34966,35976,70942,3647,3977,7626,518,560,1081,28735,30015,58747,408,462,876,206,223,433,183,200,381,76,87,162,90,70,163,47,44,88,0,0,0,30269,31666,61930,3315,3661,6976,536,419,958,37763,39726,77489,3821,3904,7726,76554,79603,156160
CED228,42083,42542,84624,3847,3979,7823,1523,1425,2947,26634,26414,53050,682,715,1393,421,428,855,496,473,978,173,178,350,171,145,318,109,113,225,0,0,0,30212,29894,60103,9591,9625,19216,667,541,1209,44318,44037,88354,5556,5289,10848,91960,91865,183825
CED229,30628,32796,63422,4800,5043,9848,1753,1836,3591,22494,23225,45720,1074,1226,2301,382,421,806,646,704,1343,214,212,421,100,103,205,239,260,497,0,0,0,26897,27991,54884,10336,10938,21275,756,640,1391,42791,44607,87399,5093,5088,10185,78514,82496,161009
CED230,46531,46353,92883,8084,8676,16761,1255,1380,2633,11031,11748,22781,530,602,1130,704,764,1468,213,229,440,79,89,169,166,179,342,38,36,71,0,0,0,14017,15020,29039,2347,2289,4633,479,393,876,24927,26383,51313,7482,7136,14616,78940,79865,158808
