CED_CODE_2021,F_Vietnam_0_4,F_Vietnam_5_14,F_Vietnam_15_24,F_Vietnam_25_44,F_Vietnam_45_54,F_Vietnam_55_64,F_Vietnam_65_74,F_Vietnam_75_84,F_Vietnam_85ov,F_Vietnam_Tot,F_Wales_0_4,F_Wales_5_14,F_Wales_15_24,F_Wales_25_44,F_Wales_45_54,F_Wales_55_64,F_Wales_65_74,F_Wales_75_84,F_Wales_85ov,F_Wales_Tot,F_Zimbabwe_0_4,F_Zimbabwe_5_14,F_Zimbabwe_15_24,F_Zimbabwe_25_44,F_Zimbabwe_45_54,F_Zimbabwe_55_64,F_Zimbabwe_65_74,F_Zimbabwe_75_84,F_Zimbabwe_85ov,F_Zimbabwe_Tot,F_Elsewhere_0_4,F_Elsewhere_5_14,F_Elsewhere_15_24,F_Elsewhere_25_44,F_Elsewhere_45_54,F_Elsewhere_55_64,F_Elsewhere_65_74,F_Elsewhere_75_84,F_Elsewhere_85ov,F_Elsewhere_Tot,F_COB_NS_0_4,F_COB_NS_5_14,F_COB_NS_15_24,F_COB_NS_25_44,F_COB_NS_45_54,F_COB_NS_55_64,F_COB_NS_65_74,F_COB_NS_75_84,F_COB_NS_85ov,F_COB_NS_Tot,F_Tot_0_4,F_Tot_5_14,F_Tot_15_24,F_Tot_25_44,F_Tot_45_54,F_Tot_55_64,F_Tot_65_74,F_Tot_75_84,F_Tot_85ov,F_Tot_Tot,P_Afghanistan_0_4,P_Afghanistan_5_14,P_Afghanistan_15_24,P_Afghanistan_25_44,P_Afghanistan_45_54,P_Afghanistan_55_64,P_Afghanistan_65_74,P_Afghanistan_75_84,P_Afghanistan_85ov,P_Afghanistan_Tot,P_Australia_0_4,P_Australia_5_14,P_Australia_15_24,P_Australia_25_44,P_Australia_45_54,P_Australia_55_64,P_Australia_65_74,P_Australia_75_84,P_Australia_85ov,P_Australia_Tot,P_Bangladesh_0_4,P_Bangladesh_5_14,P_Bangladesh_15_24,P_Bangladesh_25_44,P_Bangladesh_45_54,P_Bangladesh_55_64,P_Bangladesh_65_74,P_Bangladesh_75_84,P_Bangladesh_85ov,P_Bangladesh_Tot,P_Bosnia_Herzegov_0_4,P_Bosnia_Herzegov_5_14,P_Bosnia_Herzegov_15_24,P_Bosnia_Herzegov_25_44,P_Bosnia_Herzegov_45_54,P_Bosnia_Herzegov_55_64,P_Bosnia_Herzegov_65_74,P_Bosnia_Herzegov_75_84,P_Bosnia_Herzegov_85ov,P_Bosnia_Herzegov_Tot,P_Brazil_0_4,P_Brazil_5_14,P_Brazil_15_24,P_Brazil_25_44,P_Brazil_45_54,P_Brazil_55_64,P_Brazil_65_74,P_Brazil_75_84,P_Brazil_85ov,P_Brazil_Tot,P_Cambodia_0_4,P_Cambodia_5_14,P_Cambodia_15_24,P_Cambodia_25_44,P_Cambodia_45_54,P_Cambodia_55_64,P_Cambodia_65_74,P_Cambodia_75_84,P_Cambodia_85ov,P_Cambodia_Tot,P_Canada_0_4,P_Canada_5_14,P_Canada_15_24,P_Canada_25_44,P_Canada_45_54,P_Canada_55_64,P_Canada_65_74,P_Canada_75_84,P_Canada_85ov,P_Canada_Tot,P_Chile_0_4,P_Chile_5_14,P_Chile_15_24,P_Chile_25_44,P_Chile_45_54,P_Chile_55_64,P_Chile_65_74,P_Chile_75_84,P_Chile_85ov,P_Chile_Tot,P_China_0_4,P_China_5_14,P_China_15_24,P_China_25_44,P_China_45_54,P_China_55_64,P_China_65_74,P_China_75_84,P_China_85ov,P_China_Tot,P_Croatia_0_4,P_Croatia_5_14,P_Croatia_15_24,P_Croatia_25_44,P_Croatia_45_54,P_Croatia_55_64,P_Croatia_65_74,P_Croatia_75_84,P_Croatia_85ov,P_Croatia_Tot,P_Egypt_0_4,P_Egypt_5_14,P_Egypt_15_24,P_Egypt_25_44,P_Egypt_45_54,P_Egypt_55_64,P_Egypt_65_74,P_Egypt_75_84,P_Egypt_85ov,P_Egypt_Tot,P_England_0_4,P_England_5_14,P_England_15_24,P_England_25_44,P_England_45_54,P_England_55_64,P_England_65_74,P_England_75_84,P_England_85ov,P_England_Tot,P_Fiji_0_4,P_Fiji_5_14,P_Fiji_15_24,P_Fiji_25_44,P_Fiji_45_54,P_Fiji_55_64,P_Fiji_65_74,P_Fiji_75_84,P_Fiji_85ov,P_Fiji_Tot,P_France_0_4,P_France_5_14,P_France_15_24,P_France_25_44,P_France_45_54,P_France_55_64,P_France_65_74,P_France_75_84,P_France_85ov,P_France_Tot
CED201,0,11,22,198,187,183,110,22,8,757,0,0,0,4,8,15,14,14,7,75,0,0,6,24,6,3,7,0,0,51,13,59,117,509,297,377,320,293,198,2164,103,244,237,624,236,265,252,257,150,2373,4146,8911,9102,21594,11196,10687,8477,4851,2203,81164,0,4,12,107,47,47,23,9,3,248,8048,16276,14998,24537,12766,11244,8137,4251,1566,101819,0,0,6,50,13,23,9,0,0,106,0,0,0,34,16,30,15,3,3,106,5,9,3,39,4,9,0,5,0,65,0,9,14,125,162,136,96,30,7,572,0,5,11,57,40,21,9,9,0,164,0,0,0,16,46,50,34,25,5,179,27,358,506,4164,1214,1146,732,230,92,8464,0,0,4,23,27,54,56,63,17,248,0,21,32,96,57,117,128,82,16,550,11,95,185,578,674,1132,1089,891,353,5007,0,3,12,72,70,66,40,19,10,292,0,3,7,36,18,23,16,9,4,112
CED202,0,0,18,74,16,7,3,4,0,120,0,0,0,7,4,16,12,6,0,54,0,0,3,27,11,5,5,3,5,60,5,35,55,255,129,107,144,81,45,873,202,396,458,1011,524,526,527,394,209,4241,4198,9435,8760,19274,10156,10173,9040,4783,2237,78063,0,0,4,13,4,3,0,0,0,18,8011,17920,15602,30236,16247,15925,13314,6618,2616,126487,0,8,12,63,15,0,6,0,0,98,0,0,0,8,3,8,5,7,3,36,0,3,0,37,9,0,0,0,0,47,0,6,4,10,9,0,0,0,0,27,0,7,10,71,34,43,37,6,0,201,0,4,0,8,14,9,7,5,0,52,0,46,65,376,91,83,61,13,0,729,0,0,0,4,20,36,59,50,18,185,0,0,18,15,4,3,12,12,0,63,10,146,115,465,528,846,1009,588,205,3911,0,5,6,20,19,13,11,3,0,74,0,11,9,27,13,16,15,4,0,96
CED203,0,4,10,53,19,6,0,0,0,98,0,0,0,5,4,6,14,9,0,48,0,3,5,22,5,8,4,0,0,43,12,38,47,185,94,82,100,68,21,647,195,463,420,1059,567,638,539,446,272,4605,4150,9158,8313,18956,9882,10611,9476,5283,2462,78286,0,8,17,51,9,6,0,0,0,87,7966,17220,14665,29634,15729,16547,14893,7803,3194,127644,0,7,7,41,3,9,0,0,0,70,0,0,0,4,6,5,0,0,0,9,0,5,0,33,11,0,0,0,0,52,0,4,3,20,6,0,0,0,0,37,4,11,9,65,41,20,19,10,0,182,0,0,0,4,3,3,0,0,0,17,5,8,47,213,66,46,23,6,0,416,0,0,0,9,7,21,25,27,5,90,0,8,7,37,10,11,13,8,4,96,6,87,95,371,482,782,830,559,181,3393,0,0,9,24,11,6,3,0,0,60,0,6,6,45,17,8,19,3,0,99
CED204,4,27,76,521,267,264,127,32,16,1334,0,0,3,9,3,11,8,14,5,49,0,9,13,30,16,8,8,0,0,84,20,138,322,1383,963,1045,810,406,202,5281,262,552,496,1363,545,449,388,243,129,4435,5266,10932,11093,25012,11519,10833,7902,4243,2004,88799,58,657,1474,4474,1309,575,221,78,21,8867,9937,17741,14884,19797,9481,7784,4912,2206,960,87697,0,30,34,234,68,40,25,4,0,427,0,5,48,466,286,354,198,106,14,1484,0,0,3,33,5,4,4,0,0,52,4,23,77,370,228,205,123,47,13,1080,0,17,10,42,30,11,8,3,0,110,0,0,7,93,163,151,148,80,19,655,20,149,200,1806,666,834,527,215,85,4488,0,0,10,228,132,354,322,186,67,1300,6,24,85,161,95,155,164,98,41,827,3,74,145,346,493,856,734,570,229,3441,0,17,45,307,236,260,96,54,11,1031,0,0,5,46,21,25,6,12,11,128
CED205,0,21,31,250,188,164,78,24,12,781,0,0,0,7,0,0,6,0,0,10,0,3,13,49,21,8,0,0,0,95,48,490,574,1885,912,731,467,233,88,5433,342,735,543,1652,562,434,306,187,56,4821,7502,14077,12294,30944,10941,8934,5535,2609,901,93729,0,26,75,232,55,37,10,8,0,432,14348,22042,15975,22471,7813,6068,2953,1227,388,93284,0,29,21,257,69,37,26,4,0,449,0,0,8,96,34,69,34,19,10,276,0,5,0,38,5,0,0,0,0,48,4,4,4,26,5,5,4,0,0,56,3,22,22,42,19,21,6,0,0,127,0,0,0,21,33,39,18,18,0,132,0,31,39,322,127,140,60,36,9,752,0,0,5,31,46,101,126,129,16,453,7,57,57,253,93,161,133,74,22,856,7,79,92,215,157,305,246,148,48,1290,6,16,73,411,199,174,104,22,3,1010,0,0,0,24,11,14,5,7,0,67
CED206,0,5,6,63,15,11,5,0,0,120,0,0,0,10,12,25,13,14,5,78,0,0,3,20,17,15,3,0,0,62,8,35,56,303,197,211,189,144,52,1194,107,286,275,660,412,400,354,218,116,2826,4473,9568,8801,20341,11120,10537,8648,4451,1599,79535,0,0,4,6,0,0,0,0,0,14,9051,18480,16294,32205,16748,14841,11019,5060,1436,125122,0,0,0,14,6,7,0,0,0,25,0,0,0,14,4,7,3,3,0,39,0,0,0,26,10,0,0,0,0,39,0,0,3,27,13,5,6,0,0,51,0,7,5,92,70,45,30,11,0,265,0,0,0,24,26,12,6,6,0,78,4,39,91,434,168,153,72,28,8,991,0,0,3,12,19,24,28,33,5,125,0,3,7,13,8,11,15,19,4,69,15,116,247,861,1143,1954,1755,1201,403,7699,0,0,4,18,18,30,10,5,0,85,0,7,11,66,22,20,22,13,0,164
CED207,0,24,139,435,407,317,264,74,29,1696,0,0,4,4,6,10,6,9,4,51,0,4,17,32,10,5,5,0,0,77,13,136,276,695,354,365,344,337,181,2692,98,252,501,954,349,299,297,310,304,3370,3664,10030,12740,24820,12293,10334,8859,6996,3826,93552,0,5,10,101,39,37,22,12,4,226,6794,15362,15154,15716,9787,7875,6060,5586,3156,85493,0,48,75,202,67,32,26,0,0,458,0,0,3,30,21,24,13,7,8,100,0,4,6,78,14,13,7,0,0,129,0,11,53,110,111,78,64,31,8,471,12,20,25,71,50,36,22,5,5,255,0,3,5,30,29,20,26,15,0,127,113,1392,3239,11262,3828,3270,2097,777,365,26347,0,0,0,19,20,48,65,87,56,295,0,36,21,109,31,76,120,132,60,577,19,166,243,490,456,570,538,592,291,3375,0,3,7,100,70,67,36,26,4,313,0,6,18,66,34,24,26,16,8,197
CED208,3,25,121,465,299,283,167,63,20,1440,0,0,0,13,9,4,7,5,0,30,0,0,7,41,7,4,3,0,0,64,32,141,156,1266,309,319,267,178,89,2756,124,236,336,1073,404,329,297,248,205,3257,4078,7407,8389,28233,11015,8417,5953,4310,2486,80287,0,6,7,29,19,3,3,3,0,69,7828,13545,13251,34353,14832,9579,4675,1863,1101,101021,0,19,35,164,18,10,5,0,0,242,0,4,0,59,24,33,27,23,6,173,0,5,11,177,15,11,0,0,0,218,0,3,14,30,31,10,18,3,3,113,4,18,16,244,88,36,16,4,0,425,0,6,0,97,41,33,22,12,9,223,16,82,430,1646,563,700,420,130,76,4060,0,4,0,26,28,70,75,99,34,342,0,11,10,77,26,56,90,52,21,341,30,154,139,1443,685,544,316,177,68,3553,0,4,3,69,44,38,31,11,6,203,0,5,5,176,56,32,16,3,0,308
CED209,0,0,12,55,22,9,5,0,4,113,0,6,6,8,15,23,27,16,4,92,0,0,6,39,12,8,3,3,0,71,7,42,49,321,150,142,151,112,58,1033,113,365,328,716,364,424,521,361,177,3377,4466,9539,8353,19799,9645,9722,9605,5172,2362,78661,0,7,0,14,9,0,0,0,0,30,8824,18104,14809,30187,14923,14160,13546,6804,2655,124014,0,4,10,49,9,0,0,0,0,71,0,0,0,21,8,17,8,0,3,61,0,0,6,63,8,4,0,0,0,86,0,0,0,9,4,5,0,0,0,11,7,25,10,138,65,32,25,8,3,315,0,0,0,18,13,9,4,3,0,50,3,30,78,319,86,60,45,14,5,636,0,0,0,17,23,45,58,41,17,213,0,10,0,18,3,14,24,19,3,102,18,215,279,859,776,1123,1310,933,347,5863,0,0,5,42,19,15,6,0,0,90,0,12,6,64,30,12,10,10,5,150
CED210,0,7,32,119,55,41,13,5,0,276,0,0,6,8,7,15,17,14,5,81,0,0,6,13,8,10,4,0,0,44,8,87,132,488,238,307,290,289,130,1970,157,414,438,1100,486,403,441,334,154,3928,4336,9123,9482,22195,10375,9860,8487,5086,2330,81268,0,41,124,291,84,33,16,3,0,582,8413,16365,15996,32253,15593,14050,10698,5360,2160,120885,0,10,5,70,14,5,0,0,0,101,0,0,3,122,53,129,66,57,9,429,0,0,6,53,11,4,3,0,0,79,0,0,4,24,12,14,5,3,0,58,4,20,21,99,43,28,15,0,3,236,0,0,0,17,13,7,10,3,0,42,5,87,121,472,139,111,97,42,5,1090,0,8,6,103,96,223,285,318,125,1166,8,19,21,48,6,15,15,11,0,142,21,143,192,622,586,976,907,652,255,4340,0,3,10,47,16,15,12,0,0,98,3,5,11,56,19,22,5,0,8,129
