CED_CODE_2021,F_Malta_0_4,F_Malta_5_14,F_Malta_15_24,F_Malta_25_44,F_Malta_45_54,F_Malta_55_64,F_Malta_65_74,F_Malta_75_84,F_Malta_85ov,F_Malta_Tot,F_Mauritius_0_4,F_Mauritius_5_14,F_Mauritius_15_24,F_Mauritius_25_44,F_Mauritius_45_54,F_Mauritius_55_64,F_Mauritius_65_74,F_Mauritius_75_84,F_Mauritius_85ov,F_Mauritius_Tot,F_Myanmar_0_4,F_Myanmar_5_14,F_Myanmar_15_24,F_Myanmar_25_44,F_Myanmar_45_54,F_Myanmar_55_64,F_Myanmar_65_74,F_Myanmar_75_84,F_Myanmar_85ov,F_Myanmar_Tot,F_Nepal_0_4,F_Nepal_5_14,F_Nepal_15_24,F_Nepal_25_44,F_Nepal_45_54,F_Nepal_55_64,F_Nepal_65_74,F_Nepal_75_84,F_Nepal_85ov,F_Nepal_Tot,F_Netherlands_0_4,F_Netherlands_5_14,F_Netherlands_15_24,F_Netherlands_25_44,F_Netherlands_45_54,F_Netherlands_55_64,F_Netherlands_65_74,F_Netherlands_75_84,F_Netherlands_85ov,F_Netherlands_Tot,F_New_Zealand_0_4,F_New_Zealand_5_14,F_New_Zealand_15_24,F_New_Zealand_25_44,F_New_Zealand_45_54,F_New_Zealand_55_64,F_New_Zealand_65_74,F_New_Zealand_75_84,F_New_Zealand_85ov,F_New_Zealand_Tot,F_North_Macedonia_0_4,F_North_Macedonia_5_14,F_North_Macedonia_15_24,F_North_Macedonia_25_44,F_North_Macedonia_45_54,F_North_Macedonia_55_64,F_North_Macedonia_65_74,F_North_Macedonia_75_84,F_North_Macedonia_85ov,F_North_Macedonia_Tot,F_Pakistan_0_4,F_Pakistan_5_14,F_Pakistan_15_24,F_Pakistan_25_44,F_Pakistan_45_54,F_Pakistan_55_64,F_Pakistan_65_74,F_Pakistan_75_84,F_Pakistan_85ov,F_Pakistan_Tot,F_PNG_0_4,F_PNG_5_14,F_PNG_15_24,F_PNG_25_44,F_PNG_45_54,F_PNG_55_64,F_PNG_65_74,F_PNG_75_84,F_PNG_85ov,F_PNG_Tot,F_Philippines_0_4,F_Philippines_5_14,F_Philippines_15_24,F_Philippines_25_44,F_Philippines_45_54,F_Philippines_55_64,F_Philippines_65_74,F_Philippines_75_84,F_Philippines_85ov,F_Philippines_Tot,F_Poland_0_4,F_Poland_5_14,F_Poland_15_24,F_Poland_25_44,F_Poland_45_54,F_Poland_55_64,F_Poland_65_74,F_Poland_75_84,F_Poland_85ov,F_Poland_Tot,F_Samoa_0_4,F_Samoa_5_14,F_Samoa_15_24,F_Samoa_25_44,F_Samoa_45_54,F_Samoa_55_64,F_Samoa_65_74,F_Samoa_75_84,F_Samoa_85ov,F_Samoa_Tot,F_Scotland_0_4,F_Scotland_5_14,F_Scotland_15_24,F_Scotland_25_44,F_Scotland_45_54,F_Scotland_55_64,F_Scotland_65_74,F_Scotland_75_84,F_Scotland_85ov,F_Scotland_Tot,F_Singapore_0_4,F_Singapore_5_14,F_Singapore_15_24,F_Singapore_25_44,F_Singapore_45_54,F_Singapore_55_64,F_Singapore_65_74,F_Singapore_75_84,F_Singapore_85ov,F_Singapore_Tot,F_South_Africa_0_4,F_South_Africa_5_14,F_South_Africa_15_24,F_South_Africa_25_44,F_South_Africa_45_54,F_South_Africa_55_64,F_South_Africa_65_74,F_South_Africa_75_84,F_South_Africa_85ov,F_South_Africa_Tot,F_Sri_Lanka_0_4,F_Sri_Lanka_5_14,F_Sri_Lanka_15_24,F_Sri_Lanka_25_44,F_Sri_Lanka_45_54,F_Sri_Lanka_55_64,F_Sri_Lanka_65_74,F_Sri_Lanka_75_84,F_Sri_Lanka_85ov,F_Sri_Lanka_Tot,F_Taiwan_0_4,F_Taiwan_5_14,F_Taiwan_15_24,F_Taiwan_25_44,F_Taiwan_45_54,F_Taiwan_55_64,F_Taiwan_65_74,F_Taiwan_75_84,F_Taiwan_85ov,F_Taiwan_Tot,F_Thailand_0_4,F_Thailand_5_14,F_Thailand_15_24,F_Thailand_25_44,F_Thailand_45_54,F_Thailand_55_64,F_Thailand_65_74,F_Thailand_75_84,F_Thailand_85ov,F_Thailand_Tot,F_Turkey_0_4,F_Turkey_5_14,F_Turkey_15_24,F_Turkey_25_44,F_Turkey_45_54,F_Turkey_55_64,F_Turkey_65_74,F_Turkey_75_84,F_Turkey_85ov,F_Turkey_Tot,F_USA_0_4,F_USA_5_14,F_USA_15_24,F_USA_25_44,F_USA_45_54,F_USA_55_64,F_USA_65_74,F_USA_75_84,F_USA_85ov,F_USA_Tot
CED201,0,0,0,0,0,22,31,18,7,89,0,0,10,30,20,56,52,23,3,197,0,0,19,40,17,13,7,0,0,94,0,3,12,69,19,6,6,0,0,112,0,0,4,11,18,33,120,108,58,354,3,61,112,285,194,157,102,44,7,979,0,0,0,4,8,3,7,5,0,32,0,11,10,82,17,12,8,3,0,154,0,0,0,17,24,12,3,0,0,51,8,30,72,365,183,150,115,38,9,959,0,4,3,42,42,57,79,16,33,284,0,0,0,10,5,3,6,0,0,35,0,0,7,33,29,82,94,62,27,338,0,35,79,157,91,87,70,16,7,546,3,15,41,148,103,90,93,40,13,547,0,67,128,637,335,355,247,94,36,1894,0,9,6,113,26,29,19,8,0,211,7,12,25,160,76,34,9,4,0,328,0,0,0,7,12,18,17,7,0,63,3,27,27,96,21,27,14,9,3,228
CED202,0,0,0,0,0,19,32,13,5,69,0,0,0,11,0,6,6,0,0,19,0,0,0,8,3,0,4,0,0,8,0,0,41,76,0,0,0,0,0,114,0,0,0,18,16,33,146,123,43,380,3,37,41,215,129,153,128,34,13,744,0,0,0,0,0,10,7,0,0,12,0,0,10,50,4,0,0,0,0,75,0,0,0,8,20,0,0,0,0,31,5,21,33,218,62,64,39,10,0,458,0,0,0,20,3,10,6,8,0,54,0,0,0,4,0,3,3,4,0,12,0,7,9,32,30,49,80,66,16,292,0,3,11,11,17,3,6,0,0,51,3,13,15,56,41,27,19,6,0,179,0,7,15,68,15,12,3,5,4,135,0,0,0,32,7,0,0,0,0,39,0,8,13,70,31,17,0,0,0,144,0,0,0,3,4,0,0,0,0,10,0,15,24,71,38,39,41,10,0,234
CED203,0,0,0,0,0,5,17,9,8,37,0,0,0,12,3,3,5,3,0,21,0,9,29,227,64,41,28,12,3,411,0,0,7,51,0,0,0,0,0,62,0,3,0,13,16,21,72,53,15,188,3,26,38,169,130,164,91,48,4,667,0,0,0,4,0,5,9,0,0,13,0,3,3,35,5,0,0,0,0,51,0,0,3,16,30,16,3,0,0,63,4,19,39,229,89,59,43,8,0,487,0,0,0,6,7,3,10,4,0,29,0,0,0,0,0,0,0,0,0,0,0,5,6,13,31,53,60,49,17,226,0,0,4,11,0,5,7,0,0,31,0,10,30,68,41,26,15,12,0,203,0,12,13,67,18,16,16,5,8,143,0,0,0,58,0,0,0,3,0,63,3,97,157,148,18,17,3,0,0,445,0,0,0,0,0,0,0,3,0,13,4,14,24,54,33,26,26,12,0,189
CED204,0,0,0,4,4,15,46,34,18,117,0,0,19,121,81,165,160,105,61,717,0,3,9,53,23,9,16,0,0,115,0,0,12,55,3,5,0,0,0,75,0,0,3,8,15,28,96,110,68,323,15,152,258,461,210,174,92,23,7,1395,0,0,7,40,30,60,53,30,3,226,24,199,265,586,98,50,31,4,0,1254,0,0,0,9,3,0,0,0,0,17,4,70,109,561,242,277,158,48,16,1491,0,0,5,75,75,174,166,74,43,618,0,12,33,61,68,57,22,10,0,267,0,0,9,14,39,82,92,77,43,354,0,29,30,81,38,43,34,6,3,270,0,12,23,118,114,96,88,43,16,509,16,139,288,1602,616,594,420,182,78,3928,0,6,5,94,8,7,6,3,0,129,3,16,33,183,62,24,10,0,0,328,3,7,5,36,87,76,59,27,11,306,4,20,34,51,13,14,10,3,3,141
CED205,0,0,0,14,16,67,174,116,30,412,0,0,7,40,11,19,14,4,4,97,0,3,7,12,9,3,4,4,0,44,4,48,176,837,29,16,11,0,0,1121,0,0,4,7,0,10,20,4,4,49,44,255,322,534,144,92,34,14,0,1433,0,0,6,46,30,49,32,13,6,185,33,223,135,929,132,33,22,3,0,1509,0,4,4,10,8,0,5,0,0,25,10,53,138,699,313,293,152,33,8,1708,0,0,0,24,19,34,30,12,3,133,0,35,67,145,135,108,43,7,0,554,0,0,0,10,14,34,40,19,12,126,0,22,27,63,35,31,13,0,0,204,0,7,11,41,20,16,11,6,0,109,5,77,146,714,353,240,88,48,17,1706,0,0,0,36,6,5,0,0,0,56,0,14,26,182,51,35,4,3,0,317,12,73,110,849,1005,835,485,210,44,3625,5,25,27,46,11,8,5,0,0,130
CED206,0,0,0,0,0,9,17,13,5,46,0,3,0,13,7,18,8,4,0,51,4,31,142,303,75,33,20,3,0,622,0,5,0,25,3,0,0,0,0,41,0,3,7,41,45,66,260,191,89,704,0,36,51,285,191,208,117,31,10,927,0,0,0,4,0,11,6,4,0,27,0,4,0,14,0,4,0,0,0,21,0,4,0,12,17,10,3,0,0,47,6,17,20,152,80,66,45,15,6,394,0,0,4,39,19,29,50,20,7,167,0,0,0,4,0,3,3,0,0,7,0,8,12,51,42,95,113,85,29,436,0,8,6,27,20,15,10,0,0,89,0,10,38,137,118,68,60,25,7,471,0,8,3,87,23,38,34,8,10,216,0,0,0,25,9,12,0,0,0,36,0,9,40,132,38,15,5,0,0,241,0,0,0,3,9,3,0,0,0,18,0,16,21,97,61,38,43,16,0,297
CED207,0,0,0,0,0,4,24,28,5,61,0,5,10,57,22,47,28,15,9,200,0,5,7,21,12,10,8,3,6,66,0,3,50,90,11,5,3,0,0,158,0,3,16,10,12,13,30,48,36,161,12,104,148,210,143,118,99,40,25,898,0,0,0,5,0,12,11,4,10,45,0,28,36,139,15,14,3,0,0,237,0,0,7,0,12,10,0,0,0,34,3,33,83,408,103,118,69,20,3,838,0,4,0,41,27,79,67,41,38,302,0,0,0,5,3,4,4,0,0,8,0,0,6,11,25,30,54,80,32,251,10,96,189,211,144,113,93,35,5,895,0,37,57,143,107,68,64,31,13,517,7,141,403,1079,505,438,340,170,69,3148,0,12,30,281,95,60,68,5,3,560,3,12,44,199,87,32,21,14,3,424,0,0,0,18,29,32,29,19,15,150,13,71,54,82,34,33,23,13,0,318
CED208,0,0,0,12,3,12,51,46,32,164,0,0,6,41,15,13,13,6,8,102,0,0,0,8,0,0,0,0,0,15,0,5,160,312,5,0,0,0,0,488,0,0,7,32,15,5,12,10,9,94,7,25,57,796,210,138,64,23,8,1327,0,4,5,83,88,121,178,110,46,635,0,18,12,96,4,12,0,0,0,145,0,0,4,13,21,5,0,0,0,43,0,24,53,318,109,102,76,12,3,702,0,0,0,49,23,12,22,21,12,133,0,0,5,0,9,11,7,0,0,31,0,4,12,82,43,33,30,22,4,229,0,12,22,130,26,14,13,3,0,223,0,8,14,142,44,17,15,4,0,246,4,8,44,190,33,66,39,18,3,400,0,3,9,100,10,10,6,0,0,137,0,18,22,182,53,25,12,3,0,306,0,0,8,44,41,27,27,19,8,176,17,27,42,299,63,33,21,7,0,510
CED209,0,0,0,0,8,28,67,49,5,156,0,3,6,14,9,8,3,0,0,48,0,0,0,3,0,0,0,0,0,5,0,4,5,51,0,0,0,0,0,68,0,13,3,22,18,36,140,92,39,357,3,51,57,277,157,144,132,44,9,872,0,0,0,8,0,3,9,8,0,35,0,3,6,31,5,0,0,0,0,48,0,0,0,4,13,5,9,0,0,35,0,17,37,242,72,60,44,11,0,489,0,0,0,31,13,5,22,7,11,91,0,0,0,4,0,0,0,0,0,10,0,5,10,62,43,81,105,75,27,398,3,6,4,20,11,8,3,0,0,62,4,14,29,114,71,57,40,18,6,350,0,5,19,62,7,14,7,4,0,126,0,0,4,21,4,3,0,0,0,33,0,7,13,72,35,8,0,0,0,137,0,0,0,3,7,4,0,0,0,14,9,21,29,127,42,35,32,8,0,306
CED210,0,0,0,3,0,11,31,10,4,58,0,0,4,23,8,7,0,0,0,43,0,11,36,131,55,29,20,3,0,287,0,0,21,88,0,0,0,0,0,104,0,3,4,18,13,34,152,131,67,421,10,36,60,276,148,127,73,31,16,780,0,0,0,35,45,73,108,62,31,344,6,39,55,104,9,3,4,3,0,225,0,0,0,11,22,7,0,3,0,47,6,36,76,333,160,125,77,21,4,835,0,0,0,32,19,29,47,24,33,189,0,0,0,0,0,0,0,0,0,14,0,15,7,50,40,101,110,102,25,450,0,8,18,39,16,17,18,6,0,124,3,12,33,85,37,30,24,8,6,242,4,9,23,142,29,17,23,3,0,253,0,0,4,32,4,0,0,0,0,38,0,87,104,147,55,31,12,0,0,430,0,0,0,14,16,11,15,10,0,70,4,18,24,100,25,27,25,10,0,233
