CED_CODE_2021,OPDs_Separate_house_Dwellings,OPDs_Separate_house_Persons,OPDs_SD_r_t_h_th_1_sty_Dwgs,OPDs_SD_r_t_h_th_1_sty_Psns,OPDs_SD_r_t_h_th_2_m_sty_Dwgs,OPDs_SD_r_t_h_th_2_m_sty_Psns,OPDs_SD_r_t_h_th_Tot_Dwgs,OPDs_SD_r_t_h_th_Tot_Psns,OPDs_F_ap_I_1or2_sty_blk_Ds,OPDs_F_ap_I_1or2_sty_blk_Ps,OPDs_F_ap_I_3_sty_blk_Dwgs,OPDs_F_ap_I_3_sty_blk_Psns,OPDs_F_ap_I_4to8_sty_blk_Ds,OPDs_F_ap_I_4to8_sty_blk_Ps,OPDs_F_ap_I_9_m_sty_blk_Ds,OPDs_F_ap_I_9_m_sty_blk_Ps,OPDs_Flt_apt_Att_house_Ds,OPDs_Flt_apt_Att_house_Ps,OPDs_Flt_apart_Tot_Dwgs,OPDs_Flt_apart_Tot_Psns,OPDs_Oth_dwg_Cvn_Ds,OPDs_Oth_dw_Cvn_Ps,OPDs_Oth_dwg_cab_hboat_Ds,OPDs_Oth_dwg_cab_hboat_Ps,OPDs_Ot_dwg_Im_hm_tnt_SO_Ds,OPDs_Ot_dwg_Im_hm_tnt_SO_Ps,OPDs_Ot_dwg_Hs_f_att_sh_of_Ds,OPDs_Ot_dwg_Hs_f_att_sh_of_Ps,OPDs_Other_dwelling_Tot_Dwgs,OPDs_Other_dwelling_Tot_Psns,OPDs_Dwlling_structur_NS_Dwgs,OPDs_Dwlling_structur_NS_Psns,OPDs_Tot_OPDs_Dwellings,OPDs_Tot_OPDs_Persons,Unoccupied_PDs_Dwgs,Unoccupied_PDs_Psns,Total_PDs_Dwellings,Total_PDs_Persons
CED201,47854,134038,5021,9207,2931,6847,7959,16053,671,1107,385,598,243,388,170,261,56,131,1531,2492,0,0,0,0,0,0,47,92,47,92,37,71,57422,152738,2973,..,60403,152738
CED202,51946,129313,4956,8202,584,1083,5537,9289,1123,1588,88,129,3,5,0,0,16,41,1234,1756,68,105,59,82,8,19,87,177,226,380,101,205,59035,140949,6546,..,65582,140949
CED203,54416,133013,3322,5086,486,921,3804,6004,418,655,17,44,0,0,0,0,22,22,456,724,83,121,84,187,13,24,99,196,279,525,109,223,59059,140491,5715,..,64779,140491
CED204,48108,144347,5329,12022,2433,7017,7758,19039,1955,3998,284,510,106,217,0,0,33,58,2378,4789,0,6,90,126,0,0,24,56,117,185,57,133,58429,168483,3177,..,61610,168483
CED205,48957,162793,2460,6289,2583,6751,5039,13033,1045,2714,0,4,128,286,0,0,29,62,1208,3069,47,48,63,68,0,6,5,20,115,143,58,157,55380,179189,3363,..,58735,179189
CED206,52796,143547,2067,3263,849,1652,2919,4914,245,380,11,15,0,0,0,0,50,95,313,495,66,82,114,154,0,6,28,68,216,311,71,147,56307,149419,3669,..,59983,149419
CED207,44246,125566,5407,11264,4662,12838,10072,24102,6147,13522,1640,2875,2304,3841,1263,2355,49,94,11399,22674,0,0,0,0,0,0,32,68,28,68,47,87,65793,172503,7103,..,72893,172503
CED208,35348,95243,8759,17464,8158,18158,16920,35626,4744,7298,1542,2468,3042,4971,440,652,32,85,9802,15474,0,4,4,5,0,0,353,718,356,723,45,79,62474,147145,6668,..,69142,147145
CED209,51352,133868,2802,4674,855,1747,3656,6419,204,324,37,65,5,3,0,0,17,22,260,417,44,62,145,211,8,8,21,40,215,326,70,129,55553,141161,11303,..,66856,141161
CED210,51184,129808,6422,10107,1551,3133,7973,13241,1774,2747,163,250,300,453,134,229,11,23,2382,3692,37,49,203,282,5,6,123,287,367,623,88,168,61989,147532,4710,..,66698,147532
CED211,51377,138246,5807,10913,2388,5874,8198,16794,496,956,686,1119,971,1594,74,117,47,108,2274,3894,0,0,0,0,0,0,28,68,29,72,49,94,61926,159105,3979,..,65906,159105
CED212,48044,129164,7070,11627,2255,4627,9327,16254,1177,1717,180,282,116,177,24,31,61,103,1553,2310,26,36,253,310,0,0,32,97,307,441,55,104,59295,148264,3713,..,63001,148264
CED213,49502,121749,5087,8109,1729,3584,6822,11696,1399,2275,129,205,40,67,0,3,44,79,1616,2626,41,49,372,524,6,13,33,58,450,639,45,86,58434,136794,24167,..,82598,136794
CED214,39695,113735,4828,10440,7873,20401,12704,30839,4860,9185,1850,3164,2486,4079,1520,2447,76,180,10787,19057,4,6,41,47,6,6,224,495,273,549,86,176,63541,164355,7483,..,71020,164355
CED215,49732,147888,5009,11070,6174,15612,11187,26683,2018,3452,281,456,513,800,253,393,17,46,3082,5138,3,8,38,54,0,3,74,152,125,212,52,109,64179,180025,5264,..,69441,180025
CED216,54833,130328,2512,3693,346,619,2855,4314,2229,3098,31,59,0,0,0,6,19,33,2277,3191,163,225,284,437,25,39,60,132,529,836,133,262,60630,138935,11368,..,72004,138935
CED217,34035,97811,7727,15417,6287,15677,14010,31095,4896,8242,2354,4120,2397,3886,315,497,29,73,10003,16814,0,0,3,0,0,0,328,629,334,624,62,147,58440,146491,5907,..,64351,146491
CED218,47910,152093,3747,8724,2352,6401,6100,15123,383,710,131,228,137,255,0,0,20,38,677,1232,47,56,54,59,0,0,12,39,111,159,42,104,54844,168710,2577,..,57425,168710
CED219,51226,147650,2956,5198,580,1230,3532,6429,1139,1819,0,0,21,26,0,0,39,90,1201,1933,20,34,21,41,7,16,25,66,68,155,38,118,56076,156283,3362,..,59440,156283
CED220,22564,64644,8081,16776,5753,13607,13834,30377,8691,14745,9126,14547,7421,11764,5028,7801,16,43,30279,48898,0,0,0,0,4,4,397,662,399,660,79,144,67153,144731,12023,..,79176,144731
CED221,51370,165464,3686,8918,1130,3046,4824,11967,596,1084,25,39,0,0,0,0,24,55,646,1179,5,5,0,0,0,3,3,3,7,13,56,136,56904,178756,2221,..,59122,178756
CED222,46683,136491,6885,15988,5827,16462,12714,32453,5410,11572,901,1656,1370,2364,389,717,52,119,8112,16428,45,63,72,83,0,0,43,91,168,229,67,127,67744,185721,5930,..,73677,185721
CED223,55857,133576,3855,5564,170,308,4028,5874,428,648,15,50,15,38,10,21,20,43,493,807,192,279,152,218,15,29,104,230,461,758,140,321,60982,141332,10211,..,71190,141332
CED224,35786,105207,8874,16893,6351,15564,15231,32455,6381,11182,826,1323,1336,2112,346,577,15,32,8912,15232,61,75,161,194,0,0,138,221,363,497,50,100,60340,153490,4443,..,64785,153490
CED225,46165,127180,4423,7874,3791,8874,8219,16749,2415,4317,516,841,964,1547,299,464,37,67,4230,7238,0,0,0,0,0,0,41,85,42,85,52,107,58707,151355,4427,..,63136,151355
CED226,33286,98320,7974,16968,4862,12296,12836,29266,5607,9944,4840,8086,4022,6752,626,987,14,43,15109,25809,0,0,0,0,0,0,184,375,184,375,76,152,61481,153918,8123,..,69608,153918
