CED_CODE_2021,M_Afghanistan_0_4,M_Afghanistan_5_14,M_Afghanistan_15_24,M_Afghanistan_25_44,M_Afghanistan_45_54,M_Afghanistan_55_64,M_Afghanistan_65_74,M_Afghanistan_75_84,M_Afghanistan_85ov,M_Afghanistan_Tot,M_Australia_0_4,M_Australia_5_14,M_Australia_15_24,M_Australia_25_44,M_Australia_45_54,M_Australia_55_64,M_Australia_65_74,M_Australia_75_84,M_Australia_85ov,M_Australia_Tot,M_Bangladesh_0_4,M_Bangladesh_5_14,M_Bangladesh_15_24,M_Bangladesh_25_44,M_Bangladesh_45_54,M_Bangladesh_55_64,M_Bangladesh_65_74,M_Bangladesh_75_84,M_Bangladesh_85ov,M_Bangladesh_Tot,M_Bosnia_Herzegov_0_4,M_Bosnia_Herzegov_5_14,M_Bosnia_Herzegov_15_24,M_Bosnia_Herzegov_25_44,M_Bosnia_Herzegov_45_54,M_Bosnia_Herzegov_55_64,M_Bosnia_Herzegov_65_74,M_Bosnia_Herzegov_75_84,M_Bosnia_Herzegov_85ov,M_Bosnia_Herzegov_Tot,M_Brazil_0_4,M_Brazil_5_14,M_Brazil_15_24,M_Brazil_25_44,M_Brazil_45_54,M_Brazil_55_64,M_Brazil_65_74,M_Brazil_75_84,M_Brazil_85ov,M_Brazil_Tot,M_Cambodia_0_4,M_Cambodia_5_14,M_Cambodia_15_24,M_Cambodia_25_44,M_Cambodia_45_54,M_Cambodia_55_64,M_Cambodia_65_74,M_Cambodia_75_84,M_Cambodia_85ov,M_Cambodia_Tot,M_Canada_0_4,M_Canada_5_14,M_Canada_15_24,M_Canada_25_44,M_Canada_45_54,M_Canada_55_64,M_Canada_65_74,M_Canada_75_84,M_Canada_85ov,M_Canada_Tot,M_Chile_0_4,M_Chile_5_14,M_Chile_15_24,M_Chile_25_44,M_Chile_45_54,M_Chile_55_64,M_Chile_65_74,M_Chile_75_84,M_Chile_85ov,M_Chile_Tot,M_China_0_4,M_China_5_14,M_China_15_24,M_China_25_44,M_China_45_54,M_China_55_64,M_China_65_74,M_China_75_84,M_China_85ov,M_China_Tot,M_Croatia_0_4,M_Croatia_5_14,M_Croatia_15_24,M_Croatia_25_44,M_Croatia_45_54,M_Croatia_55_64,M_Croatia_65_74,M_Croatia_75_84,M_Croatia_85ov,M_Croatia_Tot,M_Egypt_0_4,M_Egypt_5_14,M_Egypt_15_24,M_Egypt_25_44,M_Egypt_45_54,M_Egypt_55_64,M_Egypt_65_74,M_Egypt_75_84,M_Egypt_85ov,M_Egypt_Tot,M_England_0_4,M_England_5_14,M_England_15_24,M_England_25_44,M_England_45_54,M_England_55_64,M_England_65_74,M_England_75_84,M_England_85ov,M_England_Tot,M_Fiji_0_4,M_Fiji_5_14,M_Fiji_15_24,M_Fiji_25_44,M_Fiji_45_54,M_Fiji_55_64,M_Fiji_65_74,M_Fiji_75_84,M_Fiji_85ov,M_Fiji_Tot,M_France_0_4,M_France_5_14,M_France_15_24,M_France_25_44,M_France_45_54,M_France_55_64,M_France_65_74,M_France_75_84,M_France_85ov,M_France_Tot,M_Germany_0_4,M_Germany_5_14,M_Germany_15_24,M_Germany_25_44,M_Germany_45_54,M_Germany_55_64,M_Germany_65_74,M_Germany_75_84,M_Germany_85ov,M_Germany_Tot,M_Greece_0_4,M_Greece_5_14,M_Greece_15_24,M_Greece_25_44,M_Greece_45_54,M_Greece_55_64,M_Greece_65_74,M_Greece_75_84,M_Greece_85ov,M_Greece_Tot,M_Hong_Kong_SAR_Ch_0_4,M_Hong_Kong_SAR_Ch_5_14,M_Hong_Kong_SAR_Ch_15_24,M_Hong_Kong_SAR_Ch_25_44,M_Hong_Kong_SAR_Ch_45_54,M_Hong_Kong_SAR_Ch_55_64,M_Hong_Kong_SAR_Ch_65_74,M_Hong_Kong_SAR_Ch_75_84,M_Hong_Kong_SAR_Ch_85ov,M_Hong_Kong_SAR_Ch_Tot,M_India_0_4,M_India_5_14,M_India_15_24,M_India_25_44,M_India_45_54,M_India_55_64,M_India_65_74,M_India_75_84,M_India_85ov,M_India_Tot,M_Indonesia_0_4,M_Indonesia_5_14,M_Indonesia_15_24,M_Indonesia_25_44,M_Indonesia_45_54,M_Indonesia_55_64,M_Indonesia_65_74,M_Indonesia_75_84,M_Indonesia_85ov,M_Indonesia_Tot,M_Iran_0_4,M_Iran_5_14,M_Iran_15_24,M_Iran_25_44,M_Iran_45_54,M_Iran_55_64,M_Iran_65_74,M_Iran_75_84,M_Iran_85ov,M_Iran_Tot
CED201,0,0,3,51,20,29,13,4,0,116,4094,8528,7816,12524,6226,5474,3742,1843,550,50800,0,0,5,25,8,7,4,0,0,50,0,0,0,20,9,12,4,3,0,45,0,0,0,16,0,3,0,0,0,28,0,3,3,47,68,58,52,16,6,256,0,4,6,31,23,10,3,9,0,83,0,0,0,6,18,25,15,15,0,86,17,188,283,1842,503,493,373,98,36,3821,0,0,0,16,13,26,27,31,8,126,0,12,15,53,20,64,62,50,11,282,7,53,95,309,358,602,511,400,145,2476,0,0,3,33,30,30,16,10,4,125,0,0,9,17,10,13,7,3,3,62,0,7,9,37,34,51,91,172,79,485,0,8,4,22,31,69,88,73,21,312,9,36,58,291,101,144,97,14,3,763,14,135,231,1156,456,316,190,75,29,2599,0,11,24,118,60,27,17,20,5,291,0,26,33,250,87,58,34,9,3,496
CED202,0,0,4,5,4,0,0,0,0,13,4057,9241,7888,14703,7783,7580,6312,3056,926,61542,0,0,8,34,11,0,3,0,0,52,0,0,0,0,0,4,4,3,3,21,0,0,0,12,3,0,0,0,0,15,0,3,0,5,0,0,0,0,0,8,0,0,3,26,14,19,23,5,0,99,0,0,0,7,3,0,3,3,0,25,0,28,33,162,28,33,23,8,0,317,0,0,0,4,10,20,31,29,7,97,0,0,11,5,3,0,7,11,0,40,0,65,62,239,281,420,511,288,85,1950,0,3,5,8,11,3,7,0,0,34,0,3,5,14,8,7,10,0,0,42,0,4,0,15,23,28,106,51,10,232,0,0,0,0,5,10,24,17,5,56,0,5,6,18,13,3,8,0,0,49,6,39,171,671,99,24,21,10,4,1054,0,6,4,14,6,0,3,3,0,42,0,0,5,15,9,0,4,0,0,36
CED203,0,6,5,29,3,7,0,0,0,45,4068,8905,7383,14308,7512,7804,7128,3649,1240,62001,0,3,4,22,3,3,0,0,0,37,0,0,0,0,0,0,0,0,0,0,0,6,0,17,6,0,0,0,0,30,0,0,7,3,3,0,0,0,0,9,0,3,9,25,19,11,8,6,0,79,0,0,0,7,3,0,0,0,0,6,0,13,17,87,20,18,11,4,0,168,0,0,0,3,0,7,12,13,0,37,4,5,10,15,6,6,6,8,4,62,4,32,50,186,260,378,422,287,67,1706,0,0,4,12,6,3,3,0,0,30,0,0,6,20,4,6,9,3,0,47,0,0,3,23,17,27,71,48,14,197,0,0,0,0,3,17,12,9,9,50,0,3,3,13,12,0,0,0,0,38,0,61,72,473,60,23,25,13,0,739,0,0,7,9,11,3,3,0,0,39,0,8,3,15,5,0,0,0,0,37
CED204,28,316,763,2770,807,331,133,40,3,5187,5139,9160,7756,10139,4679,3804,2331,970,326,44309,0,13,15,110,35,15,15,0,0,208,0,4,29,234,138,165,98,57,7,730,0,0,0,12,3,0,0,0,0,19,0,9,40,136,87,79,69,18,4,448,0,8,0,18,13,6,3,0,0,56,0,0,8,50,83,73,57,37,6,317,11,72,112,755,279,366,262,86,34,1973,0,0,0,121,69,170,161,89,22,643,4,11,46,82,45,84,77,41,14,414,0,34,85,186,251,427,369,291,89,1734,0,8,21,137,98,123,58,21,3,468,0,0,0,25,11,13,3,7,5,66,0,0,8,28,32,40,64,82,26,285,0,12,22,40,70,101,149,179,42,621,5,15,15,70,32,31,34,6,0,201,35,269,719,2695,815,469,296,107,33,5450,8,16,20,122,58,26,44,11,0,306,3,86,153,305,73,58,26,0,3,705
CED205,0,13,32,134,22,27,3,4,0,235,7452,11352,7984,11042,3746,3023,1397,537,122,46655,0,17,9,132,36,18,16,3,0,236,0,0,3,41,18,35,20,11,7,132,0,0,0,19,4,0,0,0,0,22,0,4,4,15,0,0,0,0,0,30,0,10,3,13,3,6,0,0,0,50,0,0,0,9,17,18,9,12,0,68,0,14,16,120,46,74,29,18,3,322,0,0,0,14,25,50,50,67,17,228,3,32,26,127,47,77,77,32,8,417,5,43,46,114,91,157,122,68,22,669,0,8,38,183,94,80,48,9,0,463,0,0,0,17,6,7,0,3,0,31,0,5,5,28,20,14,23,30,3,126,0,5,18,47,26,81,111,84,27,399,0,6,5,26,11,7,0,0,0,51,55,418,875,5604,662,284,248,56,13,8217,0,3,12,57,25,7,6,0,0,115,4,24,61,274,45,41,22,6,0,472
CED206,0,0,4,3,0,0,0,0,0,6,4733,9601,8467,16013,8140,7159,5184,2353,554,62210,0,0,0,8,5,5,0,0,0,18,0,0,0,3,6,3,0,0,0,17,0,0,0,12,5,0,0,0,0,19,0,0,0,6,4,0,0,0,0,14,0,3,4,34,28,16,16,7,0,114,0,0,0,12,11,3,0,5,0,31,3,27,50,155,59,68,30,8,4,405,0,0,0,4,6,13,14,17,8,67,0,0,0,7,4,4,5,7,4,34,12,62,130,440,578,975,856,598,167,3814,0,0,0,12,9,13,5,3,0,42,0,0,8,31,10,19,10,9,0,88,0,9,4,40,34,76,152,118,37,475,0,0,0,4,10,24,26,18,4,91,0,6,6,37,12,12,6,0,0,85,0,41,39,284,76,46,46,18,0,552,0,6,5,19,13,4,12,3,4,63,0,15,7,93,26,6,8,0,0,166
CED207,0,5,4,50,16,24,12,4,0,121,3439,7881,7792,8401,4868,3937,2770,2326,1171,42581,3,21,45,99,38,22,13,0,0,238,0,0,0,10,6,13,3,8,0,40,0,0,0,36,4,9,0,0,0,54,0,7,32,41,51,37,28,16,4,214,4,10,15,37,31,15,8,0,3,134,0,0,0,13,17,8,10,3,0,51,62,681,1680,5131,1483,1478,959,341,169,11985,0,0,0,14,12,18,24,40,25,130,0,13,15,56,14,41,53,66,24,287,11,90,114,265,248,315,286,269,127,1731,0,3,5,41,33,30,15,9,5,140,0,3,14,49,16,11,11,5,0,108,0,8,17,42,48,26,64,89,39,333,4,17,22,47,64,171,226,502,202,1252,16,125,188,503,157,246,222,58,16,1528,30,438,862,2896,787,379,295,128,43,5867,5,18,101,278,130,52,75,33,6,695,4,28,61,262,98,39,28,19,0,532
CED208,0,0,3,20,6,5,0,0,0,37,4006,7007,6580,16606,7175,4524,2227,787,314,49221,0,8,15,96,8,7,0,0,0,142,0,0,0,28,11,16,16,10,0,79,0,0,8,80,4,3,0,0,0,97,0,3,9,8,14,5,11,0,3,49,4,8,4,95,40,18,3,0,0,177,0,4,0,49,19,14,11,5,0,103,7,49,259,774,225,301,200,57,32,1904,0,0,0,8,13,37,34,48,16,163,0,5,7,45,10,27,48,32,3,175,21,67,73,785,411,330,166,92,31,1965,0,4,3,32,23,22,12,9,3,99,0,0,3,95,32,16,11,4,0,170,3,14,9,83,39,39,26,26,5,236,0,4,24,78,101,295,435,694,316,1940,0,3,29,90,19,10,13,0,0,178,18,92,314,1594,152,57,46,24,8,2305,0,7,8,78,19,10,3,9,4,135,0,7,15,196,29,7,8,0,0,259
CED209,0,6,0,7,5,0,0,0,0,16,4533,9392,7436,14522,7091,6489,6413,3136,963,59966,0,0,7,22,4,0,0,0,0,33,0,0,0,9,3,10,8,0,0,31,0,0,0,27,0,0,0,0,0,30,0,0,0,4,0,0,0,0,0,4,0,12,10,53,31,17,11,4,0,132,0,0,0,9,0,4,4,0,0,17,0,16,43,144,29,21,27,8,0,287,0,0,0,8,10,29,24,31,9,116,0,10,0,11,3,6,16,13,3,61,4,109,142,408,420,522,619,474,150,2846,0,0,0,19,11,3,4,0,0,40,0,7,0,38,14,8,6,6,0,78,0,9,4,36,36,19,98,82,34,314,0,0,0,8,7,21,47,41,13,136,0,9,12,17,0,8,3,0,0,47,6,43,192,816,65,32,24,12,6,1192,3,0,11,20,8,0,0,0,3,50,0,8,4,42,17,9,4,0,0,82
CED210,0,26,72,176,42,19,4,0,0,343,4325,8349,8091,15909,7530,6725,4963,2315,770,58985,0,0,5,38,4,0,0,0,0,58,0,0,4,69,20,60,29,21,3,203,0,0,6,19,8,0,3,0,0,34,0,0,4,5,4,4,4,0,0,20,6,4,9,32,16,14,9,3,4,99,0,0,0,13,3,5,5,0,0,22,0,47,65,200,52,47,54,21,3,487,0,3,3,55,45,117,122,140,59,559,5,7,12,24,4,3,6,8,0,79,9,73,101,341,328,483,412,296,102,2142,0,3,5,19,6,3,5,0,0,46,5,7,9,24,13,14,3,0,4,70,3,5,9,28,32,30,130,88,43,360,0,0,4,0,13,21,41,42,22,155,0,15,20,19,3,8,13,0,0,78,17,72,295,1380,77,24,26,15,0,1909,0,6,5,37,9,5,10,0,0,77,3,26,42,88,22,15,4,4,5,204
