CED_CODE_2021,M_Singapore_0_4,M_Singapore_5_14,M_Singapore_15_24,M_Singapore_25_44,M_Singapore_45_54,M_Singapore_55_64,M_Singapore_65_74,M_Singapore_75_84,M_Singapore_85ov,M_Singapore_Tot,M_South_Africa_0_4,M_South_Africa_5_14,M_South_Africa_15_24,M_South_Africa_25_44,M_South_Africa_45_54,M_South_Africa_55_64,M_South_Africa_65_74,M_South_Africa_75_84,M_South_Africa_85ov,M_South_Africa_Tot,M_Sri_Lanka_0_4,M_Sri_Lanka_5_14,M_Sri_Lanka_15_24,M_Sri_Lanka_25_44,M_Sri_Lanka_45_54,M_Sri_Lanka_55_64,M_Sri_Lanka_65_74,M_Sri_Lanka_75_84,M_Sri_Lanka_85ov,M_Sri_Lanka_Tot,M_Taiwan_0_4,M_Taiwan_5_14,M_Taiwan_15_24,M_Taiwan_25_44,M_Taiwan_45_54,M_Taiwan_55_64,M_Taiwan_65_74,M_Taiwan_75_84,M_Taiwan_85ov,M_Taiwan_Tot,M_Thailand_0_4,M_Thailand_5_14,M_Thailand_15_24,M_Thailand_25_44,M_Thailand_45_54,M_Thailand_55_64,M_Thailand_65_74,M_Thailand_75_84,M_Thailand_85ov,M_Thailand_Tot,M_Turkey_0_4,M_Turkey_5_14,M_Turkey_15_24,M_Turkey_25_44,M_Turkey_45_54,M_Turkey_55_64,M_Turkey_65_74,M_Turkey_75_84,M_Turkey_85ov,M_Turkey_Tot,M_USA_0_4,M_USA_5_14,M_USA_15_24,M_USA_25_44,M_USA_45_54,M_USA_55_64,M_USA_65_74,M_USA_75_84,M_USA_85ov,M_USA_Tot,M_Vietnam_0_4,M_Vietnam_5_14,M_Vietnam_15_24,M_Vietnam_25_44,M_Vietnam_45_54,M_Vietnam_55_64,M_Vietnam_65_74,M_Vietnam_75_84,M_Vietnam_85ov,M_Vietnam_Tot,M_Wales_0_4,M_Wales_5_14,M_Wales_15_24,M_Wales_25_44,M_Wales_45_54,M_Wales_55_64,M_Wales_65_74,M_Wales_75_84,M_Wales_85ov,M_Wales_Tot,M_Zimbabwe_0_4,M_Zimbabwe_5_14,M_Zimbabwe_15_24,M_Zimbabwe_25_44,M_Zimbabwe_45_54,M_Zimbabwe_55_64,M_Zimbabwe_65_74,M_Zimbabwe_75_84,M_Zimbabwe_85ov,M_Zimbabwe_Tot,M_Elsewhere_0_4,M_Elsewhere_5_14,M_Elsewhere_15_24,M_Elsewhere_25_44,M_Elsewhere_45_54,M_Elsewhere_55_64,M_Elsewhere_65_74,M_Elsewhere_75_84,M_Elsewhere_85ov,M_Elsewhere_Tot,M_COB_NS_0_4,M_COB_NS_5_14,M_COB_NS_15_24,M_COB_NS_25_44,M_COB_NS_45_54,M_COB_NS_55_64,M_COB_NS_65_74,M_COB_NS_75_84,M_COB_NS_85ov,M_COB_NS_Tot,M_Tot_0_4,M_Tot_5_14,M_Tot_15_24,M_Tot_25_44,M_Tot_45_54,M_Tot_55_64,M_Tot_65_74,M_Tot_75_84,M_Tot_85ov,M_Tot_Tot,F_Afghanistan_0_4,F_Afghanistan_5_14,F_Afghanistan_15_24,F_Afghanistan_25_44,F_Afghanistan_45_54,F_Afghanistan_55_64,F_Afghanistan_65_74,F_Afghanistan_75_84,F_Afghanistan_85ov,F_Afghanistan_Tot,F_Australia_0_4,F_Australia_5_14,F_Australia_15_24,F_Australia_25_44,F_Australia_45_54,F_Australia_55_64,F_Australia_65_74,F_Australia_75_84,F_Australia_85ov,F_Australia_Tot,F_Bangladesh_0_4,F_Bangladesh_5_14,F_Bangladesh_15_24,F_Bangladesh_25_44,F_Bangladesh_45_54,F_Bangladesh_55_64,F_Bangladesh_65_74,F_Bangladesh_75_84,F_Bangladesh_85ov,F_Bangladesh_Tot,F_Bosnia_Herzegov_0_4,F_Bosnia_Herzegov_5_14,F_Bosnia_Herzegov_15_24,F_Bosnia_Herzegov_25_44,F_Bosnia_Herzegov_45_54,F_Bosnia_Herzegov_55_64,F_Bosnia_Herzegov_65_74,F_Bosnia_Herzegov_75_84,F_Bosnia_Herzegov_85ov,F_Bosnia_Herzegov_Tot,F_Brazil_0_4,F_Brazil_5_14,F_Brazil_15_24,F_Brazil_25_44,F_Brazil_45_54,F_Brazil_55_64,F_Brazil_65_74,F_Brazil_75_84,F_Brazil_85ov,F_Brazil_Tot,F_Cambodia_0_4,F_Cambodia_5_14,F_Cambodia_15_24,F_Cambodia_25_44,F_Cambodia_45_54,F_Cambodia_55_64,F_Cambodia_65_74,F_Cambodia_75_84,F_Cambodia_85ov,F_Cambodia_Tot,F_Canada_0_4,F_Canada_5_14,F_Canada_15_24,F_Canada_25_44,F_Canada_45_54,F_Canada_55_64,F_Canada_65_74,F_Canada_75_84,F_Canada_85ov,F_Canada_Tot
CED201,3,53,110,120,89,72,65,12,3,515,0,20,38,127,116,81,83,30,4,505,3,54,174,650,299,329,280,90,12,1892,4,10,3,60,18,15,17,4,0,129,0,14,14,55,7,3,3,0,0,107,0,0,0,14,16,11,6,7,3,68,4,27,19,52,31,29,18,7,8,198,4,13,31,124,158,169,88,21,6,606,0,5,0,9,10,14,18,12,7,83,0,0,7,25,12,9,3,3,0,63,7,61,123,438,280,326,300,242,125,1897,96,240,237,659,298,259,237,207,97,2333,4291,9777,9877,20909,10352,9838,7519,4047,1333,77940,0,4,6,59,29,22,9,3,0,128,3950,7744,7181,12011,6545,5770,4400,2409,1016,51021,0,0,7,29,6,8,0,0,0,53,0,0,0,13,8,11,8,0,3,52,0,0,0,23,4,8,0,0,0,43,0,0,7,77,94,74,48,19,5,316,0,4,9,29,25,9,4,3,0,82
CED202,0,3,0,19,10,6,0,0,0,49,4,11,16,53,42,30,22,7,0,183,0,0,12,98,21,9,11,3,0,154,0,0,3,12,6,0,0,0,0,22,0,10,24,14,11,0,0,0,0,59,0,0,0,6,0,0,3,0,0,11,0,21,15,60,34,22,37,13,0,214,0,9,9,31,15,11,3,0,0,70,0,0,0,8,11,12,14,8,5,58,0,3,3,18,7,0,3,0,0,47,0,29,60,207,105,136,128,84,34,782,182,512,444,953,567,557,553,314,145,4227,4274,10128,8980,18172,9467,9326,8333,4196,1302,74181,0,0,0,0,0,0,0,0,0,3,3953,8676,7714,15530,8467,8348,7002,3568,1689,64941,0,3,3,33,4,0,5,0,0,49,0,0,0,5,3,3,6,0,0,18,0,5,0,24,5,0,0,0,0,35,0,3,7,6,0,0,0,0,0,19,0,5,11,39,21,23,12,0,0,102
CED203,0,3,7,9,5,6,4,4,0,29,0,10,22,55,42,17,26,11,0,187,5,9,20,72,29,17,9,7,0,170,0,3,5,56,4,0,0,0,0,70,10,95,163,88,6,7,0,0,0,364,0,0,0,8,0,5,3,0,0,22,0,12,10,28,30,26,42,6,0,157,0,5,3,50,23,9,5,0,0,106,0,0,0,4,12,19,11,9,6,60,0,0,0,18,13,0,0,3,0,41,13,32,50,158,81,97,97,67,18,611,200,503,433,1035,598,645,544,382,174,4522,4318,9822,8475,17671,9235,9512,8881,4757,1597,74267,0,5,12,22,5,0,0,0,0,46,3898,8308,7280,15321,8215,8745,7767,4154,1955,65648,0,4,3,24,0,3,0,0,0,34,0,0,0,0,0,5,0,0,0,7,0,0,0,16,3,0,0,0,0,19,0,4,0,10,4,0,0,0,0,23,0,10,0,42,20,7,12,4,0,98
CED204,5,52,43,55,35,28,29,8,0,254,0,18,36,119,107,87,64,38,5,469,13,142,344,1906,655,622,439,207,48,4378,0,0,3,65,9,6,11,0,0,102,0,16,17,70,5,4,6,0,0,122,4,9,6,47,57,92,48,34,3,296,8,26,26,46,23,26,9,5,3,170,0,23,51,325,234,242,143,34,26,1078,0,0,0,4,10,16,13,10,0,52,0,3,6,27,16,5,0,0,0,61,18,154,311,1308,832,972,728,430,128,4893,318,562,644,1724,568,522,355,234,82,5012,5685,11634,12214,26468,11413,10483,7428,3811,1206,90343,31,343,715,1701,499,246,92,38,11,3672,4800,8575,7124,9656,4804,3976,2580,1240,635,43380,0,19,15,124,32,21,15,0,0,223,0,0,17,233,149,190,107,50,7,757,0,0,0,21,4,6,4,0,0,35,0,14,39,228,140,127,54,25,7,630,0,7,10,15,17,0,3,3,0,58
CED205,6,21,29,56,24,34,7,5,0,177,0,4,5,37,14,16,11,3,0,95,9,91,198,725,299,318,111,30,12,1800,0,0,0,12,0,0,0,0,0,20,0,11,17,88,10,4,0,0,0,128,9,71,133,890,846,901,361,246,24,3483,0,34,16,34,10,12,8,4,0,116,0,12,27,178,139,166,64,21,4,612,0,0,0,3,5,0,0,0,0,12,6,0,21,38,25,0,3,0,0,93,44,502,573,1725,827,779,485,213,63,5214,381,805,684,1762,597,461,249,141,46,5129,8088,15025,13078,31023,10505,8984,5122,2339,580,94756,0,11,41,94,28,14,3,4,0,195,6891,10687,7986,11428,4067,3045,1555,694,264,46632,0,16,13,126,34,12,11,0,0,212,0,0,4,52,17,38,21,10,5,145,0,0,0,18,0,0,0,0,0,26,0,0,0,13,8,0,3,0,0,25,0,5,15,33,13,10,0,0,0,78
CED206,5,6,16,26,14,14,11,3,0,84,0,6,34,111,116,62,49,19,0,398,0,9,8,84,43,29,24,13,4,210,0,0,0,11,0,3,3,0,0,20,0,12,33,40,3,3,0,0,0,93,0,0,0,6,9,5,0,0,0,20,5,23,26,73,50,32,44,13,0,257,0,5,3,20,12,5,0,6,0,49,0,0,4,6,9,34,13,8,7,80,0,0,4,20,17,13,3,0,0,61,0,33,46,235,189,211,182,172,48,1121,130,325,330,698,460,422,330,228,82,3016,4900,10349,9520,19495,10587,9948,7844,4168,1095,77906,0,0,0,4,0,0,0,0,0,3,4320,8875,7824,16193,8617,7678,5831,2700,881,62913,0,0,0,6,0,0,0,0,0,11,0,0,0,8,4,6,0,0,0,25,0,0,0,10,0,0,0,0,0,16,0,0,3,21,8,4,6,0,0,38,0,0,4,57,41,22,20,4,0,154
CED207,5,104,158,212,106,83,63,24,6,766,0,34,54,122,95,70,45,33,9,471,18,158,558,1397,520,377,346,159,52,3592,6,18,44,233,53,38,52,7,0,440,0,14,36,102,24,6,15,7,4,205,0,0,4,36,29,40,21,24,5,166,10,66,74,73,53,50,18,17,0,360,0,43,116,231,313,330,195,53,22,1302,0,0,0,5,5,12,7,8,0,36,0,0,16,31,13,9,7,0,0,77,23,139,284,703,307,297,279,253,140,2433,102,288,600,1184,349,263,268,259,187,3496,3795,10575,14054,25494,11141,9511,7450,5505,2583,90099,0,0,3,48,20,21,13,3,0,110,3354,7485,7360,7318,4916,3933,3291,3259,1987,42910,0,25,31,101,32,15,15,0,0,215,0,0,3,18,15,12,8,3,3,56,0,6,3,44,12,5,4,0,0,74,0,4,22,67,63,40,36,13,4,250,3,11,17,35,21,21,9,10,4,121
CED208,0,15,9,69,27,9,8,3,0,144,0,5,22,109,36,20,7,3,0,209,0,6,55,238,47,54,40,13,5,457,0,6,3,44,4,0,0,0,0,61,3,15,16,63,13,6,0,0,0,120,0,0,4,48,33,38,18,15,8,163,10,32,20,188,55,37,20,0,0,366,3,37,103,302,218,276,129,50,13,1130,0,0,0,19,18,5,6,3,0,59,0,0,0,28,6,3,0,0,0,51,35,120,141,1106,360,294,221,144,71,2487,126,262,388,1156,437,358,289,217,126,3350,4282,7904,8545,26892,10504,7781,5166,3340,1582,75990,0,0,4,16,8,5,0,0,0,36,3821,6536,6673,17742,7656,5053,2444,1082,785,51800,0,7,14,70,9,3,0,0,0,105,0,5,0,32,12,16,9,12,7,92,0,0,7,93,12,7,0,0,0,123,0,0,8,24,16,9,8,4,0,60,5,11,8,149,51,17,9,4,0,249
CED209,0,7,12,22,15,12,18,0,0,76,0,25,40,99,68,51,37,19,5,346,0,3,48,99,18,13,9,4,3,196,0,5,0,7,4,3,0,0,0,15,0,6,17,22,4,3,0,0,0,49,0,0,0,7,5,0,4,0,0,21,9,38,24,69,36,26,34,13,0,245,0,4,21,39,10,6,3,0,0,81,0,5,0,13,18,17,22,11,4,94,0,0,11,35,13,3,5,0,0,68,10,54,69,251,120,136,148,98,36,924,108,360,329,749,418,413,497,346,133,3352,4701,10229,8646,18443,8885,8305,8765,4636,1477,74092,0,8,0,6,0,0,0,0,0,12,4285,8711,7373,15666,7837,7673,7134,3666,1690,64046,0,4,3,28,3,0,0,0,0,36,0,0,0,14,6,6,0,0,0,27,0,0,0,43,8,0,0,0,0,53,0,0,0,0,4,5,0,0,0,8,3,15,4,90,28,14,13,8,3,176
CED210,0,7,16,19,10,16,10,3,6,84,0,12,18,76,41,37,27,9,0,207,6,8,23,165,24,12,15,10,0,268,0,0,0,19,0,0,0,0,0,22,3,61,100,75,6,3,4,0,0,257,0,0,0,21,18,18,6,14,0,79,0,14,27,59,47,33,20,11,0,212,0,8,28,90,52,48,20,4,0,247,0,0,7,14,12,7,18,13,4,81,0,0,8,29,14,6,3,0,0,60,12,98,124,464,196,274,295,237,99,1786,175,453,500,1107,511,461,382,272,103,3960,4588,9520,9976,22100,9760,9128,7424,4026,1443,77971,0,13,52,113,43,9,13,3,0,241,4091,8017,7901,16342,8061,7320,5732,3042,1387,61898,0,3,0,27,7,3,0,0,0,40,0,0,5,54,31,67,40,30,3,233,0,5,0,34,4,3,0,0,0,46,0,0,0,19,6,8,4,0,0,38,0,6,11,69,29,9,10,0,0,139
