CED_CODE_2021,P_Oth_scs_15_19,P_Oth_scs_20_24,P_Oth_scs_25_34,P_Oth_scs_35_44,P_Oth_scs_45_54,P_Oth_scs_55_64,P_Oth_scs_65_74,P_Oth_scs_75_84,P_Oth_scs_85ov,P_Oth_scs_Tot,P_ID_NS_15_19,P_ID_NS_20_24,P_ID_NS_25_34,P_ID_NS_35_44,P_ID_NS_45_54,P_ID_NS_55_64,P_ID_NS_65_74,P_ID_NS_75_84,P_ID_NS_85ov,P_ID_NS_Tot,P_Tot_15_19,P_Tot_20_24,P_Tot_25_34,P_Tot_35_44,P_Tot_45_54,P_Tot_55_64,P_Tot_65_74,P_Tot_75_84,P_Tot_85ov,P_Tot_Tot
CED221,89,342,933,865,579,393,84,7,0,3289,180,538,1479,1397,1020,701,138,15,8,5479,3947,8554,22659,24132,16666,10115,1976,138,16,88199
CED222,76,348,906,858,831,498,132,18,0,3676,132,621,1901,1438,1118,797,195,29,10,6244,3378,9937,25799,21179,17553,11811,2980,276,22,92931
CED223,139,249,553,484,513,450,176,20,0,2584,180,222,451,491,607,503,250,87,20,2801,4618,5255,12794,13784,15493,14646,5225,947,113,72871
CED224,94,243,539,658,655,498,159,24,0,2865,100,282,791,916,927,630,167,37,8,3864,3866,6378,16117,19863,19289,12772,3509,393,33,82227
CED225,91,237,521,558,589,485,158,15,4,2654,90,231,553,680,664,458,167,32,8,2883,3749,6764,15719,18648,18242,13358,4089,481,38,81095
CED226,97,244,431,332,427,381,140,21,6,2078,118,302,712,673,709,490,182,40,13,3242,3902,8955,17491,16304,18342,13718,4932,840,78,84572
CED227,139,315,929,765,644,392,107,15,0,3310,140,354,1046,1136,845,562,136,41,9,4275,4577,7568,20597,21579,16974,10325,2469,315,37,84432
CED228,74,326,790,714,517,366,83,4,0,2877,135,571,1621,1399,807,428,87,16,5,5070,3709,8701,25294,27606,15632,9767,1944,134,11,92800
CED229,45,269,978,621,485,363,116,20,4,2907,54,322,1487,1080,693,456,212,49,6,4367,1963,7954,33707,23302,16705,11355,4331,698,59,100070
CED230,145,275,598,472,388,449,157,26,0,2516,191,278,706,515,643,571,215,133,22,3284,4138,5767,14346,13049,14656,14761,4927,934,122,72700
CED231,55,180,629,562,499,420,130,24,4,2492,93,255,798,739,683,456,144,26,0,3202,3258,7191,19626,18579,16713,11318,3072,304,20,80068
CED232,136,242,753,755,665,449,123,8,0,3140,122,281,759,841,703,449,137,36,5,3337,4484,6568,16323,19767,17655,11769,3034,433,31,80063
CED233,53,376,1327,679,390,305,101,25,0,3247,103,700,2149,932,504,298,88,28,4,4804,2885,16346,53142,24693,13207,8612,2804,452,25,122175
CED234,74,232,537,597,721,516,157,28,0,2872,95,331,865,866,785,554,188,47,13,3741,3832,7751,16200,18497,18402,13604,4011,672,52,83013
CED235,113,260,571,480,552,516,152,19,0,2667,167,189,482,463,528,494,208,60,22,2613,3716,4767,11763,12007,13359,12584,4269,697,75,63234
CED236,153,299,623,510,584,503,156,32,6,2869,179,252,588,551,628,512,201,71,27,3010,4482,5830,13539,13018,14861,13549,4401,669,81,70437
CED237,60,276,725,722,593,410,86,3,0,2885,114,412,1115,1068,828,573,130,26,6,4258,3282,7705,19474,19707,14999,10426,2251,155,10,78009
CED238,145,245,480,424,468,371,160,21,3,2320,187,215,471,409,541,488,267,113,32,2723,4580,5352,13024,12969,15058,14642,5374,992,125,72115
CED239,41,268,811,639,493,346,88,11,0,2700,73,359,1205,831,522,335,72,23,8,3415,2428,8419,27688,21199,14552,9055,1923,182,14,85448
CED294,3,8,12,13,11,3,0,0,0,56,4,13,33,35,23,9,4,4,0,126,82,217,600,341,277,227,47,11,0,1797
CED297,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,6,0,0,0,15
