CED_CODE_2021,M_Iraq_0_4,M_Iraq_5_14,M_Iraq_15_24,M_Iraq_25_44,M_Iraq_45_54,M_Iraq_55_64,M_Iraq_65_74,M_Iraq_75_84,M_Iraq_85ov,M_Iraq_Tot,M_Ireland_0_4,M_Ireland_5_14,M_Ireland_15_24,M_Ireland_25_44,M_Ireland_45_54,M_Ireland_55_64,M_Ireland_65_74,M_Ireland_75_84,M_Ireland_85ov,M_Ireland_Tot,M_Italy_0_4,M_Italy_5_14,M_Italy_15_24,M_Italy_25_44,M_Italy_45_54,M_Italy_55_64,M_Italy_65_74,M_Italy_75_84,M_Italy_85ov,M_Italy_Tot,M_Japan_0_4,M_Japan_5_14,M_Japan_15_24,M_Japan_25_44,M_Japan_45_54,M_Japan_55_64,M_Japan_65_74,M_Japan_75_84,M_Japan_85ov,M_Japan_Tot,M_Korea_South_0_4,M_Korea_South_5_14,M_Korea_South_15_24,M_Korea_South_25_44,M_Korea_South_45_54,M_Korea_South_55_64,M_Korea_South_65_74,M_Korea_South_75_84,M_Korea_South_85ov,M_Korea_South_Tot,M_Lebanon_0_4,M_Lebanon_5_14,M_Lebanon_15_24,M_Lebanon_25_44,M_Lebanon_45_54,M_Lebanon_55_64,M_Lebanon_65_74,M_Lebanon_75_84,M_Lebanon_85ov,M_Lebanon_Tot,M_Malaysia_0_4,M_Malaysia_5_14,M_Malaysia_15_24,M_Malaysia_25_44,M_Malaysia_45_54,M_Malaysia_55_64,M_Malaysia_65_74,M_Malaysia_75_84,M_Malaysia_85ov,M_Malaysia_Tot,M_Malta_0_4,M_Malta_5_14,M_Malta_15_24,M_Malta_25_44,M_Malta_45_54,M_Malta_55_64,M_Malta_65_74,M_Malta_75_84,M_Malta_85ov,M_Malta_Tot,M_Mauritius_0_4,M_Mauritius_5_14,M_Mauritius_15_24,M_Mauritius_25_44,M_Mauritius_45_54,M_Mauritius_55_64,M_Mauritius_65_74,M_Mauritius_75_84,M_Mauritius_85ov,M_Mauritius_Tot,M_Myanmar_0_4,M_Myanmar_5_14,M_Myanmar_15_24,M_Myanmar_25_44,M_Myanmar_45_54,M_Myanmar_55_64,M_Myanmar_65_74,M_Myanmar_75_84,M_Myanmar_85ov,M_Myanmar_Tot,M_Nepal_0_4,M_Nepal_5_14,M_Nepal_15_24,M_Nepal_25_44,M_Nepal_45_54,M_Nepal_55_64,M_Nepal_65_74,M_Nepal_75_84,M_Nepal_85ov,M_Nepal_Tot,M_Netherlands_0_4,M_Netherlands_5_14,M_Netherlands_15_24,M_Netherlands_25_44,M_Netherlands_45_54,M_Netherlands_55_64,M_Netherlands_65_74,M_Netherlands_75_84,M_Netherlands_85ov,M_Netherlands_Tot,M_New_Zealand_0_4,M_New_Zealand_5_14,M_New_Zealand_15_24,M_New_Zealand_25_44,M_New_Zealand_45_54,M_New_Zealand_55_64,M_New_Zealand_65_74,M_New_Zealand_75_84,M_New_Zealand_85ov,M_New_Zealand_Tot,M_North_Macedonia_0_4,M_North_Macedonia_5_14,M_North_Macedonia_15_24,M_North_Macedonia_25_44,M_North_Macedonia_45_54,M_North_Macedonia_55_64,M_North_Macedonia_65_74,M_North_Macedonia_75_84,M_North_Macedonia_85ov,M_North_Macedonia_Tot,M_Pakistan_0_4,M_Pakistan_5_14,M_Pakistan_15_24,M_Pakistan_25_44,M_Pakistan_45_54,M_Pakistan_55_64,M_Pakistan_65_74,M_Pakistan_75_84,M_Pakistan_85ov,M_Pakistan_Tot,M_PNG_0_4,M_PNG_5_14,M_PNG_15_24,M_PNG_25_44,M_PNG_45_54,M_PNG_55_64,M_PNG_65_74,M_PNG_75_84,M_PNG_85ov,M_PNG_Tot,M_Philippines_0_4,M_Philippines_5_14,M_Philippines_15_24,M_Philippines_25_44,M_Philippines_45_54,M_Philippines_55_64,M_Philippines_65_74,M_Philippines_75_84,M_Philippines_85ov,M_Philippines_Tot,M_Poland_0_4,M_Poland_5_14,M_Poland_15_24,M_Poland_25_44,M_Poland_45_54,M_Poland_55_64,M_Poland_65_74,M_Poland_75_84,M_Poland_85ov,M_Poland_Tot,M_Samoa_0_4,M_Samoa_5_14,M_Samoa_15_24,M_Samoa_25_44,M_Samoa_45_54,M_Samoa_55_64,M_Samoa_65_74,M_Samoa_75_84,M_Samoa_85ov,M_Samoa_Tot,M_Scotland_0_4,M_Scotland_5_14,M_Scotland_15_24,M_Scotland_25_44,M_Scotland_45_54,M_Scotland_55_64,M_Scotland_65_74,M_Scotland_75_84,M_Scotland_85ov,M_Scotland_Tot
CED201,0,0,3,18,16,12,5,4,0,62,4,13,8,33,27,24,32,21,13,182,0,0,0,31,32,116,195,131,48,554,0,8,22,10,11,5,4,0,0,48,0,28,40,138,89,44,18,6,0,358,0,0,0,19,14,31,23,15,0,100,6,96,177,601,286,310,250,105,12,1845,0,0,0,3,0,11,36,15,3,69,0,0,6,32,19,47,43,16,7,165,0,0,21,44,12,6,4,5,0,103,0,5,14,63,21,11,3,0,0,113,0,0,3,15,15,26,130,105,46,343,3,73,117,274,177,148,84,53,4,938,0,0,0,5,11,5,10,3,3,39,3,6,20,104,15,21,12,0,0,180,0,0,0,9,12,5,0,0,0,21,7,41,60,213,121,65,56,14,0,566,0,0,0,48,17,53,59,13,17,210,0,0,0,7,7,7,4,0,0,20,0,0,8,31,33,69,95,59,17,310
CED202,0,7,0,15,5,3,0,0,0,32,0,4,12,33,28,17,21,17,13,142,0,0,0,29,10,26,52,38,13,164,0,0,5,13,4,6,0,0,0,26,0,0,7,21,3,3,0,0,0,28,0,0,0,10,6,3,0,0,0,16,0,10,17,46,20,20,18,3,3,134,0,0,0,0,6,14,39,26,0,90,0,0,0,18,4,3,0,4,0,30,0,0,0,3,0,0,0,0,4,8,0,0,31,95,0,0,0,0,0,132,0,4,3,10,12,40,121,116,37,335,3,23,43,175,146,157,100,39,3,681,0,0,0,3,3,10,6,5,0,28,6,13,12,75,8,0,0,0,0,120,0,0,0,10,11,0,0,0,0,17,4,30,42,137,37,13,5,0,0,261,0,0,0,7,12,11,8,0,0,38,0,0,0,0,0,0,0,0,0,7,0,4,8,30,29,51,82,41,11,268
CED203,0,0,0,9,0,0,3,0,0,12,0,0,4,30,18,22,23,15,4,114,0,0,0,9,6,24,53,29,10,138,0,3,5,4,7,0,0,0,0,18,0,8,3,21,0,0,0,0,0,32,0,0,0,9,6,5,3,0,0,25,0,6,18,84,25,16,19,0,0,172,0,0,0,0,4,6,34,10,0,60,0,0,3,6,3,4,0,0,0,20,0,5,37,194,68,38,24,15,4,379,0,0,3,59,7,0,0,0,0,69,0,0,0,3,19,19,79,60,14,197,3,31,43,159,157,141,97,31,9,681,0,0,0,0,0,4,3,0,0,11,0,5,7,49,9,0,0,0,0,70,0,0,3,10,15,0,0,0,0,36,0,28,39,135,40,10,8,4,0,268,0,0,0,7,4,4,12,4,0,32,0,0,0,6,0,0,0,0,0,9,0,0,7,28,28,53,71,40,17,238
CED204,0,20,30,87,66,46,19,5,3,283,0,6,5,32,19,32,33,24,7,150,0,0,3,54,39,143,280,253,110,884,0,4,7,11,3,3,3,0,0,32,0,9,35,109,58,31,6,5,0,259,4,4,11,67,73,112,86,44,8,413,7,49,82,314,93,100,91,25,8,764,0,0,3,0,3,15,39,31,12,107,0,5,22,125,87,174,161,80,37,694,0,0,10,63,21,13,6,0,0,116,0,0,9,65,3,3,0,0,0,86,0,0,3,10,12,32,82,87,37,271,16,168,257,473,217,192,93,29,6,1447,0,0,6,33,38,41,58,31,9,214,39,243,257,743,147,88,35,10,0,1562,0,0,6,6,3,3,0,0,0,23,13,68,110,357,150,148,53,12,4,918,0,0,6,87,56,149,145,48,21,511,0,13,25,62,50,53,25,8,0,236,0,5,4,23,33,97,100,63,23,344
CED205,18,714,979,2869,1433,955,482,158,40,7639,0,0,5,22,10,14,15,8,7,77,0,4,12,75,64,285,416,299,99,1247,0,3,0,0,5,0,0,0,0,13,0,0,3,26,4,4,4,0,0,43,20,74,102,793,397,360,204,81,14,2045,4,27,31,92,29,20,11,7,0,213,0,0,3,14,19,56,164,103,29,387,0,3,9,48,16,20,15,7,4,113,0,3,0,10,4,7,5,0,3,30,4,40,228,924,50,9,16,0,0,1272,0,3,0,4,7,9,11,8,0,43,36,331,335,461,122,103,32,6,4,1430,0,5,3,41,41,56,35,9,8,195,25,216,315,1390,216,62,21,6,0,2257,0,0,3,10,4,0,0,0,0,23,3,57,137,498,199,171,87,12,4,1176,0,0,0,22,19,21,40,8,3,107,0,32,44,151,120,107,50,7,0,515,0,0,0,14,11,24,31,16,4,110
CED206,0,0,0,4,0,0,4,0,0,10,0,8,11,55,28,32,44,27,7,217,0,0,4,34,20,61,149,130,58,447,0,8,5,5,8,3,0,0,0,26,0,3,5,13,15,4,0,0,0,43,0,0,0,10,6,3,10,4,0,40,4,57,16,45,25,32,20,8,3,205,0,0,0,0,0,12,25,13,3,58,0,0,0,13,0,13,10,0,0,36,0,35,135,312,97,32,23,4,0,624,0,0,8,21,5,0,0,0,0,43,0,4,3,31,57,87,238,197,69,695,4,34,52,246,221,203,135,33,7,930,0,0,0,8,5,6,4,0,0,24,0,0,3,22,4,0,0,5,0,38,0,3,0,7,18,8,0,3,0,47,0,14,30,78,33,21,10,0,0,186,0,0,4,28,16,21,33,14,6,122,0,0,0,4,0,4,0,0,0,8,0,0,9,38,55,113,109,70,17,417
CED207,0,0,5,23,14,4,6,6,4,66,0,6,13,45,17,19,17,17,13,149,0,3,14,56,27,103,217,209,157,791,7,27,46,49,37,12,18,7,3,200,7,45,107,337,199,77,26,12,6,810,0,5,3,13,22,14,17,17,0,98,7,91,472,1279,443,459,440,209,32,3433,0,0,0,0,3,12,13,22,6,60,0,5,20,61,17,34,20,12,9,177,0,0,11,22,5,11,8,3,0,69,4,4,54,101,16,4,0,0,0,182,0,8,7,16,14,21,38,40,30,171,17,83,180,259,153,132,85,61,17,986,0,0,0,3,9,6,9,10,0,37,0,46,100,263,50,19,3,0,0,486,0,0,10,8,12,6,0,0,0,34,5,25,59,263,65,57,28,5,0,515,0,3,3,28,27,46,59,33,15,213,0,0,3,5,0,0,0,0,0,10,0,8,10,31,32,50,36,55,25,254
CED208,0,3,13,38,21,30,10,4,0,116,3,5,3,143,50,42,23,11,0,285,0,8,6,224,107,256,543,759,526,2424,4,9,11,39,16,4,4,0,0,88,0,5,10,48,12,0,0,0,0,79,0,0,10,81,119,139,132,90,23,603,0,8,33,248,62,50,48,14,4,479,0,0,0,3,3,27,53,50,12,151,0,0,4,40,11,10,4,4,3,77,0,0,0,7,5,0,0,0,0,15,7,6,179,423,18,4,0,0,0,625,0,0,6,26,18,16,12,9,3,89,5,21,61,734,257,135,57,18,0,1295,0,3,8,63,63,101,167,100,38,535,5,18,42,190,18,9,5,0,0,284,0,0,3,18,13,0,4,0,0,38,0,29,36,219,46,36,26,5,3,400,0,0,0,30,10,11,17,6,8,79,0,0,0,6,3,9,0,4,0,26,0,10,4,96,50,51,27,16,4,263
CED209,0,4,3,12,11,5,0,0,0,31,3,7,16,62,33,30,34,12,11,207,0,0,4,38,21,44,137,61,29,340,0,0,3,11,11,3,3,0,0,29,3,3,3,14,5,6,0,0,0,31,0,0,0,0,4,5,7,0,0,18,0,9,13,44,21,11,17,9,0,128,0,0,0,7,7,43,69,38,9,169,0,3,13,7,5,8,0,0,0,42,0,0,0,0,0,0,0,0,0,8,0,3,7,53,0,0,0,0,0,64,4,0,6,25,17,25,147,91,26,344,8,54,58,279,168,132,117,47,11,872,0,0,0,0,3,11,7,7,3,30,0,7,26,73,6,0,0,0,0,111,0,0,0,9,7,9,4,0,0,27,4,21,41,126,34,18,8,0,0,242,0,0,0,8,0,4,18,4,6,49,0,0,0,4,0,0,0,0,0,3,0,6,6,51,46,78,103,67,15,377
CED210,0,19,21,43,20,13,3,0,0,126,0,15,6,83,34,35,23,19,9,224,0,0,12,43,22,83,162,152,101,578,0,3,4,11,4,4,0,0,0,26,0,3,8,38,5,0,0,0,0,60,4,0,3,19,12,12,8,3,0,64,0,11,31,98,29,20,12,10,0,206,0,0,0,0,3,19,41,29,6,96,0,0,11,22,6,4,0,0,0,44,0,0,32,138,39,26,18,10,0,261,0,0,12,100,0,0,0,0,0,116,0,7,8,9,12,33,153,121,43,377,9,27,75,301,170,128,80,34,4,823,0,0,0,26,32,77,105,46,22,311,7,50,63,259,29,0,4,0,0,420,0,7,0,7,18,6,0,0,0,32,4,32,72,228,96,40,22,5,0,498,0,0,4,15,16,24,38,9,8,115,0,4,4,16,0,5,0,0,0,22,0,4,11,53,51,94,112,69,25,414
