CED_CODE_2021,P_Mng_0,P_Mng_1_19,P_Mng_20_29,P_Mng_30_34,P_Mng_35_39,P_Mng_40_44,P_Mng_45_49,P_Mng_50_over,P_Mng_hours_NS,P_Mng_Tot,P_Pro_0,P_Pro_1_19,P_Pro_20_29,P_Pro_30_34,P_Pro_35_39,P_Pro_40_44,P_Pro_45_49,P_Pro_50_over,P_Pro_hours_NS,P_Pro_Tot,P_TTW_0,P_TTW_1_19,P_TTW_20_29,P_TTW_30_34,P_TTW_35_39,P_TTW_40_44,P_TTW_45_49,P_TTW_50_over,P_TTW_hours_NS,P_TTW_Tot,P_CPS_0,P_CPS_1_19,P_CPS_20_29,P_CPS_30_34,P_CPS_35_39,P_CPS_40_44,P_CPS_45_49,P_CPS_50_over,P_CPS_hours_NS,P_CPS_Tot,P_CA_0,P_CA_1_19,P_CA_20_29,P_CA_30_34,P_CA_35_39,P_CA_40_44,P_CA_45_49,P_CA_50_over,P_CA_hours_NS,P_CA_Tot,P_Sal_0,P_Sal_1_19,P_Sal_20_29,P_Sal_30_34,P_Sal_35_39,P_Sal_40_44,P_Sal_45_49,P_Sal_50_over,P_Sal_hours_NS,P_Sal_Tot,P_MOD_0,P_MOD_1_19,P_MOD_20_29,P_MOD_30_34,P_MOD_35_39,P_MOD_40_44,P_MOD_45_49,P_MOD_50_over,P_MOD_hours_NS,P_MOD_Tot,P_Lab_0,P_Lab_1_19,P_Lab_20_29,P_Lab_30_34,P_Lab_35_39,P_Lab_40_44,P_Lab_45_49,P_Lab_50_over,P_Lab_hours_NS,P_Lab_Tot,P_ID_NS_0,P_ID_NS_1_19,P_ID_NS_20_24,P_ID_NS_30_34,P_ID_NS_35_39,P_ID_NS_40_44,P_ID_NS_45_49,P_ID_NS_50_over,P_ID_NS_hours_NS,P_ID_NS_Tot,P_Tot_0,P_Tot_1_19,P_Tot_20_29,P_Tot_30_34,P_Tot_35_39,P_Tot_40_44,P_Tot_45_49,P_Tot_50_over,P_Tot_hours_NS,P_Tot_Tot
CED201,326,486,619,527,2321,2920,1016,2195,83,10483,723,1804,1880,1578,4660,5202,1253,1933,116,19146,446,941,910,725,2889,3688,824,1192,128,11758,760,2118,1618,1021,1364,902,212,314,97,8397,399,1484,1725,1067,3428,2506,484,631,89,11818,486,2627,1245,472,1249,951,233,298,72,7638,172,385,406,316,1251,1033,287,469,58,4374,384,1742,923,541,1269,932,224,350,90,6452,82,150,110,69,280,268,50,113,342,1453,3778,11736,9432,6321,18700,18400,4585,7495,1081,81521
CED202,334,567,615,511,1501,2077,823,2456,88,8977,823,1638,1850,1686,3063,3390,1011,1765,109,15344,370,803,769,630,2382,3064,788,1394,145,10338,907,2190,1778,1229,1422,1051,240,414,124,9353,404,1267,1336,890,2351,1424,341,383,58,8453,445,2218,1039,490,915,649,196,239,82,6273,211,358,327,208,739,898,348,800,61,3942,496,2039,1043,540,1154,1050,298,447,135,7195,102,111,74,51,166,155,41,123,286,1105,4083,11188,8835,6247,13680,13764,4086,8016,1083,70971
CED203,305,553,603,531,1528,1963,772,2107,93,8452,876,1693,1933,1946,3214,3079,980,1705,94,15528,415,809,760,598,2130,2928,680,1267,132,9729,843,2047,1731,1176,1448,1029,242,434,130,9087,379,1208,1326,863,2173,1313,286,413,54,8011,412,2195,988,444,876,601,148,287,86,6025,230,376,292,226,757,832,308,968,77,4064,473,2198,1067,683,1411,1204,302,465,139,7945,80,130,79,57,186,172,40,103,300,1144,4006,11204,8785,6527,13725,13123,3757,7758,1097,69986
CED204,244,413,556,412,1972,2286,671,1556,93,8209,510,1302,1326,1272,3834,3772,770,1332,151,14270,488,1038,1095,844,3393,3965,987,1154,254,13209,624,1984,1760,1112,1640,878,191,379,167,8734,360,1335,1455,927,3306,2273,440,555,117,10765,480,2484,1166,504,1146,789,169,267,111,7101,206,630,707,520,2248,1702,499,701,162,7383,362,2050,1424,713,2232,1455,372,480,181,9279,89,169,144,93,389,314,56,126,518,1894,3365,11399,9642,6386,20166,17431,4164,6550,1751,80845
CED205,240,374,465,354,1859,1877,510,1223,114,7006,454,1037,1058,1045,3660,3508,575,977,193,12506,425,994,1234,733,2956,3037,661,911,310,11256,692,1887,1834,1184,1951,1127,206,420,249,9546,393,1117,1174,773,3231,2061,352,503,141,9741,481,2255,1172,464,1156,659,139,202,109,6636,291,828,997,581,2017,2000,621,973,238,8549,372,1881,1446,638,1835,1346,321,471,222,8527,86,179,183,91,388,301,50,114,583,1971,3422,10544,9550,5871,19054,15909,3437,5800,2155,75741
CED206,407,630,718,606,2019,2766,1060,2649,86,10939,864,1803,1912,1588,3105,3502,1073,1879,98,15829,666,1154,1057,939,3093,4799,1119,1778,219,14834,1102,2493,1846,1023,1243,1023,260,424,130,9538,485,1627,1682,1099,2500,1826,435,511,85,10259,474,2129,1006,471,948,716,227,278,64,6315,163,349,357,237,997,1057,342,664,55,4208,516,2044,843,539,1300,1216,251,465,115,7286,95,141,81,69,250,252,37,135,341,1411,4775,12359,9498,6572,15464,17160,4796,8789,1204,80620
CED207,340,726,956,751,2655,3702,1013,2554,96,12786,882,2829,2555,2118,6939,8403,1729,3042,207,28709,335,911,1019,601,1994,2081,447,665,123,8171,772,2551,1728,773,1041,698,156,262,103,8077,373,1748,1614,896,3167,2383,434,565,76,11250,565,2757,1315,509,1113,924,201,323,83,7791,116,520,503,227,612,602,159,217,52,3006,329,1893,1215,443,792,585,130,209,82,5673,85,222,187,92,317,253,43,96,450,1741,3793,14153,11073,6418,18626,19626,4317,7923,1278,87202
CED208,457,486,753,802,2445,3133,1200,2476,81,11831,1100,2560,2983,2698,6278,7439,2055,3500,166,28796,400,882,906,659,1899,2326,482,792,152,8491,923,2251,1589,909,1190,843,240,315,111,8368,358,1198,1282,895,2939,2146,438,542,63,9868,507,1996,948,370,880,680,179,290,65,5921,163,394,481,257,717,655,160,275,68,3166,358,1447,954,410,914,702,192,282,87,5355,82,141,117,73,279,237,38,99,394,1464,4350,11363,10021,7066,17546,18165,4993,8575,1188,83259
CED209,408,640,711,570,1738,2489,880,2281,82,9801,1019,2058,2280,1898,3486,3567,1053,1862,145,17365,465,931,846,671,2328,3433,829,1401,153,11056,1071,2535,1819,1103,1270,1233,335,414,126,9917,417,1398,1398,939,2107,1436,314,451,70,8527,516,2474,1053,457,868,719,169,297,64,6621,152,411,298,200,586,837,295,606,42,3429,403,2001,842,420,771,932,215,450,92,6133,86,123,83,62,188,205,37,105,278,1164,4542,12580,9325,6318,13355,14841,4124,7863,1047,73999
CED210,285,472,562,487,1633,2162,800,2116,62,8574,831,1734,1981,1753,3762,3998,1133,2043,94,17327,397,905,813,592,2475,3216,818,1298,128,10646,902,2503,1946,1154,1407,1256,282,448,127,10030,373,1168,1258,825,2375,1650,343,428,64,8486,501,2390,1063,473,920,695,164,282,67,6552,226,475,480,319,1121,1240,408,797,102,5178,455,2331,1123,565,1273,1217,256,456,142,7820,84,137,91,70,244,237,35,128,356,1380,4060,12109,9327,6236,15192,15671,4255,7996,1142,75988
CED211,359,505,711,668,2266,3180,1184,2663,72,11609,984,2286,2359,2099,5180,6296,1611,2758,141,23714,420,855,891,664,2512,3275,740,1149,109,10620,808,2336,1681,978,1311,963,265,351,105,8792,416,1567,1692,1090,3082,2321,488,625,80,11368,528,2566,1127,461,1029,875,194,297,64,7145,133,380,338,205,829,719,239,296,43,3172,293,1831,863,460,1144,730,202,303,71,5897,85,148,115,75,277,264,51,111,323,1455,4023,12477,9787,6697,17628,18622,4967,8568,1007,83785
CED212,359,459,594,558,1922,2638,993,2470,79,10075,805,1495,1750,1598,3023,3641,1024,1864,112,15306,554,859,809,698,2836,4156,972,1437,169,12484,916,2129,1760,1128,1402,1157,230,407,104,9232,441,1333,1517,1020,2679,2024,427,574,78,10089,536,2342,1147,523,1149,892,250,356,75,7281,161,371,337,264,1192,1148,365,624,59,4527,434,1809,907,565,1307,1186,286,504,110,7118,89,131,87,80,233,226,52,133,338,1375,4302,10931,8912,6438,15744,17068,4609,8365,1116,77486
CED213,406,740,783,622,1571,2449,894,2435,92,9992,753,1735,1638,1421,2072,2665,819,1686,112,12904,596,1004,949,795,2442,3697,846,1305,175,11811,1108,1969,1492,889,1077,968,278,441,126,8353,391,1526,1390,856,1591,1144,251,367,87,7598,515,2123,1081,503,810,696,188,301,96,6304,145,314,217,188,511,554,200,455,46,2627,528,1713,824,474,883,839,231,418,126,6031,112,148,101,59,144,181,38,114,366,1271,4544,11276,8475,5808,11107,13203,3737,7520,1223,66888
CED214,376,473,635,534,2174,2510,811,1727,86,9322,788,1609,1654,1774,5093,5664,1337,2375,163,20451,425,935,1079,628,2418,2337,537,782,193,9332,893,2061,1754,933,1385,955,249,385,175,8784,368,958,1118,772,3314,2371,496,589,105,10096,477,1946,1187,484,996,670,139,251,102,6256,247,853,1015,530,2059,1571,410,591,189,7454,432,1979,1796,756,2003,1339,271,417,227,9227,94,186,188,100,422,286,61,120,603,2069,4105,11001,10421,6501,19860,17695,4308,7229,1847,82979
CED215,456,534,738,645,2802,4096,1245,3082,117,13709,986,1808,2047,1957,5801,7961,1559,2831,207,25160,403,842,966,589,2345,2880,650,1121,180,9966,885,1967,1550,979,1515,1171,301,451,131,8948,472,1317,1510,992,3785,2980,564,788,110,12510,521,2178,1032,458,1188,937,203,397,78,7004,245,643,832,467,1542,1552,448,888,169,6782,370,1612,1042,475,1162,966,235,398,115,6374,86,170,138,87,370,397,77,148,565,2040,4414,11081,9850,6642,20499,22936,5274,10102,1671,92478
CED216,348,564,636,461,1237,1845,679,2596,116,8482,627,1085,1299,1251,2177,2163,718,1234,86,10637,464,777,681,551,2238,2848,739,1359,183,9845,812,1942,1686,1088,1284,902,264,402,141,8513,382,1172,1236,881,1866,1239,227,343,85,7417,370,1974,963,508,836,544,130,246,86,5646,252,325,301,210,792,949,517,985,86,4414,449,2024,1081,668,1295,1137,350,632,210,7839,120,121,78,68,200,162,44,141,411,1339,3824,9981,7960,5678,11924,11792,3661,7936,1384,64133
CED217,486,885,1036,1007,2322,4669,1730,5192,90,17405,1014,3016,2817,2207,4433,7001,2004,4552,168,27209,271,641,546,411,1034,1612,385,704,62,5667,828,2413,1078,589,678,660,141,252,79,6710,331,1818,1530,867,1972,1884,410,632,73,9518,504,2292,937,436,734,969,267,540,64,6736,63,299,232,98,225,232,68,101,19,1341,236,1204,438,233,314,261,74,144,38,2931,72,176,115,66,201,264,42,153,274,1357,3803,12754,8727,5909,11905,17546,5103,12261,868,78879
CED218,279,429,530,394,2053,2486,713,1555,97,8548,645,1187,1278,1235,4023,4551,829,1417,141,15305,417,822,880,610,2940,3183,704,1089,238,10881,781,1879,1698,1094,1549,1035,224,378,187,8831,453,1219,1553,1012,3882,2712,494,668,142,12125,616,2666,1303,502,1118,770,173,230,117,7489,287,717,849,594,2359,2045,560,991,189,8590,423,1899,1170,640,1928,1312,329,529,207,8439,109,174,144,112,441,374,59,109,564,2082,3999,10989,9405,6198,20283,18476,4080,6967,1897,82283
CED219,270,361,420,400,1727,2136,678,1796,82,7868,605,1014,1143,1077,2942,2989,778,1297,98,11943,467,780,793,552,2979,3798,955,1527,217,12078,877,1829,1629,1253,1857,1296,286,517,164,9703,479,1166,1446,899,3373,2334,461,695,124,10974,546,2356,1140,490,1089,747,171,277,78,6905,325,594,676,505,1792,1973,679,1379,185,8096,451,1798,935,542,1409,1279,340,537,168,7467,84,129,89,75,292,295,62,129,406,1557,4104,10025,8274,5805,17464,16841,4414,8151,1524,76596
CED220,472,868,1097,828,2817,4617,1663,4699,129,17180,1095,3108,2908,2534,6944,9953,2836,6200,199,35768,295,575,663,349,1182,1474,351,623,54,5569,855,2213,1234,614,847,695,168,250,89,6975,358,1583,1350,769,2651,2352,530,771,66,10434,521,1951,878,417,1083,1094,256,631,77,6910,66,303,273,115,270,255,71,115,17,1483,223,1074,631,235,374,345,84,160,43,3165,86,178,128,83,213,281,47,175,327,1515,3964,11851,9160,5958,16375,21066,6013,13621,991,88994
CED221,244,364,485,392,2182,2355,657,1370,89,8139,565,1014,1192,1268,3748,3540,674,1035,156,13184,537,965,1088,871,4028,4102,1067,1387,261,14302,844,2116,2339,1532,2241,1098,231,522,223,11133,411,1099,1450,914,3740,2386,427,630,124,11184,463,2295,1264,525,1387,877,212,276,104,7402,275,656,857,643,2877,2456,788,1187,193,9935,461,2026,1511,832,2904,1885,459,614,180,10874,70,141,151,99,456,350,74,138,550,2024,3875,10680,10345,7077,23563,19044,4588,7148,1887,88199
CED222,344,550,664,557,2291,2721,810,1857,98,9897,672,1940,1841,1717,5694,6303,1278,2021,209,21682,429,1125,1285,700,3082,2818,642,857,235,11174,814,2523,2117,1184,1544,916,206,377,160,9834,415,1323,1446,837,3509,2430,397,565,100,11015,516,2515,1380,535,1221,868,200,300,113,7650,232,771,963,537,2403,1618,403,543,165,7624,454,2610,1989,916,3085,1646,380,473,226,11776,79,206,193,115,525,327,51,98,688,2280,3945,13568,11877,7100,23344,19644,4368,7091,1992,92931
CED223,405,836,850,700,1625,2549,921,3371,170,11425,691,1309,1608,1564,2467,2496,810,1467,105,12519,518,842,806,680,2341,3366,814,1561,198,11120,892,2010,1653,1172,1463,1239,301,477,177,9375,358,1136,1203,902,1900,1310,312,377,91,7593,416,1858,967,527,913,643,157,326,98,5910,282,368,382,275,1032,1136,368,1014,105,4963,624,2325,1071,659,1456,1340,326,647,193,8634,111,136,81,69,187,181,38,126,406,1334,4296,10816,8624,6546,13383,14254,4052,9368,1539,72871
CED224,403,591,725,702,2513,3644,1255,3058,94,12987,887,1869,2099,1819,4649,5812,1537,2614,117,21408,423,786,875,661,2343,3213,758,1202,153,10420,761,2051,1422,902,1134,936,260,382,82,7935,398,1499,1686,1151,3124,2376,494,679,77,11486,486,2439,1073,438,1174,977,252,419,68,7331,128,377,365,257,1025,897,246,367,52,3714,277,1514,766,433,1087,879,192,320,86,5557,92,131,100,56,250,280,38,113,319,1381,3864,11263,9113,6418,17308,19019,5038,9163,1050,82227
