CED_CODE_2021,M_Y12e_15_19,M_Y12e_20_24,M_Y12e_25_34,M_Y12e_35_44,M_Y12e_45_54,M_Y12e_55_64,M_Y12e_65_74,M_Y12e_75_84,M_Y12e_85ov,M_Y12e_Tot,M_Y11e_15_19,M_Y11e_20_24,M_Y11e_25_34,M_Y11e_35_44,M_Y11e_45_54,M_Y11e_55_64,M_Y11e_65_74,M_Y11e_75_84,M_Y11e_85ov,M_Y11e_Tot,M_Y10e_15_19,M_Y10e_20_24,M_Y10e_25_34,M_Y10e_35_44,M_Y10e_45_54,M_Y10e_55_64,M_Y10e_65_74,M_Y10e_75_84,M_Y10e_85ov,M_Y10e_Tot,M_Y9e_15_19,M_Y9e_20_24,M_Y9e_25_34,M_Y9e_35_44,M_Y9e_45_54,M_Y9e_55_64,M_Y9e_65_74,M_Y9e_75_84,M_Y9e_85ov,M_Y9e_Tot,M_Y8b_15_19,M_Y8b_20_24,M_Y8b_25_34,M_Y8b_35_44,M_Y8b_45_54,M_Y8b_55_64,M_Y8b_65_74,M_Y8b_75_84,M_Y8b_85ov,M_Y8b_Tot,M_DNGTS_15_19,M_DNGTS_20_24,M_DNGTS_25_34,M_DNGTS_35_44,M_DNGTS_45_54,M_DNGTS_55_64,M_DNGTS_65_74,M_DNGTS_75_84,M_DNGTS_85_ov,M_DNGTS_Tot,M_Hghst_yr_schl_ns_15_19,M_Hghst_yr_schl_ns_20_24,M_Hghst_yr_schl_ns_25_34,M_Hghst_yr_schl_ns_35_44,M_Hghst_yr_schl_ns_45_54,M_Hghst_yr_schl_ns_55_64,M_Hghst_yr_schl_ns_65_74,M_Hghst_yr_schl_ns_75_84,M_Hghst_yr_schl_ns_85_ovr,M_Hghst_yr_schl_ns_Tot,M_Tot_15_19,M_Tot_20_24,M_Tot_25_34,M_Tot_35_44,M_Tot_45_54,M_Tot_55_64,M_Tot_65_74,M_Tot_75_84,M_Tot_85ov,M_Tot_Tot,F_Y12e_15_19,F_Y12e_20_24,F_Y12e_25_34,F_Y12e_35_44,F_Y12e_45_54,F_Y12e_55_64,F_Y12e_65_74,F_Y12e_75_84,F_Y12e_85ov,F_Y12e_Tot,F_Y11e_15_19,F_Y11e_20_24,F_Y11e_25_34,F_Y11e_35_44,F_Y11e_45_54,F_Y11e_55_64,F_Y11e_65_74,F_Y11e_75_84,F_Y11e_85ov,F_Y11e_Tot,F_Y10e_15_19,F_Y10e_20_24,F_Y10e_25_34,F_Y10e_35_44,F_Y10e_45_54,F_Y10e_55_64,F_Y10e_65_74,F_Y10e_75_84,F_Y10e_85ov,F_Y10e_Tot,F_Y9e_15_19,F_Y9e_20_24,F_Y9e_25_34,F_Y9e_35_44,F_Y9e_45_54,F_Y9e_55_64,F_Y9e_65_74,F_Y9e_75_84,F_Y9e_85ov,F_Y9e_Tot,F_Y8b_15_19,F_Y8b_20_24,F_Y8b_25_34,F_Y8b_35_44,F_Y8b_45_54,F_Y8b_55_64,F_Y8b_65_74,F_Y8b_75_84,F_Y8b_85ov,F_Y8b_Tot,F_DNGTS_15_19,F_DNGTS_20_24,F_DNGTS_25_34,F_DNGTS_35_44,F_DNGTS_45_54,F_DNGTS_55_64,F_DNGTS_65_74,F_DNGTS_75_84,F_DNGTS_85_ov,F_DNGTS_Tot,F_Hghst_yr_schl_ns_15_19,F_Hghst_yr_schl_ns_20_24,F_Hghst_yr_schl_ns_25_34,F_Hghst_yr_schl_ns_35_44,F_Hghst_yr_schl_ns_45_54,F_Hghst_yr_schl_ns_55_64,F_Hghst_yr_schl_ns_65_74,F_Hghst_yr_schl_ns_75_84,F_Hghst_yr_schl_ns_85_ovr,F_Hghst_yr_schl_ns_Tot,F_Tot_15_19,F_Tot_20_24,F_Tot_25_34,F_Tot_35_44,F_Tot_45_54,F_Tot_55_64,F_Tot_65_74,F_Tot_75_84,F_Tot_85ov,F_Tot_Tot,P_Y12e_15_19,P_Y12e_20_24,P_Y12e_25_34,P_Y12e_35_44,P_Y12e_45_54,P_Y12e_55_64,P_Y12e_65_74,P_Y12e_75_84,P_Y12e_85ov,P_Y12e_Tot,P_Y11e_15_19,P_Y11e_20_24,P_Y11e_25_34,P_Y11e_35_44,P_Y11e_45_54,P_Y11e_55_64,P_Y11e_65_74,P_Y11e_75_84,P_Y11e_85ov,P_Y11e_Tot,P_Y10e_15_19,P_Y10e_20_24,P_Y10e_25_34,P_Y10e_35_44,P_Y10e_45_54,P_Y10e_55_64,P_Y10e_65_74,P_Y10e_75_84,P_Y10e_85ov,P_Y10e_Tot,P_Y9e_15_19,P_Y9e_20_24,P_Y9e_25_34,P_Y9e_35_44,P_Y9e_45_54,P_Y9e_55_64,P_Y9e_65_74,P_Y9e_75_84,P_Y9e_85ov,P_Y9e_Tot
CED201,1170,4115,7698,8293,6169,4829,3522,1485,386,37661,200,358,791,770,1696,1977,1119,393,106,7423,226,309,801,1019,1549,1842,1410,810,224,8189,52,68,204,254,395,568,615,459,153,2777,17,20,76,108,141,239,418,514,255,1784,7,10,39,66,54,76,88,61,31,441,127,149,408,368,338,281,331,320,179,2509,1805,5028,10019,10875,10351,9825,7508,4045,1333,60791,1241,4026,8645,9729,7785,5594,3317,1341,416,42097,101,203,500,466,1549,2166,1354,510,175,7013,130,171,515,570,1095,1643,1928,1157,387,7585,27,33,95,167,299,544,799,530,242,2723,13,15,47,66,139,286,565,780,508,2422,0,3,42,50,67,131,125,114,83,620,111,162,344,355,265,316,372,422,403,2741,1621,4619,10187,11396,11193,10680,8463,4850,2199,65205,2406,8147,16350,18019,13952,10428,6839,2825,797,79761,302,557,1295,1239,3243,4145,2477,900,280,14438,350,479,1321,1590,2643,3482,3333,1963,609,15775,82,104,299,420,695,1109,1414,983,393,5502
CED202,804,2881,6045,5566,4558,3234,3015,1147,268,27519,312,492,978,995,1741,1939,1368,391,89,8301,445,482,1236,1246,1772,2354,1773,869,242,10419,137,105,361,345,560,890,940,640,152,4139,53,64,155,162,192,316,581,671,309,2508,8,10,36,20,42,28,40,26,9,221,216,266,541,479,601,554,613,455,233,3964,1979,4311,9357,8813,9465,9319,8325,4196,1299,57069,983,3306,7161,7317,6060,4274,3127,1047,362,33631,172,336,727,768,1678,2357,1641,621,147,8450,199,297,843,841,1315,1952,2008,1154,395,9001,64,71,189,220,417,781,966,599,296,3601,35,38,60,83,130,252,642,762,590,2579,8,11,18,26,32,28,32,12,23,195,233,247,537,481,525,528,627,579,422,4180,1684,4306,9528,9743,10152,10168,9037,4783,2237,61644,1789,6188,13205,12881,10618,7514,6138,2193,630,61155,482,828,1700,1761,3418,4300,3005,1018,238,16753,644,777,2073,2089,3083,4308,3784,2030,638,19423,199,178,547,572,980,1673,1900,1237,449,7739
CED203,774,2735,5416,5182,4303,3083,3169,1306,294,26257,265,524,985,859,1606,2102,1380,438,93,8257,384,510,1400,1520,1850,2418,1987,950,271,11274,106,94,331,363,543,818,987,757,209,4223,50,39,151,189,224,356,652,756,393,2807,5,26,61,76,69,71,50,31,11,394,220,243,597,541,640,647,647,513,326,4371,1799,4166,8942,8721,9232,9504,8878,4756,1598,57582,954,3115,6809,6888,5811,4363,3258,1167,384,32755,188,333,739,739,1558,2314,1633,641,164,8315,203,313,922,985,1345,2135,2164,1182,400,9656,65,67,207,203,376,817,995,704,327,3762,29,36,117,125,150,294,710,862,564,2880,11,12,55,60,83,63,48,29,23,377,231,214,569,518,563,616,657,693,607,4669,1676,4091,9421,9516,9883,10607,9472,5285,2463,62415,1724,5854,12222,12076,10112,7448,6428,2473,673,59006,459,858,1729,1599,3166,4424,3018,1081,258,16576,588,824,2317,2499,3194,4555,4150,2140,667,20933,171,164,542,564,921,1636,1982,1465,536,7977
CED204,1312,4966,9585,8505,6198,5020,3230,1278,302,40396,245,458,943,813,1564,1537,815,226,50,6650,259,397,1072,1140,1608,1915,1317,539,173,8417,89,75,284,378,494,628,609,401,125,3087,54,69,317,472,442,488,718,798,322,3678,10,68,493,493,460,304,238,165,68,2300,314,410,1087,814,627,576,476,399,160,4862,2282,6443,13785,12610,11388,10461,7406,3807,1210,69393,1363,4738,9920,9323,7104,5258,2919,1081,373,42089,147,264,566,580,1339,1635,956,271,82,5846,131,230,646,737,1298,1748,1493,706,239,7228,51,56,166,229,392,623,689,419,231,2862,25,50,223,321,347,613,1014,1055,597,4238,8,61,283,458,420,391,283,270,181,2364,244,301,820,683,607,544,530,437,296,4464,1977,5713,12630,12345,11504,10807,7883,4231,2001,69088,2675,9705,19508,17827,13304,10274,6159,2356,682,82481,395,727,1511,1397,2899,3168,1767,497,136,12499,389,626,1723,1875,2907,3667,2805,1244,406,15645,141,132,450,609,886,1253,1301,816,359,5946
CED205,1411,5137,11374,10349,5455,3697,1776,535,98,39834,277,461,977,851,1202,1216,447,96,14,5547,374,487,1245,1243,1476,1578,805,303,64,7571,109,156,507,571,670,694,520,224,40,3498,61,118,431,723,692,816,887,737,206,4658,13,66,226,331,339,445,333,242,86,2078,373,449,1162,982,651,520,346,203,75,4772,2621,6883,15923,15041,10488,8971,5114,2339,579,67954,1545,5289,12740,10715,5998,3375,1429,391,91,41577,166,279,785,728,1182,1279,419,98,19,4953,163,274,841,860,1222,1339,878,325,89,5997,49,83,346,458,604,684,543,205,69,3046,35,74,363,647,833,992,1267,871,305,5384,12,44,210,326,477,724,602,445,198,3036,279,346,973,878,602,517,388,265,127,4381,2252,6382,16264,14611,10923,8913,5531,2610,898,68375,2956,10423,24117,21058,11455,7070,3208,925,187,81410,443,742,1763,1576,2387,2497,868,195,36,10502,540,753,2091,2104,2703,2919,1687,630,146,13567,164,240,857,1027,1275,1379,1064,429,109,6542
CED206,916,3083,6025,6293,5106,3666,3163,1374,301,29913,321,637,1124,1132,2036,2329,1341,427,82,9427,404,473,1442,1478,2047,2394,1714,868,191,11017,110,99,354,426,665,844,836,532,120,3984,22,23,132,173,193,253,388,561,236,1980,4,25,60,66,76,33,42,47,19,368,182,187,403,381,469,434,354,354,156,2919,1963,4525,9533,9952,10590,9942,7845,4169,1095,59612,1049,3472,7780,8287,6949,4888,3276,1132,300,37123,146,297,679,716,1947,2500,1533,565,134,8527,179,246,678,905,1305,1909,2062,1128,290,8693,48,36,135,199,317,608,851,556,211,2960,21,26,61,80,134,172,445,647,383,1982,8,14,46,60,56,42,40,36,31,329,159,135,347,355,411,412,428,385,253,2890,1612,4221,9727,10605,11122,10538,8644,4448,1600,62515,1965,6556,13805,14572,12049,8547,6443,2501,594,67037,469,934,1807,1847,3980,4831,2878,996,217,17961,581,715,2117,2379,3357,4302,3777,1997,481,19713,159,135,486,630,986,1452,1688,1089,324,6947
CED207,1718,7237,11741,10211,8721,6747,4692,2582,956,54602,136,287,436,325,898,1069,699,492,193,4528,103,167,367,343,672,828,738,780,377,4389,30,49,111,142,221,254,358,425,179,1772,20,26,76,101,132,181,441,702,472,2154,9,32,109,92,82,105,142,120,77,768,167,491,866,533,395,318,363,407,326,3855,2181,8280,13714,11743,11133,9499,7439,5501,2580,72068,1830,6501,11054,11317,10216,7444,4779,2425,991,56572,76,155,206,237,733,1075,993,821,333,4623,58,83,169,222,485,727,1182,1325,592,4842,24,30,80,120,189,263,497,539,348,2084,4,15,43,69,166,270,772,1146,749,3238,6,16,84,90,111,156,215,224,192,1088,148,366,672,439,384,384,397,510,618,3931,2143,7171,12309,12498,12283,10315,8838,6994,3821,76370,3547,13739,22802,21526,18939,14192,9476,5008,1950,111176,209,434,645,557,1631,2142,1688,1313,527,9153,166,252,542,564,1160,1556,1922,2099,974,9225,51,77,189,258,409,511,854,966,528,3861
CED208,867,4194,12332,10339,7579,4389,2379,810,226,43120,113,210,627,561,1070,1208,470,138,43,4444,117,172,542,586,885,984,707,346,115,4447,35,42,140,155,262,358,374,266,105,1733,15,21,93,97,156,328,687,1151,674,3227,8,26,44,61,71,110,189,277,179,965,121,308,727,574,454,396,361,345,247,3529,1281,4976,14493,12369,10494,7768,5163,3330,1586,61459,1049,4345,13695,11399,8728,5035,2307,704,258,47519,67,143,401,357,824,1185,576,179,71,3797,49,111,336,399,609,932,843,420,174,3876,19,31,87,109,178,374,463,353,181,1794,4,14,38,99,152,328,1090,1789,1073,4595,6,17,54,51,101,160,284,470,300,1431,149,200,696,508,414,389,395,388,421,3553,1344,4851,15304,12922,11003,8409,5951,4307,2483,66571,1924,8538,26023,21739,16315,9424,4684,1513,484,90637,180,350,1026,919,1900,2389,1045,318,114,8245,170,281,877,985,1494,1917,1550,762,286,8326,52,70,225,265,440,730,834,619,287,3532
CED209,938,3339,6494,6702,4910,3408,3693,1525,395,31415,239,387,898,939,1790,2168,1594,539,112,8661,284,296,845,1077,1315,1706,1821,1019,243,8616,84,71,224,249,356,423,713,572,176,2861,25,27,72,76,95,174,373,518,294,1641,8,13,25,23,29,22,25,28,16,185,141,230,418,383,391,408,539,439,243,3182,1711,4356,8984,9457,8885,8301,8761,4638,1481,56565,1173,3541,7792,8576,6442,4607,3652,1389,512,37689,116,194,540,637,1562,2370,1954,757,181,8318,132,163,526,652,969,1663,2150,1244,398,7897,46,33,101,137,234,488,820,611,323,2795,23,12,28,36,73,155,415,578,447,1769,4,9,19,16,21,22,20,29,16,145,157,192,327,399,340,408,598,562,486,3474,1653,4143,9331,10457,9638,9723,9610,5165,2356,62087,2112,6889,14282,15285,11351,8020,7349,2913,909,69104,356,577,1440,1575,3352,4538,3552,1303,287,16980,417,462,1371,1732,2289,3372,3968,2257,646,16511,127,104,332,386,591,908,1537,1184,495,5660
CED210,945,3839,8214,6499,4814,3218,2732,1112,267,31630,253,466,1073,919,1894,2290,1208,344,103,8553,274,465,1458,1373,1636,1929,1571,774,199,9681,107,103,273,362,517,730,688,563,178,3524,60,58,169,197,239,353,683,760,430,2953,7,23,102,96,100,86,72,74,52,613,219,325,765,578,553,515,462,403,217,4047,1871,5284,12060,10026,9755,9125,7416,4032,1443,61003,1029,4108,9240,8041,6174,4101,2689,1052,331,36767,145,317,726,629,1691,2293,1389,576,172,7930,189,255,806,771,1230,1816,1938,1019,322,8341,64,72,177,209,444,719,968,682,349,3687,24,33,112,158,224,373,838,1088,703,3549,7,13,49,108,114,100,113,116,82,702,201,273,595,557,478,443,555,545,382,4036,1656,5069,11705,10475,10359,9848,8484,5082,2330,65012,1973,7950,17450,14534,10991,7319,5418,2165,598,68400,397,782,1803,1551,3589,4579,2592,918,275,16484,460,721,2263,2141,2866,3745,3504,1790,521,18022,176,176,450,575,962,1447,1655,1243,527,7213
