CED_CODE_2021,Num_Psns_UR_1_FamHhold,Num_Psns_UR_1_NonFamHhold,Num_Psns_UR_1_Total,Num_Psns_UR_2_FamHhold,Num_Psns_UR_2_NonFamHhold,Num_Psns_UR_2_Total,Num_Psns_UR_3_FamHhold,Num_Psns_UR_3_NonFamHhold,Num_Psns_UR_3_Total,Num_Psns_UR_4_FamHhold,Num_Psns_UR_4_NonFamHhold,Num_Psns_UR_4_Total,Num_Psns_UR_5_FamHhold,Num_Psns_UR_5_NonFamHhold,Num_Psns_UR_5_Total,Num_Psns_UR_6mo_FamHhold,Num_Psns_UR_6mo_NonFamHhold,Num_Psns_UR_6mo_Total,Total_FamHhold,Total_NonFamHhold,Total_Total
CED201,..,12185,12185,17260,1095,18354,10445,195,10638,10827,74,10892,3810,30,3839,1507,10,1514,43837,13585,57422
CED202,..,17221,17221,19220,1522,20747,7924,351,8276,7766,125,7884,3443,34,3480,1402,29,1429,39753,19282,59035
CED203,..,17219,17219,19595,1460,21058,8098,305,8403,7592,87,7676,3201,23,3227,1464,21,1488,39945,19116,59059
CED204,..,11246,11246,15765,1258,17020,10576,439,11020,10775,215,10995,4807,98,4902,3208,42,3252,45135,13298,58429
CED205,..,8211,8211,12218,846,13061,10541,248,10791,12039,149,12181,6209,62,6275,4825,30,4857,45831,9545,55380
CED206,..,11956,11956,18103,930,19031,9279,145,9421,10041,52,10090,3991,14,4007,1795,10,1802,43202,13107,56307
CED207,..,15021,15021,18990,1652,20640,11021,833,11854,11958,544,12496,3906,213,4124,1532,122,1653,47405,18386,65793
CED208,..,19079,19079,17762,2453,20217,8985,1165,10150,8665,524,9195,2573,153,2724,1034,74,1104,39029,23450,62474
CED209,..,12505,12505,19434,1025,20457,7976,366,8337,9042,238,9281,3728,57,3790,1139,36,1181,41320,14232,55553
CED210,..,18797,18797,18724,1664,20384,8933,550,9487,8321,224,8548,3305,77,3382,1361,38,1400,40643,21351,61989
CED211,..,15161,15161,18527,1186,19713,10181,259,10442,11043,116,11156,3921,56,3976,1451,16,1473,45126,16798,61926
CED212,..,15765,15765,17717,1360,19075,9640,215,9853,9445,40,9487,3702,18,3721,1387,9,1391,41888,17408,59295
CED213,..,16683,16683,21178,955,22134,7663,122,7790,7721,29,7753,3011,18,3030,1047,3,1051,40617,17815,58434
CED214,..,16866,16866,17222,2305,19522,10091,985,11074,9121,437,9561,3687,186,3867,2532,106,2641,42653,20884,63541
CED215,..,12669,12669,16662,1291,17952,12314,382,12697,13664,210,13876,4617,90,4706,2250,31,2286,49499,14677,64179
CED216,..,18594,18594,21762,1305,23067,7492,169,7661,6795,43,6837,3074,11,3087,1368,21,1384,40489,20142,60630
CED217,..,15066,15066,17700,1074,18777,8911,216,9127,10818,114,10929,3720,53,3777,758,17,775,41914,16533,58440
CED218,..,8470,8470,13393,741,14133,10604,180,10784,12734,88,12818,5461,34,5495,3135,11,3146,45327,9521,54844
