CED_CODE_2021,P_AdvDi_Di_AdvDi_AsDe_Mng,P_AdvDi_Di_AdvDi_AsDe_Pro,P_AdvDi_Di_AdvDi_AsDe_TTW,P_AdvDi_Di_AdvDi_AsDe_CPS,P_AdvDi_Di_AdvDi_AsDe_CA,P_AdvDi_Di_AdvDi_AsDe_Sal,P_AdvDi_Di_AdvDi_AsDe_MOD,P_AdvDi_Di_AdvDi_AsDe_Lab,P_AdvDi_Di_AdvDi_AsDe_IDNS,P_AdvDi_Di_AdvDi_AsDe_Tot,P_AdvDi_Di_Dip_Mng,P_AdvDi_Di_Dip_Pro,P_AdvDi_Di_Dip_TTW,P_AdvDi_Di_Dip_CPS,P_AdvDi_Di_Dip_CA,P_AdvDi_Di_Dip_Sal,P_AdvDi_Di_Dip_MOD,P_AdvDi_Di_Dip_Lab,P_AdvDi_Di_Dip_IDNS,P_AdvDi_Di_Dip_Tot,P_Cert_CertIII_IV_Mng,P_Cert_CertIII_IV_Pro,P_Cert_CertIII_IV_TTW,P_Cert_CertIII_IV_CPS,P_Cert_CertIII_IV_CA,P_Cert_CertIII_IV_Sal,P_Cert_CertIII_IV_MOD,P_Cert_CertIII_IV_Lab,P_Cert_CertIII_IV_IDNS,P_Cert_CertIII_IV_Tot,P_Cert_CertI_II_Mng,P_Cert_CertI_II_Pro,P_Cert_CertI_II_TTW,P_Cert_CertI_II_CPS,P_Cert_CertI_II_CA,P_Cert_CertI_II_Sal,P_Cert_CertI_II_MOD,P_Cert_CertI_II_Lab,P_Cert_CertI_II_IDNS,P_Cert_CertI_II_Tot,P_Cert_Cert_nfd_Mng,P_Cert_Cert_nfd_Pro,P_Cert_Cert_nfd_TTW,P_Cert_Cert_nfd_CPS,P_Cert_Cert_nfd_CA,P_Cert_Cert_nfd_Sal,P_Cert_Cert_nfd_MOD,P_Cert_Cert_nfd_Lab,P_Cert_Cert_nfd_IDNS,P_Cert_Cert_nfd_Tot,P_LE_ID_Mng,P_LE_ID_Pro,P_LE_ID_TTW,P_LE_ID_CPS,P_LE_ID_CA,P_LE_ID_Sal,P_LE_ID_MOD,P_LE_ID_Lab,P_LE_ID_IDNS,P_LE_ID_Tot,P_LE_NS_Mng,P_LE_NS_Pro,P_LE_NS_TTW,P_LE_NS_CPS,P_LE_NS_CA,P_LE_NS_Sal,P_LE_NS_MOD,P_LE_NS_Lab,P_LE_NS_IDNS,P_LE_NS_Tot,P_Tot_Mng,P_Tot_Pro,P_Tot_TTW,P_Tot_CPS,P_Tot_CA,P_Tot_Sal,P_Tot_MOD,P_Tot_Lab,P_Tot_IDNS,P_Tot_Tot
CED201,591,837,462,503,670,245,125,190,48,3669,926,930,806,1434,1146,523,244,339,109,6452,1571,719,5856,1876,1603,871,950,1165,270,14885,72,48,94,108,164,108,60,104,10,779,163,122,117,207,267,148,90,110,16,1244,67,117,57,44,68,37,13,30,19,439,111,150,112,132,199,95,72,86,138,1094,8263,17865,8968,6359,7673,3412,2054,2717,943,58245
CED202,558,621,286,475,451,161,75,147,35,2810,712,778,553,1412,886,307,133,256,56,5102,1894,690,5909,2538,1831,1038,1174,1579,218,16868,102,49,89,150,186,162,63,144,0,946,129,83,87,203,176,107,69,111,11,974,44,85,39,37,34,15,9,24,6,294,145,129,118,147,114,100,82,133,127,1085,6703,14459,7868,6779,5467,2464,1849,2847,635,49081
CED203,455,607,277,469,383,132,72,108,35,2536,697,867,472,1449,775,319,141,288,65,5065,1802,763,5694,2620,1686,1002,1286,1665,244,16748,82,35,99,144,184,141,53,188,15,943,139,73,116,196,202,88,68,111,12,1002,42,88,23,34,32,15,5,40,3,293,113,162,123,175,125,105,99,138,131,1152,6222,14692,7447,6750,4974,2327,1916,3054,690,48075
CED204,488,539,587,471,627,221,278,305,57,3586,855,760,983,1538,1149,467,464,550,119,6888,1250,574,5590,1990,1454,814,1339,1447,263,14724,73,48,105,115,168,127,99,138,16,886,134,96,175,266,271,146,160,157,24,1416,56,107,79,61,81,31,58,67,14,562,114,163,161,172,161,101,155,204,251,1475,6079,13279,9103,6754,7049,3054,3466,4038,1137,53960
CED205,396,413,460,474,478,216,405,218,38,3113,692,641,973,1703,1015,471,680,502,109,6786,977,436,4306,1974,1315,719,1332,1261,248,12573,44,28,83,140,141,110,122,112,14,790,137,77,129,278,240,126,159,165,19,1330,62,80,66,75,65,30,73,51,21,526,88,186,170,174,148,119,162,164,261,1477,5033,11704,7675,7487,6297,2929,4345,3645,1091,50211
CED206,707,794,420,646,648,199,74,143,48,3679,1099,1028,767,1597,1119,416,160,317,68,6571,2456,890,8814,2401,2030,944,1287,1690,315,20830,108,57,113,131,186,127,60,144,16,939,209,112,163,244,255,130,85,116,15,1326,60,81,34,46,56,15,9,24,14,338,150,139,139,173,156,91,79,130,188,1254,8348,14670,11290,7027,6450,2625,1997,3007,868,56279
CED207,624,765,464,421,578,258,145,222,52,3540,774,793,753,946,912,502,250,447,93,5461,846,383,2474,1067,777,512,360,615,118,7158,39,29,67,89,126,74,24,77,5,542,147,105,110,171,231,95,57,103,25,1048,90,179,62,59,67,56,31,40,19,604,135,208,109,105,136,90,58,80,242,1171,10984,27177,6246,5667,8469,4156,1826,2933,1241,68693
CED208,524,878,427,396,493,225,101,167,32,3238,778,985,742,1050,893,418,194,324,52,5441,902,605,3217,1294,964,501,480,756,150,8864,54,52,78,97,117,66,43,60,3,571,130,110,115,165,210,123,59,96,19,1033,57,162,52,31,53,28,25,28,14,454,109,163,120,117,160,80,46,108,215,1114,10016,27416,6594,6105,7056,3046,1716,2641,1003,65590
CED209,639,874,352,599,532,169,83,142,55,3453,892,928,727,1520,954,388,168,291,64,5935,1871,716,6422,2453,1665,1010,982,1418,269,16811,74,59,85,111,160,118,53,107,9,764,158,86,94,226,216,122,63,100,15,1086,37,90,38,48,41,27,16,28,12,335,115,130,96,174,112,86,46,120,145,1035,7704,16442,8795,7286,5688,2741,1745,2818,810,54031
CED210,476,736,380,517,489,173,120,153,45,3082,752,774,666,1481,905,371,256,300,58,5567,1423,689,5691,2789,1575,916,1224,1612,285,16198,67,41,93,137,127,120,92,154,8,843,134,87,96,221,184,113,81,108,11,1029,47,86,36,50,42,15,28,30,12,345,92,137,132,182,119,82,91,142,174,1143,6633,16369,8171,7469,5676,2699,2429,3233,849,53535
