CED_CODE_2021,P_EducTrain_GD_GC,P_EducTrain_BD,P_EducTrain_AdD_D,P_EducTrain_Cert,P_EducTrain_ID_NS,P_EducTrain_ToT,P_HealthCareSocA_PD,P_HealthCareSocA_GD_GC,P_HealthCareSocA_BD,P_HealthCareSocA_AdD_D,P_HealthCareSocA_Cert,P_HealthCareSocA_ID_NS,P_HealthCareSocA_ToT,P_ArtRecServ_PD,P_ArtRecServ_GD_GC,P_ArtRecServ_BD,P_ArtRecServ_AdD_D,P_ArtRecServ_Cert,P_ArtRecServ_ID_NS,P_ArtRecServ_ToT,P_OthServ_PD,P_OthServ_GD_GC,P_OthServ_BD,P_OthServ_AdD_D,P_OthServ_Cert,P_OthServ_ID_NS,P_OthServ_ToT,P_ID_NS_PD,P_ID_NS_GD_GC,P_ID_NS_BD,P_ID_NS_AdD_D,P_ID_NS_Cert,P_ID_NS_ID_NS,P_ID_NS_ToT,P_ToT_PD,P_ToT_GD_GC,P_ToT_BD,P_ToT_AdD_D,P_ToT_Cert,P_ToT_ID_NS,P_ToT_ToT
CED201,715,2588,767,697,82,6279,1283,711,3597,1866,1971,252,9689,65,25,272,154,201,13,722,182,50,430,467,1326,52,2510,285,68,711,385,809,244,2501,7393,2662,19598,10164,16904,1532,58245
CED202,871,2640,727,860,71,6399,1354,1000,3699,1885,2555,251,10750,74,42,280,149,291,24,859,91,38,198,316,1139,36,1821,73,24,257,198,666,200,1424,4636,2921,13375,7974,18790,1378,49081
CED203,906,2376,582,776,72,5675,1404,1046,3723,1980,2590,278,11021,75,55,264,137,229,19,780,88,51,262,319,1253,38,2005,72,51,244,173,657,210,1406,4115,3096,13060,7663,18697,1441,48075
CED204,533,1924,744,667,88,5019,1144,560,3150,2013,2171,298,9335,49,22,165,119,150,15,519,122,45,364,487,1278,73,2369,284,32,738,492,924,437,2906,6100,1968,16269,10560,17034,2032,53960
CED205,529,1761,658,663,92,4672,1054,477,3054,1729,1721,237,8278,37,15,160,105,122,9,454,108,24,283,404,1057,67,1944,277,44,568,474,791,443,2597,6354,1811,15347,9992,14697,2007,50211
CED206,927,2845,940,898,75,6935,878,730,2802,2029,2376,252,9073,58,48,273,197,294,18,880,137,54,332,470,1771,52,2811,113,37,403,347,1030,284,2218,4238,2762,14289,10300,23098,1591,56279
CED207,765,2901,584,454,88,7710,2275,767,4892,1375,1099,252,10659,143,42,366,133,131,8,827,300,85,647,412,664,50,2162,678,75,1109,375,391,365,2996,16334,3548,29228,9058,8744,1773,68693
CED208,1218,3202,642,469,80,8527,2717,1073,4427,1351,1224,220,11019,259,104,822,220,193,24,1630,278,88,596,392,706,42,2097,343,73,870,300,453,318,2354,12947,4655,27225,8732,10468,1570,65590
CED209,879,3011,859,822,83,6960,1174,1039,4036,1954,2325,222,10748,71,44,326,190,244,23,898,83,47,322,427,1181,54,2115,106,39,420,272,601,209,1641,5018,3039,16489,9456,18659,1363,54031
CED210,804,2773,815,776,72,6623,1450,918,4060,1795,2681,278,11183,73,30,253,142,215,20,740,106,46,259,331,1073,51,1866,141,31,361,251,666,266,1722,5796,2920,16538,8715,18066,1489,53535
