CED_CODE_2021,Philippines_Before_1951,Philippines_1951_1960,Philippines_1961_1970,Philippines_1971_1980,Philippines_1981_1990,Philippines_1991_2000,Philippines_2001_2010,Philippines_2011_2015,Philippines_2016,Philippines_2017,Philippines_2018,Philippines_2019,Philippines_2020,Philippines_2021,Philippines_Yr_arrival_ns,Philippines_Tot,Poland_Before_1951,Poland_1951_1960,Poland_1961_1970,Poland_1971_1980,Poland_1981_1990,Poland_1991_2000,Poland_2001_2010,Poland_2011_2015,Poland_2016,Poland_2017,Poland_2018,Poland_2019,Poland_2020,Poland_2021,Poland_Yr_arrival_NS,Poland_Tot,Singapore_Before_1951,Singapore_1951_1960,Singapore_1961_1970,Singapore_1971_1980,Singapore_1981_1990,Singapore_1991_2000,Singapore_2001_2010,Singapore_2011_2015,Singapore_2016,Singapore_2017,Singapore_2018,Singapore_2019,Singapore_2020,Singapore_2021,Singapore_Yr_arrival_ns,Singapore_Tot,South_Africa_Before_1951,South_Africa_1951_1960,South_Africa_1961_1970,South_Africa_1971_1980,South_Africa_1981_1990,South_Africa_1991_2000,South_Africa_2001_2010,South_Africa_2011_2015,South_Africa_2016,South_Africa_2017,South_Africa_2018,South_Africa_2019,South_Africa_2020,South_Africa_2021,South_Africa_Yr_arrival_ns,South_Africa_Tot,Sri_Lanka_Before_1951,Sri_Lanka_1951_1960,Sri_Lanka_1961_1970,Sri_Lanka_1971_1980,Sri_Lanka_1981_1990,Sri_Lanka_1991_2000,Sri_Lanka_2001_2010,Sri_Lanka_2011_2015,Sri_Lanka_2016,Sri_Lanka_2017,Sri_Lanka_2018,Sri_Lanka_2019,Sri_Lanka_2020,Sri_Lanka_2021,Sri_Lanka_Yr_arrival_ns,Sri_Lanka_Tot,Taiwan_Before_1951,Taiwan_1951_1960,Taiwan_1961_1970,Taiwan_1971_1980,Taiwan_1981_1990,Taiwan_1991_2000,Taiwan_2001_2010,Taiwan_2011_2015,Taiwan_2016,Taiwan_2017,Taiwan_2018,Taiwan_2019,Taiwan_2020,Taiwan_2021,Taiwan_Yr_arrival_ns,Taiwan_Tot,Thailand_Before_1951,Thailand_1951_1960,Thailand_1961_1970,Thailand_1971_1980,Thailand_1981_1990,Thailand_1991_2000,Thailand_2001_2010,Thailand_2011_2015,Thailand_2016,Thailand_2017,Thailand_2018,Thailand_2019,Thailand_2020,Thailand_2021,Thailand_Yr_arrival_ns,Thailand_Tot,United_Kingdom_Before_1951,United_Kingdom_1951_1960,United_Kingdom_1961_1970,United_Kingdom_1971_1980,United_Kingdom_1981_1990,United_Kingdom_1991_2000,United_Kingdom_2001_2010,United_Kingdom_2011_2015,United_Kingdom_2016,United_Kingdom_2017,United_Kingdom_2018,United_Kingdom_2019,United_Kingdom_2020,United_Kingdom_2021,United_Kingdom_Yr_arrival_ns,United_Kingdom_Tot,USA_Before_1951,USA_1951_1960,USA_1961_1970,USA_1971_1980,USA_1981_1990,USA_1991_2000,USA_2001_2010,USA_2011_2015,United_States_America_2016,United_States_America_2017,United_States_America_2018,United_States_America_2019,United_States_America_2020,United_States_America_2021,USA_year_of_arrival_ns,USA_Total,Vietnam_Before_1951,Vietnam_1951_1960,Vietnam_1961_1970,Vietnam_1971_1980,Vietnam_1981_1990,Vietnam_1991_2000,Vietnam_2001_2010,Vietnam_2011_2015,Vietnam_2016,Vietnam_2017,Vietnam_2018,Vietnam_2019,Vietnam_2020,Vietnam_2021,Vietnam_Yr_arrival_NS,Vietnam_Tot,Born_elsewhere_Before_1951,Born_elsewhere_1951_1960,Born_elsewhere_1961_1970,Born_elsewhere_1971_1980,Born_elsewhere_1981_1990,Born_elsewhere_1991_2000,Born_elsewhere_2001_2010,Born_elsewhere_2011_2015,Born_elsewhere_2016,Born_elsewhere_2017,Born_elsewhere_2018,Born_elsewhere_2019,Born_elsewhere_2020,Born_elsewhere_2021,Born_elsewhere_Yr_arrival_ns,Born_elsewhere_Tot,Tot_Before_1951,Tot_1951_1960,Tot_1961_1970,Tot_1971_1980,Tot_1981_1990,Tot_1991_2000,Tot_2001_2010,Tot_2011_2015,Tot_2016,Tot_2017,Tot_2018,Tot_2019,Tot_2020,Tot_2021,Tot_Yr_arrival_NS,Tot_Tot
CED201,0,0,10,90,327,177,353,230,77,63,73,80,34,7,18,1534,12,14,42,48,222,85,42,11,4,0,6,0,0,0,10,494,6,4,9,57,152,98,455,163,43,29,19,15,8,0,6,1061,3,7,29,126,273,145,287,94,14,13,19,24,4,5,7,1058,3,5,138,184,562,620,1327,488,64,91,89,127,36,12,40,3788,0,0,0,3,54,103,92,58,11,10,8,0,3,0,4,340,0,0,0,16,60,43,129,82,26,17,19,28,9,4,10,439,138,611,1828,1006,919,340,649,223,37,34,26,39,10,5,162,6029,0,3,16,39,39,81,109,55,14,20,23,7,14,0,4,423,0,0,3,281,462,193,191,83,21,24,21,29,12,3,31,1357,153,336,610,943,1145,799,903,460,95,82,111,118,53,15,146,5964,512,2343,4338,4197,7414,6167,13875,6997,1304,1292,1179,1457,475,145,897,52582
CED202,0,0,0,22,57,69,136,200,47,31,41,76,20,0,15,715,8,3,7,10,27,12,8,6,0,0,0,0,0,0,3,91,0,4,5,9,19,9,23,12,12,4,7,8,0,0,4,105,0,3,9,39,28,55,110,42,5,7,7,15,13,7,11,359,0,0,3,11,17,17,81,73,19,20,16,9,8,0,3,286,0,0,0,0,0,10,13,17,0,10,3,3,3,0,0,61,0,0,0,3,4,22,69,45,22,8,6,10,3,0,10,204,144,574,1291,741,505,278,538,285,34,47,60,39,30,9,181,4747,4,10,11,59,55,58,117,74,0,10,13,14,8,0,16,446,0,0,0,14,24,8,29,44,7,11,17,12,8,0,11,191,51,179,279,255,240,155,435,220,80,62,70,47,25,11,65,2184,357,1689,2120,1725,1595,1253,3188,2152,502,479,611,691,299,69,548,17293
CED203,0,0,3,19,63,67,139,182,47,50,65,71,18,9,16,760,4,7,8,9,20,5,3,7,0,0,0,0,0,0,3,61,0,3,5,9,3,4,7,10,0,0,4,0,0,0,0,61,0,6,8,26,46,79,123,56,10,8,15,5,14,0,8,387,0,7,17,19,25,28,70,64,9,20,15,26,8,5,6,309,0,0,0,0,6,0,17,34,4,9,14,34,5,0,5,132,0,0,0,3,9,7,268,238,74,67,81,39,6,3,9,805,117,528,1063,657,437,269,485,194,47,30,30,37,12,8,175,4082,3,0,21,63,41,40,92,45,0,4,8,8,6,3,15,350,0,0,0,7,15,19,31,40,11,11,5,3,0,4,55,206,62,131,175,183,148,126,676,360,119,120,138,99,31,16,127,2512,312,1189,1762,1471,1295,1113,3207,2087,583,556,636,574,222,64,703,15781
CED204,0,0,0,89,453,375,459,403,104,110,141,161,48,14,43,2408,19,18,73,119,564,207,71,28,6,4,0,0,0,0,22,1126,0,0,4,25,99,59,155,94,21,17,29,5,22,4,3,522,0,9,20,147,284,145,227,68,12,25,9,6,11,6,10,974,3,13,139,299,1037,1256,2308,1494,264,303,428,470,134,14,140,8308,0,0,0,0,25,30,46,41,17,13,23,24,7,0,5,226,0,0,0,4,82,58,120,81,25,19,13,22,11,0,12,456,76,500,1255,883,637,239,460,173,33,18,14,18,7,4,125,4438,0,8,13,18,17,47,69,61,14,14,18,10,5,3,9,306,0,0,0,211,718,431,477,294,53,48,38,32,21,16,73,2410,59,292,1320,2052,3313,3549,3063,1126,322,338,289,294,87,38,388,16532,321,2149,5367,5810,10517,11324,19200,12919,2490,2804,2705,3098,1123,465,1711,82003
CED205,0,0,0,64,491,449,834,497,109,107,119,131,50,6,25,2879,10,0,17,17,125,40,17,8,0,0,0,0,0,0,3,243,0,0,0,5,33,27,186,70,18,7,12,10,4,0,0,377,0,0,0,16,31,29,63,30,0,7,13,3,0,0,10,205,0,4,36,58,240,615,1199,657,141,129,162,161,46,9,49,3503,0,0,0,0,0,12,23,17,0,3,9,0,0,0,0,71,0,0,0,3,42,61,125,70,33,25,28,12,4,0,24,444,21,165,487,216,185,66,218,146,18,13,11,18,8,0,63,1642,0,0,3,6,19,25,66,58,9,12,12,15,6,0,0,249,0,0,8,104,478,253,213,139,33,16,29,30,7,0,84,1395,52,342,1562,2640,2790,2868,3325,2480,1617,937,628,575,140,67,602,20622,191,1555,4413,4784,6491,9461,22025,15037,5183,4306,3595,4567,1420,322,1896,85251
CED206,0,0,5,15,101,99,133,92,30,31,30,19,6,8,14,584,6,19,31,28,112,30,39,21,0,0,0,0,0,0,4,288,0,8,4,18,19,19,50,24,8,10,0,5,3,0,7,174,0,5,17,123,141,163,261,72,26,7,12,22,5,0,12,869,0,10,51,47,50,39,104,55,22,3,16,19,5,0,4,427,0,0,0,6,10,18,9,10,0,0,8,5,0,0,0,58,0,0,3,3,21,35,130,62,24,16,14,13,5,0,12,338,200,898,2665,1545,1125,592,1140,417,61,22,29,51,17,13,210,8979,5,9,33,67,51,75,160,83,14,13,14,16,7,8,13,557,0,0,0,21,26,11,38,20,8,6,10,16,0,3,7,168,90,270,372,361,404,370,911,742,105,96,159,129,30,9,56,4109,549,2746,4347,3118,3151,2345,4885,2743,511,373,466,464,163,72,536,26480
CED207,0,0,6,59,234,128,236,188,61,70,118,150,65,15,28,1351,27,33,46,60,202,79,30,11,0,3,0,0,0,0,9,513,0,3,19,89,207,156,523,285,60,68,95,71,39,21,12,1663,3,8,24,88,142,144,332,98,17,35,29,34,13,3,8,987,8,33,133,233,895,839,1707,918,314,302,482,511,247,36,82,6743,0,0,0,10,141,230,254,159,42,53,46,35,16,7,17,1006,0,0,14,30,77,94,174,84,27,22,30,42,16,0,18,627,154,479,884,536,506,308,589,314,57,48,33,46,24,11,131,4112,0,7,21,54,66,74,154,118,32,28,28,51,27,12,10,682,0,0,14,754,970,312,246,212,64,111,88,106,64,7,53,2994,118,430,603,911,962,918,1180,702,247,224,232,341,156,20,138,7185,572,2773,5031,4940,10214,10138,21159,13517,3703,4335,4728,5566,2376,586,1647,91288
CED208,0,0,0,38,229,108,171,196,56,57,80,112,9,8,26,1104,12,17,18,19,83,22,19,16,4,4,0,3,0,0,6,218,0,0,3,25,34,66,123,48,18,14,12,15,6,5,3,368,0,0,8,27,90,66,124,50,12,26,18,11,3,4,10,454,0,3,28,22,142,134,134,98,39,46,72,78,36,0,16,854,0,0,0,0,22,38,46,43,14,10,5,12,0,0,3,197,0,0,0,4,45,43,114,86,30,34,29,16,7,4,12,429,53,200,508,471,491,469,894,620,114,115,121,93,23,23,81,4261,0,3,19,67,78,125,194,151,44,56,48,33,28,11,16,881,0,0,3,377,740,421,308,302,68,85,68,92,37,4,62,2566,68,261,550,815,799,958,1161,960,284,309,341,393,147,34,174,7257,369,3493,6724,3981,5099,4808,8000,6014,1558,1880,2320,2193,697,184,1335,48652
CED209,0,0,5,22,83,79,147,130,34,42,71,75,22,3,15,731,18,13,17,9,40,13,15,3,0,7,0,0,0,0,4,140,0,9,7,17,22,12,31,12,5,0,5,6,5,5,10,144,0,5,20,68,92,77,231,119,16,15,14,22,11,4,10,696,0,3,15,13,19,15,65,47,11,26,35,43,26,0,6,323,0,0,0,0,0,5,3,10,0,10,9,3,0,0,0,48,0,0,0,3,8,29,54,33,12,6,9,11,6,0,9,188,226,796,1706,901,738,369,1099,595,104,70,84,78,24,17,282,7087,3,5,19,57,62,57,140,101,13,22,9,22,8,14,12,555,0,0,0,20,29,11,31,34,9,8,17,7,12,0,8,193,82,297,361,275,198,230,482,378,65,77,79,78,36,11,77,2723,556,2207,2962,1974,1964,1499,4090,2848,585,617,690,885,367,85,677,22011
CED210,0,5,0,22,171,131,401,199,70,46,98,126,17,0,30,1328,24,33,41,25,92,36,6,8,4,0,0,7,0,0,12,301,0,0,5,29,23,21,81,16,0,5,6,5,10,0,9,208,0,6,15,42,58,68,127,53,14,16,15,13,10,4,6,450,0,3,10,11,37,19,85,182,20,37,35,41,23,6,16,524,0,0,0,0,0,4,13,17,9,5,4,4,0,0,0,61,0,0,3,10,28,30,228,170,46,40,50,41,13,5,22,682,165,692,1649,774,509,315,718,401,65,57,43,59,30,5,179,5665,3,0,23,41,45,50,109,73,21,19,7,19,12,6,11,440,0,0,0,38,106,65,78,62,19,29,21,21,13,3,54,517,114,421,706,541,407,501,954,660,200,172,170,186,69,20,246,5359,590,2854,4213,2413,2265,2128,5022,4314,1116,1102,1200,1501,572,127,1052,30472
