CED_CODE_2021,Neg_Nil_inc_fam_households,Neg_Nil_inc_Non_fam_househlds,Negative_Nil_income_Tot,HI_1_149_Family_households,HI_1_149_Non_family_hseholds,HI_1_149_Tot,HI_150_299_Family_households,HI_150_299_Non_fam_househlds,HI_150_299_Tot,HI_300_399_Family_households,HI_300_399_Non_fam_househlds,HI_300_399_Tot,HI_400_499_Family_households,HI_400_499_Non_fam_househlds,HI_400_499_Tot,HI_500_649_Family_households,HI_500_649_Non_fam_househlds,HI_500_649_Tot,HI_650_799_Family_households,HI_650_799_Non_fam_househlds,HI_650_799_Tot,HI_800_999_Fam_households,HI_800_999_Non_fam_hsehlds,HI_800_999_Tot,HI_1000_1249_Fam_households,HI_1000_1249_Non_fam_hsehlds,HI_1000_1249_Tot,HI_1250_1499_Fam_households,HI_1250_1499_Non_fam_hsehlds,HI_1250_1499_Tot,HI_1500_1749_Fam_households,HI_1500_1749_Non_fam_hsehlds,HI_1500_1749_Tot,HI_1750_1999_Fam_households,HI_1750_1999_Non_fam_hsehlds,HI_1750_1999_Tot,HI_2000_2499_Fam_households,HI_2000_2499_Non_fam_hsehlds,HI_2000_2499_Tot,HI_2500_2999_Fam_households,HI_2500_2999_Non_fam_hsehlds,HI_2500_2999_Tot,HI_3000_3499_Fam_households,HI_3000_3499_Non_fam_hsehlds,HI_3000_3499_Tot,HI_3500_3999_Fam_households,HI_3500_3999_Non_fam_hsehlds,HI_3500_3999_Tot,HI_4000_more_Fam_households,HI_4000_more_Non_fam_hsehlds,HI_4000_more_Tot,Part_inc_stated_Fam_household,Part_inc_std_Non_fam_hhds,Partial_income_stated_Tot,All_incomes_ns_Famly_househld,All_inc_ns_Non_famly_househld,All_incomes_not_stated_Tot,Tot_Family_households,Tot_Non_family_households,Tot_Tot
CED201,476,511,983,202,179,376,186,380,571,208,790,1003,630,2209,2840,674,1306,1976,2137,997,3131,2007,1193,3200,2666,1286,3949,3100,965,4062,2425,846,3277,2559,687,3243,5865,1019,6878,4928,141,5072,4167,193,4357,2670,56,2735,6322,244,6565,2209,140,2348,419,435,855,43837,13585,57422
CED202,323,530,854,145,212,356,147,583,734,211,1304,1516,690,3551,4242,902,2210,3110,2716,1402,4120,2455,1796,4252,2937,1817,4759,3438,1276,4711,2525,1054,3574,2629,786,3410,5215,1046,6269,3837,159,3990,2954,228,3186,1732,50,1785,4029,367,4393,2358,252,2605,516,659,1183,39753,19282,59035
CED203,286,523,814,167,244,415,158,599,756,194,1315,1512,709,3551,4259,861,2217,3073,2802,1478,4279,2584,1784,4367,2955,1747,4703,3467,1183,4652,2503,1012,3509,2587,761,3351,5440,1033,6468,3920,157,4075,3020,190,3218,1770,47,1818,3628,303,3935,2352,270,2623,541,699,1240,39945,19116,59059
CED204,653,635,1290,197,164,367,239,416,653,293,867,1162,825,2266,3090,878,1159,2030,2641,841,3486,2566,1163,3725,3085,1252,4339,3751,956,4709,2808,749,3559,2962,514,3470,6248,805,7058,4669,200,4864,3456,180,3641,2184,116,2302,4524,335,4859,2593,202,2797,571,466,1037,45135,13298,58429
CED205,735,504,1241,179,100,283,308,331,640,324,672,997,889,1414,2302,1168,641,1805,2684,569,3250,2726,903,3629,3313,963,4270,3976,713,4687,3152,650,3805,3121,436,3558,6447,636,7080,4561,130,4693,3288,127,3421,2016,50,2066,3827,194,4023,2443,158,2598,681,346,1026,45831,9545,55380
CED206,360,485,840,171,170,337,152,378,530,163,736,901,555,2394,2957,643,1400,2040,2055,960,3013,2024,1223,3246,2500,1226,3728,3068,887,3958,2404,724,3125,2546,543,3085,6115,844,6961,5041,102,5144,4017,201,4220,2576,26,2600,5764,214,5984,2547,151,2698,500,436,941,43202,13107,56307
CED207,983,1128,2111,378,342,716,368,653,1026,329,1108,1435,847,2559,3402,873,1633,2505,2225,1205,3432,2172,1376,3550,2710,1473,4186,3068,1146,4211,2302,1027,3330,2386,833,3221,5324,1448,6774,4151,336,4489,3907,428,4339,2714,157,2869,9697,644,10343,2519,419,2934,440,485,925,47405,18386,65793
CED208,430,806,1240,179,276,452,189,688,874,215,1439,1653,612,3014,3627,603,1671,2281,1928,1298,3225,1669,1553,3218,1888,1867,3755,2304,1870,4177,1951,1740,3693,2054,1413,3468,4490,2436,6924,3829,451,4278,3536,677,4213,2596,236,2829,8298,835,9138,1859,668,2529,379,526,902,39029,23450,62474
CED209,395,441,838,200,146,349,145,364,506,153,746,902,627,2185,2813,690,1653,2338,2261,1085,3345,2137,1163,3302,2653,1231,3886,3091,923,4018,2165,891,3057,2302,662,2965,5505,1042,6545,4524,187,4709,3749,255,4002,2291,87,2377,5579,442,6019,2402,252,2655,455,472,931,41320,14232,55553
CED210,357,597,954,162,237,395,180,641,824,204,1385,1589,709,3533,4244,891,2405,3294,2500,1465,3966,2315,1824,4138,2769,1885,4660,3110,1459,4568,2319,1254,3574,2327,947,3267,5117,1480,6597,3901,238,4132,3350,326,3681,2133,111,2238,5555,461,6014,2234,344,2578,525,750,1276,40643,21351,61989
