CED_CODE_2021,Neg_Nil_inc_cpl_fam_no_child,Neg_Nil_inc_cpl_fam_wth_chld,Neg_Nil_inc_One_parent_fam,Neg_Nil_inc_Other_fam,Neg_Nil_inc_Tot,FI_1_149_cpl_fam_no_child,FI_1_149_cpl_fam_with_child,FI_1_149_One_parent_fam,FI_1_149_Other_fam,FI_1_149_Tot,FI_150_299_cpl_fam_no_child,FI_150_299_cpl_fam_with_child,FI_150_299_One_parent_fam,FI_150_299_Other_fam,FI_150_299_Tot,FI_300_399_cpl_fam_no_child,FI_300_399_cpl_fam_with_child,FI_300_399_One_parent_fam,FI_300_399_Other_fam,FI_300_399_Tot,FI_400_499_cpl_fam_no_child,FI_400_499_cpl_fam_with_child,FI_400_499_One_parent_fam,FI_400_499_Other_fam,FI_400_499_Tot,FI_500_649_cpl_fam_no_child,FI_500_649_cpl_fam_with_child,FI_500_649_One_parent_fam,FI_500_649_Other_fam,FI_500_649_Tot,FI_650_799_cpl_fam_no_child,FI_650_799_cpl_fam_with_child,FI_650_799_One_parent_fam,FI_650_799_Other_fam,FI_650_799_Tot,FI_800_999_cpl_fam_no_child,FI_800_999_cpl_fam_wth_chld,FI_800_999_One_parent_fam,FI_800_999_Other_fam,FI_800_999_Tot,FI_1000_1249_cpl_fam_no_child,FI_1000_1249_cpl_fam_wth_chld,FI_1000_1249_One_parent_fam,FI_1000_1249_Other_fam,FI_1000_1249_Tot,FI_1250_1499_cpl_fam_no_child,FI_1250_1499_cpl_fam_wth_chld,FI_1250_1499_One_parent_fam,FI_1250_1499_Other_fam,FI_1250_1499_Tot,FI_1500_1749_cpl_fam_no_child,FI_1500_1749_cpl_fam_wth_chld,FI_1500_1749_One_parent_fam,FI_1500_1749_Other_fam,FI_1500_1749_Tot,FI_1750_1999_cpl_fam_no_child,FI_1750_1999_cpl_fam_wth_chld,FI_1750_1999_One_parent_fam,FI_1750_1999_Other_fam,FI_1750_1999_Tot,FI_2000_2499_cpl_fam_no_child,FI_2000_2499_cpl_fam_wth_chld,FI_2000_2499_One_parent_fam,FI_2000_2499_Other_fam,FI_2000_2499_Tot,FI_2500_2999_cpl_fam_no_child,FI_2500_2999_cpl_fam_wth_chld,FI_2500_2999_One_parent_fam,FI_2500_2999_Other_fam,FI_2500_2999_Tot,FI_3000_3499_cpl_fam_no_child,FI_3000_3499_cpl_fam_wth_chld,FI_3000_3499_One_parent_fam,FI_3000_3499_Other_fam,FI_3000_3499_Tot,FI_3500_3999_cpl_fam_no_child,FI_3500_3999_cpl_fam_wth_chld,FI_3500_3999_One_parent_fam,FI_3500_3999_Other_fam,FI_3500_3999_Tot,FI_4000_more_cpl_fam_no_child,FI_4000_more_cpl_fam_wth_chld,FI_4000_more_One_parent_fam,FI_4000_more_Other_fam,FI_4000_more_Tot,Prt_inc_std_cpl_fam_no_child,Part_inc_std_cpl_fam_wth_chld,Part_inc_statd_One_parent_fam,Partial_income_statd_Othr_fam,Partial_income_stated_Tot,All_inc_ns_cpl_fam_no_child,All_inc_ns_cpl_fam_wth_chld,All_incomes_ns_One_parent_fam,All_incomes_ns_Other_fam,All_incomes_ns_Tot,Tot_cpl_fam_no_child,Tot_cpl_fam_wth_chld,Tot_One_parent_fam,Tot_Other_fam,Tot_Tot
CED201,515,62,145,7,723,181,28,40,6,245,108,51,58,3,216,90,35,132,5,256,426,70,237,6,736,306,117,338,15,778,1640,253,458,31,2379,1163,373,608,57,2200,1296,713,779,67,2855,1432,1081,708,82,3304,819,1113,574,43,2548,883,1294,448,52,2685,1954,3206,767,83,6009,1436,3073,390,48,4951,1080,2775,228,34,4116,610,1805,138,13,2570,1115,4602,222,18,5961,457,1246,441,19,2166,232,126,74,12,444,15731,22010,6796,605,45145
CED202,247,27,88,0,369,110,9,22,9,153,75,19,78,10,179,78,18,148,4,247,389,50,315,15,769,326,76,608,16,1033,1939,220,691,36,2888,1335,322,883,60,2602,1480,622,885,77,3059,1726,1017,745,75,3559,989,1027,501,43,2562,1108,1129,396,40,2668,2141,2522,533,73,5266,1368,2145,220,45,3776,938,1816,117,14,2886,529,1095,62,6,1691,1125,2581,114,7,3825,596,1224,487,19,2323,279,120,125,18,542,16775,16046,7007,557,40391
CED203,232,33,58,11,333,137,18,25,3,188,84,23,67,5,179,60,15,159,3,236,420,35,327,16,806,335,78,557,23,994,2079,193,674,43,2992,1445,343,902,86,2774,1593,567,856,73,3091,1747,1026,728,82,3578,965,983,558,52,2555,1073,1167,412,39,2683,2182,2633,611,60,5495,1404,2218,226,39,3887,968,1809,142,14,2932,532,1113,55,11,1713,1003,2268,88,9,3372,651,1187,445,30,2314,306,131,119,18,574,17205,15832,7021,618,40678
CED204,532,179,223,12,946,145,38,48,7,238,106,73,123,4,304,107,76,191,5,374,486,165,324,20,998,300,275,494,18,1087,1893,547,565,41,3046,1168,851,833,67,2917,1116,1353,854,81,3411,1342,1814,802,93,4057,751,1611,547,56,2964,871,1708,455,75,3105,1805,3720,754,119,6390,1227,2952,390,65,4624,755,2320,216,42,3330,436,1479,108,16,2036,698,3174,186,24,4080,457,1537,507,21,2522,264,229,138,13,643,14469,24093,7757,760,47082
CED205,520,327,247,16,1109,91,63,50,10,220,82,132,169,7,391,79,118,234,0,429,306,405,376,16,1097,280,543,541,17,1371,1407,997,716,29,3153,821,1334,872,93,3114,735,1972,888,75,3672,941,2483,795,95,4308,609,2133,555,56,3357,674,2104,428,53,3258,1594,4209,692,101,6593,1039,2968,418,52,4480,638,2243,201,28,3112,371,1364,116,23,1874,519,2659,183,19,3384,380,1574,408,30,2393,224,379,149,15,776,11319,28006,8028,741,48097
CED206,282,62,90,4,441,147,21,26,3,196,89,22,69,3,187,69,16,104,7,199,363,41,242,12,654,302,66,379,16,764,1529,171,545,35,2278,1240,267,675,49,2235,1407,559,685,36,2679,1511,1012,677,49,3240,881,1135,504,34,2545,992,1278,372,26,2670,2204,3307,739,70,6326,1607,3054,362,37,5060,1220,2542,207,18,3985,735,1693,83,11,2524,1269,3924,172,8,5380,521,1425,511,27,2490,272,179,84,4,540,16640,20774,6525,453,44389
CED207,852,153,358,42,1408,269,50,106,16,447,191,78,153,19,441,106,67,191,7,375,632,116,236,21,1006,441,182,360,18,997,1700,315,406,53,2469,1230,498,571,71,2369,1413,781,626,76,2901,1517,1046,605,120,3290,844,1011,460,80,2392,962,1044,437,56,2500,1891,2599,788,136,5410,1263,2417,372,74,4127,1048,2518,253,38,3855,611,1848,123,18,2597,1691,7266,324,49,9337,557,1447,424,16,2444,241,150,74,13,481,17471,23569,6872,933,48836
CED208,306,81,112,21,523,148,25,36,3,209,81,33,87,14,223,62,34,144,9,247,367,79,225,35,705,224,112,356,21,707,1443,233,385,42,2099,760,354,603,96,1811,768,562,600,89,2018,992,759,592,109,2457,695,756,493,77,2023,772,844,419,76,2124,1937,1885,660,131,4618,1676,1786,287,83,3831,1356,1862,201,51,3471,1018,1374,90,36,2513,2208,5393,279,48,7932,495,865,416,27,1802,193,116,88,16,408,15494,17157,6073,980,39706
CED209,334,47,54,5,434,168,7,33,7,208,98,14,59,9,180,85,14,80,7,178,463,24,181,10,675,350,67,333,11,762,1844,142,385,21,2393,1430,200,586,36,2248,1643,431,655,46,2773,1772,818,600,48,3235,895,907,431,29,2265,993,1046,329,28,2388,2126,2823,581,72,5607,1613,2673,233,30,4555,1122,2409,140,21,3697,670,1499,63,10,2244,1482,3617,160,21,5273,645,1278,407,20,2358,288,126,63,10,485,18011,18123,5376,438,41950
CED210,249,63,104,11,426,104,16,49,4,176,76,36,82,11,204,62,23,145,6,239,378,63,340,19,805,282,102,607,16,1005,1746,199,677,51,2661,1177,348,865,89,2486,1328,640,836,92,2897,1517,877,751,82,3233,867,907,560,48,2385,980,944,426,41,2387,1975,2448,681,94,5200,1458,2096,300,46,3890,1047,2004,184,27,3264,634,1345,72,8,2054,1348,3746,180,27,5297,522,1115,515,37,2195,267,132,127,23,551,16021,17103,7509,726,41359
