CED_CODE_2021,NegNil_inc_Emp_WFT,NegNil_inc_Emp_WPT,NegNil_inc_Emp_AW,NegNil_inc_E_T,NegNil_inc_UnE_lfw_FTW,NegNil_inc_UnE_lfw_PTW,NegNil_inc_UnE_lfw_Tot,NegNil_inc_T_LF,NegNil_inc_Notin_LF,NegNil_inc_LF_sta_NS,NegNil_inc_Tot,I_1_149_Emp_WFT,I_1_149_Emp_WPT,I_1_149_Emp_AW,I_1_149_E_T,I_1_149_UnE_lfw_FTW,I_1_149_UnE_lfw_PTW,I_1_149_UnE_lfw_Tot,I_1_149_T_LF,I_1_149_Notin_LF,I_1_149_LF_sta_NS,I_1_149_Tot,I_150_299_Emp_WFT,I_150_299_Emp_WPT,I_150_299_Emp_AW,I_150_299_E_T,I_150_299_UnE_lfw_FTW,I_150_299_UnE_lfw_PTW,I_150_299_UnE_lfw_Tot,I_150_299_T_LF,I_150_299_Notin_LF,I_150_299_LF_sta_NS,I_150_299_Tot,I_300_399_Emp_WFT,I_300_399_Emp_WPT,I_300_399_Emp_AW,I_300_399_E_T,I_300_399_UnE_lfw_FTW,I_300_399_UnE_lfw_PTW,I_300_399_UnE_lfw_Tot,I_300_399_T_LF,I_300_399_Notin_LF,I_300_399_LF_sta_NS,I_300_399_Tot,I_400_499_Emp_WFT,I_400_499_Emp_WPT,I_400_499_Emp_AW,I_400_499_E_T,I_400_499_UnE_lfw_FTW,I_400_499_UnE_lfw_PTW,I_400_499_UnE_lfw_Tot,I_400_499_T_LF,I_400_499_Notin_LF,I_400_499_LF_sta_NS,I_400_499_Tot,I_500_649_Emp_WFT,I_500_649_Emp_WPT,I_500_649_Emp_AW,I_500_649_E_T,I_500_649_UnE_lfw_FTW,I_500_649_UnE_lfw_PTW,I_500_649_UnE_lfw_Tot,I_500_649_T_LF,I_500_649_Notin_LF,I_500_649_LF_sta_NS,I_500_649_Tot,I_650_799_Emp_WFT,I_650_799_Emp_WPT,I_650_799_Emp_AW,I_650_799_E_T,I_650_799_UnE_lfw_FTW,I_650_799_UnE_lfw_PTW,I_650_799_UnE_lfw_Tot,I_650_799_T_LF,I_650_799_Notin_LF,I_650_799_LF_sta_NS,I_650_799_Tot,I_800_999_Emp_WFT,I_800_999_Emp_WPT,I_800_999_Emp_AW,I_800_999_E_T,I_800_999_UnE_lfw_FTW,I_800_999_UnE_lfw_PTW,I_800_999_UnE_lfw_Tot,I_800_999_T_LF,I_800_999_Notin_LF,I_800_999_LF_sta_NS,I_800_999_Tot,I_1000_1249_Emp_WFT,I_1000_1249_Emp_WPT,I_1000_1249_Emp_AW,I_1000_1249_E_T,I_1000_1249_UnE_lfw_FTW,I_1000_1249_UnE_lfw_PTW,I_1000_1249_UnE_lfw_Tot,I_1000_1249_T_LF,I_1000_1249_Notin_LF,I_1000_1249_LF_sta_NS,I_1000_1249_Tot,I_1250_1499_Emp_WFT,I_1250_1499_Emp_WPT,I_1250_1499_Emp_AW,I_1250_1499_E_T,I_1250_1499_UnE_lfw_FTW,I_1250_1499_UnE_lfw_PTW,I_1250_1499_UnE_lfw_Tot,I_1250_1499_T_LF,I_1250_1499_Notin_LF,I_1250_1499_LF_sta_NS,I_1250_1499_Tot,I_1500_1749_Emp_WFT,I_1500_1749_Emp_WPT,I_1500_1749_Emp_AW,I_1500_1749_E_T,I_1500_1749_UnE_lfw_FTW,I_1500_1749_UnE_lfw_PTW,I_1500_1749_UnE_lfw_Tot,I_1500_1749_T_LF,I_1500_1749_Notin_LF,I_1500_1749_LF_sta_NS,I_1500_1749_Tot,I_1750_1999_Emp_WFT,I_1750_1999_Emp_WPT,I_1750_1999_Emp_AW,I_1750_1999_E_T,I_1750_1999_UnE_lfw_FTW,I_1750_1999_UnE_lfw_PTW,I_1750_1999_UnE_lfw_Tot,I_1750_1999_T_LF,I_1750_1999_Notin_LF,I_1750_1999_LF_sta_NS,I_1750_1999_Tot,I_2000_2499_Emp_WFT,I_2000_2499_Emp_WPT,I_2000_2499_Emp_AW,I_2000_2499_E_T,I_2000_2499_UnE_lfw_FTW,I_2000_2499_UnE_lfw_PTW,I_2000_2499_UnE_lfw_Tot,I_2000_2499_T_LF,I_2000_2499_Notin_LF,I_2000_2499_LF_sta_NS,I_2000_2499_Tot,I_2500_2999_Emp_WFT,I_2500_2999_Emp_WPT,I_2500_2999_Emp_AW,I_2500_2999_E_T,I_2500_2999_UnE_lfw_FTW,I_2500_2999_UnE_lfw_PTW,I_2500_2999_UnE_lfw_Tot,I_2500_2999_T_LF,I_2500_2999_Notin_LF,I_2500_2999_LF_sta_NS,I_2500_2999_Tot,I_3000_3499_Emp_WFT,I_3000_3499_Emp_WPT,I_3000_3499_Emp_AW,I_3000_3499_E_T,I_3000_3499_UnE_lfw_FTW,I_3000_3499_UnE_lfw_PTW,I_3000_3499_UnE_lfw_Tot,I_3000_3499_T_LF,I_3000_3499_Notin_LF,I_3000_3499_LF_sta_NS,I_3000_3499_Tot,I_3500_3999_Emp_WFT,I_3500_3999_Emp_WPT,I_3500_3999_Emp_AW,I_3500_3999_E_T,I_3500_3999_UnE_lfw_FTW,I_3500_3999_UnE_lfw_PTW,I_3500_3999_UnE_lfw_Tot,I_3500_3999_T_LF,I_3500_3999_Notin_LF,I_3500_3999_LF_sta_NS,I_3500_3999_Tot,I_4000more_Emp_WFT,I_4000more_Emp_WPT,I_4000more_Emp_AW,I_4000more_E_T,I_4000more_UnE_lfw_FTW,I_4000more_UnE_lfw_PTW,I_4000more_UnE_lfw_Tot,I_4000more_T_LF,I_4000more_Notin_LF,I_4000more_LF_sta_NS,I_4000more_Tot,Part_inc_sta_Emp_WFT,Part_inc_sta_Emp_WPT,Part_inc_sta_Emp_AW,Part_inc_sta_E_T,Part_inc_sta_UnE_lfw_FTW,Part_inc_sta_UnE_lfw_PTW,Part_inc_sta_UnE_lfw_Tot,Part_inc_sta_T_LF,Part_inc_sta_Notin_LF,Part_inc_sta_LF_sta_NS,Part_inc_sta_Tot,All_inc_NS_Emp_WFT,All_inc_NS_Emp_WPT
CED201,9,0,6,14,7,4,10,28,120,0,145,4,0,0,5,0,4,4,9,32,0,40,4,8,7,15,9,5,9,23,28,0,58,3,30,4,39,8,10,22,59,70,0,132,7,51,4,61,8,11,15,78,156,0,237,9,100,12,122,12,19,29,145,194,0,338,43,165,24,241,9,17,18,255,204,0,458,106,191,18,318,13,7,21,337,274,5,608,203,224,26,457,4,10,15,469,302,0,779,251,195,19,467,4,6,10,481,231,0,708,246,123,25,398,6,4,13,410,157,0,574,219,89,10,318,3,3,11,327,121,0,448,397,159,18,576,5,0,9,585,180,0,767,234,69,11,316,4,0,6,319,75,0,390,143,37,5,191,3,0,3,189,31,0,228,79,27,5,110,3,3,3,118,21,0,138,151,34,8,189,5,0,5,189,32,0,222,196,76,25,299,9,4,9,309,130,4,441,4,13
CED202,3,0,0,9,9,0,3,15,73,0,88,0,4,0,4,6,0,6,11,11,0,22,3,11,3,24,3,7,16,39,41,0,78,0,36,8,45,11,12,19,64,82,0,148,4,66,11,83,14,17,32,114,199,3,315,29,165,31,220,28,31,62,283,323,3,608,48,263,25,334,28,17,42,377,311,5,691,119,297,33,444,11,16,30,469,407,5,883,206,297,36,544,12,15,23,568,316,0,885,230,215,32,479,11,10,17,492,250,0,745,213,123,26,363,5,0,8,369,129,0,501,197,103,8,305,0,3,6,314,74,3,396,279,115,20,411,5,6,3,415,114,0,533,127,34,7,165,0,0,0,168,48,0,220,78,20,6,102,0,0,0,103,14,0,117,42,5,7,51,0,0,0,51,12,0,62,79,19,5,95,0,0,0,95,19,0,114,182,106,17,299,4,5,11,310,162,11,487,6,10
CED203,0,0,5,3,4,0,13,10,41,0,58,0,0,0,4,0,0,0,5,18,0,25,0,3,3,8,0,6,9,22,50,0,67,3,36,10,41,10,8,17,58,102,0,159,7,57,14,80,11,18,25,102,219,4,327,11,166,28,202,19,28,45,246,309,3,557,59,258,29,352,8,20,30,383,290,4,674,119,306,43,467,10,8,20,487,410,0,902,217,270,28,508,5,8,18,528,326,0,856,233,214,20,465,3,9,9,473,253,3,728,255,147,18,420,3,4,5,432,130,6,558,225,85,16,327,0,0,4,331,84,0,412,348,134,19,509,4,0,5,510,109,0,611,120,52,6,179,3,0,3,186,39,0,226,93,18,8,121,0,0,0,121,19,0,142,32,6,6,37,0,0,0,37,12,0,55,55,16,0,68,0,0,0,68,28,0,88,161,109,16,291,12,8,10,304,133,9,445,3,6
CED204,0,3,5,11,14,14,26,33,189,0,223,0,0,3,7,4,3,5,12,33,0,48,0,13,6,20,6,20,24,42,78,0,123,0,26,7,38,7,7,16,54,135,0,191,4,51,12,65,11,14,23,96,230,4,324,23,121,14,154,19,21,44,198,291,0,494,60,173,24,259,19,24,38,302,267,7,565,134,199,29,360,16,24,39,398,428,5,833,210,203,31,441,11,17,29,466,382,6,854,247,166,24,436,14,0,21,455,343,3,802,218,114,11,344,11,4,16,362,188,0,547,189,92,9,291,0,5,10,301,154,0,455,358,122,25,508,9,10,23,525,223,0,754,183,72,12,267,5,6,8,275,116,0,390,128,35,3,160,6,0,6,164,48,0,216,56,16,4,71,0,0,5,77,38,0,108,105,25,4,138,0,0,6,148,41,0,186,156,76,26,251,15,11,26,271,201,36,507,13,0
CED205,4,4,0,7,11,6,18,29,211,0,247,0,0,4,8,7,3,10,12,36,0,50,0,23,8,33,9,10,18,52,113,3,169,0,29,0,32,9,11,21,49,185,3,234,8,62,8,71,12,14,25,100,279,0,376,12,111,20,148,25,19,45,193,350,3,541,39,199,30,269,18,29,44,318,400,4,716,122,169,33,332,12,17,28,357,506,10,872,185,156,36,376,14,20,29,407,478,3,888,231,138,23,390,10,13,26,422,372,0,795,192,98,21,314,6,7,7,322,237,0,555,156,64,20,240,3,0,12,243,177,0,428,299,108,26,435,7,7,9,451,239,0,692,183,66,18,269,5,3,8,279,142,0,418,107,28,13,142,0,0,0,141,54,0,201,54,9,5,70,7,0,7,76,40,0,116,104,29,3,137,0,0,7,146,40,0,183,97,59,37,190,12,6,15,207,175,26,408,5,0
CED206,6,0,0,11,5,5,8,16,67,0,90,0,5,0,4,0,0,0,10,17,0,26,0,16,0,21,3,5,12,30,43,0,69,0,26,4,29,6,5,6,41,64,0,104,7,51,14,73,6,11,14,91,146,0,242,11,127,23,166,7,16,26,186,194,3,379,48,231,30,302,10,13,26,327,217,0,545,102,230,25,362,5,16,24,385,295,3,675,148,239,21,407,9,4,13,422,261,0,685,213,213,35,456,9,4,13,474,204,0,677,219,130,17,371,5,3,6,382,120,0,504,189,99,11,301,0,0,0,306,68,0,372,414,147,31,598,3,3,3,603,136,0,739,205,76,14,297,0,0,0,300,60,0,362,133,33,13,178,0,0,0,177,30,0,207,49,9,5,69,0,0,0,69,13,0,83,112,28,0,142,0,0,0,142,29,0,172,193,125,39,359,5,3,3,366,124,22,511,10,11
CED207,7,7,11,27,11,14,17,47,313,3,358,0,20,5,23,0,7,7,33,72,0,106,9,43,3,57,10,7,16,69,85,0,153,11,69,15,88,3,7,16,102,83,0,191,5,67,12,85,4,21,25,107,126,0,236,15,97,18,125,10,16,27,155,201,0,360,29,146,13,188,7,9,14,197,207,0,406,102,132,18,251,6,10,22,270,291,6,571,138,163,13,318,6,6,15,329,291,0,626,191,149,15,359,4,7,14,374,232,0,605,163,95,14,274,0,0,8,279,182,0,460,191,94,9,290,4,0,4,296,139,0,437,407,115,26,550,3,5,9,562,229,0,788,171,75,7,247,0,3,6,260,115,4,372,149,44,7,199,0,0,0,202,45,0,253,66,19,0,85,3,0,3,90,30,0,123,195,41,10,250,4,0,4,254,66,0,324,144,83,18,247,7,4,11,258,153,11,424,4,3
CED208,0,3,3,6,8,5,7,16,96,0,112,0,8,0,9,0,4,3,12,23,0,36,0,8,6,6,7,0,5,16,67,0,87,0,34,3,37,7,14,24,60,83,3,144,3,32,7,50,6,16,20,67,153,0,225,13,93,18,121,8,18,22,148,206,5,356,21,115,18,151,12,5,18,165,215,5,385,72,149,12,228,11,11,14,247,353,6,603,109,169,14,300,7,11,17,314,281,0,600,164,164,15,345,4,5,11,348,241,3,592,179,120,6,311,5,8,7,319,180,0,493,189,80,5,274,5,8,10,283,137,0,419,349,98,17,468,5,3,11,477,186,0,660,116,51,0,161,0,0,0,168,113,0,287,125,32,7,165,6,0,6,169,35,0,201,42,9,0,56,0,0,0,61,26,0,90,173,39,3,214,0,0,0,220,59,0,279,108,90,26,222,8,6,9,231,164,15,416,6,0
CED209,0,0,0,9,9,3,10,18,35,0,54,0,3,4,3,0,3,3,7,20,0,33,0,9,5,15,3,0,8,21,37,3,59,4,17,6,20,0,5,9,29,53,0,80,8,62,13,74,9,4,10,91,95,0,181,11,120,20,150,14,12,28,177,156,0,333,41,170,20,230,12,5,11,242,146,0,385,93,229,21,345,7,9,13,358,223,0,586,162,249,21,442,9,5,13,456,198,0,655,203,207,20,429,13,3,13,445,152,0,600,189,132,14,331,3,5,3,340,99,0,431,171,83,18,275,0,0,0,275,55,0,329,348,122,20,483,0,0,5,487,94,0,581,136,52,0,191,0,0,3,193,37,0,233,95,23,0,125,0,0,0,124,14,0,140,37,12,3,54,0,0,0,54,9,0,63,99,36,4,134,0,0,0,138,17,0,160,175,98,19,288,3,9,9,294,106,11,407,10,5
CED210,5,6,3,8,7,4,6,18,87,0,104,4,6,0,16,6,0,3,18,31,0,49,0,16,3,19,4,4,15,27,53,0,82,0,24,6,34,10,8,18,51,91,0,145,4,68,11,79,21,16,35,120,224,0,340,12,160,31,202,24,32,54,260,344,0,607,49,230,36,318,18,26,44,363,312,4,677,131,266,36,432,13,18,28,465,405,5,865,197,241,26,470,13,12,20,487,339,6,836,248,202,20,463,6,8,16,476,274,4,751,230,151,20,398,3,4,7,408,151,0,560,203,103,16,314,6,0,5,319,105,0,426,370,128,21,520,4,3,7,521,154,3,681,170,55,9,232,6,0,6,239,58,0,300,130,28,7,157,0,0,4,161,20,0,184,47,16,0,66,0,0,0,66,12,0,72,107,26,11,144,0,0,0,142,36,0,180,162,121,29,319,8,8,16,336,160,18,515,10,6
